position_cm,slope_disp_vs_mass,intercept_disp_vs_mass_original,r2,n,intercept_disp_vs_mass_forced,vertical_shift
38.0,-1.2009850104658413,4.242045689994895,0.7585537534723811,11,0.0,-4.242045689994895
45.5,-0.23898591298324912,0.677171441463954,0.9849587912361437,11,0.0,-0.677171441463954
53.0,-0.19461434171758465,0.475800580224747,0.9481810209269884,11,0.0,-0.475800580224747
60.5,-0.20632885690470784,0.7329943362801854,0.980970561277801,11,0.0,-0.7329943362801854
68.0,-1.4023603943307392,5.711034621201833,0.5404371464169215,11,0.0,-5.711034621201833
75.5,-0.9522421976612194,1.1701228501183418,0.9980609898896848,11,0.0,-1.1701228501183418
83.0,-1.2948933826381968,1.8230277539880155,0.9990489963339069,11,0.0,-1.8230277539880155
90.5,-2.0361683283198344,1.8360780491630204,0.9986247707087061,11,0.0,-1.8360780491630204
98.0,-1.1564788835784234,3.6360803841808496,0.9057231017174663,11,0.0,-3.6360803841808496
105.5,-1.3265831558714,-3.0096073462686372,0.9860871452333828,11,0.0,3.0096073462686372
113.0,-1.5467610833765395,-0.9050310840226838,0.9973762905647429,11,0.0,0.9050310840226838
