model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,0.12690404300340674,-0.5777872840294783,0.15775385901494676,11,-0.3567798289165589,6.362753904146075
s1_l2,1,2,38.0,68.0,-1.6430464755137684,5.781878753156684,0.7475369005743138,11,0.27232922035395246,-21.749927811205367
s1_l3,1,3,38.0,98.0,3.0558652708305227,-55.64695012432233,0.6762698896002297,11,1.889232556004032,-33.43119424660301
s1_l4,1,4,38.0,128.0,1.172379819048418,-26.118008423723435,0.5838966427856181,11,1.031640177652287,-28.681045402046806
s1_l5,1,5,38.0,158.0,0.13890583603189763,-8.437814857201174,0.018534053370953263,11,0.046758483279111474,-7.499481277536745
s2_l1,2,1,68.0,38.0,0.11129928780534701,2.064553837189434,0.05476236304609017,11,0.01603458822488646,8.615940237111602
s2_l2,2,2,68.0,68.0,0.35712115276055756,2.481339664634792,0.179689412457266,11,1.3226890062369083,-18.548011640401484
s2_l3,2,3,68.0,98.0,5.642287544784008,-72.74298447985076,0.7454682887187634,11,1.8955062527523996,-29.280548237960744
s2_l4,2,4,68.0,128.0,-0.609731083640378,0.5321239220657391,0.91115712313039,11,1.8429094774870727,-23.58166955556615
s2_l5,2,5,68.0,158.0,-0.5196116842767525,3.419064336998269,0.7516797615960336,11,-0.13173499642105568,-1.45137559321779
s3_l1,3,1,98.0,38.0,-0.5816358125859009,1.00143058111652,0.7846963069773522,11,-0.8733873760262929,6.1911142064564615
s3_l2,3,2,98.0,68.0,0.3824077496431543,-5.130823278319912,0.19008859787102372,11,1.077373768301575,-20.024107833218252
s3_l3,3,3,98.0,98.0,1.2819974531608689,-42.402735966503805,0.04264199301506555,11,0.7895125826882463,-29.80791459293914
s3_l4,3,4,98.0,128.0,0.005309608980516142,-8.927688995026928,7.548209665475536e-05,11,1.30603802644871,-23.160306072706163
s3_l5,3,5,98.0,158.0,0.7829224017500777,-11.422596361428543,0.4415137186819824,11,-0.4160588597320194,-0.08128227251938824
