window_index,s_time,t_time,baseline_disp_abs,peak_rel_disp,peak_time,sensor_position_cm,slope_disp_vs_mass,pred_mass
1,1491.560578,1518.8575520000002,104.211218,2.8041999999999945,1500.638569,68.0,-1.4023603943307392,-1.999628634220141
2,1541.43653,1562.6675100000002,104.259737,-4.412334999999999,1548.378523,68.0,-1.4023603943307392,3.1463631016945084
3,1595.356479,1617.2614580000002,106.098694,-10.454487,1601.758472,68.0,-1.4023603943307392,7.454921746409765
