time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:28:21.180",0.46387,0.16394,-0.66365,0.53556,0.06756,0.01986,0.25383,-0.14904,-0.84855,-0.08579,-0.06341,0.11166,18.62391,-1.53139,1.0584,-1.63563,845.8559,-0.17579,-0.16432,0.35947
="2026/04/02 16:28:21.200",-0.19698,0.16459,-0.60315,0.52587,0.11501,0.18577,-0.49542,0.08695,-0.55817,0.49628,0.15225,0.24163,23.39377,0.3601,0.79254,-1.90812,846.32245,0.66581,0.19122,-0.44329
="2026/04/02 16:28:21.220",0.58504,0.06418,0.38397,1.2446,0.06055,0.08607,0.19129,0.11449,0.09623,-0.33883,0.56302,-0.69699,24.42113,-0.67167,0.84736,-2.36028,847.0174,0.98739,0.13975,-0.42032
="2026/04/02 16:28:21.240",0.06695,-0.01742,-0.92723,0.51914,0.06385,0.06065,-0.41887,-0.33988,-0.92928,-0.12304,0.32419,-0.44923,26.68883,-1.2433,0.59291,-0.58978,851.73724,1.75993,-0.06737,-0.25236
="2026/04/02 16:28:21.260",0.57134,-0.13978,0.02953,0.4684,-0.07999,-0.08045,-0.31396,0.16064,0.13906,-0.17541,0.70304,-0.64673,26.9801,0.1789,0.11954,-2.20731,857.05664,1.86832,0.18451,-0.83383
="2026/04/02 16:28:21.280",0.7985,-0.11988,-0.66184,0.24586,0.05473,0.03432,0.26074,-0.00065,-0.20908,-0.49943,0.64216,-0.25154,24.67176,-1.8541,0.35223,-1.97661,860.3291,2.09334,-0.1814,0.21772
="2026/04/02 16:28:21.300",0.14616,-0.15018,-0.94131,0.42156,0.1151,0.16772,-0.61737,-0.08196,-0.33784,-0.14711,0.58183,-0.425,23.39192,0.89637,0.28914,-0.74787,866.28772,2.03547,0.07287,-0.21404
="2026/04/02 16:28:21.320",1.00916,-0.14937,0.15432,0.22185,0.00385,-0.00012,0.31381,0.17711,0.56638,-0.47572,0.78,-0.61933,17.91638,-0.31376,0.36523,-2.04792,868.77979,1.43457,0.03739,-0.01593
="2026/04/02 16:28:21.340",0.58865,-0.12661,-1.41502,-0.2644,-0.02934,0.04664,-0.17168,-0.08407,-0.06327,-0.11261,0.15373,-0.48415,13.99832,-0.68171,-0.10431,-0.06908,871.3573,1.99809,-0.14872,-0.03695
="2026/04/02 16:28:21.360",0.14942,-0.12749,0.33571,-0.63816,-0.06487,-0.04284,-0.22708,0.02496,0.55135,-0.1136,0.57439,-0.79542,10.87325,1.14354,-0.00039,-0.4592,872.1145,1.70356,0.07658,-0.59491
="2026/04/02 16:28:21.380",1.14594,-0.12787,-0.42517,-0.55094,0.03206,-0.0159,0.3922,-0.03781,0.47737,-0.1709,0.52166,-0.53956,7.74326,-1.30455,-0.09734,0.38805,869.31628,1.05627,-0.15321,0.46522
="2026/04/02 16:28:21.400",-0.12118,-0.10783,-0.48055,-0.15114,-0.08463,0.02859,-0.41909,-0.04204,0.1851,0.35056,0.19967,-0.42693,8.3269,0.59692,-0.55982,1.60428,868.3186,1.25426,0.12796,-0.1948
="2026/04/02 16:28:21.420",0.61117,-0.10324,0.74591,-0.50548,-0.10944,-0.12804,0.56682,0.11527,0.86359,-0.0498,0.27792,-0.89577,7.67701,-0.04568,-0.58587,1.02026,863.55542,0.37199,0.09313,0.1695
="2026/04/02 16:28:21.440",-0.05163,-0.19587,-0.6365,-0.53367,-0.04774,-0.05343,0.02268,-0.24301,0.66799,0.3252,-0.12202,-0.22242,11.02708,-0.63798,-0.76879,2.78587,860.66711,0.28828,-0.08458,0.48473
="2026/04/02 16:28:21.460",-0.28035,-0.17616,0.95799,-0.47306,-0.01646,-0.08286,-0.2641,0.07433,1.1919,0.34679,-0.01185,-0.35928,16.08528,1.33773,-1.14193,2.56831,859.33496,-0.20201,0.16374,-0.22581
="2026/04/02 16:28:21.480",0.28709,-0.03177,0.45877,-0.47836,-0.07733,-0.09974,0.69986,-0.01379,0.19017,0.01907,-0.24173,-0.37453,19.7445,-1.03021,-1.06169,2.63338,857.80878,-0.83487,-0.13897,0.50359
="2026/04/02 16:28:21.500",-0.82721,0.03694,0.02837,-0.91134,-0.11588,-0.10703,-0.06366,-0.01678,-0.03248,0.58489,-0.6257,0.04267,26.16382,0.65487,-1.05512,2.68567,861.40393,-0.94202,0.02705,0.18006
="2026/04/02 16:28:21.520",-0.16645,0.05797,1.25323,-0.44039,0.00123,-0.08282,0.85798,0.28159,0.8502,0.02387,-0.40701,-0.10993,29.31354,0.67199,-0.30585,0.38395,863.90546,-1.60776,0.0421,0.0746
="2026/04/02 16:28:21.540",-0.78619,0.15615,-0.1339,-0.45561,-0.01445,0.05588,0.50166,-0.31674,-0.20546,0.07019,-0.82,0.57707,32.00783,0.28876,-0.10843,2.49176,868.54889,-1.84923,-0.1824,0.78373
="2026/04/02 16:28:21.560",-0.79259,0.10816,0.80596,-0.53837,0.00662,-0.02452,0.14868,0.14923,0.10052,0.26965,-0.65591,0.58181,33.27891,2.04968,-0.66902,1.68443,873.83325,-2.40753,0.12,-0.01166
="2026/04/02 16:28:21.580",-0.42075,0.14491,0.75543,-0.40724,-0.09304,-0.09796,0.81845,-0.10943,-0.21873,-0.26442,-0.6037,0.85215,31.26016,-0.79015,-0.22488,0.2653,875.32892,-2.22334,-0.15369,0.33258
="2026/04/02 16:28:21.600",-1.21551,0.2695,-0.15336,0.0163,-0.01668,0.01486,-0.23199,0.05639,-0.81742,0.1321,-0.79385,0.62544,30.90029,0.79485,-0.27673,1.28362,879.34949,-1.54576,-0.02523,-0.03265
="2026/04/02 16:28:21.620",-0.39765,0.19318,1.35337,0.15311,0.007,0.00815,0.15681,0.10487,0.09449,-0.20092,-0.20536,0.80872,26.75415,0.61807,0.24861,-0.76166,880.03314,-2.0957,0.04836,0.17882
="2026/04/02 16:28:21.640",-0.36802,0.09719,-0.36047,0.35513,0.02914,0.04931,-0.16135,-0.1121,-0.67003,-0.03371,-0.60403,1.16503,22.6698,-0.82386,-0.01188,-0.38218,877.64996,-1.70638,-0.21215,0.93296
