time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:35:36.040",-0.03206,0.00549,0.00459,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.060",-0.01397,-0.00181,-0.02144,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.080",-0.03611,-0.00228,-0.01996,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.100",0.02769,-0.00484,0.0211,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.120",0.01661,-0.0019,0.00078,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.140",0.02249,-0.00573,0.00463,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.160",0.05633,-0.00061,-0.00465,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.180",0.03269,-0.00085,-0.00938,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.200",0.03661,-0.01184,0.01919,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.220",0.00928,-0.00895,-0.00853,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.240",0.00818,-0.00592,0.01592,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.260",-0.0148,-0.00634,0.00038,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.280",-0.28809,-0.07157,0.367,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.300",2.58945,0.09519,-4.08681,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.320",-4.25849,0.48715,3.92986,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.340",3.32755,-0.36634,-3.29784,,,,,,,,,,,,,,,,,
="2026/04/02 16:35:36.360",-1.07735,-0.35507,-0.0933,,,,,,,,,,,,,,0.28194,-0.37085,-0.38963,
="2026/04/02 16:35:36.380",-1.58518,0.31561,1.94827,,,,,,,,,,,,,,-0.76102,2.02072,-1.21643,
="2026/04/02 16:35:36.400",2.76438,0.47623,-2.76764,,,,,,,,,,,,,,-0.11656,-0.26829,1.91677,
="2026/04/02 16:35:36.420",-4.00216,0.44127,3.42529,,,,,,,,,,,,,,-0.17303,1.35289,0.60306,
="2026/04/02 16:35:36.440",1.61771,0.10452,0.70417,,,,,,,,,,,,,,-0.62477,1.03408,1.93184,
="2026/04/02 16:35:36.460",-1.16136,-0.15516,-0.68376,,,,,,,,,,,,,,-0.01927,-0.51176,3.96844,
="2026/04/02 16:35:36.480",-2.78264,-0.26658,3.91674,,,,,,,,,,,,,,-0.23915,1.58635,2.52283,
="2026/04/02 16:35:36.500",2.24318,-0.41157,-1.80584,,,,,,,,,,,,,,-0.31738,-0.48736,4.30238,
="2026/04/02 16:35:36.520",-3.29971,-0.45263,1.61154,,,,,,,,,,,,,,0.83322,-0.00438,3.6294,
="2026/04/02 16:35:36.540",1.79894,-0.61899,1.85862,,,,,,,,,,,,,,-0.64893,0.26398,1.69609,
="2026/04/02 16:35:36.560",0.14707,-0.49439,-2.74789,,,,,,,,,,,,,,0.55427,-1.46459,1.29201,
="2026/04/02 16:35:36.580",-0.77328,0.17168,1.94226,,,,,,,,,,,,,,0.33739,-0.02995,-2.36448,
="2026/04/02 16:35:36.600",3.43097,0.27714,-2.31624,,,,,,,,,,,,,,-0.32827,-1.21867,-3.2303,
="2026/04/02 16:35:36.620",-1.2722,0.14591,-2.18068,,,,,,,,,,,,,,0.8559,-1.236,-4.46959,
="2026/04/02 16:35:36.640",2.80679,0.20879,0.89409,,,,,,,,,,,,,,-0.81662,-0.62677,-6.67703,
="2026/04/02 16:35:36.660",1.33203,0.62533,-4.48932,,,,,,,,,,,,,,0.09261,-2.18846,-5.23206,
="2026/04/02 16:35:36.680",-0.93355,0.6561,0.66224,,,,,,,,,,,,,,-0.00744,-0.34557,-5.89158,
="2026/04/02 16:35:36.700",3.00966,0.72244,-1.06876,,,,,,,,,,,,,,-1.03544,-0.85292,-4.05232,
="2026/04/02 16:35:36.720",-2.16052,0.62214,-2.49205,,,,,,,,,,,,,,0.48093,-0.84513,-1.86798,
="2026/04/02 16:35:36.740",0.96673,0.21368,3.0572,,,,,,,,,,,,,,-0.83144,0.30817,0.03486,
="2026/04/02 16:35:36.760",-0.89472,0.0841,-1.88621,,,,,,,,,,,,,,-0.21799,-0.45482,2.60277,
="2026/04/02 16:35:36.780",-2.58191,0.05192,1.65228,,,,,,,,,,,,,,0.45459,0.58373,3.70256,
="2026/04/02 16:35:36.800",0.62409,0.04159,2.34262,,,,,,,,,,,,,,-0.86371,0.68522,4.76947,
="2026/04/02 16:35:36.820",-3.36858,-0.12799,-0.56036,,,,,,,,,,,,,,0.73834,0.58407,5.64971,
="2026/04/02 16:35:36.840",0.49237,-0.19834,3.62532,,,,,,,,,,,,,,-0.09873,0.99394,5.02024,
="2026/04/02 16:35:36.860",-0.69917,-0.0497,0.50633,,,,,,,,,,,,,,0.09327,0.66421,4.72143,
="2026/04/02 16:35:36.880",-1.51464,0.15104,0.59932,,,,,,,,,,,,,,1.34749,0.78421,2.68512,
="2026/04/02 16:35:36.900",2.06744,0.19352,2.2487,,,,,,,,,,,,,,-0.32298,0.92237,1.75908,
="2026/04/02 16:35:36.920",-1.27595,-0.16678,-1.91445,,,,,,,,,,,,,,0.95793,0.75131,0.25512,
="2026/04/02 16:35:36.940",1.96337,0.00444,1.38693,,,,,,,,,,,,,,0.14038,0.83294,-1.28662,
="2026/04/02 16:35:36.960",0.7461,-0.10521,-0.8015,,,,,,,,,,,,,,-0.51815,0.35379,-2.24552,
="2026/04/02 16:35:36.980",-0.33051,-0.14837,-1.94545,,,,,,,,,,,,,,0.5502,0.25727,-3.43298,
="2026/04/02 16:35:37.000",2.58934,-0.10385,0.96648,,,,,,,16.51962,,,,,,,-1.01577,-0.17897,-3.15653,862.5213
="2026/04/02 16:35:37.020",-1.36866,-0.00713,-2.65011,,,,,,,16.5364,,,,,,,-0.35569,-0.67682,-3.03198,861.06476
="2026/04/02 16:35:37.360",-0.34965,-0.44901,0.92251,-2.50747,-2.09149,-0.21282,-0.11239,0.0883,0.1723,20.11647,0.37766,-0.6627,-1.80617,-0.3425,-0.59366,1.83999,-1.2216,0.54974,3.30443,859.44666
="2026/04/02 16:35:37.380",-2.05936,-0.73071,0.34831,1.56125,-0.70628,1.2096,-1.29298,-0.07758,0.12235,20.7719,-2.25055,0.23709,2.28279,1.09531,0.05182,-0.10171,-0.3214,0.27225,3.86123,859.47101
="2026/04/02 16:35:37.400",0.7406,-0.64743,1.97129,-3.21079,2.61241,-7.96357,-1.26356,0.04516,0.00122,22.27326,-0.66902,-0.04647,2.69048,0.60689,0.01291,0.28124,-0.47314,0.04148,3.73628,860.26654
="2026/04/02 16:35:37.420",-1.10281,-0.2834,0.24389,1.47466,-0.12245,3.22149,-0.41544,0.20483,0.36315,22.98554,-1.52517,-0.58919,0.19648,1.86193,-0.43891,1.57373,0.16639,-0.05316,2.99606,862.0238
