time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:18:57.360",0.00101,0.00055,-0.0078,0.01662,-0.00769,0.00058,0.03306,0.00488,-0.00358,-0.0063,-0.00021,0.01203,0.00757,-0.00216,-0.01211,19.42992,861.9704,-0.0049,-0.00111,0.00173
="2026/04/02 17:18:57.380",-0.0004,-0.00026,-0.01048,0.00033,-0.00713,0.0353,-0.02053,0.00136,0.00368,-0.01067,-0.00109,-0.00132,0.00759,0.0019,0.01252,19.32984,861.94324,0.00527,0.00869,-0.01177
="2026/04/02 17:18:57.400",0.00283,-0.0011,-0.00029,0.00892,-0.00446,0.03063,-0.04713,-0.01419,-0.0012,-0.0234,0.00583,0.01155,-0.01287,-0.00827,-0.00812,19.29855,861.40234,0.00042,0.00196,-0.02225
="2026/04/02 17:18:57.420",0.01041,-0.0032,-0.00585,0.00574,-0.00298,0.03775,-0.02139,-0.01079,0.00081,-0.01401,-0.00268,-0.00349,-0.01251,-0.00018,-0.00748,18.97016,860.59058,0.00824,0.00848,-0.04147
="2026/04/02 17:18:57.440",0.00404,-0.0029,0.00203,-0.00254,-0.00147,0.0521,0.01913,0.00412,-0.01012,-0.00928,-0.00301,-0.01076,0.00743,0.00686,0.0052,18.42101,859.94647,0.00812,0.00042,-0.028
="2026/04/02 17:18:57.460",0.00879,0.00547,-0.01058,0.00131,0.00094,0.02185,-0.01037,0.00412,0.01072,0.01065,-0.00359,-0.02174,0.00259,0.00233,-0.00462,18.94187,859.94867,0.00445,-0.00138,-0.02963
="2026/04/02 17:18:57.480",0.00686,0.00425,-0.00535,-0.01315,-0.00255,0.03996,0.02685,-0.00283,-0.00832,0.01218,0.00498,-0.01745,-0.00758,-0.00427,0.0071,19.61055,860.45056,0.008,0.00323,-0.01314
="2026/04/02 17:18:57.500",-0.00088,-0.00356,0.00773,-0.01602,-0.00197,-0.01252,0.00529,-0.00648,-0.02437,0.01942,-0.00399,-0.01656,0.00597,0.00048,-0.0084,19.60393,860.32233,0.0099,0.00203,0.00804
="2026/04/02 17:18:57.520",0.00077,0.00302,0.00368,-0.02763,0.00524,0.0061,-0.03742,-0.0077,-0.01663,0.00939,0.00478,-0.02663,-0.00025,-0.00269,0.00363,19.88278,860.41174,0.0113,-0.0022,0.02043
="2026/04/02 17:18:57.540",-0.00399,-0.0103,0.00579,-0.01003,0.00817,-0.037,-0.04973,-0.0017,0.00153,0.02193,0.00602,-0.008,0.00095,-0.00491,0.00442,20.06209,860.4082,-0.00325,0.0004,0.01762
