time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:04:37.740",0.02699,-0.01671,0.13494,0.40039,-0.19503,0.32321,-0.06666,-0.00816,0.01663,20.32174,-0.10099,0.01471,-0.17663,0.31021,-0.00533,-0.05879,-0.03508,-0.02689,0.18103,862.00452
="2026/04/02 16:04:37.760",-0.16575,0.07274,0.14932,-0.19836,0.08382,-0.18098,0.02474,-0.00177,-0.01635,21.26795,0.13915,0.06337,0.14386,0.26982,-0.04201,-0.03736,-0.10573,-0.01648,0.09936,862.12476
="2026/04/02 16:04:37.780",-0.17167,0.07281,0.0123,0.15432,0.0632,0.4822,-0.11463,0.00322,-0.01044,22.06026,-0.00642,-0.10187,-0.16953,0.45125,-0.00871,-0.04864,-0.0152,0.01582,0.22297,862.57434
="2026/04/02 16:04:37.800",0.03174,0.02498,0.26423,0.56946,-0.25001,0.03539,0.02159,-0.01306,0.00206,22.30841,0.11994,0.06287,0.1307,0.24951,0.02511,-0.14454,-0.1172,0.06583,0.13755,863.62195
="2026/04/02 16:04:37.820",-0.341,-0.03546,-0.06958,0.02855,-0.0918,-0.11477,-0.12107,0.00917,0.0178,21.23137,0.2089,0.02797,0.05977,0.37497,-0.06585,0.11349,-0.13695,0.05743,0.2308,864.32196
="2026/04/02 16:04:37.840",0.02916,-0.00043,0.16653,0.74926,0.1828,0.25629,-0.10963,0.01067,0.03207,20.96267,-0.05245,-0.05662,-0.0139,0.2835,-0.00368,-0.10261,-0.06854,0.09039,0.20676,865.69287
="2026/04/02 16:04:37.860",-0.15531,0.00677,0.00457,-0.13529,0.14283,-0.14619,-0.09141,-0.02526,0.00513,20.33281,0.13622,0.00417,0.15709,0.13862,-0.07805,0.10059,-0.21172,0.11214,0.18184,865.2735
="2026/04/02 16:04:37.880",-0.33618,0.02055,0.22646,-0.0465,-0.10161,0.02403,-0.05235,-0.01414,0.00064,19.4816,-0.02815,0.07007,-0.37668,0.36798,-0.02323,0.01693,-0.02161,0.01775,0.12977,865.34766
="2026/04/02 16:04:37.900",0.11916,0.04009,0.12945,0.22464,0.07688,-0.14342,-0.05238,-0.00467,0.00365,18.86559,-0.02444,-0.04634,0.0245,0.08352,0.02138,-0.01225,-0.15863,0.04005,-0.01727,865.58099
="2026/04/02 16:04:37.920",-0.28097,0.01119,-0.11099,-0.35553,0.0035,-0.28481,-0.08743,0.01009,0.01131,17.39348,0.11431,0.15407,0.00325,0.13591,-0.03015,0.16723,-0.04048,-0.07223,0.22331,864.58032
="2026/04/02 16:04:37.940",-0.11551,0.0532,0.38359,0.58411,0.06524,0.55478,0.00489,-0.0199,0.02654,17.44285,-0.17873,-0.19842,-0.17446,0.19191,0.07757,-0.16091,-0.00293,0.07153,0.12105,863.81543
="2026/04/02 16:04:37.960",-0.00872,0.03337,-0.06899,-0.1381,-0.27626,-0.15971,-0.05591,-0.01314,-0.00785,17.8158,0.18382,0.12049,0.12954,-0.00112,-0.03293,0.07522,-0.12129,0.06851,0.15386,862.29907
="2026/04/02 16:04:37.980",-0.29442,0.03666,0.19001,-0.0284,0.08993,0.17948,-0.16027,-0.00346,-0.02412,18.01837,-0.03308,0.00939,-0.12071,0.33738,-0.01428,-0.0021,0.09557,0.04302,0.1828,861.04419
="2026/04/02 16:04:38.000",0.11063,-0.00251,0.19755,0.26252,0.18611,-0.05858,-0.05674,0.00277,-0.00861,18.23771,0.0206,-0.07827,0.04097,0.05114,0.02333,-0.10684,-0.0894,0.2627,0.1008,860.69727
="2026/04/02 16:04:38.020",-0.20873,0.05485,-0.19622,-0.52234,0.0399,0.09428,-0.01761,-0.01191,0.01299,18.56851,0.11161,0.04832,-0.06338,-0.03805,-0.08649,0.22262,-0.00458,0.08144,0.06192,860.05353
="2026/04/02 16:04:38.040",-0.1497,0.02628,0.54792,0.21504,-0.12646,0.05323,-0.05066,0.005,-0.00338,20.6439,-0.12296,-0.05957,-0.07964,-0.11222,-0.0066,-0.02423,-0.01502,0.02602,0.24547,861.09052
="2026/04/02 16:04:38.060",0.09679,0.04548,-0.18683,-0.27276,0.08822,-0.20464,0.06243,-0.02365,-0.00676,21.46143,0.16385,0.03641,0.02842,-0.16472,-0.01095,0.08688,-0.17396,0.19828,0.2269,862.25476
="2026/04/02 16:04:38.080",-0.15153,-0.04693,0.0264,-0.22091,0.01173,0.09779,-0.02129,-0.02151,0.0314,21.12202,-0.07203,-0.06288,-0.19253,-0.15777,0.02642,-0.05589,-0.00968,0.13355,-0.0369,863.88684
="2026/04/02 16:04:38.100",-0.05761,-0.06008,0.29486,0.1787,-0.043,-0.30915,-0.04309,0.02529,0.00616,21.18439,0.00634,0.06347,-0.06467,-0.36754,0.13266,-0.19316,-0.1939,-0.02298,-0.0761,864.66101
="2026/04/02 16:04:38.120",-0.13018,0.05924,-0.24274,-0.49111,0.12948,-0.18011,0.02132,-0.02249,0.01366,20.32906,0.05458,-0.0634,-0.00819,-0.18464,-0.02648,0.13034,-0.0839,-0.11929,0.31818,864.60004
="2026/04/02 16:04:38.140",-0.05469,0.22046,0.2961,0.22066,-0.05089,-0.21813,-0.08723,-0.00346,0.00564,20.3164,-0.1987,-0.02823,-0.16069,-0.2647,0.06104,-0.18142,-0.03256,0.0734,0.16064,866.24646
="2026/04/02 16:04:38.160",0.03973,0.0409,-0.20235,-0.20642,-0.00898,-0.37912,-0.01361,0.01215,-0.03187,19.76886,0.06013,0.03978,-0.0294,-0.36322,-0.04708,0.10183,-0.22333,0.07542,0.22648,866.9826
="2026/04/02 16:04:38.180",-0.13817,0.02385,0.08697,-0.13738,0.13031,-0.32747,0.05141,0.02124,0.01826,19.35242,-0.19676,-0.05201,-0.12565,-0.29792,0.00646,0.13316,0.10044,-0.12752,-0.21072,866.45959
="2026/04/02 16:04:38.200",0.21571,-0.09032,0.04996,0.19151,0.15982,-0.43672,0.08711,-0.0509,-0.00132,19.12449,-0.10618,0.03224,-0.04548,-0.52037,0.03432,-0.00617,-0.15387,-0.09988,0.11399,866.27179
="2026/04/02 16:04:38.220",-0.03203,0.02043,-0.31051,-0.39995,0.13247,-0.30341,-0.06943,-0.02894,-0.04048,17.94011,0.0296,-0.02543,-0.16099,-0.3833,-0.03598,0.13765,0.12202,0.09611,-0.14727,865.73627
="2026/04/02 16:04:38.240",0.17056,-0.10089,0.1837,0.20574,0.18623,-0.3876,-0.09443,0.00708,-0.01977,17.82311,-0.26463,0.0199,-0.00067,-0.47801,0.06901,-0.05294,-0.00344,0.01087,-0.05834,865.2309
="2026/04/02 16:04:38.260",0.13236,-0.10046,-0.24838,-0.2681,0.2022,-0.21891,0.05394,0.05016,0.00955,18.10605,0.04171,-0.00798,0.04362,-0.26096,0.07532,0.11216,0.02581,-0.10399,-0.1113,863.34283
="2026/04/02 16:04:38.280",0.0229,-0.0478,-0.14154,-0.08702,-0.01407,0.12231,0.05236,-0.00259,0.0006,18.3646,-0.13202,-0.05456,-0.22903,-0.41696,0.01193,0.00021,0.14813,-0.15015,-0.20954,862.65082
="2026/04/02 16:04:38.300",0.18348,0.02405,0.08717,-0.02688,0.13616,-0.50359,0.01559,0.04884,-0.00332,19.95444,-0.09427,0.02995,0.09781,-0.33388,0.0565,-0.05119,0.12114,-0.05609,-0.23526,862.79968
="2026/04/02 16:04:38.320",-0.00987,-0.00798,-0.38033,-0.45514,0.06299,-0.14502,-0.08841,0.02034,0.00783,20.71021,0.15391,-0.02951,-0.21665,-0.3617,-0.02885,0.16593,0.14103,-0.15386,-0.24879,862.43701
="2026/04/02 16:04:38.340",0.25396,-0.08387,0.02244,0.35315,0.03263,-0.15329,-0.0468,0.00221,0.06125,22.23184,-0.16835,0.02432,0.0128,-0.36158,0.03808,-0.0591,0.07103,-0.13224,-0.18116,863.70569
="2026/04/02 16:04:38.360",0.14492,-0.04753,-0.22895,-0.31935,0.14204,-0.49709,0.11582,0.01236,-0.01045,22.46773,0.18897,-0.01881,0.04474,-0.17567,0.03772,-0.0174,0.11165,-0.09552,-0.34975,864.31482
="2026/04/02 16:04:38.380",0.05494,-0.01669,-0.22075,0.04072,-0.06468,0.09069,0.07255,0.05758,0.02267,22.35576,-0.0211,-0.02222,-0.21721,-0.20239,0.01903,-0.01313,0.15639,-0.19225,-0.27172,864.72455
="2026/04/02 16:04:38.400",0.28388,-0.01294,0.03492,0.16217,0.11865,-0.68248,0.05169,0.01192,0.00734,22.69191,-0.02062,-0.01068,0.20071,-0.36626,0.07419,-0.01316,0.01151,-0.09572,-0.11765,866.07727
="2026/04/02 16:04:38.420",-0.05555,-0.06146,-0.29923,-0.31083,-0.00424,-0.2382,-0.05414,0.01099,-0.0216,21.66109,0.16606,0.0583,-0.00884,-0.14248,-0.02793,0.14059,0.10772,0.01954,-0.18223,867.11664
="2026/04/02 16:04:38.440",0.22735,-0.10424,-0.05626,0.47886,0.16631,-0.22945,0.04829,-0.01599,0.04599,21.28003,-0.19907,-0.05151,-0.12344,-0.16995,0.04875,-0.12439,0.06748,-0.01386,-0.11743,868.13275
="2026/04/02 16:04:38.460",0.07066,-0.10104,-0.13055,-0.3109,0.20316,-0.6192,0.08666,0.02702,0.05537,20.52918,0.09402,-0.02211,0.0485,-0.31104,-0.00151,0.17669,0.00892,-0.04504,-0.16656,867.93146
="2026/04/02 16:04:38.480",-0.00629,-0.01969,-0.13372,-0.0149,-0.00662,0.0656,0.01151,0.01426,0.01772,19.84311,-0.15327,-0.03608,-0.17345,-0.2143,0.03277,0.06701,0.15417,-0.0449,-0.16261,867.84668
="2026/04/02 16:04:38.500",0.37175,-0.02928,-0.10451,0.37084,0.07913,-0.44208,0.10593,0.05943,-0.00668,19.88539,0.09791,0.10168,0.0898,-0.2964,0.08402,-0.15835,-0.00385,0.04742,-0.16962,868.14227
="2026/04/02 16:04:38.520",-0.05719,-0.02898,-0.28417,-0.26521,0.14056,-0.05251,0.11401,-0.03553,-0.04599,19.16489,0.2002,0.00507,-0.0447,-0.22918,-0.03922,0.08765,0.10709,-0.04236,-0.10123,866.28296
="2026/04/02 16:04:38.540",0.12844,0.00219,0.07843,0.43454,0.11433,0.06793,0.11966,0.03958,0.00027,19.38031,-0.05889,0.03428,-0.07509,-0.0974,0.06028,-0.12547,0.09084,-0.00556,-0.21476,865.22089
="2026/04/02 16:04:38.560",0.22591,-0.0007,-0.30332,-0.38836,-0.05183,0.08886,0.11377,-0.0007,-0.0091,19.66356,0.25029,-0.09212,0.11716,-0.16907,-0.04569,-0.08126,0.01728,-0.12797,-0.17025,864.48108
="2026/04/02 16:04:38.580",-0.1539,0.02248,0.07913,-0.09341,-0.44696,0.28167,0.00579,0.03656,0.00813,19.65111,0.03785,0.09189,-0.05199,0.18018,-0.02798,-0.07371,0.18546,-0.13158,-0.21287,864.10828
