time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:52:13.760",-0.39598,-0.00168,0.18007,0.58503,0.01141,-0.59076,44.60208,879.68793,0.32509,0.0058,-0.05995,-0.0643,0.02316,-0.04475,-0.18491,0.01289,-0.054,0.00477,0.01182,0.01845
="2026/04/02 15:52:13.780",-0.52488,-0.01547,0.28069,0.62386,-0.00153,-0.70967,38.14583,889.08661,0.18531,0.02545,-0.05085,-0.0534,0.01579,-0.03559,-0.20466,0.0121,-0.04377,-0.00636,0.01003,0.01969
="2026/04/02 15:52:13.800",-0.56083,-0.02343,0.31369,0.51871,0.01892,-0.62242,28.79233,894.5434,-0.02552,0.01161,-0.06543,-0.03366,0.0097,-0.01527,-0.20579,0.0224,-0.07169,0.01116,0.00382,-0.00082
="2026/04/02 15:52:13.820",-0.49036,-0.02305,0.28946,0.37351,0.01152,-0.50041,17.99037,894.50171,-0.20511,0.00482,-0.04259,-0.00607,-0.00387,0.01519,-0.15633,0.01354,-0.03946,-0.00102,0.00542,-0.00405
="2026/04/02 15:52:13.840",-0.34493,-0.00827,0.22917,0.10788,0.008,-0.26447,7.30622,889.37115,-0.3339,-0.00379,-0.02724,0.01706,-0.00407,0.03002,-0.07588,0.00877,-0.00435,0.01492,0.00174,-0.00398
="2026/04/02 15:52:13.860",-0.14134,-0.00806,0.09654,-0.14076,0.00452,0.03148,0,879.59491,-0.38811,0.01031,0.01534,0.01815,-0.01673,0.01284,-0.00349,-0.00711,-0.01272,0.0134,0.01096,0.00245
="2026/04/02 15:52:13.880",0.08622,0.0071,-0.04406,-0.35099,-0.00295,0.31345,0,866.53424,-0.39371,-0.00787,0.01829,0.01994,-0.0106,0.04862,0.10091,-0.01774,0.0172,-0.00744,0.00107,0.00922
="2026/04/02 15:52:13.900",0.29311,0.00742,-0.15441,-0.51413,-0.01384,0.52923,0,852.79108,-0.32146,0.00513,0.05225,0.0139,0.0037,0.02515,0.16437,-0.01933,0.02788,0.00946,-0.00036,0.00151
="2026/04/02 15:52:13.920",0.45866,0.02509,-0.25098,-0.57823,-0.02797,0.62434,1.03469,842.29303,-0.18047,-0.00333,0.06165,0.0036,0.00305,0.0137,0.19583,-0.01651,0.05509,0.01732,0.00811,-0.00412
="2026/04/02 15:52:13.940",0.49261,0.00836,-0.29831,-0.51464,-0.01986,0.62786,9.52305,836.22943,0.00094,-0.00328,0.0476,-0.03892,0.01072,-0.00462,0.21074,-0.02273,0.0656,-0.01374,0.00122,0.01022
="2026/04/02 15:52:13.960",0.50275,0.05716,-0.30025,-0.38283,-0.02354,0.5484,19.6723,834.82086,0.17649,-0.0036,0.00059,-0.05489,0.01863,-0.03626,0.18985,-0.00907,0.04793,0.0166,0.00646,0.00229
="2026/04/02 15:52:13.980",0.41917,0.04654,-0.27803,-0.14493,-0.01927,0.28696,29.86963,838.41235,0.32448,-0.01248,0.00602,-0.06332,0.0264,-0.03073,0.11369,-0.00336,-0.00366,-0.01581,-0.00013,-0.00713
="2026/04/02 15:52:14.000",0.19277,0.00962,-0.12743,0.09441,-0.00321,0.03247,38.80426,846.50879,0.4301,-0.00174,-0.02992,-0.08007,0.03859,-0.07022,0.04026,-0.01148,0.00251,-0.01307,0.00163,0.00786
="2026/04/02 15:52:14.020",0.02491,0.00847,-0.03681,0.31326,-0.00466,-0.23474,45.36522,858.05133,0.44354,0.00025,-0.03746,-0.08658,0.02585,-0.07247,-0.09403,0.00667,-0.00436,-0.00762,0.01642,0.0196
="2026/04/02 15:52:14.040",-0.26193,-0.0443,0.07854,0.49852,0.00321,-0.47483,46.69701,871.02124,0.39447,-0.01267,-0.0714,-0.08585,0.02266,-0.058,-0.14455,0.00966,-0.12781,-0.00404,0.001,0.0001
="2026/04/02 15:52:14.060",-0.46438,0.02989,0.3493,0.59362,0.00898,-0.62692,43.23359,882.99066,0.26901,0.00333,-0.05805,-0.07704,0.0268,-0.03304,-0.23396,0.02637,-0.10241,-0.00726,-0.00042,0.00077
="2026/04/02 15:52:14.080",-0.49778,-0.03387,0.31784,0.59204,0.01927,-0.65328,35.76756,891.17053,0.1076,-0.0001,-0.04788,-0.04158,0.01143,-0.03015,-0.19722,0.01766,-0.04563,0.01569,0.00721,-0.01789
="2026/04/02 15:52:14.100",-0.54687,0.00741,0.30458,0.47173,0.01165,-0.60025,25.009,894.64679,-0.06634,0.00226,-0.04623,-0.02946,0.0089,-0.00424,-0.17705,0.01261,-0.07251,-0.01284,0.00643,0.00785
="2026/04/02 15:52:14.120",-0.43464,-0.01714,0.27635,0.28838,0.01509,-0.41236,14.25477,892.87598,-0.23226,0.00554,-0.01011,-0.00991,-0.0003,0.04108,-0.11897,-0.00665,-0.07351,-0.01528,0.00658,0.00598
="2026/04/02 15:52:14.140",-0.29236,-0.00638,0.17992,0.04066,0.01192,-0.14952,4.72811,885.96637,-0.34926,0.00508,0.00679,0.0053,-0.0047,0.04664,-0.07102,0.01048,-0.06222,0.00953,0.00399,0.003
="2026/04/02 15:52:14.160",-0.11817,0.01714,0.03261,-0.19538,0.00265,0.13074,0,875.26233,-0.40116,0.00736,0.02507,0.01443,-0.01169,0.02767,0.08479,0.00307,-0.01364,-0.00223,0.01303,0.01239
="2026/04/02 15:52:14.180",0.23089,0.00312,-0.05845,-0.38928,-0.00358,0.39878,0,862.29938,-0.38136,0.0041,0.01202,0.02728,-0.00404,0.04198,0.12745,-0.0132,0.07536,0.01278,0.01975,0.00821
="2026/04/02 15:52:14.200",0.50011,-0.02254,-0.15082,-0.51989,-0.0155,0.56356,0,849.93982,-0.275,-0.00597,0.04678,0.02221,0.00564,0.05286,0.14266,-0.0132,0.07501,-0.02984,0.00771,0.00211
="2026/04/02 15:52:14.220",0.39365,0.0127,-0.29034,-0.56329,-0.01879,0.64423,3.04804,840.46667,-0.11908,-0.00128,0.02507,-0.00573,-0.00164,0.03135,0.14905,-0.03298,0.07367,-0.03867,-0.00536,0.01363
="2026/04/02 15:52:14.240",0.43583,0.04595,-0.32236,-0.48136,-0.02132,0.60258,12.02824,835.36151,0.0486,0.0006,0.03537,-0.04222,-0.00447,-0.06348,0.17398,-0.03257,0.05451,-0.02116,0.0012,0.00945
="2026/04/02 15:52:14.260",0.39512,0.02478,-0.3217,-0.33457,-0.0211,0.44557,22.10212,835.0108,0.22447,-0.00848,-0.02119,-0.08036,0.0205,-0.03145,0.14441,-0.01876,0.00117,0.0289,0.01602,0.00685
="2026/04/02 15:52:14.280",0.30174,0.03161,-0.24307,-0.09429,-0.01012,0.22342,32.47558,840.21649,0.35883,-0.01053,-0.01059,-0.07958,0.03036,-0.05075,0.09264,0.00007,-0.04064,0.0325,0.0082,-0.0015
