time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:49:50.360",0.02379,0.00416,-0.06187,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.380",0.00649,0.00403,0.05683,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.400",-0.03754,-0.02524,0.16485,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.420",-0.05468,-0.01403,0.24392,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.440",-0.06016,-0.01972,0.27859,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.460",-0.06921,-0.02173,0.26756,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.480",-0.05705,-0.01181,0.21538,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.500",-0.02722,-0.01519,0.11779,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.520",0.04091,-2.22297,-2.31639,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.540",-0.19707,-0.00883,-3.66829,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.560",0.01282,-1.33383,-2.16378,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.580",0.3546,-0.11194,-1.72893,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.600",-0.66896,1.84453,-1.72199,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.620",-0.06642,-0.05119,0.96249,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.640",-0.26047,1.59991,0.46704,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.660",-0.53487,0.7509,1.70119,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.680",-0.09942,-0.05693,3.44614,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.700",-0.4964,1.29572,3.0247,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.720",-0.30741,-0.12416,4.06689,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.740",0.50015,0.067,2.96751,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.760",-0.50304,-0.05825,2.07066,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.780",0.41973,-0.97278,1.48134,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.800",0.09428,-0.27396,-1.1087,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.820",-0.16573,-0.70095,-2.17061,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.840",0.81077,-0.36269,-3.44379,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.860",-0.27874,-0.34835,-4.65531,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.880",0.36761,-0.89325,-4.07988,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.900",0.18309,0.20456,-4.35353,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.920",-0.27284,-0.38503,-3.10769,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.940",0.59143,0.01112,-2.49493,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.960",-0.64278,-0.32739,-0.65327,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:50.980",0.32056,-0.3059,0.49829,,,,,,,,,,,,,,,,,
="2026/04/02 15:49:51.000",0.21081,0.18304,1.67707,,,,24.01085,866.47986,,,,,,,,,,,,
="2026/04/02 15:49:51.020",-0.15939,-0.21259,3.4225,,,,23.71375,868.40747,,,,,,,,,,,,
="2026/04/02 15:49:51.040",0.53133,0.16927,3.03652,,,,22.94337,869.74066,,,,0.64894,0.06994,0.17949,-1.04977,-0.24443,1.71978,,,
="2026/04/02 15:49:51.060",-0.14292,0.26096,3.11938,,,,21.34726,870.28693,,,,-3.27419,-0.43071,1.77753,0.04099,-0.20583,1.15004,,,
="2026/04/02 15:49:51.080",0.23569,0.47821,2.58841,,,,19.41547,869.40802,,,,0.42478,0.0109,-0.15841,-2.54465,-0.21171,0.12444,,,
="2026/04/02 15:49:51.100",0.51696,0.76896,2.03565,,,,17.67909,867.64508,,,,-2.8388,0.03566,-0.02276,1.00929,-0.11485,1.39827,,,
="2026/04/02 15:49:51.120",-0.28773,0.70129,1.13551,,,,16.94346,865.82996,,,,-2.35474,0.03511,0.95666,-1.36792,-0.0547,-0.29181,,,
="2026/04/02 15:49:51.140",0.49569,0.87998,0.05247,,,,16.86998,863.94147,,,,-0.44367,0.66627,-1.2387,0.02224,0.15275,-0.1699,,,
="2026/04/02 15:49:51.160",-0.3548,0.63473,-1.0504,,,,17.37292,860.97418,,,,-3.34433,0.02396,0.51212,0.16164,0.32089,0.71514,,,
="2026/04/02 15:49:51.180",-0.38709,0.5084,-1.33044,,,,18.15015,858.65662,,,,0.00556,0.07925,-0.0741,-0.84195,0.22439,-1.48071,,,
="2026/04/02 15:49:51.200",-0.20185,0.40265,-1.08829,,,,19.56448,858.09454,,,,-1.26871,0.23803,-0.4432,0.8381,0.27099,0.84002,,,
="2026/04/02 15:49:51.220",-0.93922,0.62692,-1.01105,,,,21.18925,858.66364,,,,-1.34886,-0.22105,1.15844,-1.037,0.27359,-0.83517,,,
="2026/04/02 15:49:51.240",-0.128,0.08905,-0.3748,,,,22.40297,860.52606,,,,0.55484,0.29883,-0.20257,0.17727,0.17705,-0.32947,,,
="2026/04/02 15:49:51.260",-0.91193,-0.19919,0.7311,,,,23.26378,862.7204,,,,-1.06457,0.12194,0.47071,-0.14466,0.22492,1.15342,,,
="2026/04/02 15:49:51.280",-0.50861,-0.24371,1.12997,,,,23.38102,865.02612,,,,1.00687,-0.18801,0.69024,-1.30384,0.07763,-0.87654,,,
="2026/04/02 15:49:51.300",-0.0461,-0.91419,1.27746,,,,23.80772,867.58765,,,,1.0376,0.25228,-1.03851,0.8712,-0.1331,0.79113,,,
="2026/04/02 15:49:51.320",-0.4241,-0.57365,0.93953,,,,23.79273,869.85107,,,,1.18419,-0.38708,0.60575,-1.06032,-0.1002,0.04487,,,
="2026/04/02 15:49:51.340",0.68135,-0.43578,0.99185,,,,22.86561,871.11243,,,,2.24839,-0.03387,-0.54548,0.7883,-0.16424,-0.52072,,,
="2026/04/02 15:49:51.360",0.38768,-0.87176,0.47542,-0.02363,0.0065,-0.12949,21.52585,870.19623,-0.07688,-0.01826,0.08722,1.21277,0.00304,-0.21743,0.82886,-0.07731,0.76353,,,
="2026/04/02 15:49:51.380",0.79588,-0.62715,-0.45508,0.0382,0.00263,-0.00798,19.74947,868.42261,-0.13563,-0.01737,0.14691,2.39202,-0.3758,0.63065,-0.2955,0.03217,-0.49202,,,
="2026/04/02 15:49:51.400",1.14551,-0.51624,-1.14296,0.03429,-0.01411,0.15688,18.70056,866.35931,-0.10253,-0.01507,0.13465,1.62755,0.24571,-1.30207,2.55059,-0.02197,-0.86492,,,
="2026/04/02 15:49:51.420",0.72027,-0.35412,-2.12024,0.00902,-0.02661,0.32444,18.34779,863.61261,-0.11533,-0.0136,0.14031,2.00519,-0.25625,0.0771,-0.23368,-0.13527,-0.20128,,,
="2026/04/02 15:49:51.440",1.0921,0.32259,-3.52245,0.06183,-0.0291,0.34145,17.82493,861.24286,-0.0932,-0.0076,0.10409,2.3873,0.03873,-0.64108,1.95019,-0.3602,-1.30797,,,
="2026/04/02 15:49:51.460",0.47258,-0.31267,-3.06903,0.01431,-0.04339,0.43313,17.63691,859.38428,-0.47128,-0.1583,1.17315,0.61088,0.20308,-0.68237,1.38356,-0.18462,-0.76015,,,
="2026/04/02 15:49:51.480",0.3599,0.34134,-3.64076,0.03128,-0.01653,0.31081,17.89707,858.38757,-0.28573,-0.13914,-1.80817,1.39899,-0.0109,-0.13445,-0.52844,0.12486,-0.40683,,,
="2026/04/02 15:49:51.500",0.03718,0.26684,-2.61155,0.01953,-0.02402,0.19908,19.1272,858.43243,-1.18031,0.16428,1.59666,-0.19043,0.14265,-0.54419,2.11893,0.25637,-0.70216,,,
="2026/04/02 15:49:51.520",-0.4425,-0.02686,-0.79405,-0.32836,0.49287,-1.27499,21.08627,859.60046,1.81223,-0.43912,-2.94092,-0.41019,-0.13987,0.57881,-1.51976,0.16782,0.05906,,,
="2026/04/02 15:49:51.540",-0.40284,0.59991,-0.45299,1.30712,2.849,-3.60489,22.25718,861.52063,0.07093,1.2114,0.763,-0.42955,0.01031,-0.21265,-0.10946,-0.0525,0.44835,,,
="2026/04/02 15:49:51.560",-0.86813,0.01574,1.53585,-1.60256,2.9106,-6.48595,22.59867,863.74707,1.40792,-0.14016,-0.47045,-1.46,0.17888,-0.42393,-0.70728,-0.14313,0.38378,,,
="2026/04/02 15:49:51.580",-0.69152,0.53792,2.33485,2.15638,-1.4797,3.04261,22.85713,866.28931,1.21989,0.10218,-2.36541,-0.88468,-0.10214,0.78176,-2.56787,-0.12841,1.39333,,,
="2026/04/02 15:49:51.600",-0.65429,0.56606,3.88709,-2.87517,0.29593,-6.76384,22.89717,869.01886,-0.0421,0.35287,2.45481,-2.089,0.45277,-0.22492,0.00496,-0.17521,0.94757,,,
="2026/04/02 15:49:51.620",-0.52536,0.30754,4.72681,-1.31469,-1.34828,1.44727,22.34855,870.28644,1.20153,-0.35764,-0.0237,-1.62528,0.0669,0.59668,-2.78873,-0.18474,1.18705,,,
="2026/04/02 15:49:51.640",-0.00904,0.72884,4.21391,2.27319,-1.39338,2.02343,21.54912,869.98755,-1.46035,0.08914,1.13534,-1.47184,0.09968,0.17728,-0.52557,-0.0439,0.98477,,,
="2026/04/02 15:49:51.660",0.01938,0.12742,3.79038,-1.57728,-0.34569,-1.21912,20.29441,869.76642,-0.34505,-0.03802,2.73623,-1.63155,0.32822,-0.56103,-1.21688,-0.1377,1.03237,,,
="2026/04/02 15:49:51.680",0.50505,0.3064,2.44234,1.89417,-1.78062,6.83654,18.84767,868.68921,-0.68244,-0.58024,0.75278,-0.3608,-0.2216,0.74682,-0.96938,-0.1413,0.27445,,,
="2026/04/02 15:49:51.700",0.49609,0.24057,1.40212,2.38951,-0.85035,1.70092,18.3637,866.16425,-1.42075,-0.13257,2.85023,-0.46021,0.39969,-0.71521,0.59682,-0.0832,0.43686,,,
="2026/04/02 15:49:51.720",0.50023,0.38675,-0.1433,0.00248,-1.10846,5.06065,17.92435,862.79828,0.52928,-0.22012,0.61357,0.06142,0.12969,0.20627,-0.6797,0.04076,-0.40503,,,
="2026/04/02 15:49:51.740",0.80336,0.31595,-1.43182,4.50696,-0.83716,5.2632,17.90376,859.78375,-1.31298,-0.03957,0.07791,0.09711,0.04372,0.60739,1.25963,0.09716,-0.50823,,,
="2026/04/02 15:49:51.760",0.09778,0.00483,-1.80578,0.15762,0.47385,0.44959,18.48326,858.24048,0.79887,0.10113,0.66587,0.42366,0.35437,-0.49477,0.46107,0.24501,-0.60563,,,
="2026/04/02 15:49:51.780",0.03096,0.10015,-2.82034,1.05535,-0.25523,4.30477,19.81089,858.14722,0.4344,-0.1038,-2.2251,0.72985,-0.24174,0.6129,0.37726,0.23136,-1.42071,,,
="2026/04/02 15:49:51.800",-0.33377,-0.40019,-3.21967,2.34,1.00116,-1.38133,21.45248,858.92902,-0.38692,0.2478,-1.09649,0.84522,0.14827,-0.78204,1.57886,0.06815,-1.03398,,,
="2026/04/02 15:49:51.820",-0.68289,-0.36024,-3.03266,-3.29764,0.55253,-1.35227,22.88513,860.75525,1.54155,-0.01565,-2.04395,1.71112,-0.11943,-0.08023,-0.32426,0.08848,-0.98272,,,
="2026/04/02 15:49:51.840",-0.5215,-0.36299,-2.09774,0.90095,0.31921,-2.21902,23.76438,866.47748,-0.70803,0.12818,-2.8329,0.91047,-0.28475,0.57592,1.21222,-0.0219,-0.92168,,,
="2026/04/02 15:49:51.860",-0.88316,-0.81526,-1.03061,-2.50214,1.51256,-6.51912,23.73985,871.41101,1.03258,0.32216,-1.29185,1.43409,-0.00129,-0.17656,0.11433,-0.0316,-0.44178,,,
="2026/04/02 15:49:51.880",-0.53429,-0.64569,-0.24623,-3.43549,0.83738,-3.18302,23.61888,874.97009,0.16061,-0.16169,-1.89098,1.88598,-0.39086,0.70419,-0.34996,-0.09536,0.29437,,,
="2026/04/02 15:49:51.900",-0.28059,-0.59039,0.80534,-0.53353,0.8658,-6.33907,23.00501,879.87909,-1.28877,0.23771,-0.34012,0.90166,-0.00692,-0.11364,1.32154,-0.22406,-0.63466,,,
="2026/04/02 15:49:51.920",0.19359,-0.65848,1.183,-5.14786,-0.04652,-2.53253,21.52187,877.68549,0.6289,-0.22435,0.00207,2.59045,-0.13779,-0.26988,-1.23385,-0.35334,0.75774,,,
="2026/04/02 15:49:51.940",0.75238,0.05863,0.66159,-1.13442,-0.04568,-2.37667,21.56075,874.05103,-2.0302,-0.20282,0.72833,1.78819,-0.15476,-0.02214,1.0514,-0.42619,0.37526,,,
="2026/04/02 15:49:51.960",0.74482,-0.48194,1.03764,-2.22845,0.58394,-2.42599,20.91298,865.6311,-0.01121,-0.22689,1.8319,1.39757,0.05486,-0.54027,0.15529,-0.30877,0.00317,,,
="2026/04/02 15:49:51.980",1.50009,0.1592,0.01835,-2.29282,-0.54311,2.83751,21.5924,855.18036,-0.58948,-0.25999,1.63224,2.17771,-0.03989,-0.17749,-0.42698,0.03824,0.97505,,,
="2026/04/02 15:49:52.000",1.14407,0.26989,-0.24458,2.10838,-0.22126,0.43613,23.13454,848.23737,-1.30705,-0.08917,1.8134,0.0892,0.10329,-0.09073,1.84888,0.21132,-0.12,,,
="2026/04/02 15:49:52.020",1.27102,0.09718,-0.26903,-1.68776,-0.68351,4.92562,20.1455,837.38501,1.14666,-0.13898,1.68421,0.56754,0.08507,0.15673,-0.77301,0.1543,0.00144,,,
="2026/04/02 15:49:52.040",0.87777,0.6562,-1.61458,2.36183,-0.80018,3.90569,20.9555,834.79486,-1.05864,-0.01426,1.02707,-0.47589,0.0971,-0.41278,0.90479,0.01009,0.40922,-0.23849,-0.0282,0.00912
="2026/04/02 15:49:52.060",0.2545,0.2832,-1.40331,1.68319,-0.72263,3.16477,20.71068,835.97601,1.2479,0.02202,0.67281,-1.01017,0.11513,-0.31422,-0.1343,-0.00264,-0.62822,0.02756,-0.05479,-0.09971
="2026/04/02 15:49:52.080",0.00734,0.8005,-1.46901,0.25354,-1.19242,4.92583,17.17167,841.02496,0.94607,0.1767,-0.15276,-0.68455,0.13636,-0.04833,-0.88609,0.07599,0.6069,-0.43145,-0.04897,-0.05222
="2026/04/02 15:49:52.100",-0.75783,0.87139,-0.32139,4.16572,-0.57962,0.89212,17.34419,855.26434,0.31288,-0.10487,-0.75213,-2.65732,0.3016,0.15735,0.37756,0.27912,0.02959,-0.29832,-0.02459,-0.02393
="2026/04/02 15:49:52.120",-1.00798,0.55391,0.69604,-0.3894,-1.00145,2.28302,13.26957,865.46252,1.85258,0.24975,-0.03063,-1.62718,0.0667,0.51258,-1.88783,0.29999,0.23634,-1.03294,0.06897,-0.07902
="2026/04/02 15:49:52.140",-1.23343,0.70079,1.323,2.03397,-0.37005,-0.6913,13.1246,880.88391,-0.1338,0.30924,-1.61614,-2.0172,0.14389,0.09288,-0.31319,0.39465,0.8521,-0.16021,-0.03281,0.04871
="2026/04/02 15:49:52.160",-1.388,0.16653,2.15571,1.53289,-0.41351,-0.99288,13.32129,892.4906,0.86801,0.01844,-0.878,-2.18927,0.08181,0.44629,-2.0369,0.22484,0.64602,-0.12555,-0.0442,-0.14194
="2026/04/02 15:49:52.180",-1.00588,0.19102,2.76395,-2.52414,0.08925,-1.52972,9.16174,896.43091,0.00029,0.14171,-0.14016,-0.85346,-0.13581,0.60392,-1.14662,0.19251,0.65447,-0.26615,-0.09165,-0.12371
="2026/04/02 15:49:52.200",-0.96633,0.0492,3.37099,2.0109,-0.12301,-2.30868,13.88555,901.82898,-0.82609,-0.18454,-0.76446,-1.01956,0.10854,-0.06096,-0.96332,0.04661,1.19187,0.14583,-0.06462,-0.03391
="2026/04/02 15:49:52.220",-0.30198,0.23288,3.0928,-1.9582,-0.23059,-0.63688,15.36222,894.75763,0.1432,0.07117,0.49004,0.1453,-0.03408,0.5819,-1.60819,-0.00722,0.29979,-0.12848,0.0384,-0.06092
="2026/04/02 15:49:52.240",0.41397,-0.07033,2.67558,0.07869,0.21365,-1.35287,18.79699,886.93793,-1.76235,-0.01758,0.66404,0.0585,0.04575,0.55085,0.44619,-0.08855,0.75959,-0.05966,0.01349,0.1546
="2026/04/02 15:49:52.260",0.43845,-0.2792,2.18633,0.9939,0.00833,0.5419,26.08324,875.03729,-0.4291,-0.24869,0.84542,0.65097,0.17299,0.20007,-0.4338,-0.10272,0.51662,0.27071,0.01206,0.00268
="2026/04/02 15:49:52.280",1.14684,-0.16238,0.58537,-1.89651,0.251,1.25584,27.95816,858.70917,-1.05663,-0.12624,1.33908,1.18339,-0.03611,0.10535,0.69974,-0.08465,-0.33761,0.15059,0.15013,0.04961
="2026/04/02 15:49:52.300",1.01719,-0.59537,-1.12694,2.17446,0.44451,1.21886,36.47181,850.18365,-1.266,-0.36906,0.51274,1.155,0.19425,-0.8677,1.30746,-0.06143,-0.41137,0.11584,0.04168,0.05918
="2026/04/02 15:49:52.320",1.07838,-0.28227,-2.8285,-0.97751,0.01083,3.37972,39.39461,837.09363,0.12316,-0.21438,0.70097,2.01446,0.0074,-0.09688,0.53578,0.13753,-0.92864,0.3349,0.05264,0.09194
="2026/04/02 15:49:52.340",1.07416,-0.37272,-3.46846,0.37274,0.27577,0.90582,40.54685,833.96753,-1.08063,0.00047,-0.08478,1.09363,-0.05277,0.00637,2.10714,0.11175,-1.00861,0.08541,0.12697,0.17611
="2026/04/02 15:49:52.360",0.45048,-0.63418,-3.78945,1.33458,0.0866,1.67709,42.48793,836.49414,0.75054,0.02081,-1.2477,1.39263,-0.04404,0.02655,0.92707,0.10114,-0.9293,0.1941,0.09339,0.11737
="2026/04/02 15:49:52.380",0.26436,-0.32954,-3.7802,-1.39887,0.65067,0.4945,35.8447,839.58173,0.29819,0.17817,-0.80082,1.53778,-0.18067,0.24224,1.08467,0.1171,-0.63684,0.80183,0.1515,0.20415
="2026/04/02 15:49:52.400",-0.39991,-0.2108,-3.23864,0.71197,0.61214,-2.02014,33.05444,852.91583,-0.0276,0.2628,-1.62157,0.62282,0.07242,-0.48359,1.51924,0.00076,-1.59689,-0.00685,0.08535,0.1051
="2026/04/02 15:49:52.420",-0.62652,-0.30427,-2.52321,-1.5884,-0.49047,0.68905,24.95021,862.27136,1.19607,-0.10123,-2.14341,1.97209,-0.22696,-0.29399,-0.46367,-0.06164,-0.47761,0.13215,-0.00597,0.00017
="2026/04/02 15:49:52.440",-0.78902,0.02401,-1.91683,-2.17441,0.26052,-4.84499,15.32772,875.26862,-0.52389,0.37365,-0.88103,1.25656,-0.08243,-0.25478,0.98129,-0.27535,-0.45113,0.61043,0.0759,0.15814
="2026/04/02 15:49:52.460",-1.04452,-0.46462,-0.02808,-1.71349,0.37657,-3.62333,10.00012,885.35419,0.74046,-0.03445,-1.87233,1.00845,-0.14511,-0.11799,-0.6096,-0.1701,-0.46509,0.17171,-0.05337,0.01598
="2026/04/02 15:49:52.480",-0.5134,-0.01314,0.61836,-2.59396,0.0428,-2.8955,0,885.87396,-0.44048,0.13171,-0.49729,1.56268,-0.04557,0.10131,-0.66493,-0.03928,0.84349,-0.40533,-0.01545,0.06109
="2026/04/02 15:49:52.500",-0.54749,-0.12184,1.89037,-1.52362,0.76712,-5.55991,0,886.52643,-0.54241,0.19702,0.19097,0.06977,0.04523,0.16045,0.44558,-0.05355,0.47447,-0.36483,0.13774,0.09189
="2026/04/02 15:49:52.520",0.21231,-0.16497,2.93144,-1.96077,-0.21213,0.22545,0,876.79633,0.32034,-0.16897,0.39905,0.60151,0.04096,0.4708,-1.47059,-0.15666,0.80841,0.03437,-0.05965,-0.05795
="2026/04/02 15:49:52.540",0.4402,0.32444,2.26746,-0.98505,0.11922,-1.83614,0,867.05652,-1.40467,0.01419,2.0349,-0.32113,0.10393,-0.54117,0.04318,-0.19848,1.40247,-0.30646,-0.07857,-0.09044
="2026/04/02 15:49:52.560",0.64309,0.14071,2.27024,-0.9224,-0.47155,1.23803,5.26207,856.01886,0.27088,-0.20683,1.53594,-0.49185,-0.02977,0.06741,-0.90338,-0.18164,0.56508,0.06693,-0.01527,-0.04739
="2026/04/02 15:49:52.580",1.09204,0.5773,1.66472,0.08677,-0.92006,4.0882,10.13772,841.64575,-0.70995,-0.13533,2.03469,-0.44285,0.17823,-0.24883,-0.68759,-0.15134,1.32356,-0.51973,-0.06201,-0.04492
="2026/04/02 15:49:52.600",0.94243,0.65445,1.53116,1.63903,-0.51578,2.4987,21.63139,835.80902,-0.28862,-0.17744,1.9935,-1.85677,0.32743,0.00823,0.23616,-0.13419,0.56449,-0.38684,-0.08817,-0.09688
="2026/04/02 15:49:52.620",0.99307,0.7062,0.83792,1.28162,-1.54306,6.99,30.64397,831.02374,0.39308,-0.09498,1.79641,-1.29424,0.12334,0.31343,-0.96504,-0.17453,0.26925,-1.01729,0.06161,-0.00855
="2026/04/02 15:49:52.640",0.62198,0.95804,0.17558,3.10969,-0.82174,3.96376,36.96495,835.76813,-0.36122,0.0493,0.91045,-1.72533,0.35418,-0.60895,0.59441,0.09663,0.32781,-0.12577,-0.02264,0.01029
="2026/04/02 15:49:52.660",-0.08581,0.68896,-0.61802,2.6622,-1.02697,5.25561,44.80256,846.2027,1.06808,-0.0297,0.24991,-1.77641,0.1623,-0.05624,-1.09736,0.21704,0.02233,-0.17539,-0.04103,-0.11423
="2026/04/02 15:49:52.680",-0.30501,0.48305,-0.74273,1.87668,-0.62962,3.10615,42.69482,858.35651,0.2526,-0.03049,-0.04715,-0.94647,0.10908,-0.09456,0.17109,0.23501,-0.54466,-0.10994,-0.02826,-0.06143
="2026/04/02 15:49:52.700",-1.02048,0.28817,-0.19669,3.22432,-0.46491,1.06208,40.72297,877.89984,0.62795,0.04628,-1.35294,-0.90073,0.20866,-0.33856,-0.58125,0.3342,0.29692,0.0747,-0.01067,0.00093
="2026/04/02 15:49:52.720",-1.27939,0.59458,-0.34937,0.89973,-0.56335,0.90256,34.33841,892.45349,0.88403,0.20118,-1.6939,-0.47947,-0.03429,0.5077,-1.08387,0.29828,-0.71166,-0.0607,0.06045,0.0301
="2026/04/02 15:49:52.740",-1.2192,-0.02498,0.39167,1.42548,0.2954,-2.69374,23.98943,904.91693,-0.34748,0.37739,-1.5008,-0.79684,-0.03632,0.45962,0.19307,0.12152,-0.05842,-0.07018,0.02631,0.17758
="2026/04/02 15:49:52.760",-1.5903,-0.09903,1.15117,0.10225,0.22547,-2.25557,16.50364,911.51514,0.46051,0.03558,-1.87681,0.0415,-0.07279,0.38605,-1.26773,0.09669,0.18493,0.26018,0.02798,0.01552
="2026/04/02 15:49:52.780",-0.9138,-0.20216,1.21753,-1.20128,0.55199,-3.64051,6.01181,909.37854,-0.83663,0.11828,-1.17189,0.34967,-0.13436,0.35108,0.06587,0.04176,-0.41514,0.25293,0.12387,0.0762
="2026/04/02 15:49:52.800",-0.66194,-0.86715,0.91683,-0.86531,0.9807,-4.35443,1.835,902.25397,-0.79842,-0.10722,-0.88698,1.06107,0.0131,-0.39893,-0.19166,-0.08399,0.19724,0.11214,0.04694,0.01637
="2026/04/02 15:49:52.820",-0.07367,-0.49028,0.26951,-2.60878,0.59159,-2.31061,0.55356,884.84058,-0.80942,-0.1416,-0.39415,1.8817,-0.093,0.22659,-0.20498,-0.04264,-0.23973,0.36035,0.04827,0.0294
="2026/04/02 15:49:52.840",0.73234,-0.67604,0.14817,-1.78717,1.05784,-3.46063,2.17605,867.1535,-1.62897,-0.01357,0.33956,1.19055,-0.06827,0.0717,1.26556,-0.06439,-0.10782,0.18124,0.09809,0.06649
="2026/04/02 15:49:52.860",1.17675,-0.80799,-0.35448,-2.30553,0.57584,-0.65886,9.8882,847.37299,-0.26116,-0.22299,0.24564,1.99463,-0.14731,0.2444,0.31785,-0.08926,0.08364,0.1526,0.08937,0.16256
="2026/04/02 15:49:52.880",1.66568,-0.56329,-1.12657,-2.19627,0.64949,0.28084,17.96554,828.40369,-1.07055,-0.13503,1.03348,1.90876,-0.15042,0.03884,1.34126,-0.02548,0.07093,0.79768,0.20539,0.27771
="2026/04/02 15:49:52.900",1.66262,-0.4121,-1.60407,-1.36797,0.39014,0.37638,30.09437,817.25171,-0.56021,-0.0818,1.1528,1.41547,-0.00886,-0.40211,1.73215,-0.13057,-0.97491,0.0634,0.03487,0.08602
="2026/04/02 15:49:52.920",1.61646,-0.16854,-2.46566,-1.35832,-0.80999,4.4517,39.6855,810.58551,0.10878,-0.47427,0.23244,2.39969,-0.10464,-0.61203,0.57499,-0.20916,-0.21944,0.16388,0.00017,-0.07654
="2026/04/02 15:49:52.940",1.34704,0.094,-3.16989,-0.68089,-0.33094,0.4988,46.7417,816.43713,-0.49719,-0.00969,1.05231,1.38115,0.09261,-0.65114,2.03273,-0.37357,-0.81567,0.65121,0.04413,0.1438
="2026/04/02 15:49:52.960",0.62626,-0.12145,-2.71507,-0.48915,-0.34759,1.86842,50.44871,827.8028,1.20499,-0.06091,-0.46979,0.97746,0.04055,-0.24328,0.36422,-0.26291,-1.04283,0.17115,0.00305,0.07857
="2026/04/02 15:49:52.980",0.12244,0.34867,-2.7983,0.91716,-0.60151,1.72337,46.16152,843.92426,0.25599,0.06372,-0.42194,0.89457,0.19633,-0.51081,0.32721,0.11905,-0.13189,-0.23451,0.0826,0.01062
="2026/04/02 15:49:53.000",-0.67968,0.10924,-1.72612,0.51788,0.02815,-1.70128,39.13082,866.03107,0.99524,0.32537,-0.59667,-0.40438,0.03285,-0.16232,0.72347,0.16968,-0.70585,-0.33771,0.13138,0.0686
="2026/04/02 15:49:53.020",-0.91451,-0.0236,-0.15936,0.36958,-0.47705,0.89377,26.90191,884.00977,1.22378,0.07176,-1.19838,-0.14559,-0.09249,0.3214,-1.20141,0.17531,-0.0546,-0.0889,-0.05959,-0.05534
="2026/04/02 15:49:53.040",-1.32339,0.29972,0.33598,1.05464,0.09115,-3.11473,13.66153,900.01044,-0.00176,0.27057,-0.31823,-0.91489,0.06916,-0.49465,-0.34113,0.07898,0.48587,-0.20013,-0.05224,-0.12399
="2026/04/02 15:49:53.060",-1.51906,0.10276,1.63723,-0.73179,-0.1017,-1.89799,0.84241,907.63245,1.08181,0.15305,-0.7662,-0.94712,-0.07187,0.16781,-1.50636,0.01127,0.24101,-0.03829,-0.09168,-0.1
="2026/04/02 15:49:53.080",-1.11073,0.46314,2.36332,0.43562,-0.30867,-1.31969,0,907.18866,-0.35777,0.08926,-0.18104,-1.02672,0.14835,0.06886,-1.37354,-0.09273,1.28944,-0.48622,-0.05808,-0.0504
="2026/04/02 15:49:53.100",-0.99948,0.54375,3.64503,-0.08826,-0.01023,-2.43297,0,899.99335,-0.02735,-0.13908,0.67847,-2.04912,0.22056,0.3566,-1.04828,-0.10753,0.92334,-0.2611,-0.07267,-0.1194
="2026/04/02 15:49:53.120",-0.28455,0.62628,3.94817,-0.5476,-0.68621,1.36804,0,883.24084,-0.5476,-0.0683,1.36467,-1.51153,0.03045,0.54571,-1.71413,-0.16586,1.00564,-0.92482,0.04257,-0.01918
