time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:45:30.600",0.10528,-0.07124,0.12559,-0.50098,-0.0554,0.20847,-0.25205,0.03838,0.03441,21.13492,864.61713,0.03896,0.04298,-0.18712,-0.16086,0.01871,0.4433,-0.15371,-0.09371,0.14932
="2026/04/02 15:45:30.620",0.17095,0.00272,0.2154,-0.19699,-0.06024,0.27427,-0.09971,0.01453,-0.00132,21.01179,864.38312,-0.10296,0.0282,-0.09952,-0.07545,-0.05493,0.08261,-0.08119,-0.03591,0.19936
="2026/04/02 15:45:30.640",0.05106,0.08872,0.10352,-0.29191,-0.19078,0.30569,-0.05222,0.00967,-0.01138,21.08394,864.12445,0.0195,0.00204,-0.13774,-0.00915,-0.04204,0.1554,-0.30885,0.0092,0.36189
="2026/04/02 15:45:30.660",0.12279,0.09521,0.12439,-0.32626,0.02595,-0.2933,-0.16043,0.01217,-0.00938,21.91571,863.37,0.23632,0.0809,-0.24176,-0.12148,0.04451,0.30145,0.17278,0.00434,-0.2102
="2026/04/02 15:45:30.680",0.07028,-0.12472,0.21045,0.18574,-0.01705,0.54768,-0.14659,-0.02096,0.01318,21.40774,863.28864,-0.15972,0.00506,-0.00908,0.03002,-0.12558,-0.11711,-0.26594,0.00821,0.30818
="2026/04/02 15:45:30.700",-0.02741,0.08854,0.02808,-0.20347,0.16507,-0.12757,-0.29238,-0.00692,0.00843,20.6606,863.98138,-0.09604,0.0426,-0.22532,-0.14898,0.07608,0.45182,-0.03956,0.04095,-0.00455
="2026/04/02 15:45:30.720",0.01854,-0.09088,0.12748,0.01281,0.07703,-0.22777,-0.14427,0.00323,0.01487,20.74936,864.26434,0.10551,0.04216,-0.14918,0.00832,-0.04181,0.09526,-0.00703,0.10818,0.04177
="2026/04/02 15:45:30.740",0.07759,-0.20421,0.06125,0.35961,0.10175,0.70664,-0.19212,0.03055,0.03968,20.34083,863.69684,-0.25397,0.01863,-0.14716,0.00651,0.11254,0.01525,-0.42959,0.02937,0.36682
="2026/04/02 15:45:30.760",-0.02198,-0.26068,-0.06524,-0.51184,0.21488,0.04813,-0.24503,0.04546,0.02168,20.34986,863.42029,0.33184,0.03713,-0.30607,-0.15693,-0.01367,0.13001,0.18822,0.01069,-0.14557
="2026/04/02 15:45:30.780",0.14341,-0.27423,0.19601,-0.30793,-0.35477,0.74977,-0.2295,0.03903,0.02104,20.90593,863.92712,-0.05071,0.04682,-0.07261,-0.07872,-0.04869,-0.17664,-0.17647,-0.15857,0.27484
="2026/04/02 15:45:30.800",0.1124,0.08956,0.01344,-0.58733,-0.27974,0.16508,-0.22763,-0.00089,0.01321,20.88012,863.88324,0.04283,0.04811,-0.09493,-0.26976,-0.0422,0.23823,0.01622,-0.2397,-0.06736
="2026/04/02 15:45:30.820",0.07388,0.14043,0.19387,-0.40999,-0.3257,-0.00246,-0.19476,0.05332,0.02203,20.57064,863.56549,0.15187,0.00955,-0.10761,-0.07678,-0.11341,-0.07087,0.06019,-0.13748,-0.12321
="2026/04/02 15:45:30.840",0.11521,0.1987,-0.16004,0.23442,-0.22953,0.39341,-0.00443,0.01745,0.03578,20.00841,862.73322,0.02746,-0.03291,0.01293,0.02063,0.11409,-0.14671,-0.29943,0.04486,0.26851
="2026/04/02 15:45:30.860",0.05886,0.07959,-0.46649,-0.13687,0.20272,-0.2889,-0.49939,0.01638,0.03413,19.57728,862.54083,0.28813,-0.0165,-0.24543,0.12508,0.03774,0.08469,0.2112,0.20721,-0.12785
="2026/04/02 15:45:30.880",0.08961,-0.15345,0.11515,-0.06719,-0.07617,0.59049,-0.19235,0.01739,0.0412,19.40401,862.45306,0.0769,-0.04672,0.19365,0.14585,-0.06931,-0.2606,-0.20182,0.20341,0.29264
="2026/04/02 15:45:30.900",0.14292,0.14707,0.03245,-0.07868,-0.32704,0.02286,-0.17431,0.00509,-0.00784,19.90028,862.01251,-0.08294,-0.03027,0.13234,-0.05695,-0.04906,-0.05136,0.07394,-0.03519,0.18219
="2026/04/02 15:45:30.920",0.0027,0.20334,0.04006,-0.11634,-0.31732,-0.12089,-0.16535,0.00523,0.01714,20.7525,861.57953,0.18009,-0.01578,0.07602,0.13663,0.03668,-0.35813,0.13789,-0.09793,-0.17764
="2026/04/02 15:45:30.940",0.12703,0.17706,-0.07089,0.27329,-0.05339,0.16281,-0.24856,-0.01629,0.02725,20.72067,861.59027,-0.21796,-0.05962,0.29303,0.05416,-0.00863,-0.36184,-0.08244,-0.02548,0.17345
="2026/04/02 15:45:30.960",-0.05945,0.14598,0.07636,0.09514,0.31135,-0.53012,-0.13141,0.04637,0.01893,20.51035,861.9422,-0.01719,-0.00436,0.14279,0.15588,0.05301,-0.00223,0.31452,0.1465,-0.14192
="2026/04/02 15:45:30.980",-0.02027,0.08059,0.08876,0.25952,-0.01292,-0.04643,-0.10587,0.02004,0.04054,20.26089,862.7547,-0.16458,-0.01975,0.19812,0.25717,-0.05253,-0.35263,-0.06478,0.27849,-0.15726
="2026/04/02 15:45:31.000",-0.04508,0.08052,-0.11352,0.54857,0.03679,-0.16316,-0.10809,0.03452,-0.0106,19.57354,863.68823,0.03466,-0.0642,0.08226,0.12781,0.04249,-0.14403,0.08872,0.14837,-0.00305
="2026/04/02 15:45:31.020",-0.1269,0.04921,-0.18927,0.10803,0.06001,-0.38906,-0.14389,0.00228,-0.0011,19.74052,864.05145,0.07348,-0.07151,-0.01424,0.32615,0.001,-0.27472,0.22311,0.0204,-0.18035
="2026/04/02 15:45:31.040",-0.01719,-0.0122,-0.03336,0.52959,0.05184,0.10841,-0.07244,0.03248,0.07188,20.14597,863.21094,-0.24844,-0.10434,0.35254,0.18634,0.04491,-0.35088,-0.02446,-0.0424,0.0941
="2026/04/02 15:45:31.060",-0.0988,0.13186,-0.10408,0.15565,0.04612,-0.36518,0.22363,-0.0311,-0.00845,20.02104,862.79279,-0.07263,-0.04095,0.27225,0.25327,-0.01967,-0.23076,0.25581,0.02034,-0.14844
="2026/04/02 15:45:31.080",-0.11205,0.10045,0.01344,0.20695,-0.18673,0.12833,0.01562,-0.00731,-0.01864,20.15452,863.10699,-0.13773,-0.02245,0.17061,0.16655,0.00029,-0.08901,0.02142,0.02822,-0.09343
="2026/04/02 15:45:31.100",-0.04085,0.17006,-0.13831,0.37957,-0.10912,-0.18181,0.15716,-0.04461,-0.04586,20.1095,863.35858,-0.19007,-0.04916,0.17351,0.23471,-0.02932,-0.41009,0.19276,0.04513,-0.00847
