time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 17:27:59.360",0.01876,-0.00037,-0.00183,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.380",0.00775,-0.00525,-0.00599,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.400",0.02121,-0.0013,-0.00131,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.420",0.00927,0.00916,0.00357,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.440",0.001,0.00086,0.00869,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.460",-0.00284,0.00435,0.02136,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.480",-0.00439,0.00664,0.01738,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.500",-0.00098,-0.00286,0.01496,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.520",-0.00309,0.00161,0.00179,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.540",-0.00841,0.00698,0.00776,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.560",-0.00924,0.00142,0.00147,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.580",0.00074,0.00321,-0.0093,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.600",0.00503,-0.00101,-0.01288,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.620",0.00835,0.00649,-0.01885,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.640",0.01672,0.00967,-0.00501,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.660",0.02264,-0.00103,-0.00767,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.680",0.01169,0.00832,-0.00185,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.700",0.00893,-0.00084,-0.00084,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.720",0.00294,0.00601,0.01378,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.740",0.00413,-0.00014,0.0104,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.760",-0.00503,0.00279,0.02988,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.780",-0.00824,0.00158,0.00982,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.800",0.00285,0.00604,0.01788,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.820",-0.00856,-0.00093,0.00758,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.840",0.00608,0.00052,-0.0032,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.860",0.00197,0.00098,-0.00086,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.880",0.00041,0.00694,-0.01241,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.900",0.0109,0.00311,-0.02002,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.920",-0.00033,0.00317,-0.0075,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.940",0.02047,0.00324,-0.02392,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.960",0.02043,0.00395,-0.00658,,,,,,,,,,,,,,,,,
="2026/04/02 17:27:59.980",0.01583,0.00082,-0.00247,,,,,,,,,,,,,,,,,
="2026/04/02 17:28:00.000",0.01294,0.00551,0.01406,,,,,,,19.65249,,,,,,,860.26337,,,
="2026/04/02 17:28:00.020",0.01113,-0.00232,0.00895,,,,,,,19.59733,,,,,,,860.21985,,,
="2026/04/02 17:28:00.040",0.00895,-0.00525,0.01728,,,,-0.01594,-0.00989,0.00119,19.39366,,,,-0.00653,-0.00476,-0.00138,860.53949,-0.0032,-0.00694,0.00229
="2026/04/02 17:28:00.060",0.00361,0.00007,0.02838,,,,-0.03185,-0.00394,0.01782,19.13633,,,,-0.00384,0.00894,0.00731,861.03729,-0.01099,-0.00546,0.00531
="2026/04/02 17:28:00.080",-0.01055,0.00603,0.01458,,,,-0.02227,-0.00641,-0.00626,19.31921,,,,-0.01193,0.00042,-0.0011,860.60541,-0.00384,-0.00007,0.01088
="2026/04/02 17:28:00.100",0.00145,-0.00444,0.0151,,,,0.03206,0.00799,0.00885,19.71398,,,,-0.00573,-0.0045,0.00498,860.35345,-0.01378,0.00215,-0.00473
="2026/04/02 17:28:00.120",-0.00243,0.00112,0.0125,,,,-0.0101,0.0052,0.01457,19.79365,,,,-0.01069,-0.00034,-0.00116,860.86578,0.00916,-0.00326,0.00274
="2026/04/02 17:28:00.140",-0.00406,0.00542,-0.00505,,,,-0.01053,0.0122,0.00186,19.12871,,,,-0.00304,-0.01011,0.01697,861.46881,-0.01063,-0.00948,-0.00315
="2026/04/02 17:28:00.160",0.00003,0.00339,-0.0058,,,,-0.01501,0.00284,0.0121,18.86755,,,,-0.00816,-0.00821,-0.00312,861.83911,-0.00987,-0.00027,-0.00926
="2026/04/02 17:28:00.180",0.00282,0.00924,-0.01244,,,,0.01272,0.00259,0.00888,18.8928,,,,0.00595,0.00814,0.00444,861.67999,0.0048,-0.00056,0.00509
="2026/04/02 17:28:00.200",0.00453,0.00799,-0.00039,,,,-0.02828,0.00114,-0.0011,19.21183,,,,-0.00333,-0.01275,0.0143,860.92816,-0.00248,0.00474,-0.00853
="2026/04/02 17:28:00.220",0.00743,-0.00452,-0.02142,,,,-0.00778,0.00598,0.0286,19.50785,,,,-0.0099,-0.0033,-0.00304,860.67957,0.02313,0.00719,0.00825
="2026/04/02 17:28:00.240",0.01724,0.0073,-0.01141,,,,-0.0016,-0.00535,-0.00109,19.07479,,,,-0.00456,0.00572,0.00916,860.45441,-0.00729,-0.00054,-0.00125
="2026/04/02 17:28:00.260",0.01178,0.00282,0.00196,,,,0.00876,0.01751,0.00815,18.5123,,,,-0.00449,0.00384,0.00122,859.729,0.00939,-0.00018,0.00443
="2026/04/02 17:28:00.280",0.00131,0.00963,-0.00405,,,,0.02471,0.00365,0.00215,18.89403,,,,-0.01424,-0.00702,-0.00294,859.28546,0.00579,0.00024,0.00209
="2026/04/02 17:28:00.300",0.00919,0.00141,0.00898,,,,-0.00951,-0.00491,-0.00603,19.77264,,,,-0.00978,0.00236,-0.00102,859.50037,-0.01062,-0.00459,-0.00746
="2026/04/02 17:28:00.320",0.00276,-0.00491,0.00961,,,,-0.0365,-0.00511,-0.00149,20.22859,,,,-0.00954,0.00895,-0.00566,860.99353,0.00857,0.00771,0.00319
="2026/04/02 17:28:00.340",0.00667,-0.00207,0.00943,,,,-0.03178,-0.00887,-0.00346,19.8489,,,,-0.00293,-0.00781,-0.00093,861.26056,-0.01809,0.00632,0.00971
="2026/04/02 17:28:00.360",-0.00342,-0.00277,0.02129,-0.00694,0.00328,-0.0178,0.01874,0.00611,-0.01113,19.15178,0.00771,0.00304,0.00192,-0.007,-0.0043,-0.00747,860.81439,0.00045,0.00248,-0.00243
="2026/04/02 17:28:00.380",-0.00963,-0.00001,0.01678,0.01573,-0.00451,-0.01309,-0.0596,-0.00259,-0.00045,19.13943,-0.00617,-0.00364,-0.00096,-0.00523,-0.00493,-0.01159,861.25824,-0.0114,-0.00254,0.01347
="2026/04/02 17:28:00.400",-0.00148,0.00443,0.02337,0.01467,0.0024,-0.02664,-0.00073,-0.00302,-0.0027,19.40412,0.00236,-0.00566,0.0009,-0.00301,-0.0118,-0.00643,861.37677,-0.01709,-0.00179,-0.00389
="2026/04/02 17:28:00.420",-0.00962,0.00233,0.00187,0.00788,-0.00072,-0.00203,-0.06564,-0.01387,-0.00001,19.53204,-0.01336,-0.00484,-0.00241,-0.00248,-0.00284,-0.00576,861.16467,0.01522,-0.00855,-0.00539
="2026/04/02 17:28:00.440",0.00074,0.00489,0.00045,0.02007,-0.0011,-0.00059,0.02183,0.00193,0.00296,19.00866,-0.00055,-0.0002,0.0171,-0.00412,0.00552,0.00377,860.85095,-0.01389,-0.00213,0.00596
="2026/04/02 17:28:00.460",-0.00524,0.00543,-0.00648,0.00842,-0.00405,0.00933,0.00645,0.00202,-0.00169,18.38006,-0.00857,0.00177,-0.00257,-0.00413,-0.00506,-0.01143,860.74371,0.00354,0.00155,0.00014
="2026/04/02 17:28:00.480",-0.00088,0.00317,-0.01091,0.01828,0.00008,0.0235,-0.01179,-0.00726,-0.00815,18.29671,-0.00109,0.00162,0.01011,0.00112,0.00521,-0.01094,860.50897,0.00126,0.0039,0.01222
="2026/04/02 17:28:00.500",0.00824,0.00297,-0.0148,0.00539,-0.00283,0.02196,0.03843,0.00159,-0.01676,18.93458,-0.00568,-0.00301,0.00396,0.01087,0.00545,-0.00168,860.05823,0.00068,0.00858,-0.00207
="2026/04/02 17:28:00.520",-0.00466,0.00319,-0.01869,-0.00026,-0.00835,0.0228,0.02565,0.00456,0.01734,18.98619,-0.01832,0.0013,-0.00759,-0.00525,0.0006,-0.00977,859.64429,0.01862,0.00301,0.00106
="2026/04/02 17:28:00.540",0.01523,0.00328,-0.01753,0.00656,0.00019,0.01206,0.02276,0.00616,-0.00341,19.00621,0.00281,0.00225,-0.00522,-0.00012,-0.00605,0.00325,859.85645,-0.01062,0.00703,-0.00087
="2026/04/02 17:28:00.560",0.01746,-0.00194,0.00427,-0.01093,0.00076,0.01745,0.00897,-0.00066,-0.00756,18.92363,0.00132,0.00386,-0.01692,-0.01146,0.00349,-0.00168,860.10583,0.01401,0.00573,-0.00099
="2026/04/02 17:28:00.580",0.01453,0.0017,0.00521,0.00545,-0.00553,0.01096,-0.02142,0.00033,0.00821,19.10611,0.00265,0.00029,-0.00963,-0.00591,-0.00251,-0.00342,860.06647,-0.00631,-0.00471,0.01104
="2026/04/02 17:28:00.600",0.01708,0.0048,0.01447,-0.00272,0.00805,-0.005,-0.01177,-0.00308,-0.00466,19.58976,0.01057,-0.00282,-0.01283,-0.01265,-0.00575,0.00785,859.99066,-0.0061,-0.00527,0.00341
="2026/04/02 17:28:00.620",0.00367,-0.00324,0.01871,-0.00587,-0.0042,-0.00842,-0.00001,0.00769,0.00434,19.66227,-0.00099,0.00324,-0.00473,-0.00215,-0.00193,-0.00183,860.26282,0.00954,-0.01244,0.00273
="2026/04/02 17:28:00.640",0.00346,0.01147,0.01843,-0.00143,-0.00437,-0.03191,0.00197,-0.0068,-0.00387,19.3948,0.01145,0.00226,0.00333,-0.00351,-0.00373,0.00408,860.84747,-0.0231,0.00079,0.00551
="2026/04/02 17:28:00.660",-0.00384,-0.00745,0.02004,-0.00612,0.00076,-0.02761,-0.01517,0.00258,0.00402,19.40764,-0.00009,-0.00231,-0.00233,-0.00319,0.00193,-0.00916,861.17529,0.0072,0.00022,-0.00136
="2026/04/02 17:28:00.680",-0.00068,0.00446,0.01987,0.01913,-0.0014,-0.02716,-0.0298,-0.00018,0.00306,19.58617,-0.00763,0.00526,0.00058,-0.00362,-0.00834,-0.00399,860.4624,-0.01218,0.00231,0.0019
="2026/04/02 17:28:00.700",-0.0028,0.00956,0.0072,0.00454,0.00462,-0.02108,0.03947,-0.00196,-0.01043,19.78582,-0.00081,0.00139,0.01336,0.0102,0.00018,0.00704,860.5257,-0.01137,0.00283,-0.0028
="2026/04/02 17:28:00.720",-0.00187,0.00589,0.00995,0.00769,0.00252,-0.01181,-0.02285,0.00214,0.00007,19.68213,-0.01656,0.00133,0.01021,0.00565,-0.00202,0.0049,861.86865,0.0092,-0.00584,0.00132
="2026/04/02 17:28:00.740",0.00048,0.00063,-0.00593,0.02078,0.001,-0.00314,0.0212,0.00816,-0.00121,19.3854,-0.00903,-0.00521,0.01244,-0.01064,-0.01188,0.00289,862.02521,-0.00854,-0.00009,0.00367
="2026/04/02 17:28:00.760",0.00252,0.00331,-0.01786,-0.00869,0.00528,0.01163,-0.01728,-0.00332,0.00604,19.28741,-0.01899,0.00628,0.00866,-0.00893,0.00549,-0.00121,860.51099,0.00542,0.00859,-0.0058
="2026/04/02 17:28:00.780",0.01465,0.00644,-0.00853,0.02275,-0.0026,0.01521,-0.0205,0.00362,0.02481,18.73256,-0.01162,-0.00144,0.00043,-0.00777,-0.00947,-0.00385,859.49469,-0.00425,-0.00396,-0.0064
="2026/04/02 17:28:00.800",0.01669,0.00877,-0.0131,0.00318,-0.00509,0.03123,-0.03954,0.0027,0.00933,17.96707,-0.01055,0.00103,-0.00462,-0.01043,-0.00715,-0.00167,859.83118,0.00186,-0.00125,0.00231
="2026/04/02 17:28:00.820",0.01042,-0.00451,-0.01555,-0.00094,-0.00615,0.02031,-0.02645,0.00081,0.01673,17.85906,-0.00788,0.00368,-0.00649,0.0005,0.00784,-0.00045,860.5592,0.01354,-0.00307,0.0049
="2026/04/02 17:28:00.840",0.00812,-0.00176,-0.02082,0.01743,-0.0054,0.01373,-0.00665,0.00418,-0.00195,19.20566,0.00822,-0.00382,-0.00963,-0.00316,-0.00031,-0.00172,860.58997,-0.01244,-0.00136,0.00323
="2026/04/02 17:28:00.860",0.00765,-0.00394,-0.00163,-0.01704,-0.00495,0.01325,-0.00369,0.00097,0.00762,20.30466,-0.00595,-0.00701,-0.01401,-0.00952,-0.00186,-0.00179,860.6012,0.02041,-0.00162,-0.01106
="2026/04/02 17:28:00.880",0.00127,0.00505,-0.00744,0.00226,0.00527,-0.00978,0.00344,-0.00096,0.00249,20.05466,0.00643,0.00641,-0.01568,-0.00105,-0.00514,0.0042,860.83386,-0.00123,-0.00219,-0.0044
="2026/04/02 17:28:00.900",0.00317,0.00457,-0.0065,-0.01661,-0.00212,-0.00199,-0.0411,0.00283,0.00246,19.60522,0.00945,0.00419,-0.00802,-0.01046,-0.00007,-0.00945,860.34717,-0.00021,-0.00204,0.00191
="2026/04/02 17:28:00.920",0.00654,0.00269,0.02328,-0.00254,0.01053,-0.02959,-0.06247,-0.01143,0.00963,19.36821,0.00403,0.00148,-0.01533,0.0059,0.00237,0.013,860.45428,-0.0053,-0.01046,0.01592
="2026/04/02 17:28:00.940",-0.00261,0.00672,0.025,0.00781,0.00142,-0.03109,0.01036,-0.00184,0.00274,18.79775,0.00433,0.0042,-0.00657,-0.01498,-0.00701,0.00396,860.91187,-0.01068,0.00344,0.00292
="2026/04/02 17:28:00.960",-0.01354,0.00414,0.01983,-0.00376,-0.00392,-0.0176,-0.05044,-0.0048,0.01568,19.40701,-0.00083,-0.00315,-0.00215,-0.00787,-0.00015,0.00944,861.17371,0.00256,0.00618,0.01203
="2026/04/02 17:28:00.980",0.00275,0.00867,0.02466,0.02358,0.00698,-0.03148,0.00309,-0.00201,-0.01467,20.09338,0.00299,-0.00074,-0.01445,0.00155,0.00267,0.0014,860.9386,-0.01591,0.00771,0.00134
="2026/04/02 17:28:01.000",0.00073,0.00365,0.00878,0.01009,-0.00427,-0.00829,-0.03571,-0.00407,-0.00383,19.93124,-0.00071,-0.00395,0.03313,-0.01091,0.0005,0.01909,860.76227,-0.00744,-0.00271,0.00648
="2026/04/02 17:28:01.020",0.00733,0.00439,0.01731,0.01722,0.00248,-0.01833,-0.02407,-0.00342,0.01701,19.05865,-0.00995,-0.00283,0.00334,-0.00312,-0.00182,0.00196,861.3089,0.00619,-0.00155,-0.01659
="2026/04/02 17:28:01.040",-0.00263,0.00161,-0.00589,0.02029,-0.00007,-0.00152,0.00232,0.00331,0.00012,18.29737,-0.00378,-0.00347,0.0026,-0.00228,0.0003,0.00952,861.71265,-0.01359,-0.00167,0.00147
="2026/04/02 17:28:01.060",-0.00191,-0.00361,-0.00892,0.00462,-0.00449,0.01949,-0.02828,-0.00866,-0.00033,17.86359,-0.02067,-0.00144,0.00713,-0.00968,-0.01044,-0.00297,861.2196,0.00646,-0.00459,-0.00212
="2026/04/02 17:28:01.080",0.01316,-0.00454,-0.01201,0.01779,-0.00285,0.00611,-0.01103,-0.00055,0.00317,18.23877,-0.00689,-0.00307,0.00136,0.0082,-0.00319,-0.00878,860.5332,-0.00885,-0.00077,-0.00648
="2026/04/02 17:28:01.100",0.01675,0.00066,-0.01972,-0.00402,-0.00009,0.03607,0.01378,0.00398,-0.00465,19.0673,-0.0149,-0.00289,-0.00963,-0.01053,-0.006,-0.00104,860.29901,0.01109,0.0022,0.00575
="2026/04/02 17:28:01.120",0.02457,0.0021,-0.01227,0.00883,0.00122,0.01464,-0.02468,0.00183,0.00243,19.04221,0.00154,-0.00766,-0.00948,-0.01442,-0.0043,0.00085,860.08276,0.01498,-0.0045,-0.00331
="2026/04/02 17:28:01.140",0.01039,0.00699,-0.01916,0.0056,-0.00894,0.0178,-0.04181,-0.00534,-0.00314,18.7054,0.01265,0.00343,-0.00855,0.00256,-0.00148,0.01337,859.74377,-0.00714,-0.00536,0.00298
="2026/04/02 17:28:01.160",0.00515,0.00447,-0.0099,-0.00313,0.00754,0.01373,0.01526,0.00531,0.00273,18.83419,0.00244,0.00194,-0.00606,-0.00683,0.00339,-0.00114,859.61237,0.01077,0.00117,0.00455
="2026/04/02 17:28:01.180",0.01618,0.0086,0.00645,0.01297,0.00686,-0.0068,0.01172,0.00881,0.00378,19.44464,0.01571,0.00003,-0.00306,-0.00115,-0.00081,-0.00821,859.45581,-0.02178,0.00118,-0.00505
="2026/04/02 17:28:01.200",-0.0001,0.00638,0.01719,-0.0058,-0.00258,0.01374,0.02343,0.00014,-0.02611,19.79809,0.0056,-0.00181,-0.01322,-0.0038,0.00761,-0.00079,859.98914,0.0077,0.00766,0.00202
="2026/04/02 17:28:01.220",0.00703,0.00059,0.02304,0.0015,0.00283,-0.03388,-0.00193,-0.00636,-0.00585,19.45617,0.00256,-0.00152,0.00779,0.00071,-0.00495,0.00563,860.67511,-0.00135,0.0014,-0.00784
="2026/04/02 17:28:01.240",-0.00531,0.00234,0.01384,0.01066,-0.00304,-0.01529,0.01494,0.00289,-0.00363,18.92004,0.00283,-0.00013,-0.00823,-0.00918,0.00387,-0.00358,860.95844,-0.01535,0.00156,0.01164
="2026/04/02 17:28:01.260",-0.0101,-0.0026,0.01919,-0.00972,-0.00023,-0.02425,-0.00256,0.00285,-0.00418,18.99461,-0.00668,-0.00037,-0.0137,-0.00316,0.00224,-0.01302,861.21875,0.0075,0.00991,0.01385
="2026/04/02 17:28:01.280",-0.00135,0.00373,0.00963,0.01823,-0.00051,-0.03209,-0.01197,-0.00222,0.01475,19.21836,0.00544,0.00046,0.00265,-0.00252,-0.00394,0.00018,861.54236,-0.01746,-0.00122,-0.01
="2026/04/02 17:28:01.300",0.00019,-0.00333,0.01991,0.00838,0.00017,0.00462,0.01669,0.00147,-0.01058,19.43729,-0.00669,0.00495,-0.00565,-0.00785,0.00227,-0.00571,861.45435,0.00186,0.00682,0.01152
="2026/04/02 17:28:01.320",-0.00301,0.00751,0.00362,0.00681,-0.0032,-0.02284,-0.04188,-0.01107,0.00723,19.67206,-0.00814,0.0001,0.00752,-0.00024,0.00325,-0.00223,861.28375,-0.00294,0.0052,-0.0106
="2026/04/02 17:28:01.340",0.00055,0.00921,-0.00314,0.01551,-0.00928,0.01722,-0.00418,0.00121,-0.01511,19.58066,-0.00851,-0.00052,0.00556,-0.00184,-0.00275,0.00055,861.18317,-0.00569,0.00176,0.00099
="2026/04/02 17:28:01.360",0.00115,0.007,-0.02,0.00313,-0.00687,0.01109,0.01696,0.00292,-0.01083,19.01726,-0.01556,0.00005,0.01571,-0.02157,-0.00631,0.00592,861.04291,0.01969,-0.00098,0.00392
="2026/04/02 17:28:01.380",0.01059,0.01133,-0.01525,0.01664,-0.00595,0.01358,-0.02977,-0.00088,0.01426,18.46695,-0.0036,-0.00514,-0.00932,0.0185,-0.00395,0.03929,860.57129,-0.00485,0.00096,-0.00509
="2026/04/02 17:28:01.400",0.01396,-0.00043,-0.01436,-0.0001,-0.00836,0.03826,0.00981,0.00226,0.01021,18.6317,-0.00979,0.00242,-0.00031,-0.01739,0.00528,0.00731,860.17401,0.01551,-0.00204,0.00448
="2026/04/02 17:28:01.420",0.02233,0.00666,-0.0044,0.00343,0.00179,0.01694,0.0041,0.00824,0.01394,18.88161,0.00144,0.00015,-0.00951,-0.01673,-0.001,-0.0123,860.19159,0.00051,-0.0011,-0.00951
="2026/04/02 17:28:01.440",0.01435,0.00292,-0.00371,0.00353,-0.00327,0.02685,-0.03492,-0.00309,-0.0024,18.98699,0.00385,-0.00104,-0.00065,-0.00234,-0.00556,0.00052,860.2926,0.00529,-0.00022,0.0004
="2026/04/02 17:28:01.460",0.00567,-0.00187,0.0005,-0.00142,0.00236,0.00483,-0.02302,-0.00701,-0.00058,19.2147,-0.00252,0.00462,0.00133,-0.01307,-0.00229,0.00818,860.60742,0.01427,0.00719,0.00129
="2026/04/02 17:28:01.480",0.00483,0.00411,0.00226,0.00456,0.00223,-0.00316,0.06422,0.00774,-0.02943,19.47427,0.02086,0.00189,-0.02231,-0.0099,0.01026,0.01555,860.29083,-0.01184,0.00621,0.00938
="2026/04/02 17:28:01.500",0.00412,0.00294,0.00797,-0.00936,-0.00629,0.0073,-0.00366,0.00138,0.0081,19.77643,0.00213,0.00099,0.00196,-0.01642,0.00021,-0.01043,860.5509,0.0087,0.00475,0.01349
="2026/04/02 17:28:01.520",0.00344,0.0046,0.01209,0.00184,0.00222,-0.04262,-0.01982,-0.01134,-0.00853,19.96978,0.00521,0.00216,-0.01033,0.00167,-0.00122,-0.00045,861.08099,-0.00765,-0.00304,-0.00374
="2026/04/02 17:28:01.540",-0.00255,0.00459,0.01279,0.00656,-0.00159,-0.00743,0.02057,-0.00177,0.00533,19.19157,0.00211,-0.00311,-0.00101,-0.01559,0.00955,0.00245,860.80432,-0.00802,-0.00091,0.01794
="2026/04/02 17:28:01.560",-0.00376,-0.00379,0.02646,0.00384,-0.00004,-0.02571,0.01664,-0.00798,0.00217,18.58331,-0.00909,-0.00417,-0.00008,-0.01092,-0.00011,0.00774,860.45685,-0.00108,-0.00278,0.0048
="2026/04/02 17:28:01.580",-0.00492,0.00425,0.01626,0.01353,0.00128,-0.01476,0.00317,0.00092,-0.00003,19.22618,-0.00117,0.00054,-0.01248,0.00448,-0.00207,-0.01166,860.63861,-0.02131,0.00697,0.00005
="2026/04/02 17:28:01.600",0.00461,0.00159,0.01449,0.00458,0.00226,0.00656,0.00022,0.00113,0.00515,19.31619,-0.01238,0.00177,0.01802,-0.0169,-0.00305,-0.0016,861.33136,-0.00274,0.00707,0.00876
="2026/04/02 17:28:01.620",0.00348,-0.00006,-0.0075,0.00492,0.00891,-0.01899,0.00255,0.00035,0.00079,18.35856,0.00221,-0.00552,-0.00182,-0.00121,-0.00578,0.00468,861.24756,0.00164,-0.00088,0.00262
="2026/04/02 17:28:01.640",0.00016,-0.00116,-0.00721,0.0198,0.00323,0.0279,0.03785,0.00465,0.00022,17.86259,-0.00152,-0.00415,0.01388,-0.01282,-0.00419,-0.01015,861.11072,-0.0056,0.00039,0.005
="2026/04/02 17:28:01.660",0.00219,0.00432,-0.00297,0.00451,0.00352,0.00767,0.01017,0.00321,0.00414,18.03728,-0.01244,-0.00225,0.00668,-0.01005,0.00486,0.01594,861.27173,0.00217,0.00097,0.00676
="2026/04/02 17:28:01.680",0.00766,0.00495,-0.02035,0.01568,-0.00439,0.01869,0.02362,0.00418,-0.00198,18.2325,-0.00163,-0.00656,-0.00142,-0.00156,-0.00327,-0.01566,861.11731,-0.00062,-0.00211,-0.00918
="2026/04/02 17:28:01.700",-0.00066,0.00454,-0.00992,0.00174,-0.00298,0.04214,0.00889,0.00934,0.00042,18.65181,-0.01307,0.00622,-0.00106,-0.0066,0.0014,0.00248,860.69012,0.02027,0.00344,-0.00934
="2026/04/02 17:28:01.720",0.01943,0.00751,-0.0126,0.00515,0.00152,0.00944,-0.0318,-0.00318,0.01166,19.42301,0.00765,-0.00211,-0.00094,-0.00437,-0.00505,0.0078,861.02753,0.0027,-0.00355,-0.01396
="2026/04/02 17:28:01.740",0.00969,0.00485,-0.00594,-0.00992,-0.0029,0.02353,0.01372,0.00284,0.00814,20.16048,0.00111,-0.00096,-0.00863,-0.015,0.00328,-0.00308,861.23071,0.00786,0.00719,0.00317
="2026/04/02 17:28:01.760",0.01574,-0.00203,0.00639,-0.0027,-0.0011,-0.00724,0.0027,0.00177,0.01373,20.1051,0.00243,-0.0102,-0.01465,-0.00388,0.00654,-0.00908,860.99274,0.01133,0.00716,0.0018
="2026/04/02 17:28:01.780",0.01098,-0.0049,-0.00425,-0.00286,0.00345,-0.00668,0.04186,0.00788,-0.00456,19.70656,0.0108,-0.00155,-0.02998,-0.00282,-0.00242,0.00887,860.95361,-0.00902,0.00734,-0.00214
="2026/04/02 17:28:01.800",-0.00629,0.00255,0.00024,-0.00005,-0.00029,0.00025,-0.0124,-0.0051,0.01029,19.67744,0.01233,0.00268,-0.00658,-0.01047,0.00018,0.00166,861.12585,0.00988,0.00065,0.00925
="2026/04/02 17:28:01.820",0.00614,0.00125,0.00925,0.0047,0.01038,-0.02881,-0.05657,0.00113,0.01677,19.84722,0.01448,0.00512,-0.01039,-0.01108,0.00528,0.00324,861.45087,-0.01517,-0.00375,0.01398
="2026/04/02 17:28:01.840",-0.00265,0.00789,0.01817,0.00594,-0.00169,0.00232,0.01718,-0.00524,-0.00404,20.05653,0.01038,-0.00075,-0.00598,-0.00465,-0.00455,-0.00354,860.94531,-0.00015,-0.00634,-0.00281
="2026/04/02 17:28:01.860",0.00144,-0.00284,0.01236,0.02827,-0.0064,-0.05109,-0.06663,-0.00947,-0.00367,19.62365,-0.00604,-0.00034,-0.01395,-0.00981,-0.00305,-0.00241,860.56335,-0.00109,0.00018,0.01523
="2026/04/02 17:28:01.880",-0.0062,0.00501,0.00761,0.01082,-0.00051,-0.01807,-0.04762,-0.00228,-0.00543,19.5068,-0.00945,-0.00315,0.01438,-0.00798,-0.00045,-0.0029,860.44806,-0.01377,0.00674,0.00384
="2026/04/02 17:28:01.900",-0.00106,-0.00107,0.00583,0.01109,0.00803,-0.01319,-0.0365,-0.00229,0.00083,19.94938,-0.0152,0.00166,0.02305,-0.00823,0.00203,0.00223,860.67261,0.00635,-0.00252,-0.00462
="2026/04/02 17:28:01.920",0.0106,0.00167,-0.00508,0.01851,0.00272,-0.01857,0.02891,-0.00208,-0.00258,19.58457,-0.00164,0.00158,-0.02675,0.00571,-0.00365,-0.00853,861.41064,-0.00541,-0.00035,-0.00404
="2026/04/02 17:28:01.940",0.00023,-0.0013,-0.01282,0.00905,0.0002,0.03084,0.02713,0.00989,-0.00959,19.35376,-0.00765,0.0019,0.01683,-0.00747,0.00446,0.00513,861.65125,0.00378,-0.00505,-0.00963
="2026/04/02 17:28:01.960",0.01062,-0.00009,-0.01857,0.01497,-0.00109,0.00864,-0.00647,0.00962,-0.01419,19.59207,-0.01068,-0.004,-0.015,0.00444,-0.00885,0.01167,860.93591,0.0088,0.00255,0.0035
="2026/04/02 17:28:01.980",0.00997,0.00583,-0.01813,0.00056,0.00193,0.01473,-0.01089,0.00193,0.02982,19.754,-0.00215,-0.00135,0.01607,-0.00577,-0.00204,0.00728,860.46252,0.00126,0.00884,-0.01324
="2026/04/02 17:28:02.000",0.00817,-0.00176,-0.01642,0.0024,0.00251,0.0244,0.02019,0.0074,-0.00782,20.04724,-0.0097,0.00336,-0.00417,-0.0052,-0.00052,-0.0014,860.62842,0.01238,0.00845,-0.00291
="2026/04/02 17:28:02.020",0.01275,-0.00024,-0.01855,0.01102,0.00042,0.00796,-0.00514,-0.0062,-0.00669,19.99021,0.00922,-0.00444,-0.0213,-0.00457,0.00537,0.02251,860.79724,-0.00358,-0.00875,-0.01365
