time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 17:29:03.560",0.6135,0.50385,0.38898,-0.93225,0.98008,-2.39519,1.014,-0.05078,-0.24876,36.07009,-0.31053,0.05695,-1.08105,-0.39303,-0.00902,-0.27533,854.26849,-0.4353,-0.23276,0.04779
="2026/04/02 17:29:03.580",0.56913,0.28185,1.07366,-0.12138,2.05531,-5.58156,1.05933,-0.02462,-0.06344,37.38258,0.66165,-0.03016,-1.88605,-1.43191,-0.22918,0.39856,853.5722,0.56911,-0.11005,0.05692
="2026/04/02 17:29:03.600",0.50086,0.60154,1.41538,-0.46302,1.411,-3.67776,0.59724,0.08508,-0.03658,37.27398,-0.14932,0.18508,-1.16142,-2.25842,-0.44877,0.30504,852.8653,-0.79946,0.04294,0.11188
="2026/04/02 17:29:03.620",-0.24374,0.27665,2.26376,0.69141,1.81845,-5.70587,0.15782,-0.02371,-0.10362,34.95676,-0.09795,0.12983,-1.12699,-1.77446,-0.21507,0.23143,854.77917,-0.62654,-0.06175,0.93927
="2026/04/02 17:29:03.640",-0.34734,0.28659,2.45832,1.39379,1.508,-4.24414,-0.02452,-0.10981,-0.12051,29.01329,0.25698,-0.2542,-0.50917,-2.23467,-0.13074,0.51388,854.6571,-0.4215,-0.06795,0.553
="2026/04/02 17:29:03.660",-0.6226,0.37909,2.26356,0.8088,1.7759,-4.00365,-0.61391,-0.04237,0.11396,23.46832,-1.14963,0.00167,0.6774,-1.95354,-0.03743,-0.05428,856.4588,-1.51597,0.0345,0.95176
="2026/04/02 17:29:03.680",-0.73029,-0.57794,1.44261,1.4498,1.97221,-4.11627,-0.99885,0.05216,0.07517,16.07662,-0.30059,-0.25358,0.36514,-2.0241,0.04689,0.36236,858.00507,-0.15199,0.26564,0.73422
="2026/04/02 17:29:03.700",-0.64339,-0.5469,1.65728,0.83152,1.16267,-1.19074,-1.2434,0.0255,0.11654,9.13593,-1.23874,-0.05229,1.48845,-1.7746,-0.02677,0.24471,856.39355,-2.0311,0.33175,1.40322
="2026/04/02 17:29:03.720",-0.73707,-0.35594,1.60251,0.97922,1.03381,-0.91364,-1.3544,0.15364,0.09757,3.11578,-0.9234,-0.10015,1.73072,-0.89892,0.07841,-0.06184,856.19781,0.19788,0.34359,0.66398
="2026/04/02 17:29:03.740",-0.6187,0.26794,0.6359,0.59422,-0.23055,1.53128,-1.39098,0.07975,0.19209,0,-0.47849,-0.27668,1.879,-0.67584,0.06472,0.18052,854.11743,-0.83973,0.24752,0.82164
="2026/04/02 17:29:03.760",-0.53757,-0.30228,-0.16215,0.23282,-0.98863,3.32464,-1.82351,0.10067,0.08102,0,-1.13551,-0.06502,2.43567,-0.82992,0.3465,0.21296,854,-0.81313,0.06155,0.64664
="2026/04/02 17:29:03.780",-0.43868,-0.43518,-0.32085,0.36567,-1.23949,3.22363,-1.00724,0.14837,0.18512,0,-0.26553,-0.32022,1.78845,-0.1111,0.13152,0.07262,852.47418,1.22435,0.10151,-0.43175
="2026/04/02 17:29:03.800",-0.16637,-0.0347,-1.30493,-0.23409,-2.09326,6.51664,-0.64191,0.07055,0.16825,2.57484,-0.68052,-0.09989,2.11277,1.1389,0.13769,-0.228,851.51605,-0.6929,0.32298,0.11747
