time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 17:21:57.040",-0.02654,-0.00936,0.02294,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.060",0.00447,0.00472,0.01088,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.080",0.01104,-0.00446,0.00903,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.100",-0.01305,0.00561,0.022,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.120",0.02201,0.00248,0.02143,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.140",0.0046,0.01098,-0.00086,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.160",0.00348,0.01256,-0.01964,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.180",0.01367,0.01617,-0.01921,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.200",-0.01512,0.0145,-0.01753,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.220",0.01435,0.00677,-0.01088,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.240",-0.02313,0.00204,-0.01611,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.260",0.00178,-0.00012,-0.00265,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.280",-0.00587,0.00308,-0.00515,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.300",-0.02422,0.00385,0.00433,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.320",0.00983,-0.00171,0.00514,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.340",-0.01484,-0.00356,0.02247,,,,,,,,,,,,,,,,,
="2026/04/02 17:21:57.360",0.00546,-0.00701,0.02251,,,,,,,0.02853,-0.01327,0.01545,,,,,,,,
="2026/04/02 17:21:57.380",0.00458,0.00455,0.0227,,,,,,,0.03761,0.0002,0.0104,,,,,,,,
