time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ
="2026/04/02 17:25:08.360",0.02695,-0.00142,-0.03155,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.380",0.00255,-0.00373,-0.03031,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.400",0.00769,-0.00079,-0.00558,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.420",-0.00373,-0.00017,-0.01034,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.440",-0.01109,-0.00671,0.01113,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.460",0.0055,-0.00418,0.02611,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.480",0.0015,-0.00338,0.01482,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.500",-0.01504,0.00046,0.01782,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.520",-0.0131,-0.00734,0.02012,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.540",0.01206,-0.00667,-0.00192,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.560",0.04094,-0.0021,-0.01101,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.580",0.01264,0.01286,0.00418,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.600",0.00339,0.00572,-0.02885,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.620",0.02449,0.00132,-0.02128,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.640",0.02466,0.00384,-0.02648,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.660",0.01522,-0.00509,-0.02903,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.680",0.02001,0.00018,-0.01723,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.700",0.03075,0.00407,0.00564,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.720",-0.00701,-0.00368,0.01806,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.740",-0.00794,-0.00285,0.01679,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.760",-0.01015,0.00894,0.02531,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.780",0.00264,-0.00635,0.01761,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.800",-0.00325,-0.00659,0.04679,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.820",-0.01645,-0.00314,0.03451,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.840",-0.00411,-0.00094,0.01934,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.860",0.01156,0.01114,-0.00705,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.880",0.0035,-0.00125,-0.00504,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.900",0.00553,0.00429,-0.01035,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.920",0.01712,0.00202,-0.01307,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.940",0.0127,0.00253,-0.02758,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.960",0.00309,-0.00209,-0.01903,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:08.980",0.0136,0.00305,-0.01299,,,,,,,,,,,,,,,,,
="2026/04/02 17:25:09.000",0.00549,-0.00473,-0.01045,20.2469,,,,860.65466,,,,,,,,,,,,
="2026/04/02 17:25:09.020",-0.00363,-0.00551,-0.00053,20.19801,,,,860.78577,,,,,,,,,,,,
="2026/04/02 17:25:09.040",-0.02505,0.00094,0.01172,19.94386,,,,860.39319,-0.01183,0.00523,0.00881,0.00161,0.00264,-0.02315,,,,,,
="2026/04/02 17:25:09.060",-0.01848,0.00197,0.02032,19.17325,,,,860.9245,-0.01326,-0.00177,0.0064,-0.01844,0.00299,-0.00301,,,,,,
="2026/04/02 17:25:09.080",-0.02271,-0.01216,0.02334,18.5643,,,,861.7793,-0.00547,0.00638,0.0101,-0.00122,-0.00575,-0.0013,,,,,,
="2026/04/02 17:25:09.100",-0.01753,-0.00074,0.02327,19.12905,,,,861.27917,0.00449,-0.00068,0.01117,-0.02313,-0.00521,0.00823,,,,,,
="2026/04/02 17:25:09.120",0.0027,-0.00822,0.02108,19.40732,,,,860.88062,-0.00507,-0.00948,-0.00973,-0.01013,-0.00735,0.01291,,,,,,
="2026/04/02 17:25:09.140",-0.00166,0.00189,0.00379,18.92696,,,,861.0542,-0.0046,-0.00027,-0.00312,-0.01704,-0.00216,0.01079,,,,,,
="2026/04/02 17:25:09.160",0.02155,-0.00635,-0.02524,18.59876,,,,860.49213,-0.00455,-0.00161,0.0146,-0.00549,-0.00211,0.00416,,,,,,
="2026/04/02 17:25:09.180",0.02661,-0.00299,-0.00027,18.17374,,,,859.995,0.00893,-0.00739,0.00524,0.02365,-0.00606,0.00488,,,,,,
="2026/04/02 17:25:09.200",0.01161,0.00616,-0.03081,18.13205,,,,859.64856,0.0025,-0.00398,-0.00178,0.00096,-0.00192,-0.0034,,,,,,
="2026/04/02 17:25:09.220",0.00586,-0.00024,-0.01318,18.93955,,,,859.82782,-0.00868,-0.00948,-0.01176,0.00988,-0.00248,-0.00211,,,,,,
="2026/04/02 17:25:09.240",0.01744,-0.00179,-0.00675,19.76506,,,,860.38007,-0.01165,-0.0014,0.0018,0.0238,-0.0025,-0.01633,,,,,,
="2026/04/02 17:25:09.260",0.00143,0.00382,-0.01709,19.72064,,,,860.36389,-0.00213,-0.00176,-0.0004,0.00432,-0.00175,0.00001,,,,,,
="2026/04/02 17:25:09.280",0.00112,-0.00198,-0.00143,19.25898,,,,860.32141,-0.00469,-0.00748,0.00122,0.00917,0.00176,-0.01363,,,,,,
="2026/04/02 17:25:09.300",0.00523,-0.00218,-0.00259,19.26475,,,,860.41736,-0.00142,0.00098,0.01793,-0.01148,0.0023,-0.00027,,,,,,
="2026/04/02 17:25:09.320",-0.00441,0.00001,0.02154,19.2651,,,,860.98291,-0.01382,0.00394,0.00865,-0.00451,-0.00243,-0.01607,,,,,,
="2026/04/02 17:25:09.340",-0.02704,0.00194,0.02087,18.85125,,,,861.117,-0.00578,-0.00546,0.00158,0.00234,0.00438,-0.01112,,,,,,
="2026/04/02 17:25:09.360",-0.01194,0.00053,0.01847,18.30176,0.05579,0.0047,-0.01034,861.18365,0.00718,0.00421,0.00383,0.00038,0.00622,0.01381,,,,,,
="2026/04/02 17:25:09.380",-0.0175,-0.00655,0.03976,18.67597,0.03542,0.00127,-0.02497,861.47913,-0.02591,0.0076,-0.01399,0.00268,-0.00045,-0.00261,,,,,,
="2026/04/02 17:25:09.400",0.00406,0.00367,0.00759,19.19513,0.0386,-0.00762,-0.04535,861.62781,-0.01119,0.00322,-0.0137,-0.02205,0.00099,-0.0077,,,,,,
="2026/04/02 17:25:09.420",0.00462,-0.0048,0.01576,18.93119,0.04414,0.00309,-0.00095,861.31079,-0.01522,-0.00955,-0.00788,-0.00855,-0.0035,0.00568,,,,,,
="2026/04/02 17:25:09.440",0.01564,-0.00573,0.00185,18.50533,0.04244,-0.00906,-0.02469,860.66339,0.0033,-0.00097,-0.00715,-0.00148,-0.00967,0.00173,,,,,,
="2026/04/02 17:25:09.460",0.01969,-0.00942,0.00024,18.69161,0.05718,0.00406,0.01217,860.0871,-0.02358,-0.00307,-0.01729,0.00894,-0.00732,0.01213,,,,,,
="2026/04/02 17:25:09.480",0.0246,0.00683,-0.01729,18.83364,0.06552,-0.00327,0.04014,860.05383,-0.01403,-0.00434,-0.00543,0.01846,-0.00721,0.001,,,,,,
="2026/04/02 17:25:09.500",0.01374,0.003,-0.0141,19.14244,0.05298,-0.00786,0.03755,860.11194,0.01043,0.00158,-0.00046,0.00868,-0.00234,-0.00597,,,,,,
="2026/04/02 17:25:09.520",0.00548,0.00734,-0.02452,19.15981,0.05963,0.00197,0.04371,860.04211,-0.01637,-0.00166,0.01457,0.01799,0.00675,-0.01072,,,,,,
="2026/04/02 17:25:09.540",0.00843,0.00101,-0.01393,18.7603,0.04115,-0.00507,0.01943,859.62146,0.00198,0.00507,0.01159,0.00659,-0.00565,-0.00846,,,,,,
="2026/04/02 17:25:09.560",0.00741,-0.00102,-0.02519,18.51675,0.05519,-0.00412,0.05146,859.80328,-0.01464,-0.0026,0.02045,0.00647,-0.01218,0.01304,,,,,,
="2026/04/02 17:25:09.580",-0.0091,0.00008,-0.00482,18.9388,0.07182,0.00921,0.00616,860.46405,0.00242,-0.0087,-0.00515,0.00081,-0.00233,-0.01339,,,,,,
="2026/04/02 17:25:09.600",0.00344,-0.00497,-0.0024,19.49237,0.08484,0.0034,-0.00116,860.99725,0.0104,0.00126,-0.01407,-0.00626,0.00128,0.00949,,,,,,
="2026/04/02 17:25:09.620",-0.001,-0.00807,0.00666,19.73215,0.07477,-0.00177,-0.00097,861.08557,-0.0149,-0.00097,0.00454,-0.00209,-0.0036,-0.0042,,,,,,
="2026/04/02 17:25:09.640",-0.01385,0.00286,0.00863,19.23685,0.08392,-0.00175,-0.01731,861.13623,-0.00195,-0.00064,0.01235,-0.00729,0.00613,-0.00436,,,,,,
="2026/04/02 17:25:09.660",-0.02082,0.00428,0.02299,19.02353,0.07192,0.00062,-0.02368,861.63062,-0.00964,-0.00709,0.0183,-0.00937,0.00298,0.00196,,,,,,
="2026/04/02 17:25:09.680",-0.01531,-0.00203,0.02222,18.6815,0.08485,0.00408,-0.03553,861.72406,-0.01399,-0.00658,0.00341,-0.00101,0.00331,-0.00711,,,,,,
="2026/04/02 17:25:09.700",-0.00003,0.00439,0.01876,18.56541,0.08885,0.00297,-0.01553,861.64899,0.00205,-0.00586,0.00567,-0.00579,-0.00052,-0.00475,,,,,,
="2026/04/02 17:25:09.720",-0.01534,0.00215,0.016,19.07173,0.05651,-0.00933,-0.01856,861.06763,-0.00373,-0.00269,0.00938,-0.00274,-0.00319,0.00198,,,,,,
="2026/04/02 17:25:09.740",0.0055,0.00171,0.01556,18.9607,0.06656,-0.00227,-0.02148,860.7666,-0.00391,-0.00871,0.00445,-0.0034,-0.00076,-0.00404,,,,,,
="2026/04/02 17:25:09.760",0.00593,-0.00208,-0.01342,18.92911,0.07349,-0.00252,0.01501,860.82556,0.00181,-0.00872,-0.00492,-0.00033,0.00361,0.00065,,,,,,
="2026/04/02 17:25:09.780",0.01613,0.00767,-0.01453,19.14268,0.07827,-0.00961,0.02071,860.21912,-0.01086,0.00085,0.00145,0.01232,0.00807,-0.00009,,,,,,
="2026/04/02 17:25:09.800",0.01605,0.00454,-0.01579,19.14503,0.06804,-0.00181,0.02308,859.61444,-0.00013,0.00427,-0.00079,0.00155,0.00401,-0.00416,,,,,,
="2026/04/02 17:25:09.820",0.00975,0.00272,-0.01191,19.36388,0.06967,-0.00636,0.0328,859.60455,0.00101,-0.00712,0.00477,0.01439,0.00142,0.00258,,,,,,
="2026/04/02 17:25:09.840",0.01384,0.00067,-0.01037,18.84968,0.08166,-0.00957,0.01884,859.73102,-0.0074,0.00573,0.00692,0.02203,0.00065,-0.01065,,,,,,
="2026/04/02 17:25:09.860",0.0018,0.00114,-0.01103,18.84907,0.09632,-0.01053,0.014,859.65869,0.00266,-0.00094,-0.02089,-0.0009,0.004,-0.00912,,,,,,
="2026/04/02 17:25:09.880",-0.00673,-0.0033,-0.00979,19.68404,0.10593,0.00549,-0.00414,859.89423,-0.00611,-0.00281,-0.01165,0.00572,-0.00277,-0.00839,,,,,,
="2026/04/02 17:25:09.900",-0.00555,-0.0021,0.00532,19.85078,0.10612,-0.00932,-0.02193,860.88843,-0.00026,0.00378,0.00572,-0.01536,0.00254,0.00637,,,,,,
="2026/04/02 17:25:09.920",-0.02163,-0.00426,0.01373,19.97163,0.09588,-0.00077,-0.02704,861.44733,-0.01033,-0.00192,-0.01094,-0.00846,-0.00287,-0.00576,,,,,,
="2026/04/02 17:25:09.940",-0.02671,-0.00168,0.02297,19.53869,0.1028,-0.00193,-0.02316,861.21503,0.00067,-0.00087,0.00378,-0.00422,0.00518,-0.00456,,,,,,
="2026/04/02 17:25:09.960",-0.01012,-0.0008,0.02456,18.70178,0.08671,-0.00507,-0.03511,861.31299,0.00957,-0.00476,-0.00517,-0.01227,-0.00474,0.00469,,,,,,
="2026/04/02 17:25:09.980",-0.01494,0.00122,0.02488,18.76908,0.08134,0.00303,-0.0379,862.1438,0.00016,-0.00192,0.01662,-0.00251,0.00025,-0.00733,,,,,,
="2026/04/02 17:25:10.000",-0.00661,-0.00257,0.01981,18.67918,0.07351,-0.00545,-0.03069,862.04578,-0.0098,-0.00941,-0.00441,-0.01021,0.00347,0.00425,,,,,,
="2026/04/02 17:25:10.020",-0.00105,-0.00288,0.01238,18.48399,0.0582,-0.01243,-0.01744,861.47235,-0.00342,0.00173,0.00816,0.00149,0.00215,0.00211,,,,,,
="2026/04/02 17:25:10.040",0.01356,-0.00048,0.00712,18.37146,0.07414,-0.00091,-0.02115,860.47766,0.0092,0.00325,-0.01453,-0.00201,-0.00291,0.01053,-0.02659,-0.01112,0.01543,,,
="2026/04/02 17:25:10.060",0.01476,0.00588,-0.0091,18.35403,0.06841,-0.00985,0.01647,859.68066,-0.01158,-0.00444,-0.00411,0.00584,-0.00094,0.00799,0.0317,-0.00186,0.00708,,,
="2026/04/02 17:25:10.080",0.01801,0.00209,-0.00587,18.50232,0.06693,-0.0038,0.03245,859.39038,-0.0014,0.00302,-0.01437,0.01836,-0.00386,0.00374,0.00029,0.00789,0.01234,,,
="2026/04/02 17:25:10.100",0.01213,0.00254,-0.0195,19.0156,0.09569,-0.0154,0.0208,859.29108,-0.00403,-0.00262,-0.00258,0.00301,-0.00587,0.0008,-0.00722,-0.0051,-0.01412,,,
="2026/04/02 17:25:10.120",0.00329,0.0038,-0.01031,19.50253,0.08829,-0.00127,0.03248,859.17029,-0.01984,-0.00091,0.01327,0.01429,-0.00449,0.00605,0.02462,-0.00079,-0.00911,,,
="2026/04/02 17:25:10.140",0.00254,0.00933,-0.01085,19.74188,0.11036,-0.00525,0.02162,859.86761,0.00882,-0.00183,-0.00034,0.01408,-0.00174,-0.01206,0.04724,0.00003,-0.01756,,,
="2026/04/02 17:25:10.160",-0.00172,-0.00261,-0.01322,19.77525,0.10094,-0.00499,0.02007,861.01135,-0.00385,-0.00814,-0.00453,0.00176,-0.00043,-0.00374,-0.0262,-0.0131,-0.01155,,,
="2026/04/02 17:25:10.180",-0.00543,0.00408,0.00175,20.17363,0.09415,-0.0002,0.01066,861.15466,-0.00131,-0.00175,-0.00263,-0.00072,0.00401,-0.01985,-0.00013,0.00428,0.00009,,,
="2026/04/02 17:25:10.200",0.00041,-0.0062,-0.00112,20.25817,0.10036,-0.00141,-0.00102,860.7334,-0.0068,0.00116,0.01512,-0.00581,0.00318,0.00442,-0.05308,-0.00848,0.01679,,,
="2026/04/02 17:25:10.220",-0.0064,-0.00024,0.0057,19.53012,0.08803,-0.00909,-0.02467,861.18652,-0.007,0.00195,0.00578,0.00177,-0.00009,0.00021,-0.04232,-0.00579,0.00247,,,
="2026/04/02 17:25:10.240",-0.02286,-0.00435,0.02104,19.14337,0.10953,-0.00489,-0.03259,861.78326,0.00524,-0.00423,-0.00136,-0.01807,0.00001,-0.00703,0.00339,0.00015,0.00154,,,
="2026/04/02 17:25:10.260",-0.01558,-0.00456,0.01325,19.38626,0.1134,-0.01042,-0.04439,861.87543,0.00548,-0.00176,0.00334,-0.01528,0.00104,-0.00117,-0.02518,0.00057,0.03822,,,
="2026/04/02 17:25:10.280",-0.01007,-0.00617,0.0074,18.63229,0.11684,-0.00424,-0.02679,861.54541,0.00677,-0.00458,-0.01298,0.00503,0.00046,-0.0013,-0.00842,0.00073,-0.00387,,,
="2026/04/02 17:25:10.300",-0.0088,0.00403,0.02143,18.46575,0.09628,-0.00615,-0.02012,860.86115,-0.01063,-0.0024,0.00633,-0.00215,-0.0025,0.00147,0.04219,0.00173,-0.00309,,,
="2026/04/02 17:25:10.320",0.00125,-0.00457,0.00459,18.59663,0.1129,-0.00019,-0.0073,860.93298,0.01877,0.00433,0.00035,-0.003,-0.00463,0.01576,0.03265,0.00898,-0.0207,,,
="2026/04/02 17:25:10.340",0.00927,-0.00262,0.00975,19.02665,0.08968,-0.01562,-0.00005,861.29651,0.00372,-0.00312,-0.0018,0.00721,-0.00685,-0.00235,0.04506,-0.00207,-0.01907,,,
="2026/04/02 17:25:10.360",0.01101,-0.00152,-0.00849,19.66607,0.08882,-0.00892,0.02708,860.5697,-0.01192,0.00206,-0.00481,0.00484,-0.00159,-0.00325,-0.00529,0.0001,-0.00016,-0.01376,-0.00072,0.02193
="2026/04/02 17:25:10.380",0.01861,0.00085,-0.00668,19.61507,0.10544,-0.015,0.02093,859.71698,-0.00641,-0.00608,0.00199,0.00573,0.00147,-0.01005,0.06005,0.00349,0.00009,-0.00968,-0.00282,0.00263
="2026/04/02 17:25:10.400",0.0278,0.01066,-0.0039,18.9924,0.09197,-0.01305,0.04522,858.94196,0.0063,-0.00337,0.00363,0.00369,-0.00351,-0.00431,-0.01571,-0.004,0.00431,0.00449,-0.00092,0.00019
="2026/04/02 17:25:10.420",-0.01081,0.01127,-0.02265,19.36314,0.10105,-0.00383,0.04298,859.14569,-0.00534,-0.00138,0.00972,0.0253,-0.00344,-0.00699,-0.02368,-0.00582,0.00324,0.00192,-0.00607,0.01324
="2026/04/02 17:25:10.440",0.02698,0.00248,-0.01094,19.62553,0.11635,-0.00516,0.00992,860.00134,0.00322,0.00243,0.00776,0.00999,-0.00061,-0.01747,0.00273,0.01447,-0.00411,0.01491,-0.00042,-0.00803
="2026/04/02 17:25:10.460",-0.01243,0.00007,-0.00068,19.42023,0.13002,-0.00957,0.02929,860.94836,0.00264,-0.00655,0.00083,0.01023,-0.00149,0.0027,0.00357,0.00491,0.00272,0.01525,0.0042,-0.00537
="2026/04/02 17:25:10.480",-0.02677,0.00254,-0.0007,19.28313,0.12835,-0.00262,-0.00614,861.13708,-0.0094,0.00335,-0.01084,0.00099,-0.00621,-0.00627,-0.01561,0.00074,0.00903,0.01636,-0.00438,0.00446
="2026/04/02 17:25:10.500",-0.0305,0.00208,0.00366,19.26916,0.13226,-0.0012,-0.01354,861.32623,-0.00838,-0.00207,-0.00518,-0.00616,-0.00172,-0.00727,-0.03447,-0.00572,0.00709,0.00873,-0.00309,-0.00867
="2026/04/02 17:25:10.520",0.01052,-0.00044,0.03231,19.93307,0.15651,-0.00131,-0.03809,861.25012,-0.01039,-0.00184,-0.00968,0.00552,0.0008,0.01283,0.03726,0.00427,-0.00754,-0.00015,-0.00253,0.00082
="2026/04/02 17:25:10.540",-0.01714,-0.00005,0.01936,20.11894,0.12973,-0.00902,-0.03067,860.86176,0.00475,0.0009,-0.00418,-0.01593,-0.00877,0.00661,-0.03763,-0.00133,0.01957,-0.00837,0.00702,-0.01058
="2026/04/02 17:25:10.560",-0.01576,-0.00725,0.01928,19.68459,0.13304,-0.00261,-0.02794,861.19562,-0.00613,-0.00312,-0.00267,-0.01553,0.00174,0.01035,0.02729,0.00664,0.00603,-0.00627,-0.00569,-0.00587
="2026/04/02 17:25:10.580",0.01688,0.00269,0.01827,19.10475,0.13353,-0.0015,-0.03953,861.66467,0.00356,0.00497,0.01156,0.00133,-0.00484,0.01008,0.02767,0.00259,-0.02367,-0.00792,-0.0045,-0.0012
="2026/04/02 17:25:10.600",0.00977,0.00101,0.02277,18.53421,0.10567,-0.00536,-0.01964,861.09155,0.00253,-0.00048,0.00119,-0.00527,0.00186,0.01024,0.03871,0.00244,-0.03314,-0.01524,-0.00098,0
="2026/04/02 17:25:10.620",0.01006,-0.00305,0.0128,18.52363,0.10941,-0.00502,-0.00577,860.40033,-0.00708,-0.0005,0.01017,0.00191,-0.00522,0.00244,0.0219,-0.00365,-0.02758,-0.01888,-0.00273,0.00681
="2026/04/02 17:25:10.640",0.01887,0.00627,0.01256,18.84377,0.1057,-0.01062,0.00539,860.45374,0.00379,-0.00158,0.00229,0.00656,0.0029,-0.00804,0.01207,0.00294,-0.00245,-0.00706,0.0032,0.00047
="2026/04/02 17:25:10.660",-0.01269,-0.00493,-0.01944,19.26079,0.10644,-0.01031,0.02579,860.48724,-0.01264,-0.00111,-0.00092,0.00711,0.00225,-0.00154,0.03358,0.00618,-0.00569,-0.01065,0.00522,0.01056
="2026/04/02 17:25:10.680",0.02449,-0.00092,-0.00065,19.83535,0.10853,-0.01167,0.02117,860.25659,0.00036,-0.00236,-0.00964,0.0131,-0.00157,-0.01047,0.02249,-0.00009,-0.00926,0.00257,0.00055,0.007
="2026/04/02 17:25:10.700",-0.0079,-0.00131,-0.01861,19.47706,0.11235,-0.01167,0.0339,859.82422,-0.00939,-0.00525,0.00806,0.00324,-0.00447,0.00452,-0.01371,-0.00517,0.01927,0.00825,-0.00473,-0.00704
="2026/04/02 17:25:10.720",0.00247,-0.0032,-0.01252,19.06031,0.11884,-0.01082,0.01848,860.40125,0.00526,0.00319,-0.00181,0.01111,0.0014,0.00703,0.03055,0.00755,0.01752,0.01864,0.00046,-0.00417
="2026/04/02 17:25:10.740",-0.00137,0.00764,-0.01159,19.77503,0.13932,-0.01053,0.01154,861.01337,-0.01503,-0.00232,0.01191,0.00594,0.00397,-0.00271,0.05375,0.00408,-0.01306,0.01276,0.00084,-0.00403
="2026/04/02 17:25:10.760",0.00124,-0.0044,-0.00079,20.03022,0.13218,-0.00842,0.01585,861.6546,0.00224,0.00362,-0.01046,0.00471,-0.00327,-0.00137,-0.0202,0.00169,-0.00021,0.01254,0.00754,0.00063
="2026/04/02 17:25:10.780",-0.02577,0.00893,0.00813,20.16071,0.15044,0.00114,-0.01169,861.86066,-0.00209,-0.00845,0.00426,0.0025,-0.00827,0.00561,0.0051,0.00331,0.01774,0.00394,-0.00091,-0.00798
="2026/04/02 17:25:10.800",-0.02269,0.00907,0.00888,20.43975,0.14273,-0.0004,-0.01065,861.81921,-0.00039,0.00004,-0.0037,-0.00756,-0.00159,0.00294,0.01051,-0.00986,0.01071,0.01002,-0.00015,-0.00625
="2026/04/02 17:25:10.820",-0.00834,-0.00105,0.02732,20.27509,0.1496,-0.00518,-0.02514,861.60687,0.00352,0.00701,-0.00543,-0.01346,-0.0017,-0.00954,-0.03976,0.00827,0.01543,0.00451,-0.00475,-0.00574
="2026/04/02 17:25:10.840",0.00396,-0.00458,0.02424,19.79157,0.13871,-0.00345,-0.04092,861.01605,0.007,-0.00355,0.0018,-0.01372,0.00275,-0.00633,0.0182,0.00563,-0.00081,0.00649,0.0066,0.00667
="2026/04/02 17:25:10.860",-0.00743,-0.00511,0.02621,18.71119,0.13046,-0.00431,-0.02646,861.04553,-0.0042,-0.0022,0.01624,-0.0115,-0.00155,0.00812,-0.02736,0.00237,0.01101,-0.01242,0.00397,0.00197
="2026/04/02 17:25:10.880",-0.00765,0.00202,0.00634,18.22552,0.12588,-0.00259,-0.0392,861.84515,-0.01463,-0.00649,-0.00541,-0.0036,0.00243,0.00164,0.00904,0.00578,-0.00342,-0.01512,-0.00198,0.00632
="2026/04/02 17:25:10.900",-0.00563,-0.00188,0.00039,18.64653,0.12505,-0.00414,-0.00185,862.17584,-0.00174,-0.00122,0.00022,-0.00036,0.0072,0.02079,0.00894,0.00869,0.00058,-0.0205,-0.002,0.0148
="2026/04/02 17:25:10.920",0.01093,0.00744,0.0059,18.74972,0.12351,-0.00783,0.00685,860.99243,-0.00628,-0.00019,0.01108,0.00081,0.00058,-0.00313,-0.01899,-0.00625,0.00492,-0.01754,0.0082,0.00318
="2026/04/02 17:25:10.940",0.01362,0.00221,0.0127,18.63909,0.11934,-0.0026,0.00194,859.88281,0.00753,-0.00607,-0.00643,0.00264,0.00006,-0.00532,0.02194,-0.00607,-0.01706,-0.01037,-0.00166,0.00557
="2026/04/02 17:25:10.960",0.01574,0.00319,-0.00137,18.45031,0.12394,-0.00939,0.02414,859.73248,0.00183,-0.00186,0.00448,0.01394,-0.00315,0.00437,0.01707,0.0003,-0.00261,-0.01085,-0.0012,0.01404
="2026/04/02 17:25:10.980",0.01451,0.00114,-0.01179,18.90682,0.13508,-0.0093,0.02803,860.11572,0.00643,0.00217,0.0083,0.006,-0.00483,0.00064,-0.00717,-0.00379,-0.01525,0.0121,-0.00254,0.00459
="2026/04/02 17:25:11.000",0.00526,0.00257,-0.02261,19.26745,0.13378,-0.00773,0.02563,860.4317,-0.00621,-0.00194,-0.01203,0.00005,-0.00146,-0.00553,0.0215,0.00623,0.00063,0.00176,-0.01024,0.00138
="2026/04/02 17:25:11.020",0.01007,0.00083,-0.00388,19.61529,0.14882,-0.01033,0.02683,860.63147,0.00843,0.00489,-0.00374,0.00475,-0.00012,-0.00271,-0.06527,0.01176,0.03224,0.01279,-0.0044,0.0051
="2026/04/02 17:25:11.040",-0.0079,-0.00605,-0.01011,20.05621,0.15099,-0.0138,0.02156,860.84003,0.00603,0.00107,-0.0159,-0.0049,-0.00569,-0.0156,0.02065,-0.00508,0.02259,0.0272,0.00015,0.00796
="2026/04/02 17:25:11.060",-0.01434,0.00197,-0.01041,20.31632,0.15292,-0.01442,0.00154,861.0191,-0.00775,0.00964,0.00212,-0.00208,-0.00191,-0.00244,0.02798,-0.00105,-0.01197,0.01448,0.00138,-0.02098
="2026/04/02 17:25:11.080",-0.0139,0.00065,0.0012,20.10988,0.14889,-0.0004,-0.01171,861.08521,0.00495,0.00286,0.00159,-0.00913,-0.00216,0.00405,-0.00179,0.00067,-0.00009,0.01524,0.00749,-0.00641
="2026/04/02 17:25:11.100",-0.01672,-0.00189,-0.00888,19.35784,0.14426,-0.01643,-0.01171,861.34448,-0.01346,-0.00175,0.00559,-0.00515,0.00702,-0.00707,0.00483,0.01024,-0.00923,0.0061,0.00006,-0.01184
="2026/04/02 17:25:11.120",-0.02088,0.00293,0.00762,19.27503,0.15615,-0.00513,-0.02536,861.49982,-0.0017,0.00023,0.00283,-0.01079,-0.00031,-0.00549,-0.0095,0.01384,0.00478,0.0015,0.00205,0.00385
="2026/04/02 17:25:11.140",-0.0118,0.00192,0.02383,19.09162,0.15302,-0.00008,-0.04095,861.94849,-0.01035,0.00434,0.0185,-0.01294,-0.00324,-0.00009,0.00959,0.0117,-0.00502,-0.00503,-0.0028,-0.00901
="2026/04/02 17:25:11.160",-0.01297,-0.00011,0.00302,18.74903,0.1467,-0.00725,-0.02608,861.74585,0.00817,-0.0047,0.00448,-0.00359,-0.00213,0.00644,-0.00843,-0.00363,-0.00673,-0.00061,0.00041,-0.00226
="2026/04/02 17:25:11.180",0.0058,-0.00556,0.03097,18.82653,0.1468,-0.0078,-0.02984,861.26245,0.00517,-0.00203,0.00935,0.00148,-0.00102,0.00605,-0.03171,-0.00222,0.00642,-0.01295,-0.00376,0.00642
="2026/04/02 17:25:11.200",0.01174,-0.00258,0.01587,18.46265,0.13277,-0.00673,0.00749,861.24518,0.00008,-0.00461,-0.02455,0.0031,-0.00225,-0.00601,0.00434,-0.00791,-0.01611,-0.01099,0.00111,0.01425
="2026/04/02 17:25:11.220",0.00218,0.00124,-0.00591,18.50905,0.13906,-0.00815,0.00968,860.5769,0.00643,-0.00369,-0.01547,0.00035,-0.00368,0.01569,0.01401,0.01009,0.02136,-0.02287,-0.00333,0.02337
