time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ
="2026/04/02 17:26:31.420",-0.02722,-0.32991,-0.86952,26.95237,0.23816,0.11871,-0.45051,843.61798,-0.1583,0.21531,-0.29646,0.75905,0.00547,-0.80523,0.08671,0.02279,-0.04348,0.47063,-0.03066,0.13809
="2026/04/02 17:26:31.440",-0.21712,-0.22804,-0.98564,29.56479,0.5051,0.09436,0.20406,850.05707,-0.46616,0.0898,-0.33833,0.83189,0.1061,-0.99819,0.03575,0.06623,0.1207,0.45513,-0.00728,-0.11038
="2026/04/02 17:26:31.460",-0.45086,-0.26749,-1.01949,29.79412,0.71744,0.32813,-0.28875,858.64673,0.1859,0.11599,-0.66449,0.45569,-0.03004,-0.50572,-0.51556,0.04779,-0.01032,0.45249,0.10927,0.29365
="2026/04/02 17:26:31.480",-0.59632,-0.17428,-0.74634,27.8628,0.3757,0.3073,-0.60854,867.99548,0.11501,0.10801,-0.45154,0.72016,-0.10854,-0.9377,0.03894,-0.03734,-0.05136,0.62947,-0.04166,-0.19427
="2026/04/02 17:26:31.500",-0.71877,-0.15817,-0.51411,24.71598,0.99109,0.2976,0.15228,875.21643,-0.08686,0.0616,0.00849,0.6319,0.04436,-0.97685,-0.41242,-0.00275,0.03307,0.36206,0.14411,0.36673
="2026/04/02 17:26:31.520",-0.84802,-0.20313,-0.41221,19.6746,0.40882,0.57956,-0.94516,879.74707,0.41346,0.05449,-0.13201,0.13175,0.08941,-0.11767,-0.09955,-0.00235,-0.00136,0.51602,-0.02869,0.40254
="2026/04/02 17:26:31.540",-0.62661,-0.45201,-0.21403,13.97313,0.37088,0.46618,0.17243,882.00464,-0.13082,-0.123,0.20351,0.80231,-0.04274,-0.85157,-0.17457,-0.07085,-0.06355,0.2327,0.01078,0.21883
="2026/04/02 17:26:31.560",-0.58615,-0.0985,-0.14315,9.39602,0.54517,0.42893,-0.32135,880.86499,0.31616,-0.19833,0.21852,0.03242,-0.01055,-0.34168,-0.38922,-0.08486,-0.07017,0.27507,0.00174,0.36135
="2026/04/02 17:26:31.580",-0.41691,-0.17096,-0.02024,7.16079,-0.25746,0.70121,-0.40492,876.55206,0.31118,-0.15554,0.04804,0.08703,-0.08063,0.20376,-0.4025,-0.07413,-0.12159,-0.01266,0.01554,0.71745
="2026/04/02 17:26:31.600",-0.14827,-0.06013,-0.12767,7.60316,0.19858,0.46256,0.74038,869.95526,0.11068,-0.19867,0.40521,0.23905,-0.11,-0.54107,-0.30419,-0.05985,-0.05536,-0.00561,-0.08725,0.18311
="2026/04/02 17:26:31.620",0.04111,0.09675,-0.10654,9.95443,-0.3768,0.53846,0.01597,861.9953,0.45531,-0.16116,0.22276,-0.39226,-0.15285,0.56864,-0.83789,0.05308,0.00698,-0.07688,0.07781,0.45659
="2026/04/02 17:26:31.640",0.1874,-0.07448,0.14009,14.06362,-1.09252,0.5155,0.18569,855.34094,0.06711,-0.23165,0.53139,0.09209,-0.14385,0.19052,-0.10449,-0.07661,-0.07046,-0.03771,0.01067,0.05302
="2026/04/02 17:26:31.660",0.26886,0.20049,0.30163,19.46795,-0.05092,0.17228,1.20688,851.32025,0.26818,-0.24012,0.49764,-0.33643,-0.01776,0.29889,-0.15473,-0.03693,-0.10489,-0.0356,0.00043,0.18295
="2026/04/02 17:26:31.680",0.38907,0.23725,0.76309,25.88512,-0.73817,0.06563,0.85921,849.37866,0.30866,-0.1598,0.43249,-0.25255,0.0054,0.85727,-0.07953,-0.08634,-0.09762,-0.12376,0.00886,0.14566
="2026/04/02 17:26:31.700",0.45174,0.14468,0.92665,31.55206,-0.79173,0.21567,0.2829,849.81329,-0.48067,-0.13545,0.63825,-0.3214,-0.00816,0.48103,-0.24503,-0.06415,-0.06371,-0.02013,-0.05715,-0.55156
="2026/04/02 17:26:31.720",0.27217,0.32751,0.74078,35.31705,-0.37249,0.23233,1.35073,852.56549,-0.09601,-0.192,0.21328,-0.81938,-0.04242,0.89151,-0.30015,-0.04174,-0.00937,-0.17564,0.16526,0.25359
="2026/04/02 17:26:31.740",0.35087,0.31693,1.06501,36.69499,-0.95943,-0.39235,0.1165,857.27747,0.29071,-0.01597,0.19486,-0.35283,-0.06138,0.62647,-0.12137,0.03162,0.00707,-0.09044,-0.16052,-0.35581
="2026/04/02 17:26:31.760",0.19942,0.49244,1.14312,36.05165,-0.10851,-0.36783,0.47891,862.82983,-0.31961,-0.11908,0.43174,-1.00069,-0.09157,0.60839,-0.21105,-0.02708,-0.06561,-0.14597,0.13632,-0.59476
