time,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 17:17:25.460",-0.13438,-0.04461,0.21322,17.79648,-0.06038,0.15988,0.21979,0.11225,-0.01329,-0.09386,858.96399,-0.20956,0.04384,0.30127,0.34498,-0.08634,0.0495,-0.17447,-0.00589,-0.00937
="2026/04/02 17:17:25.480",-0.01476,-0.03497,-0.17748,18.31135,0.03853,0.04921,0.2073,-0.19111,-0.06598,-0.00127,858.81415,0.10346,0.0171,0.01173,-0.02391,0.12048,-0.22435,-0.19047,-0.00355,0.00766
="2026/04/02 17:17:25.500",-0.04202,0.02821,-0.17213,18.22505,-0.10853,0.3179,0.41437,-0.19175,-0.00534,0.02051,858.47858,-0.08327,-0.11962,0.02241,0.18329,-0.21236,0.81403,-0.0848,0.01027,0.00321
="2026/04/02 17:17:25.520",-0.00527,0.06407,0.07729,18.54786,0.0499,0.2761,0.19092,-0.13656,0.03466,-0.04306,858.26172,-0.05291,0.01488,0.00797,-0.17783,-0.1705,0.16612,-0.38011,-0.00257,0.01089
="2026/04/02 17:17:25.540",0.09422,-0.00723,-0.18317,18.78424,-0.16695,-0.01265,0.32472,-0.39352,0.0199,0.08231,858.32697,0.14035,0.04561,-0.24725,-0.27207,-0.39692,0.54488,-0.21806,-0.02369,-0.01052
="2026/04/02 17:17:25.560",-0.02562,-0.00409,-0.01006,18.49049,-0.08711,-0.01088,0.15064,-0.06737,-0.00416,-0.13889,858.68793,-0.20872,0.16469,0.05233,0.09028,-0.33029,0.28049,-0.16422,0.01244,0.00439
="2026/04/02 17:17:25.580",0.18257,0.05925,-0.32553,18.33856,-0.02361,-0.22593,-0.05447,-0.23767,-0.04942,-0.14543,858.88092,0.22057,0.13524,-0.21242,-0.14899,0.13898,-0.42857,-0.16887,0.01174,0.01753
="2026/04/02 17:17:25.600",0.11523,-0.03324,-0.33866,18.60642,-0.05559,-0.20371,-0.10214,-0.34115,-0.03928,0.17383,858.98358,-0.10636,-0.04285,0.03593,0.22805,-0.04106,0.29795,-0.18118,-0.03256,0.0781
="2026/04/02 17:17:25.620",0.29827,0.07372,-0.17547,18.90417,0.00198,-0.32229,-0.41551,-0.19753,0.00432,0.10029,858.5387,-0.14643,-0.06419,0.32461,0.11975,0.20649,-0.38528,-0.14449,-0.00201,-0.00717
="2026/04/02 17:17:25.640",0.37043,-0.01879,-0.32018,18.92969,-0.06293,-0.21801,-0.27037,-0.47453,-0.01756,0.13418,858.37231,0.12637,-0.13691,-0.11627,-0.04914,0.29461,-0.40159,-0.27266,-0.02516,-0.00984
="2026/04/02 17:17:25.660",0.16879,-0.04127,-0.0863,19.17241,0.07477,0.04274,-0.27662,-0.29723,0.00319,0.02143,859.5423,-0.22533,-0.05241,0.16796,0.05227,0.31483,-0.31286,-0.15091,0.00425,-0.01945
="2026/04/02 17:17:25.680",0.33518,-0.02581,-0.23458,19.18942,0.07775,-0.02004,-0.16769,-0.32471,0.01834,-0.0671,860.03979,0.10057,-0.11697,-0.01122,-0.32296,0.58197,-1.00134,-0.13775,0.00025,0.03284
="2026/04/02 17:17:25.700",0.14226,-0.00345,-0.25607,18.63216,0.08239,0.09718,-0.15787,-0.30552,0.02011,-0.07173,859.65491,-0.16675,-0.05108,-0.0971,-0.25041,0.27132,0.02505,-0.07479,0.05015,0.03261
="2026/04/02 17:17:25.720",0.28337,-0.01828,-0.09126,18.34865,0.04743,0.13912,-0.0951,-0.20215,0.01095,-0.12962,859.77972,0.01428,0.02815,0.08136,-0.23973,0.0171,-0.29276,-0.15522,0.00116,0.01599
="2026/04/02 17:17:25.740",0.16687,-0.00331,-0.1014,17.81616,0.12585,0.18246,-0.00239,-0.28128,-0.00514,0.06266,860.05414,0.13993,0.06319,-0.27196,-0.62011,-0.10788,0.00868,-0.10006,0.03464,0.00882
="2026/04/02 17:17:25.760",0.09751,-0.04489,-0.22628,18.00549,0.09302,0.36849,-0.11408,-0.25789,-0.01136,0.07503,860.41852,-0.08588,0.04381,0.00919,-0.29827,-0.17254,0.18461,-0.09398,0.01913,0.0058
="2026/04/02 17:17:25.780",0.10533,0.04752,-0.0317,18.02416,0.13751,0.1176,-0.19641,-0.22195,0.05149,-0.02834,860.43011,0.15628,0.11683,-0.1473,-0.64253,-0.0242,-0.33196,0.08847,-0.00697,-0.00841
="2026/04/02 17:17:25.800",0.04298,0.04496,-0.20511,17.96321,0.04163,-0.07949,-0.24099,-0.09131,0.04984,0.02918,860.82092,-0.06851,0.12537,-0.10315,-0.52996,-0.09344,0.12079,-0.02104,0.03242,0.01436
="2026/04/02 17:17:25.820",0.1531,0.01236,-0.19431,18.60212,0.00738,-0.1822,-0.26861,-0.00125,0.02922,-0.03932,861.0965,0.06922,0.19851,0.04839,-0.20985,-0.17736,-0.07185,0.06334,0.01539,0.02031
="2026/04/02 17:17:25.840",-0.03286,0.00497,-0.04591,19.238,0.08893,-0.18635,-0.30561,-0.03248,0.03266,-0.09613,860.47076,0.14533,0.10804,-0.15331,-0.50893,0.05668,-0.24888,0.15057,0.02466,0.01769
="2026/04/02 17:17:25.860",0.04516,-0.02566,-0.33288,19.41496,0.06315,-0.11057,-0.37341,-0.22947,0.02278,0.09411,860.1933,-0.04985,-0.01209,0.02957,-0.26902,0.283,-0.53986,0.06689,-0.00038,0.06788
="2026/04/02 17:17:25.880",0.10154,0.06614,-0.09218,19.40454,0.03253,-0.09648,-0.1945,-0.02326,-0.00174,0.02707,860.44135,0.14581,-0.04061,-0.05568,-0.11306,0.1684,0.00496,0.21122,-0.03159,-0.01576
="2026/04/02 17:17:25.900",0.00956,0.01873,-0.08974,18.95292,0.11028,0.00631,-0.20981,0.06333,-0.0042,-0.06999,860.63013,0.02427,-0.0491,-0.21439,-0.46213,0.19463,-0.5757,0.06242,0.00358,0.01406
="2026/04/02 17:17:25.920",0.12557,-0.08007,-0.1232,18.75992,0.04129,0.00224,-0.14084,-0.11715,-0.04784,0.09221,860.58459,0.15329,0.00986,-0.01606,0.07453,-0.01433,-0.13817,0.0921,-0.0093,0.01199
="2026/04/02 17:17:25.940",-0.00595,0.04619,0.15446,19.80254,0.05829,0.03666,-0.13104,0.09562,0.01685,0.00168,861.39734,-0.11253,0.05664,-0.02409,-0.28243,0.17235,0.00474,0.25475,-0.02443,-0.05285
="2026/04/02 17:17:25.960",0.04826,-0.07591,-0.10251,20.14604,0.10128,-0.03967,-0.13069,0.11682,0.00912,-0.00735,862.28223,0.17195,0.02566,-0.25096,-0.33476,0.04126,-0.39898,0.25639,-0.00617,-0.03493
="2026/04/02 17:17:25.980",0.02727,0.08445,0.0613,19.63642,0.08879,0.04682,-0.23046,0.15019,-0.01962,-0.08977,862.39288,-0.0721,-0.02524,0.23598,-0.12043,-0.08304,0.20804,0.1512,-0.04708,-0.0803
="2026/04/02 17:17:26.000",-0.07703,0.00887,-0.04608,19.31847,0.0613,-0.08977,-0.11462,0.35752,0.01152,-0.03443,862.61481,0.09237,0.00548,-0.27035,-0.29135,-0.00663,-0.39129,0.19263,0.05219,-0.03598
="2026/04/02 17:17:26.020",-0.03154,-0.00502,-0.05199,19.77023,0.09811,0.00617,-0.10279,0.23744,-0.01038,0.01355,863.04645,0.15355,0.01226,-0.17905,0.24207,-0.05193,0.03647,0.11708,-0.05733,-0.05165
="2026/04/02 17:17:26.040",-0.1443,-0.00178,0.10645,20.42421,0.131,-0.01965,-0.18711,0.41586,0.00479,-0.08322,862.70038,-0.1502,0.03627,0.13788,0.1504,0.03588,-0.03572,0.26971,-0.02716,-0.03443
="2026/04/02 17:17:26.060",-0.00549,0.00794,-0.01616,20.21694,0.095,-0.05398,-0.11837,0.36588,0.01867,-0.0615,862.60944,0.15778,-0.02801,-0.04292,0.14316,0.20083,-0.27562,0.00334,-0.0071,-0.0087
