time,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 17:15:46.360",0.0001,0.00252,-0.07187,20.98059,-0.01137,0.01123,0.01155,-0.02502,-0.02135,-0.05185,859.03259,0.01653,-0.00261,-0.00736,,,,,,
="2026/04/02 17:15:46.380",0.00677,-0.00169,-0.02805,21.18773,-0.03968,-0.01488,-0.09644,0.02569,0.00425,-0.00483,859.58813,0.01257,0.00135,0.02862,,,,,,
="2026/04/02 17:15:46.400",0.0422,0.00464,0.01733,20.46479,-0.04064,0.01601,0.04902,-0.01002,0.00614,-0.01275,861.07733,-0.02051,-0.01753,-0.06256,,,,,,
="2026/04/02 17:15:46.420",0.01809,-0.01989,-0.01832,19.88591,-0.01029,0.01397,0.03327,0.0311,0.01298,-0.03071,862.07043,-0.00204,0.01474,-0.06729,,,,,,
="2026/04/02 17:15:46.440",0.01523,-0.01839,0.00078,19.2893,0.0229,-0.02724,-0.00868,-0.03529,-0.01105,-0.02658,862.474,-0.03468,0.02055,-0.00926,,,,,,
="2026/04/02 17:15:46.460",-0.02229,0.00617,-0.00031,18.65206,-0.04299,0.00244,-0.02832,-0.00444,-0.00893,-0.0396,862.52423,-0.02524,0.02102,0.05753,,,,,,
="2026/04/02 17:15:46.480",-0.02353,0.01076,-0.00312,17.71023,-0.01072,0.00968,0.08385,0.05563,-0.00645,-0.0535,862.49994,-0.01494,0.03701,-0.03502,,,,,,
="2026/04/02 17:15:46.500",-0.00937,0.00456,0.03882,17.10922,0.00139,0.02492,0.08514,-0.02463,-0.00008,0.01691,861.91333,0.02119,-0.00734,0.02627,,,,,,
="2026/04/02 17:15:46.520",-0.0187,-0.00038,-0.02835,17.36116,0.01426,-0.01973,-0.04095,0.00679,0.00327,-0.01453,860.78656,-0.00881,0.00625,-0.02384,,,,,,
="2026/04/02 17:15:46.540",-0.01668,0.00485,-0.0121,18.15467,0.00817,0.00219,-0.05582,0.04921,-0.01992,-0.02032,860.12274,0.01822,-0.01052,0.00226,,,,,,
="2026/04/02 17:15:46.560",-0.03454,0.00854,-0.0119,17.9337,-0.00718,0.00708,0.03024,0.03268,-0.00628,0.04995,860.0481,-0.03692,0.01911,-0.0631,,,,,,
="2026/04/02 17:15:46.580",-0.01324,-0.01414,-0.01167,17.62948,0.0322,-0.00006,0.02239,0.0022,-0.00858,0.07987,859.46692,-0.00204,0.01347,0.00888,,,,,,
="2026/04/02 17:15:46.600",-0.01041,0.0009,0.02236,18.02235,0.07374,-0.01102,-0.04225,0.02258,0.02082,0.09689,859.00684,0.0395,-0.00641,0.03479,,,,,,
="2026/04/02 17:15:46.620",0.01533,0.00637,-0.00122,18.52997,0.02755,-0.01048,0.02451,0.02604,0.02481,0.00192,859.15533,-0.0375,-0.00001,-0.04322,,,,,,
="2026/04/02 17:15:46.640",0.01729,-0.00419,-0.01417,20.15977,0.01681,0.00385,0.03613,0.00026,-0.01366,0.03544,859.10596,-0.00388,0.00081,-0.01173,,,,,,
="2026/04/02 17:15:46.660",0.00499,-0.01289,0.0124,20.91748,-0.02488,0.0031,0.02481,0.04435,0.03426,-0.02735,859.78247,0.03203,0.01523,0.03189,,,,,,
="2026/04/02 17:15:46.680",0.0488,-0.01097,-0.0148,20.839,-0.02357,0.00996,0.01695,0.01025,-0.00692,-0.05834,860.61328,-0.00712,-0.00664,0.01566,,,,,,
="2026/04/02 17:15:46.700",0.03446,0.00251,0.00331,20.4477,-0.00715,0.00583,0.02332,-0.0282,-0.03174,-0.06116,860.76874,-0.02386,-0.00962,0.00486,,,,,,
="2026/04/02 17:15:46.720",0.02442,-0.00591,0.01173,20.02855,-0.0243,-0.00282,0.08362,0.04242,-0.00159,-0.02596,861.16248,0.00037,-0.02636,-0.01191,,,,,,
="2026/04/02 17:15:46.740",-0.0036,0.01829,0.05206,19.59995,-0.03667,0.0061,0.07507,-0.00952,-0.02003,-0.00124,861.92346,-0.04265,-0.00002,0.04018,,,,,,
="2026/04/02 17:15:46.760",-0.004,-0.00169,0.06245,18.83143,-0.01556,0.00318,0.02272,0.00402,0.02383,0.05065,862.31415,-0.00673,-0.02759,0.0639,,,,,,
="2026/04/02 17:15:46.780",-0.01498,0.02047,0.0255,17.93328,0.01568,0.01085,0.09898,-0.02865,-0.00838,0.01114,861.78711,-0.02169,-0.01988,-0.04461,,,,,,
="2026/04/02 17:15:46.800",-0.02056,0.00518,0.01519,17.61436,-0.04354,0.00445,-0.02853,0.04757,-0.03374,-0.0725,861.24963,-0.03332,0.05849,0.04592,,,,,,
="2026/04/02 17:15:46.820",-0.02014,0.01359,0.01477,17.12029,0.00086,0.00376,0.01881,0.01416,0.00529,0.0683,861.18622,0.01599,0.03296,0.0076,,,,,,
="2026/04/02 17:15:46.840",0.00147,0.00851,0.02819,17.10821,0.03002,-0.01045,-0.10578,-0.00784,-0.00578,0.01305,860.65796,0.03037,0.03478,-0.01371,,,,,,
="2026/04/02 17:15:46.860",-0.04487,0.00693,0.01486,17.73195,0.03563,-0.00107,0.04967,-0.00819,-0.00549,0.0325,860.21661,0.01641,0.01837,-0.03686,,,,,,
="2026/04/02 17:15:46.880",0.01629,0.00642,-0.04134,18.41741,0.06443,-0.00228,-0.01585,0.03985,0.00997,0.03181,859.53217,0.01332,0.00159,0.03176,,,,,,
="2026/04/02 17:15:46.900",0.03616,-0.01228,-0.02876,19.43078,0.02135,0.00546,0.05676,-0.01493,0.01829,-0.03079,858.74005,-0.01106,0.01208,0.03492,,,,,,
="2026/04/02 17:15:46.920",0.00752,0.0003,0.04032,19.74271,-0.02287,-0.00825,0.03397,-0.01237,-0.00405,0.03242,858.49725,-0.01246,0.011,0.00988,,,,,,
="2026/04/02 17:15:46.940",0.00509,-0.00261,0.02941,20.14758,0.0076,-0.01585,-0.01938,0.00682,-0.0205,0.04028,858.8479,0.02208,0.02695,0.00362,,,,,,
="2026/04/02 17:15:46.960",0.00964,0.0088,0.04856,20.47417,-0.0229,-0.00955,0.02371,-0.00194,0.02357,0.05718,859.64386,0.01577,-0.00254,-0.02623,,,,,,
="2026/04/02 17:15:46.980",0.03529,-0.00452,0.01111,20.31664,-0.02586,-0.00327,-0.0305,0.02909,0.00293,-0.04055,860.47253,0.01312,-0.00575,-0.07067,,,,,,
="2026/04/02 17:15:47.000",0.02972,-0.00728,0.07438,20.32934,-0.04472,-0.01272,-0.02921,-0.01658,-0.03523,-0.01428,861.17682,-0.01416,-0.02849,0.04167,,,,,,
="2026/04/02 17:15:47.020",-0.00759,0.01892,0.04863,20.24818,-0.05437,0.00241,0.00519,0.02646,-0.00637,-0.06965,861.76971,0.0148,-0.01073,-0.00075,,,,,,
="2026/04/02 17:15:47.040",0.0114,-0.00199,0.04429,19.38954,-0.05135,-0.01687,-0.05067,-0.03353,0.01402,0.02869,862.0661,0.03055,0.02173,-0.02548,,,,0.01299,-0.01932,-0.00951
="2026/04/02 17:15:47.060",0.02319,0.01775,0.09877,18.71913,-0.04374,-0.01248,-0.0578,0.04399,-0.02503,-0.13341,862.2005,-0.00617,0.00613,0.00709,,,,-0.00382,0.01609,0.00527
="2026/04/02 17:15:47.080",-0.03328,0.04912,0.03823,18.39388,0.00627,-0.02353,-0.06116,0.03096,-0.04384,-0.14184,862.30029,0.01322,0.01138,0.01134,,,,-0.01156,0.00141,-0.00615
="2026/04/02 17:15:47.100",-0.02599,0.00682,0.05739,17.48758,0.02154,-0.00204,0.01642,-0.05613,0.01218,0.08431,861.73291,-0.00733,0.02597,-0.02392,,,,-0.01472,-0.00029,0.01777
="2026/04/02 17:15:47.120",-0.01093,-0.00338,0.06975,17.14203,0.02426,-0.0159,-0.03376,0.05823,0.0061,-0.03984,860.87524,0.05367,0.00129,0.03594,,,,-0.01568,0.00034,0.01159
="2026/04/02 17:15:47.140",-0.01328,0.01151,0.06327,17.53001,0.01044,-0.02668,-0.06906,-0.02086,0.00778,0.00522,859.88336,0.03226,0.00121,0.00558,,,,0.02799,0.013,0.00076
="2026/04/02 17:15:47.160",-0.04123,-0.00341,-0.02027,17.69839,0.03443,-0.01575,-0.06214,-0.03302,0.03175,0.11449,858.57465,0.03282,0.02025,-0.0424,,,,0.00677,0.02138,0.05512
="2026/04/02 17:15:47.180",-0.01419,0.01119,-0.05132,18.04691,0.00605,0.00949,-0.04481,0.06709,-0.01483,-0.0634,857.73083,0.02407,-0.00299,-0.03987,,,,0.02408,0.01847,0.0091
="2026/04/02 17:15:47.200",0.05976,-0.01357,0.05152,18.49114,0.01987,-0.01871,-0.02747,0.02122,-0.00077,-0.02725,858.32947,0.00467,-0.01246,-0.00827,,,,-0.0444,0.00297,0.00072
="2026/04/02 17:15:47.220",-0.00564,0.00193,-0.00742,19.02672,0.03468,-0.00231,0.03754,-0.03746,0.0163,0.00998,859.25281,-0.00773,-0.02157,-0.02236,,,,-0.05727,-0.01687,-0.00247
="2026/04/02 17:15:47.240",0.06103,-0.00731,-0.07537,19.70822,0.00245,-0.00841,0.03938,-0.00062,0.03411,-0.05423,859.40887,0.00698,-0.03932,-0.04658,,,,0.00691,-0.00505,0.00849
="2026/04/02 17:15:47.260",0.0285,-0.00062,-0.00812,20.24347,0.02514,0.00443,0.03758,-0.02105,-0.01312,-0.01623,859.92627,-0.01586,-0.05014,-0.02524,,,,-0.02583,0.00496,0.00148
="2026/04/02 17:15:47.280",0.02397,0.00242,0.05752,19.9147,-0.03908,0.00949,-0.01562,0.02961,0.0382,0.04742,860.70093,0.02362,-0.02757,-0.0127,,,,-0.03837,-0.00352,0.0207
="2026/04/02 17:15:47.300",0.02276,0.01731,0.07479,19.72292,-0.06879,-0.00223,-0.02425,-0.07279,0.02816,-0.00026,861.40216,-0.00476,0.01208,-0.01572,,,,0.04931,0.00785,0.01328
="2026/04/02 17:15:47.320",-0.01709,0.01119,0.00866,19.64915,-0.04252,0.00602,0.00732,-0.00427,-0.01348,-0.08662,862.32684,0.01851,0.01525,-0.02418,,,,0.03252,0.01501,0.00652
="2026/04/02 17:15:47.340",0.02181,0.00338,0.06698,19.43901,-0.02789,-0.01403,0.02075,-0.02865,-0.05915,-0.16467,863.0838,-0.01552,-0.00056,-0.03458,,,,0.01398,-0.00583,0.01386
="2026/04/02 17:15:46.000",,,,18.2494,0.00335,-0.01303,-0.03036,,,,859.16577,,,,,,,,,
="2026/04/02 17:15:46.020",,,,18.51874,0.03686,-0.01198,-0.06121,,,,858.78491,,,,,,,,,
="2026/04/02 17:15:46.040",,,,19.39597,0.0067,-0.00625,-0.06803,-0.02411,-0.03025,-0.00568,859.16827,0.02314,0.00303,-0.04034,,,,,,
="2026/04/02 17:15:46.060",,,,20.33325,0.03468,0.00332,0.07878,-0.01626,0.03053,0.0861,860.16412,-0.01302,0.0204,-0.04186,,,,,,
="2026/04/02 17:15:46.080",,,,21.19348,0.00661,0.0068,0.05578,0.01871,-0.01256,-0.0617,860.92346,-0.02613,-0.02151,0.05189,,,,,,
="2026/04/02 17:15:46.100",,,,21.30423,-0.00954,-0.00388,-0.0381,0.01888,-0.03758,-0.06936,861.18304,0.00969,-0.00866,0,,,,,,
="2026/04/02 17:15:46.120",,,,20.33668,-0.0559,0.02078,0.04229,0.00144,-0.00078,-0.01271,861.24646,0.02118,0.02618,-0.07562,,,,,,
="2026/04/02 17:15:46.140",,,,19.37062,-0.05571,0.00659,-0.01157,-0.00224,0.02621,0.07463,861.56348,0.0059,-0.01637,0.05093,,,,,,
="2026/04/02 17:15:46.160",,,,18.78563,-0.02334,0.01528,0.02949,-0.0132,0.01627,0.04185,861.91272,-0.04798,-0.01392,0.02619,,,,,,
="2026/04/02 17:15:46.180",,,,18.78267,-0.0165,-0.00919,0.00243,-0.00395,-0.00655,-0.00796,862.1521,-0.05603,0.01712,-0.01019,,,,,,
="2026/04/02 17:15:46.200",,,,18.65348,0.04049,0.00315,0.02747,0.01776,0.01949,0.03533,862.44769,-0.01624,-0.01089,0.00936,,,,,,
="2026/04/02 17:15:46.220",,,,17.75933,-0.04717,-0.00756,0.00894,0.01148,0.00671,0.04217,862.34143,-0.03301,0.00346,0.02136,,,,,,
="2026/04/02 17:15:46.240",,,,17.56607,0.04858,-0.00784,-0.04575,-0.00127,-0.0086,0.00537,861.65253,0.01994,-0.00322,0.05531,,,,,,
="2026/04/02 17:15:46.260",,,,17.94167,0.03408,0.00689,-0.00429,-0.02595,0.0084,0.0876,860.57397,-0.02807,0.01088,0.01159,,,,,,
="2026/04/02 17:15:46.280",,,,18.72729,0.002,-0.00628,-0.04985,-0.01235,-0.01596,-0.06192,859.30621,-0.01085,-0.00141,-0.02949,,,,,,
="2026/04/02 17:15:46.300",,,,18.80317,0.05441,-0.03337,-0.09998,0.0589,-0.01106,-0.06646,858.72021,0.01672,-0.00811,0.01972,,,,,,
="2026/04/02 17:15:46.320",,,,19.30709,-0.01496,-0.00336,-0.0342,-0.04853,0.01182,0.03424,859.09229,0.01089,-0.01165,-0.0314,,,,,,
="2026/04/02 17:15:46.340",,,,20.25401,0.04376,-0.00887,-0.05271,0.01402,0.01943,0.04761,859.11328,0.01454,0.00143,-0.00389,,,,,,
="2026/04/02 17:15:45.360",,,,,-0.01102,0.00423,-0.00599,,,,,,,,,,,,,
="2026/04/02 17:15:45.380",,,,,0.01919,0.01398,0.00697,,,,,,,,,,,,,
="2026/04/02 17:15:45.400",,,,,-0.00054,-0.00273,-0.0275,,,,,,,,,,,,,
="2026/04/02 17:15:45.420",,,,,-0.00783,0.00621,0.00626,,,,,,,,,,,,,
="2026/04/02 17:15:45.440",,,,,0.06436,0.00279,0.00424,,,,,,,,,,,,,
="2026/04/02 17:15:45.460",,,,,-0.01547,0.01464,-0.0257,,,,,,,,,,,,,
="2026/04/02 17:15:45.480",,,,,-0.03308,0.01136,0.02765,,,,,,,,,,,,,
="2026/04/02 17:15:45.500",,,,,0.03908,-0.00996,0.0496,,,,,,,,,,,,,
="2026/04/02 17:15:45.520",,,,,-0.03059,0.01797,0.03095,,,,,,,,,,,,,
="2026/04/02 17:15:45.540",,,,,-0.06413,0.01436,-0.00319,,,,,,,,,,,,,
="2026/04/02 17:15:45.560",,,,,-0.03608,-0.00578,-0.00574,,,,,,,,,,,,,
="2026/04/02 17:15:45.580",,,,,-0.04722,-0.00814,0.04014,,,,,,,,,,,,,
="2026/04/02 17:15:45.600",,,,,0.00062,-0.00656,-0.02121,,,,,,,,,,,,,
="2026/04/02 17:15:45.620",,,,,-0.01856,-0.01167,-0.02081,,,,,,,,,,,,,
="2026/04/02 17:15:45.640",,,,,-0.00116,0.01393,-0.03326,,,,,,,,,,,,,
="2026/04/02 17:15:45.660",,,,,-0.0097,-0.00508,-0.00161,,,,,,,,,,,,,
="2026/04/02 17:15:45.680",,,,,0.02937,-0.00351,-0.02129,,,,,,,,,,,,,
="2026/04/02 17:15:45.700",,,,,0.02209,-0.00089,-0.01831,,,,,,,,,,,,,
="2026/04/02 17:15:45.720",,,,,0.02762,-0.00332,-0.01157,,,,,,,,,,,,,
="2026/04/02 17:15:45.740",,,,,0.04619,-0.00988,0.03989,,,,,,,,,,,,,
="2026/04/02 17:15:45.760",,,,,0.01086,-0.01689,-0.05985,,,,,,,,,,,,,
="2026/04/02 17:15:45.780",,,,,-0.00489,0.00485,-0.01331,,,,,,,,,,,,,
="2026/04/02 17:15:45.800",,,,,-0.00792,0.02503,0.06838,,,,,,,,,,,,,
="2026/04/02 17:15:45.820",,,,,-0.03609,0.02977,0.10258,,,,,,,,,,,,,
="2026/04/02 17:15:45.840",,,,,-0.03566,0.02187,0.05012,,,,,,,,,,,,,
="2026/04/02 17:15:45.860",,,,,-0.00842,-0.0053,0.01007,,,,,,,,,,,,,
="2026/04/02 17:15:45.880",,,,,-0.02577,-0.00054,-0.01021,,,,,,,,,,,,,
="2026/04/02 17:15:45.900",,,,,-0.04087,0.01021,0.00373,,,,,,,,,,,,,
="2026/04/02 17:15:45.920",,,,,-0.01798,-0.00488,-0.06207,,,,,,,,,,,,,
="2026/04/02 17:15:45.940",,,,,-0.00664,0.0112,0.00736,,,,,,,,,,,,,
="2026/04/02 17:15:45.960",,,,,0.03404,0.0058,-0.02056,,,,,,,,,,,,,
="2026/04/02 17:15:45.980",,,,,0.01467,0.01336,0.04921,,,,,,,,,,,,,
="2026/04/02 17:15:47.360",-0.00461,0.0066,0.05362,18.7639,-0.02098,0.00012,0.03434,-0.03491,-0.0231,0.04269,862.73663,-0.01959,-0.00149,-0.0052,0.03993,-0.01306,0.02713,-0.00673,0.00213,-0.01155
="2026/04/02 17:15:47.380",-0.02264,0.01906,0.00737,18.28988,0.02462,0.01068,0.0249,0.00727,-0.02681,0.0187,861.87073,-0.01829,-0.00022,0.01451,0.09124,-0.01108,-0.03319,0.01785,0.00929,-0.02636
="2026/04/02 17:15:47.400",0.00271,-0.02052,-0.04168,18.43048,-0.00225,0.019,0.01544,-0.059,-0.04504,-0.03003,861.44342,-0.00565,-0.01002,0.04487,0.04823,0.02506,0.06168,-0.02278,-0.00347,0.00146
="2026/04/02 17:15:47.420",-0.00262,-0.03471,0.07907,18.3395,0.01613,-0.00585,-0.03246,0.00026,-0.06798,0.01721,860.72467,-0.01268,-0.01499,0.02964,0.01544,-0.01404,0.06549,0.01922,-0.00366,-0.00056
="2026/04/02 17:15:47.440",-0.02318,0.0077,-0.06773,18.1453,0.01029,0.01386,-0.02353,-0.07609,-0.04821,0.13327,859.61432,-0.01255,-0.00052,-0.01401,-0.02322,0.01081,0.07999,-0.00495,0.01065,0.0461
="2026/04/02 17:15:47.460",0.00255,-0.0228,-0.04767,18.63408,0.05969,-0.01476,-0.04074,0.01825,-0.00427,0.13501,859.46313,0.02724,0.01181,-0.02628,-0.00832,0.00158,0.00855,0.00632,-0.00113,0.00757
="2026/04/02 17:15:47.480",0.01601,-0.01427,-0.07394,18.94791,0.02583,-0.00698,-0.02587,0.0051,-0.03787,-0.0342,859.39954,-0.01741,0.01281,-0.00286,-0.01328,-0.00147,0.00001,0.02669,0.00855,-0.00839
="2026/04/02 17:15:47.500",0.02385,-0.01515,-0.05152,18.77929,0.03584,-0.00394,0.03538,0.00811,0.02475,0.08709,859.07031,-0.03492,-0.00969,0.02131,-0.03188,-0.0001,0.06997,0.03558,0.00606,-0.0145
="2026/04/02 17:15:47.520",0.02614,0.00039,-0.04682,19.37987,0.00081,0.00404,-0.02228,0.0153,0.0016,0.13422,858.88757,-0.01531,0.00298,0.01065,-0.05623,0.00519,-0.02504,-0.03835,-0.00313,0.01749
="2026/04/02 17:15:47.540",0.01032,-0.00722,0.03876,20.22439,-0.00605,-0.00184,0.01211,0.03568,0.00085,0.06361,859.50269,0.00345,0.00126,0.05433,-0.04895,-0.00784,-0.01258,-0.00267,-0.00187,-0.00017
="2026/04/02 17:15:47.560",0.03524,-0.02722,-0.02958,21.00174,0.00938,0.01396,-0.0212,0.02902,0.00628,0.06087,860.45337,-0.00038,0.00899,-0.00791,-0.07082,-0.00456,-0.10854,0.03127,-0.00895,-0.01801
="2026/04/02 17:15:47.580",0.02343,-0.01964,0.00383,21.01567,-0.01127,-0.01029,0.04681,0.03771,0.00055,-0.0168,861.53424,0.01461,-0.00395,0.05417,0.07844,-0.01614,-0.02919,-0.01879,0.00148,-0.00428
="2026/04/02 17:15:47.600",0.02501,0.00303,0.00988,20.11485,-0.06341,0.001,-0.01198,0.06904,-0.01244,0.02057,862.27478,-0.04159,0.01455,-0.00002,-0.01526,-0.02081,-0.16189,-0.03464,-0.0142,-0.01176
="2026/04/02 17:15:47.620",0.00683,0.01703,0.0136,19.52972,-0.03395,-0.01501,-0.00906,0.01508,-0.00454,-0.05925,862.54962,0.01399,-0.00905,-0.00149,0.06447,0.01467,-0.00544,-0.00898,-0.00702,-0.01881
="2026/04/02 17:15:47.640",-0.056,-0.00627,0.00841,19.36514,-0.00581,-0.00819,0.0083,0.00864,0.04144,0.0296,862.4386,0.00432,0.00109,-0.03547,0.03585,-0.01948,-0.06776,0.04133,-0.00537,-0.03523
="2026/04/02 17:15:47.660",0.00812,-0.03133,0.15352,18.66356,0.02521,0.00656,0.00557,-0.00656,0.0198,-0.03894,862.54504,0.01287,0.01039,0.00569,0.03459,0.00279,-0.02739,0.01959,-0.00226,-0.03583
="2026/04/02 17:15:47.680",-0.02468,-0.01005,-0.01244,17.7535,-0.05594,-0.01804,-0.04009,0.03245,-0.01386,-0.05564,862.43878,-0.03207,0.00341,-0.03383,0.04491,0.00637,0.06988,0.02955,0.00215,-0.00488
="2026/04/02 17:15:47.700",-0.01292,-0.03456,-0.06119,17.17676,-0.06674,0.00207,-0.07214,-0.0005,-0.00698,-0.04988,861.55377,-0.01407,-0.00366,-0.01267,-0.03725,0.00421,0.01206,0.00836,-0.00874,-0.01378
="2026/04/02 17:15:47.720",-0.02651,0.00436,0.06445,17.43304,0.07112,0.00376,-0.02007,-0.01935,0.00488,0.04185,860.57623,0.01859,-0.01143,0.06354,0.00888,0.00616,0.01974,-0.00342,-0.00778,0.01248
="2026/04/02 17:15:47.740",-0.01647,-0.01024,-0.03215,17.80314,0.10313,0.01988,-0.02154,0.00255,-0.01352,-0.05846,860.16632,0.04207,0.01118,0.0102,-0.02389,-0.00404,0.11249,-0.03194,-0.00589,-0.01204
="2026/04/02 17:15:47.760",-0.02367,0.02715,-0.0469,18.59655,0.05652,-0.00722,-0.01455,-0.01066,0.00078,0.00305,859.75153,0.02118,0.00011,-0.03921,-0.03331,-0.00176,0.04734,0.01051,-0.0069,-0.0327
="2026/04/02 17:15:47.780",0.00255,-0.00237,-0.03726,19.58875,-0.01175,0.007,0.01783,0.00414,0.03844,0.04364,859.26428,0.04152,-0.01671,0.01704,-0.0476,-0.01024,0.02978,-0.00796,0.00847,0.01599
="2026/04/02 17:15:47.800",0.06201,0.00796,0.03237,19.50858,-0.00367,0.00438,-0.0215,0.01546,0.02586,0.00142,858.7641,0.01174,0.00842,0.02578,-0.04249,0.0068,0.06398,-0.03766,0.00491,0.00709
="2026/04/02 17:15:47.820",0.02945,0.01634,-0.07849,19.46257,0.07225,0.01398,0.07369,-0.03101,0.01538,-0.04523,858.91486,0.02899,0.02005,0.00031,-0.02455,-0.01293,-0.0033,0.02386,0.01379,0.00658
="2026/04/02 17:15:47.840",0.02876,-0.02744,0.0787,20.16241,0.02388,0.01012,0.06175,0.00914,-0.00351,-0.0128,859.74072,0.00309,0.00887,0.02278,-0.03187,-0.01283,-0.1124,-0.05029,-0.00799,-0.01133
="2026/04/02 17:15:47.860",-0.0096,0.00152,-0.17653,20.63203,-0.00123,0.03243,0.12009,-0.01503,-0.00598,-0.01109,860.52032,-0.03399,0.00354,0.01524,-0.05443,-0.02698,-0.16529,-0.00641,-0.00749,0.00977
="2026/04/02 17:15:47.880",-0.00002,0.0206,0.06538,20.56412,-0.0936,-0.01905,0.03295,-0.01276,-0.02025,-0.05318,861.05133,-0.01238,-0.0164,-0.04504,0.00704,-0.00142,-0.02764,0.01032,0.00244,-0.00376
="2026/04/02 17:15:47.900",0.00957,0.02874,-0.02742,20.45725,-0.02816,0.03102,0.03557,-0.05135,-0.00937,0.02239,861.46759,-0.03658,0.0044,-0.04728,-0.00174,-0.02633,-0.13813,-0.00101,-0.00291,-0.01341
="2026/04/02 17:15:47.920",-0.00886,-0.00601,-0.03885,19.94669,-0.03972,-0.02718,-0.06019,-0.03145,0.01201,0.08433,862.18066,0.01908,0.00988,0.07898,0.05685,-0.02047,-0.06313,-0.04101,-0.00117,0.01941
="2026/04/02 17:15:47.940",-0.02822,0.00538,0.07117,19.19157,-0.05278,0.00313,0.03271,0.00067,0.00202,-0.01686,862.46399,-0.04904,0.00029,-0.05695,-0.03996,-0.01544,-0.04736,-0.01123,-0.00964,-0.00774
="2026/04/02 17:15:47.960",-0.01228,-0.00355,0.12539,18.93064,0.06015,0.0019,0.01326,0.01504,0.01655,0.01036,862.17181,0.00517,-0.01041,-0.04233,-0.0096,-0.00832,-0.00299,0.0138,0.01465,0.00832
="2026/04/02 17:15:47.980",-0.03181,0.00102,0.0872,18.76002,-0.02645,-0.00919,-0.09257,0.01441,-0.0032,-0.05144,861.28101,-0.0503,0.00489,0.01523,0.01311,0.00104,0.01479,0.03566,0.01042,0.0199
="2026/04/02 17:15:48.000",-0.02098,-0.00445,0.04827,18.20268,-0.00267,-0.0075,-0.01283,0.00797,-0.00783,0.0351,860.73352,0.02807,-0.00478,0.05125,0.00522,-0.00936,0.05209,0.00503,-0.00084,0.01392
="2026/04/02 17:15:48.020",-0.01295,-0.0253,-0.0592,17.67921,-0.00338,-0.05017,-0.11542,-0.02718,0.01709,0.06064,860.45374,0.02678,-0.00159,-0.0279,-0.00522,0.00514,0.09433,0.03695,0.00893,-0.00297
="2026/04/02 17:15:48.040",-0.00032,-0.00573,-0.0735,17.89955,-0.01436,-0.00966,-0.07042,-0.03144,0.00689,0.01886,860.07324,0.09373,-0.00453,0.01913,-0.00905,0.01129,0.11762,0.01282,-0.01036,-0.009
="2026/04/02 17:15:48.060",0.03403,0.01438,-0.00875,18.62372,0.02205,-0.03796,-0.07294,0.00775,0.01928,0.07942,859.33295,-0.01614,-0.00027,0.01817,0.00456,0.00958,0.08664,0.01984,0.00632,-0.00093
="2026/04/02 17:15:48.080",0.01557,-0.0213,-0.08824,19.66185,0.00296,0.00449,-0.03361,-0.05824,0.01254,0.02765,858.91791,0.02266,-0.01867,0.05549,0.00987,-0.01479,-0.01485,0.015,0.01562,0.0156
="2026/04/02 17:15:48.100",0.05407,-0.02283,-0.0535,20.61863,0.00695,-0.00309,0.00628,-0.01595,-0.00269,0.00597,859.27539,0.00397,0.01144,-0.01042,0.01111,-0.00903,-0.0597,0.05013,0.01074,-0.0107
="2026/04/02 17:15:48.120",0.04871,0.01654,-0.08027,20.5575,0.03612,-0.0054,-0.02242,0.04096,-0.00418,-0.06501,859.88647,-0.01456,-0.00332,-0.00374,-0.00369,0.01348,-0.03713,0.01224,-0.00108,-0.02242
="2026/04/02 17:15:48.140",0.053,-0.00685,-0.08462,20.77398,-0.00995,-0.00582,-0.01232,-0.01284,0.00597,-0.0498,860.34259,0.00773,0.00804,0.00593,-0.01669,-0.00252,-0.06303,0.00427,0.00143,-0.01278
="2026/04/02 17:15:48.160",0.0654,-0.02018,-0.06393,21.23643,0.02093,-0.01013,-0.0003,-0.0496,0.03001,0.07109,860.88403,-0.00857,0.0036,0.01426,0.01071,-0.0127,-0.02089,-0.01065,-0.00059,-0.00174
="2026/04/02 17:15:48.180",0.01425,-0.02096,-0.08489,20.32748,0.01755,0.00026,-0.00441,0.02025,-0.00091,-0.01884,861.57056,-0.01065,0.01479,-0.04224,0.06022,-0.00649,-0.08168,0.00055,-0.00316,-0.02472
="2026/04/02 17:15:48.200",0.03898,-0.0133,-0.01042,19.37073,-0.05711,-0.02178,-0.04671,-0.00281,-0.01742,-0.02282,861.7771,-0.04125,-0.0086,-0.03976,0.06793,-0.03337,-0.13255,0.00773,-0.01046,-0.0045
="2026/04/02 17:15:48.220",0.00438,-0.00929,0.00719,19.19175,0.00379,-0.02856,-0.00574,0.02197,-0.00314,0.05049,861.35663,-0.0314,0.01361,-0.02801,0.03966,0.00942,-0.06362,0.00415,-0.00397,0.01146
