time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:41:01.040",0.0313,-0.00724,-0.00211,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.060",-0.00677,0.01527,0.0099,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.080",0.00608,0.00298,0.02621,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.100",-0.01748,0.00643,-0.0113,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.120",-0.02222,-0.00025,0.03541,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.140",-0.04157,0.00165,-0.02383,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.160",-0.01396,0.00374,0.02297,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.180",-0.02311,-0.0027,-0.0054,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.200",0.00971,0.00129,0.0389,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.220",-0.02369,0.01121,-0.00019,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.240",0.03368,0.01216,0.02686,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.260",0.0257,-0.00104,0.00634,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.280",0.03335,-0.00156,0.00913,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.300",0.05015,0.00545,0.00465,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.320",0.01841,-0.00551,-0.01123,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.340",0.02049,-0.00503,0.00738,,,,,,,,,,,,,,,,,
="2026/04/02 16:41:01.360",-0.01629,0.0075,-0.02869,,,,,,,0.04037,-0.00876,0.01652,,,,,,,,
="2026/04/02 16:41:01.380",0.00247,0.00645,0.0501,,,,,,,0.00613,-0.00975,-0.01831,,,,,,,,
="2026/04/02 16:41:01.400",-0.01486,0.00428,-0.03207,,,,,,,-0.07842,-0.01242,0.00357,,,,,,,,
="2026/04/02 16:41:01.420",-0.03375,0.00285,0.03038,,,,,,,-0.08171,-0.00987,0.03154,,,,,,,,
="2026/04/02 16:41:01.440",-0.04766,0.01161,0.00512,,,,,,,-0.05229,-0.03186,0.0146,,,,,,,,
="2026/04/02 16:41:01.460",-0.00009,-0.01271,0.00577,,,,,,,-0.05746,0.02619,0.1872,,,,,,,,
="2026/04/02 16:41:01.480",-0.0169,0.00989,-0.00967,,,,,,,-0.02864,-0.01042,0.01149,,,,,,,,
="2026/04/02 16:41:01.500",-0.02281,-0.00344,0.00796,,,,,,,-0.06468,0.01064,0.01456,,,,,,,,
="2026/04/02 16:41:01.520",0.00185,0.00049,0.01065,,,,,,,-0.01808,-0.00718,-0.02526,,,,,,,,
="2026/04/02 16:41:01.540",0.01613,0.00023,0.00646,,,,,,,-0.02623,-0.0063,-0.03685,,,,,,,,
="2026/04/02 16:41:01.560",0.03568,-0.01068,0.01087,,,,,,,0.12347,-0.017,-0.06945,,,,,,,,
="2026/04/02 16:41:01.580",0.03183,-0.0123,0.01029,,,,,,,0.0842,0.0031,-0.01186,,,,,,,,
="2026/04/02 16:41:01.600",0.01216,0.00293,0.03678,,,,,,,0.04841,-0.00287,-0.07945,,,,,,,,
="2026/04/02 16:41:01.620",0.02333,0.01594,0.02918,,,,,,,0.01933,-0.01154,-0.0338,,,,,,,,
="2026/04/02 16:41:01.640",0.00107,0.01367,0.01177,,,,,,,0.04118,0.00143,-0.04635,,,,,,,,
="2026/04/02 16:41:01.660",0.01628,0.00949,-0.0537,,,,,,,-0.0042,-0.00014,0.00096,,,,,,,,
="2026/04/02 16:41:01.680",-0.00544,-0.00007,0.00579,,,,,,,-0.05494,0.00986,0.01141,,,,,,,,
="2026/04/02 16:41:01.700",-0.00858,0.00928,-0.01817,,,,,,,-0.06933,-0.00013,0.00947,,,,,,,,
="2026/04/02 16:41:01.720",-0.04419,0.00245,0.01517,,,,,,,-0.09363,-0.01061,0.13153,,,,,,,,
="2026/04/02 16:41:01.740",-0.04395,0.00707,0.01768,,,,,,,-0.15089,-0.0182,0.03537,,,,,,,,
="2026/04/02 16:41:01.760",-0.01157,-0.0094,0.0246,,,,,,,-0.12012,-0.01165,0.05271,,,,,,,,
="2026/04/02 16:41:01.780",-0.03665,0.02006,-0.00031,,,,,,,-0.05052,0.00762,0.01051,,,,,,,,
="2026/04/02 16:41:01.800",-0.00864,0.02503,0.004,,,,,,,-0.03634,-0.0081,0.03392,,,,,,,,
="2026/04/02 16:41:01.820",0.01266,0.01574,-0.00704,,,,,,,0.0575,-0.00015,-0.03444,,,,,,,,
="2026/04/02 16:41:01.840",0.0081,-0.00705,0.00597,,,,,,,0.06882,0.00843,-0.0058,,,,,,,,
="2026/04/02 16:41:01.860",0.02571,-0.01289,-0.01583,,,,,,,0.0941,-0.00947,-0.01628,,,,,,,,
="2026/04/02 16:41:01.880",0.00947,0.00494,0.01116,,,,,,,-0.00218,0.00776,-0.08411,,,,,,,,
="2026/04/02 16:41:01.900",0.00712,-0.00009,0.01697,,,,,,,0.10876,-0.02056,-0.05561,,,,,,,,
="2026/04/02 16:41:01.920",0.00476,-0.01067,0.05557,,,,,,,0.0466,-0.00202,-0.01744,,,,,,,,
="2026/04/02 16:41:01.940",0.0395,-0.01794,0.0049,,,,,,,0.01926,-0.02321,-0.04109,,,,,,,,
="2026/04/02 16:41:01.960",-0.00297,-0.0142,-0.03412,,,,,,,-0.00936,-0.01638,-0.00331,,,,,,,,
="2026/04/02 16:41:01.980",-0.00946,0.01502,-0.00151,,,,,,,-0.04757,-0.01008,-0.00358,,,,,,,,
="2026/04/02 16:41:02.000",-0.01939,0.00774,0.00603,,,,,,,-0.05767,-0.00033,0.06565,21.89225,,,,865.21558,,,
="2026/04/02 16:41:02.020",-0.02584,0.01892,-0.01992,,,,,,,-0.0891,-0.02141,0.03102,21.43431,,,,866.45435,,,
="2026/04/02 16:41:02.040",-0.03053,-0.01151,0.0094,0.01586,-0.00435,-0.00862,,,,-0.10571,-0.00697,0.05621,20.68888,,,,867.41827,0.04175,0.00752,-0.01446
="2026/04/02 16:41:02.060",-0.02939,-0.00919,-0.0394,-0.01979,0.0047,0.01453,,,,-0.10853,-0.01611,0.02833,19.18979,,,,867.97473,-0.00053,-0.00365,-0.04195
="2026/04/02 16:41:02.080",-0.00921,-0.00988,0.04051,0.00598,0.00453,0.00063,,,,-0.00364,0.01058,0.08439,17.6325,,,,867.6535,-0.02881,-0.01805,0.02086
="2026/04/02 16:41:02.100",2.81061,-0.6729,-3.12045,-0.03494,0.00763,0.0205,,,,0.00365,0.03646,-0.19908,16.34827,,,,865.83618,-0.01023,-0.02076,0.03783
="2026/04/02 16:41:02.120",1.4765,0.41183,-0.71091,0.02881,0.00688,0.0019,,,,0.88808,-0.91619,1.72435,16.1372,,,,863.5517,0.01301,-0.00192,-0.00802
="2026/04/02 16:41:02.140",-3.14239,0.35193,1.70093,-0.03438,0.00709,0.00881,,,,-0.29453,2.57574,-2.38843,16.71333,,,,861.91266,0.00573,-0.00373,0.02584
="2026/04/02 16:41:02.160",4.17632,0.02677,-2.29708,-0.00349,0.01142,0.01572,,,,0.66887,0.46036,-0.60836,17.24747,,,,860.31476,-0.00598,-0.00155,0.02469
="2026/04/02 16:41:02.180",-3.04648,0.76142,2.97599,-0.01912,-0.00039,-0.00998,,,,0.39383,0.78668,-1.39175,18.00253,,,,858.89197,-0.01475,-0.01064,0.00083
="2026/04/02 16:41:02.200",1.26132,0.5369,0.97134,0.02024,-0.00051,-0.01999,,,,-0.07198,-0.14483,-1.17548,19.35869,,,,858.28375,0.00856,-0.0113,-0.00185
="2026/04/02 16:41:02.220",-0.22752,-0.22522,-1.44023,-0.0053,0.00459,-0.00322,,,,0.65752,-2.25127,0.04485,21.29917,,,,859.42206,0.01504,0.01123,-0.00597
="2026/04/02 16:41:02.240",-4.384,-0.53537,4.79448,-0.00161,-0.00442,-0.01799,,,,-0.27892,0.04116,-0.43046,23.40801,,,,860.80957,0.00956,0.01745,-0.03806
="2026/04/02 16:41:02.260",2.73123,-0.59652,-2.22557,-0.0603,-0.01738,0.0108,,,,-0.09898,-3.15999,2.61826,23.86526,,,,861.99347,-0.03104,0.00543,-0.01747
="2026/04/02 16:41:02.280",-4.86859,-0.08924,2.67197,0.01326,0.00719,0.01171,,,,0.36879,-1.15872,2.22916,23.45743,,,,863.93268,-0.01965,0.00571,-0.03399
="2026/04/02 16:41:02.300",0.31906,-0.04957,1.74367,-0.06426,0.00292,0.03045,,,,-0.92158,-1.02336,2.99284,23.21161,,,,865.70154,0.00725,-0.004,-0.02082
="2026/04/02 16:41:02.320",-0.14433,-0.30241,-1.50067,0.0082,-0.00296,-0.01007,,,,0.15832,-1.89808,4.15545,22.28103,,,,866.9632,-0.00341,-0.01009,0.02457
="2026/04/02 16:41:02.340",-2.86219,0.0162,2.53298,-0.04608,0.001,0.01073,,,,-0.17302,0.69416,1.53247,20.73491,,,,867.47931,0.00051,0.01438,-0.03482
="2026/04/02 16:41:02.360",3.52239,0.23439,-2.1069,0.02122,0.00779,-0.0058,-0.05152,0.00111,0.03737,-0.53055,-0.451,1.91976,18.48458,0.03338,-0.00137,-0.06247,867.35498,0.01584,-0.00027,0.01978
="2026/04/02 16:41:02.380",-2.20211,0.31919,-1.93328,-0.02826,-0.00063,0.0016,-0.03349,0.0125,0.01727,0.83647,0.83454,-0.28206,16.97231,0.00647,-0.02053,-0.06186,866.93372,0.04404,-0.03765,-0.05985
="2026/04/02 16:41:02.400",3.43909,0.2549,1.03052,0.04888,0.00474,-0.00589,-0.05953,-0.00566,-0.07359,-0.83077,1.98731,-2.41229,16.32189,-0.01092,-0.02022,-0.00244,865.70477,-0.02177,-0.03147,0.06068
="2026/04/02 16:41:02.420",1.73847,0.19335,-4.62425,0.03782,0.01205,-0.00377,-0.05843,-0.01195,-0.00955,0.23288,1.04918,-3.2943,15.83732,-0.06169,-0.01069,0.12027,863.41742,0.01329,-0.00898,-0.06893
