position_cm,slope_mass_vs_disp,intercept,r2,n
38.0,0.5237625814879927,8.783426211510418,0.9689036140152776,11
45.5,0.36772139661257064,-1.1892730499753241,0.9844873185445401,11
53.0,0.36324949545368507,-5.186067846749404,0.9734552839771169,11
60.5,0.32504226098817124,-0.36924369774431337,0.9770831424929032,11
68.0,0.3574829676451511,6.7896292269533225,0.9804489565329556,11
75.5,0.10530979383444594,-2.74628029250397,0.996751393527396,11
83.0,0.0864730268321976,-0.49202502937648096,0.9972435115994006,11
90.5,0.0619837611351534,-1.786955341846455,0.9986978562675566,11
98.0,0.6380052708807861,9.30034381572971,0.9342453090842239,11
105.5,0.06574607910192368,-1.7438378030652038,0.994656662036855,11
113.0,0.08836446761145642,-1.2342543861008637,0.9983443417768433,11
