model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,-0.45090047520530796,1.4794256710171534,0.8121289312577091,11,-0.2892385244515072,0.07765191233359126
s1_l2,1,2,38.0,68.0,0.4591202771909976,-7.866587288890016,0.47895209865977006,11,0.324350682557325,-5.382881280836187
s1_l3,1,3,38.0,98.0,0.5563138909393402,-9.74301615441009,0.5572203218291794,11,0.29872100503365306,-7.84550326764392
s1_l4,1,4,38.0,128.0,0.08259972609472065,-1.9788352907377973,0.04213579918735377,11,0.33463517872758786,-7.310214048089605
s1_l5,1,5,38.0,158.0,0.49047044454896904,-6.128919044284587,0.8109780063806853,11,0.4776292310243315,-3.7770136221732358
s2_l1,2,1,68.0,38.0,-0.31343130586812057,2.728876114682696,0.296932605021315,11,-0.22106926909689806,1.19625458012122
s2_l2,2,2,68.0,68.0,0.6213077281998384,-8.756818788120544,0.7112551626641554,11,0.2871552078612628,-4.364852685870744
s2_l3,2,3,68.0,98.0,0.23252184861836298,-4.6979823298138665,0.15617696590488728,11,0.49390773417789613,-6.928048745500668
s2_l4,2,4,68.0,128.0,0.20319425916622694,-3.2925831366437883,0.15835529709838347,11,0.39452837979202404,-6.49333359876853
s2_l5,2,5,68.0,158.0,0.4696855165643592,-5.632211066309787,0.7379442342209417,11,0.24926299543577013,-3.060707245674358
s3_l1,3,1,98.0,38.0,-0.17870366564762513,2.052091467862549,0.13506431233570604,11,-0.1420066656918172,0.8521844853985723
s3_l2,3,2,98.0,68.0,0.43033933959738374,-5.994770487792683,0.4630073441127517,11,0.2678691049359742,-4.809496853415581
s3_l3,3,3,98.0,98.0,0.5328604537062083,-8.428711263935716,0.5705324727443766,11,0.704699998691259,-7.473266985867689
s3_l4,3,4,98.0,128.0,0.5558736006359257,-6.779805358201082,0.7239864538137456,11,0.5046158443156942,-7.139125911957741
s3_l5,3,5,98.0,158.0,0.3230018738237317,-3.2255723240679703,0.41012512058406725,11,0.3314868130676225,-3.8070736316857534
