window_index,s_time,t_time,baseline_disp_abs,peak_rel_disp,peak_time,sensor_position_cm,slope_disp_vs_mass,pred_mass
1,1491.560578,1518.8575520000002,190.861442,-1.1858700000000226,1506.738563,68.0,-0.4444449041771283,2.668204740012967
2,1541.43653,1562.6675100000002,190.793094,-2.066365999999988,1548.278523,68.0,-0.4444449041771283,4.649318690751514
3,1595.356479,1617.2614580000002,190.741387,-2.9103880000000117,1602.438472,68.0,-0.4444449041771283,6.548366226379572
