position_cm,slope_mass_vs_disp,intercept,r2,n
38.0,-0.43057369221827513,3.4611115882126606,0.996119068325822,11
45.5,3.6863374002600207,-6.03592883313622,0.8274376219869305,11
53.0,3.1955661695806827,-10.795073392022916,0.7193303881257125,11
60.5,3.5805064163229177,4.162623731638334,0.48534861318151745,11
68.0,-0.32123945298223705,4.035965690938534,0.9886707812614076,11
75.5,0.6387347686571534,-2.8035772432065227,0.9924011525905216,11
83.0,0.4908012039548888,0.21491330533951045,0.9974971681039994,11
90.5,0.3092539111902638,-1.322042234778882,0.996036308773428,11
98.0,-0.4350654397144485,4.189046427062559,0.9828198564122129,11
105.5,-0.28330358727555066,4.467964532502366,0.9688965732942366,11
113.0,-0.15199318509073712,1.708468298056569,0.9978223769674066,11
