position_cm,slope_disp_vs_mass,intercept_disp_vs_mass_original,r2,n,intercept_disp_vs_mass_forced,vertical_shift
38.0,-2.322482813216233,8.038372178247444,0.996119068325822,11,0.0,-8.038372178247444
45.5,0.2712719676526255,1.6373782911760784,0.8274376219869305,11,0.0,-1.6373782911760784
53.0,0.31293359202485815,3.3781410927377005,0.7193303881257125,11,0.0,-3.3781410927377005
60.5,0.27929010137816557,-1.1625796040084282,0.48534861318151745,11,0.0,1.1625796040084282
68.0,-3.112942668518661,12.563729807999962,0.9886707812614076,11,0.0,-12.563729807999962
75.5,1.565595062411201,4.389266689052539,0.9924011525905216,11,0.0,-4.389266689052539
83.0,2.0374848145073283,-0.43788259606482927,0.9974971681039994,11,0.0,0.43788259606482927
90.5,3.233588853092193,4.274941033698085,0.996036308773428,11,0.0,-4.274941033698085
98.0,-2.2985047965573675,9.628543305604794,0.9828198564122129,11,0.0,-9.628543305604794
105.5,-3.5297823427395083,15.770942314813235,0.9688965732942366,11,0.0,-15.770942314813235
113.0,-6.5792423482869875,11.240426977279574,0.9978223769674066,11,0.0,-11.240426977279574
