position_cm,slope_mass_vs_disp,intercept,r2,n
38.0,-0.8326498593118304,3.5321387469686063,0.7585537534723811,11
45.5,-4.184347050071071,2.833520323482071,0.9849587912361437,11
53.0,-5.1383674562440715,2.4448382170888867,0.9481810209269884,11
60.5,-4.846631804206845,3.5525536625190335,0.980970561277801,11
68.0,-0.7130834584623582,4.072444319084867,0.5404371464169215,11
75.5,-1.0501529993693595,1.2288080206824001,0.9980609898896848,11
83.0,-0.7722643527319714,1.4078593484459743,0.9990489963339069,11
90.5,-0.49111853184808174,0.9017319558634327,0.9986247707087061,11
98.0,-0.8646936958379731,3.1440957857612957,0.9057231017174663,11
105.5,-0.7538162953253574,-2.268691060148204,0.9860871452333828,11
113.0,-0.6465122576119033,-0.5851136893404535,0.9973762905647429,11
