model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,0.0,0.0,0.0,11,0.0,0.0
s1_l2,1,2,38.0,68.0,0.0,0.0,0.0,11,0.0,0.0
s1_l3,1,3,38.0,98.0,0.0,0.0,0.0,11,0.0,0.0
s1_l4,1,4,38.0,128.0,0.0,0.0,0.0,11,0.0,0.0
s1_l5,1,5,38.0,158.0,0.0,0.0,0.0,11,0.0,0.0
s2_l1,2,1,68.0,38.0,0.0,0.0,0.0,11,0.0,0.0
s2_l2,2,2,68.0,68.0,0.0,0.0,0.0,11,0.0,0.0
s2_l3,2,3,68.0,98.0,0.0,0.0,0.0,11,0.0,0.0
s2_l4,2,4,68.0,128.0,0.0,0.0,0.0,11,0.0,0.0
s2_l5,2,5,68.0,158.0,0.0,0.0,0.0,11,0.0,0.0
s3_l1,3,1,98.0,38.0,0.0,0.0,0.0,11,0.0,0.0
s3_l2,3,2,98.0,68.0,0.0,0.0,0.0,11,0.0,0.0
s3_l3,3,3,98.0,98.0,0.0,0.0,0.0,11,0.0,0.0
s3_l4,3,4,98.0,128.0,0.0,0.0,0.0,11,0.0,0.0
s3_l5,3,5,98.0,158.0,0.0,0.0,0.0,11,0.0,0.0
