time,label
381.728528,110
393.411657,111
401.756749,112
408.432822,113
415.10889599999996,114
420.115951,115
426.79202499999997,116
435.137117,117
440.1441719999999,118
445.151227,119
451.827301,1110
475.19355899999994,120
485.20766899999995,121
490.214724,122
495.22177999999997,123
498.55981599999996,124
503.566872,125
508.57392699999997,126
513.580982,127
518.588037,128
521.926074,129
526.933129,1210
546.9613499999999,130
551.968406,131
556.975461,132
560.313498,133
566.989571,134
571.9966259999999,135
577.003682,136
582.0107370000001,137
587.0177920000001,138
592.0248469999999,139
595.362884,1310
635.419326,140
645.433436,141
648.771473,142
653.778528,143
658.785584,144
663.792639,145
668.7996939999999,146
673.8067489999999,147
678.813805,148
683.8208599999999,149
688.8279149999998,1410
722.2082829999999,150
728.8843569999999,151
732.2223939999999,152
735.56043,153
740.5674859999999,154
745.574541,155
750.581596,156
753.919633,157
757.25767,158
760.595707,159
763.933743,1510
814.0042960000001,210
818.3423319999999,211
821.6803689999999,212
825.687424601,213
832.3634979999999,214
837.370553,215
844.046627,216
849.053682,217
854.060737,218
860.736811,219
864.074848,2110
889.110124,220
892.448161,221
899.1242339999999,222
903.4622709999999,223
906.8003080000001,224
910.8073629999999,225
914.1453999999999,226
918.4834370000001,227
921.8214740000001,228
925.8285289999999,229
929.1665659999999,2210
970.892026,230
977.5681,231
980.9061359999998,232
987.58221,233
990.9202469999998,234
995.927302,235
1002.6033759999998,236
1009.2794489999999,237
1015.9555229999999,238
1022.631597,239
1029.30767,2310
1066.0260749999998,240
1077.709204,241
1084.385278,242
1091.061351,243
1097.7374249999998,244
1106.082517,245
1111.089572,246
1116.096628,247
1121.103683,248
1127.779756,249
1134.4558299999999,2410
1167.836198,250
1172.8432529999998,251
1177.850309,252
1182.857364,253
1187.864419,254
1192.871474,255
1197.8785299999997,256
1202.885585,257
1207.5616579999999,258
1212.568714,259
1215.90675,2510
1276.322395,310
1288.005524,311
1294.6815969999998,312
1298.019634,313
1303.026689,314
1306.3647259999998,315
1311.371781,316
1316.378837,317
1319.7168729999999,318
1324.05491,319
1327.392947,3110
1346.421168,320
1353.097242,321
1358.1042969999999,322
1361.442334,323
1366.449389,324
1369.7874259999999,325
1375.1254620000002,326
1378.132518,327
1381.470554,328
1385.8085910000002,329
1390.8156461629999,3210
1413.181904,330
1418.1889589999998,331
1421.526996,332
1426.5340509999999,333
1429.8720879999998,334
1433.2101249999998,335
1438.2171799999999,336
1444.8932539999998,337
1453.238346,338
1458.245401,339
1464.9214749999999,3310
1504.977917,340
1513.323009,341
1518.330064,342
1523.337119,343
1531.6822109999998,344
1536.6892659999999,345
1541.696322,346
1546.703377,347
1551.710432,348
1560.0555239999997,349
1565.0625790000001,3410
1595.1049110000001,350
1600.1119660000002,351
1605.119021,352
1610.1260759999998,353
1615.133132,354
1620.140187,355
1625.147242,356
1630.1542969999998,357
1635.161353,358
1641.837426,359
1646.8444809999999,3510
