time,label
307.833134,s1
343.04910499999994,t11
346.728385,t12
352.51011199999994,t13
358.291838,t14
399.99035100000003,s2
453.7779269999999,t21
474.627183,t22
487.066655644,t23
502.8349999999999,t24
615.8414730000001,s3
679.2652599999999,t31
689.2518789999999,t32
695.559217,t33
699.5889049999998,t34
