window_index,s_time,t_time,baseline_disp_abs,peak_rel_disp,peak_time,sensor_position_cm,slope_disp_vs_mass,pred_mass
1,1491.560578,1518.8575520000002,34.885083,-9.056566,1514.078556,68.0,2.797336070547092,-3.237568090354175
2,1541.43653,1562.6675100000002,32.922642,-15.766899000000002,1556.358516,68.0,2.797336070547092,-5.6363978450813645
3,1595.356479,1617.2614580000002,31.398416,-21.865502,1610.018465,68.0,2.797336070547092,-7.816544544010984
