model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,-0.677290286119431,4.2225005027783356,0.5298892495058998,11,-0.29739177990252896,0.9689446828552164
s1_l2,1,2,38.0,68.0,1.051385748045396,-12.324876890379713,0.6336574181296208,11,0.6815733338966394,-7.374787043417449
s1_l3,1,3,38.0,98.0,1.11619919067509,-14.525372878281425,0.7053392525996232,11,0.749747317806273,-11.587818355027785
s1_l4,1,4,38.0,128.0,0.5034695785189511,-4.719639450104486,0.28293686154169684,11,0.8792632528954485,-11.670149251975772
s1_l5,1,5,38.0,158.0,0.8826308543602777,-9.938161772996345,0.6466440952944169,11,0.8736712426619242,-7.621779734261423
s2_l1,2,1,68.0,38.0,-0.47291899680119015,4.221719898270835,0.3244657402733575,11,-0.3293979417263435,1.2559312583071573
s2_l2,2,2,68.0,68.0,1.3615421269589139,-16.36730297484215,0.8418902732684427,11,0.5859407728897521,-7.198016779069402
s2_l3,2,3,68.0,98.0,0.28171267482718887,-5.06660892481211,0.09641222924966453,11,1.0006095169856608,-11.521264401783633
s2_l4,2,4,68.0,128.0,0.7055856475646529,-7.456945174711787,0.492676985365436,11,0.9630723929687521,-11.71381160983551
s2_l5,2,5,68.0,158.0,1.1230231267824642,-12.283726572474988,0.8499233857571981,11,0.7670202474490644,-7.775658403225037
s3_l1,3,1,98.0,38.0,-0.173495694527196,0.6177846220822151,0.4749267302394652,11,0.07019882757814777,-2.8655798448138476
s3_l2,3,2,98.0,68.0,1.3109018156984236,-18.25682040204374,0.7540196825032734,11,0.6833001340255263,-11.429744193294304
s3_l3,3,3,98.0,98.0,0.9070845035907801,-14.757086724644775,0.6145961806045517,11,1.3027808341368043,-15.863208127112422
s3_l4,3,4,98.0,128.0,1.0172318435914347,-12.591215712185404,0.6963783743617964,11,1.1531532085294538,-16.165971646268197
s3_l5,3,5,98.0,158.0,1.1535565049587184,-13.675185146812685,0.8225055557892098,11,1.009904976586001,-12.338034750761622
