time,dist_01.dist
="2026/04/02 16:24:12.870",192.518
="2026/04/02 16:24:12.890",192.557
="2026/04/02 16:24:12.910",192.568
="2026/04/02 16:24:12.930",192.547
="2026/04/02 16:24:12.950",192.523
="2026/04/02 16:24:12.970",192.57
="2026/04/02 16:24:12.990",192.576
="2026/04/02 16:24:13.010",192.641
="2026/04/02 16:24:13.030",192.595
="2026/04/02 16:24:13.050",192.535
="2026/04/02 16:24:13.070",192.533
="2026/04/02 16:24:13.090",192.588
="2026/04/02 16:24:13.110",192.65
="2026/04/02 16:24:13.130",192.643
="2026/04/02 16:24:13.150",192.643
="2026/04/02 16:24:13.170",192.676
="2026/04/02 16:24:13.190",192.716
="2026/04/02 16:24:13.210",192.665
="2026/04/02 16:24:13.230",192.586
="2026/04/02 16:24:13.250",192.619
="2026/04/02 16:24:13.270",192.647
="2026/04/02 16:24:13.290",192.735
="2026/04/02 16:24:13.310",192.736
="2026/04/02 16:24:13.330",192.713
="2026/04/02 16:24:13.350",192.676
="2026/04/02 16:24:13.370",192.706
="2026/04/02 16:24:13.390",192.729
="2026/04/02 16:24:13.410",192.745
="2026/04/02 16:24:13.430",192.693
="2026/04/02 16:24:13.450",192.652
="2026/04/02 16:24:13.470",192.601
="2026/04/02 16:24:13.490",192.614
="2026/04/02 16:24:13.510",192.607
="2026/04/02 16:24:13.530",192.598
="2026/04/02 16:24:13.550",192.526
="2026/04/02 16:24:13.570",192.55
="2026/04/02 16:24:13.590",192.596
="2026/04/02 16:24:13.610",192.587
="2026/04/02 16:24:13.630",192.567
="2026/04/02 16:24:13.650",192.556
="2026/04/02 16:24:13.670",192.57
="2026/04/02 16:24:14.288",192.588
="2026/04/02 16:24:14.308",192.592
="2026/04/02 16:24:14.328",192.557
="2026/04/02 16:24:14.348",192.556
="2026/04/02 16:24:14.368",192.587
="2026/04/02 16:24:14.388",192.613
="2026/04/02 16:24:14.408",192.598
="2026/04/02 16:24:14.428",192.572
="2026/04/02 16:24:14.448",192.59
="2026/04/02 16:24:14.468",192.607
="2026/04/02 16:24:14.488",192.594
="2026/04/02 16:24:14.508",192.579
="2026/04/02 16:24:14.528",192.578
="2026/04/02 16:24:14.548",192.609
="2026/04/02 16:24:14.568",192.588
="2026/04/02 16:24:14.588",192.618
="2026/04/02 16:24:14.608",192.596
="2026/04/02 16:24:14.628",192.598
="2026/04/02 16:24:14.648",192.6
="2026/04/02 16:24:14.668",192.589
="2026/04/02 16:24:14.688",192.619
="2026/04/02 16:24:14.708",192.583
="2026/04/02 16:24:14.728",192.591
="2026/04/02 16:24:14.748",192.615
="2026/04/02 16:24:14.768",192.6
="2026/04/02 16:24:14.788",192.6
="2026/04/02 16:24:14.808",192.6
="2026/04/02 16:24:14.828",192.608
="2026/04/02 16:24:14.848",192.608
="2026/04/02 16:24:14.868",192.619
="2026/04/02 16:24:14.888",192.616
="2026/04/02 16:24:14.908",192.615
="2026/04/02 16:24:14.928",192.6
="2026/04/02 16:24:14.948",192.598
="2026/04/02 16:24:14.968",192.586
="2026/04/02 16:24:14.988",192.61
="2026/04/02 16:24:15.008",192.6
="2026/04/02 16:24:15.028",192.593
="2026/04/02 16:24:15.048",192.612
="2026/04/02 16:24:15.068",192.619
="2026/04/02 16:24:15.088",192.594
="2026/04/02 16:24:15.108",192.593
="2026/04/02 16:24:15.128",192.6
="2026/04/02 16:24:15.148",192.609
="2026/04/02 16:24:15.168",192.607
="2026/04/02 16:24:15.188",192.634
="2026/04/02 16:24:15.208",192.637
="2026/04/02 16:24:15.228",192.621
="2026/04/02 16:24:15.248",192.623
="2026/04/02 16:24:15.268",192.632
="2026/04/02 16:24:15.886",192.643
="2026/04/02 16:24:15.906",192.628
="2026/04/02 16:24:15.926",192.641
="2026/04/02 16:24:15.946",192.65
="2026/04/02 16:24:15.966",192.65
="2026/04/02 16:24:15.986",192.646
="2026/04/02 16:24:16.006",192.653
="2026/04/02 16:24:16.026",192.653
="2026/04/02 16:24:16.046",192.638
="2026/04/02 16:24:16.066",192.652
="2026/04/02 16:24:16.086",192.649
="2026/04/02 16:24:16.106",192.644
="2026/04/02 16:24:16.126",192.635
="2026/04/02 16:24:16.146",192.631
="2026/04/02 16:24:16.166",192.656
="2026/04/02 16:24:16.186",192.66
="2026/04/02 16:24:16.206",192.639
="2026/04/02 16:24:16.226",192.642
="2026/04/02 16:24:16.246",192.643
="2026/04/02 16:24:16.266",192.638
="2026/04/02 16:24:16.286",192.642
="2026/04/02 16:24:16.306",192.65
="2026/04/02 16:24:16.326",192.662
="2026/04/02 16:24:16.346",192.621
="2026/04/02 16:24:16.366",192.604
="2026/04/02 16:24:16.386",192.567
="2026/04/02 16:24:16.406",192.569
="2026/04/02 16:24:16.426",192.591
="2026/04/02 16:24:16.446",192.603
="2026/04/02 16:24:16.466",192.564
="2026/04/02 16:24:16.486",192.537
="2026/04/02 16:24:16.506",192.575
="2026/04/02 16:24:16.526",192.608
="2026/04/02 16:24:16.546",192.566
="2026/04/02 16:24:16.566",192.548
="2026/04/02 16:24:16.586",192.558
="2026/04/02 16:24:16.606",192.592
="2026/04/02 16:24:16.626",192.577
="2026/04/02 16:24:16.646",192.553
="2026/04/02 16:24:16.666",192.564
="2026/04/02 16:24:16.686",192.581
="2026/04/02 16:24:16.706",192.578
="2026/04/02 16:24:16.726",192.563
="2026/04/02 16:24:16.746",192.571
="2026/04/02 16:24:16.766",192.574
="2026/04/02 16:24:16.786",192.565
="2026/04/02 16:24:16.806",192.577
="2026/04/02 16:24:16.826",192.587
="2026/04/02 16:24:16.846",192.559
="2026/04/02 16:24:16.866",192.566
="2026/04/02 16:24:17.488",192.569
="2026/04/02 16:24:17.508",192.569
="2026/04/02 16:24:17.528",192.57
="2026/04/02 16:24:17.548",192.544
="2026/04/02 16:24:17.568",192.56
="2026/04/02 16:24:17.588",192.585
="2026/04/02 16:24:17.608",192.586
="2026/04/02 16:24:17.628",192.557
="2026/04/02 16:24:17.648",192.548
="2026/04/02 16:24:17.668",192.581
="2026/04/02 16:24:17.688",192.57
="2026/04/02 16:24:17.708",192.563
="2026/04/02 16:24:17.728",192.564
="2026/04/02 16:24:17.748",192.561
="2026/04/02 16:24:17.768",192.581
="2026/04/02 16:24:17.788",192.571
="2026/04/02 16:24:17.808",192.561
="2026/04/02 16:24:17.828",192.543
="2026/04/02 16:24:17.848",192.571
="2026/04/02 16:24:17.868",192.588
="2026/04/02 16:24:17.888",192.559
="2026/04/02 16:24:17.908",192.561
="2026/04/02 16:24:17.928",192.565
="2026/04/02 16:24:17.948",192.589
="2026/04/02 16:24:17.968",192.568
="2026/04/02 16:24:17.988",192.56
="2026/04/02 16:24:18.008",192.584
="2026/04/02 16:24:18.028",192.575
="2026/04/02 16:24:18.048",192.581
="2026/04/02 16:24:18.068",192.564
="2026/04/02 16:24:18.088",192.566
="2026/04/02 16:24:18.108",192.576
="2026/04/02 16:24:18.128",192.567
="2026/04/02 16:24:18.148",192.571
="2026/04/02 16:24:18.168",192.562
="2026/04/02 16:24:18.188",192.57
="2026/04/02 16:24:18.208",192.567
="2026/04/02 16:24:18.228",192.559
="2026/04/02 16:24:18.248",192.573
="2026/04/02 16:24:18.268",192.568
="2026/04/02 16:24:18.288",192.582
="2026/04/02 16:24:18.308",192.571
="2026/04/02 16:24:18.328",192.559
="2026/04/02 16:24:18.348",192.574
="2026/04/02 16:24:18.368",192.57
="2026/04/02 16:24:18.388",192.566
="2026/04/02 16:24:18.408",192.558
="2026/04/02 16:24:18.428",192.583
="2026/04/02 16:24:18.448",192.578
="2026/04/02 16:24:18.468",192.555
="2026/04/02 16:24:19.595",192.57
="2026/04/02 16:24:19.615",192.571
="2026/04/02 16:24:19.635",192.571
="2026/04/02 16:24:19.655",192.559
="2026/04/02 16:24:19.675",192.556
="2026/04/02 16:24:19.695",192.572
="2026/04/02 16:24:19.715",192.563
="2026/04/02 16:24:19.735",192.563
="2026/04/02 16:24:19.755",192.552
="2026/04/02 16:24:19.775",192.559
="2026/04/02 16:24:19.795",192.565
="2026/04/02 16:24:19.815",192.534
="2026/04/02 16:24:19.835",192.531
="2026/04/02 16:24:19.855",192.52
="2026/04/02 16:24:19.875",192.427
="2026/04/02 16:24:19.895",192.32
="2026/04/02 16:24:19.915",190.99
="2026/04/02 16:24:19.935",190.426
="2026/04/02 16:24:19.955",188.918
="2026/04/02 16:24:19.975",188.918
="2026/04/02 16:24:19.995",192.512
="2026/04/02 16:24:20.015",191.832
="2026/04/02 16:24:20.035",191.832
="2026/04/02 16:24:20.055",189.094
="2026/04/02 16:24:20.075",189.796
="2026/04/02 16:24:20.095",189.796
="2026/04/02 16:24:20.115",189.796
="2026/04/02 16:24:20.135",190.153
="2026/04/02 16:24:20.155",191.052
="2026/04/02 16:24:20.175",191.052
="2026/04/02 16:24:20.195",191.603
="2026/04/02 16:24:20.215",191.603
="2026/04/02 16:24:20.235",192.941
="2026/04/02 16:24:20.255",192.944
="2026/04/02 16:24:20.275",192.179
="2026/04/02 16:24:20.295",192.449
="2026/04/02 16:24:20.315",192.778
="2026/04/02 16:24:20.335",192.778
="2026/04/02 16:24:20.355",192.37
="2026/04/02 16:24:20.375",192.37
="2026/04/02 16:24:20.395",192.609
="2026/04/02 16:24:20.415",192.609
="2026/04/02 16:24:20.435",192.532
="2026/04/02 16:24:20.455",192.55
="2026/04/02 16:24:20.475",192.526
="2026/04/02 16:24:20.495",192.48
="2026/04/02 16:24:20.515",192.565
="2026/04/02 16:24:20.535",192.557
="2026/04/02 16:24:20.555",192.563
="2026/04/02 16:24:20.575",192.528
="2026/04/02 16:24:21.225",192.474
="2026/04/02 16:24:21.245",192.518
="2026/04/02 16:24:21.265",192.551
="2026/04/02 16:24:21.285",192.559
="2026/04/02 16:24:21.305",192.548
="2026/04/02 16:24:21.325",192.527
="2026/04/02 16:24:21.345",192.449
="2026/04/02 16:24:21.365",192.548
="2026/04/02 16:24:21.385",192.65
="2026/04/02 16:24:21.405",192.484
="2026/04/02 16:24:21.425",192.489
="2026/04/02 16:24:21.445",192.526
="2026/04/02 16:24:21.465",192.542
="2026/04/02 16:24:21.485",192.587
="2026/04/02 16:24:21.505",192.541
="2026/04/02 16:24:21.525",192.537
="2026/04/02 16:24:21.545",192.571
="2026/04/02 16:24:21.565",192.534
="2026/04/02 16:24:21.585",192.529
="2026/04/02 16:24:21.605",192.543
="2026/04/02 16:24:21.625",192.553
="2026/04/02 16:24:21.645",192.519
="2026/04/02 16:24:21.665",192.509
="2026/04/02 16:24:21.685",192.528
="2026/04/02 16:24:21.705",192.526
="2026/04/02 16:24:21.725",192.539
="2026/04/02 16:24:21.745",192.538
="2026/04/02 16:24:21.765",192.512
="2026/04/02 16:24:21.785",192.543
="2026/04/02 16:24:21.805",192.501
="2026/04/02 16:24:21.825",192.512
="2026/04/02 16:24:21.845",192.554
="2026/04/02 16:24:21.865",192.547
="2026/04/02 16:24:21.885",192.53
="2026/04/02 16:24:21.905",192.53
="2026/04/02 16:24:21.925",192.556
="2026/04/02 16:24:21.945",192.552
="2026/04/02 16:24:21.965",192.561
="2026/04/02 16:24:21.985",192.535
="2026/04/02 16:24:22.005",192.51
="2026/04/02 16:24:22.025",192.527
="2026/04/02 16:24:22.045",192.545
="2026/04/02 16:24:22.065",192.541
="2026/04/02 16:24:22.085",192.545
="2026/04/02 16:24:22.105",192.553
="2026/04/02 16:24:22.125",192.546
="2026/04/02 16:24:22.145",192.542
="2026/04/02 16:24:22.165",192.551
="2026/04/02 16:24:22.185",192.536
="2026/04/02 16:24:22.205",192.547
="2026/04/02 16:24:22.903",192.556
="2026/04/02 16:24:22.923",192.511
="2026/04/02 16:24:22.943",192.518
="2026/04/02 16:24:22.963",192.551
="2026/04/02 16:24:22.983",192.528
="2026/04/02 16:24:23.003",192.544
="2026/04/02 16:24:23.023",192.559
="2026/04/02 16:24:23.043",192.509
="2026/04/02 16:24:23.063",192.525
="2026/04/02 16:24:23.083",192.537
="2026/04/02 16:24:23.103",192.507
="2026/04/02 16:24:23.123",192.524
="2026/04/02 16:24:23.143",192.548
="2026/04/02 16:24:23.163",192.518
="2026/04/02 16:24:23.183",192.542
="2026/04/02 16:24:23.203",192.575
="2026/04/02 16:24:23.223",192.533
="2026/04/02 16:24:23.243",192.54
="2026/04/02 16:24:23.263",192.545
="2026/04/02 16:24:23.283",192.535
="2026/04/02 16:24:23.303",192.554
="2026/04/02 16:24:23.323",192.526
="2026/04/02 16:24:23.343",192.546
="2026/04/02 16:24:23.363",192.556
="2026/04/02 16:24:23.383",192.524
="2026/04/02 16:24:23.403",192.546
="2026/04/02 16:24:23.423",192.508
="2026/04/02 16:24:23.443",192.531
="2026/04/02 16:24:23.463",192.53
="2026/04/02 16:24:23.483",192.511
="2026/04/02 16:24:23.503",192.534
="2026/04/02 16:24:23.523",192.536
="2026/04/02 16:24:23.543",192.528
="2026/04/02 16:24:23.563",192.536
="2026/04/02 16:24:23.583",192.549
="2026/04/02 16:24:23.603",192.512
="2026/04/02 16:24:23.623",192.519
="2026/04/02 16:24:23.643",192.545
="2026/04/02 16:24:23.663",192.524
="2026/04/02 16:24:23.683",192.516
="2026/04/02 16:24:23.703",192.544
="2026/04/02 16:24:23.723",192.547
="2026/04/02 16:24:23.743",192.522
="2026/04/02 16:24:23.763",192.308
="2026/04/02 16:24:23.783",191.889
="2026/04/02 16:24:23.803",191.568
="2026/04/02 16:24:23.823",191.311
="2026/04/02 16:24:23.843",191.311
="2026/04/02 16:24:23.863",189.19
="2026/04/02 16:24:23.883",189.19
="2026/04/02 16:24:23.910",189.19
="2026/04/02 16:24:23.930",191.33
="2026/04/02 16:24:23.950",191.33
="2026/04/02 16:24:23.970",191.33
="2026/04/02 16:24:23.990",192.065
="2026/04/02 16:24:24.010",191.944
="2026/04/02 16:24:24.030",191.944
="2026/04/02 16:24:24.050",191.328
="2026/04/02 16:24:24.070",191.175
="2026/04/02 16:24:24.090",191.175
="2026/04/02 16:24:24.110",190.493
="2026/04/02 16:24:24.130",190.223
="2026/04/02 16:24:24.150",189.942
="2026/04/02 16:24:24.170",189.642
="2026/04/02 16:24:24.190",189.417
="2026/04/02 16:24:24.210",189.417
="2026/04/02 16:24:24.230",189.063
="2026/04/02 16:24:24.250",189.002
="2026/04/02 16:24:24.270",188.926
="2026/04/02 16:24:24.290",188.863
="2026/04/02 16:24:24.310",188.79
="2026/04/02 16:24:24.330",188.695
="2026/04/02 16:24:24.350",188.603
="2026/04/02 16:24:24.370",188.526
="2026/04/02 16:24:24.390",188.52
="2026/04/02 16:24:24.410",188.52
="2026/04/02 16:24:24.430",189.014
="2026/04/02 16:24:24.450",189.014
="2026/04/02 16:24:24.470",189.014
="2026/04/02 16:24:24.490",191.013
="2026/04/02 16:24:24.510",191.349
="2026/04/02 16:24:24.530",191.586
="2026/04/02 16:24:24.550",191.842
="2026/04/02 16:24:24.570",191.842
="2026/04/02 16:24:24.590",192.434
="2026/04/02 16:24:24.610",192.514
="2026/04/02 16:24:24.630",192.556
="2026/04/02 16:24:24.650",192.575
="2026/04/02 16:24:24.670",192.575
="2026/04/02 16:24:24.690",192.43
="2026/04/02 16:24:24.710",192.43
="2026/04/02 16:24:24.730",192.366
="2026/04/02 16:24:24.750",192.428
="2026/04/02 16:24:24.770",192.537
="2026/04/02 16:24:24.790",192.563
