time,v00018.AccX,v00018.AccY,v00018.AccZ,v00033.AccX,v00033.AccY,v00033.AccZ,s00018-1.chdata,s00018-2.chdata,s00018-3.chdata,v00029.AccX,v00029.AccY,v00029.AccZ,v00023.AccX,v00023.AccY,v00023.AccZ,v00035.AccX,v00035.AccY,v00035.AccZ,s0005-2.chdata,s0005-3.chdata,v00028.AccX,v00028.AccY,v00028.AccZ,v00015.AccX,v00015.AccY,v00015.AccZ,s0013-1.chdata,s0013-2.chdata,s0013-3.chdata,s00017-2.chdata,s00017-3.chdata,s0017-1.chdata,s0017-2.chdata,s0017-3.chdata,s0011-1.chdata,s0011-2.chdata,s0011-3.chdata,v00036.AccX,v00036.AccY,v00036.AccZ,v00025.AccX,v00025.AccY,v00025.AccZ,v00024.AccX,v00024.AccY,v00024.AccZ,v00014.AccX,v00014.AccY,v00014.AccZ,v00026.AccX,v00026.AccY,v00026.AccZ,v00034.AccX,v00034.AccY,v00034.AccZ
="2026/04/02 16:26:00.240",-0.03355,-0.03492,0.00668,-0.00601,0.00313,0.01843,0,12.79855,0,0.01842,0.00232,0.00042,-0.00546,0.03087,0.00726,-0.00687,-0.00053,0.00636,,,0.05669,-0.04644,0.00227,0.04261,-0.01937,0.01782,,,,104.22076,29.18182,77.33108,104.22076,29.18182,,,,0.00714,-0.0013,0.01547,-0.0048,0.0286,0.01687,0.01116,-0.00048,0.00941,0.01951,0.01597,0.0045,-0.00505,0.02418,-0.01735,-0.00641,-0.00364,0.0167
="2026/04/02 16:26:00.260",-0.00103,0.01187,-0.02313,0.05701,0.02462,-0.01142,0,12.91621,0,0.04353,-0.03109,0.04373,0.02624,-0.00741,-0.0055,-0.02209,0.00007,0.00595,,,0.0235,0.00302,0.02464,0.03315,0.03665,0.00215,,,,104.11829,29.34422,78.02008,104.11829,29.34422,,,,0.02298,-0.02637,-0.03396,-0.01602,0.03224,-0.0042,0.00123,-0.0026,-0.01631,0.01106,0.02139,-0.02112,-0.01883,0.03708,-0.01987,-0.02569,0.0339,0.01228
="2026/04/02 16:26:00.280",0.0026,0.01609,-0.01208,-0.09839,-0.01845,0.04886,0,13.38632,0,-0.00104,-0.02346,-0.01169,0.00099,0.05665,0.0026,-0.02908,-0.01666,-0.01105,,,0.02361,-0.0044,0.00051,-0.02517,-0.00648,-0.02483,,,,104.07957,29.34958,78.31403,104.07957,29.34958,,,,-0.03147,-0.00052,0.01861,-0.01901,0.00061,0.00011,0.00095,0.01556,-0.00832,0.01033,0.01642,-0.04371,-0.00168,-0.00024,-0.00927,0.00767,0.01691,0.03409
="2026/04/02 16:26:00.300",0.01854,0.00084,0.00655,0.03192,-0.01239,-0.00528,0,13.57404,0,-0.00328,0.02325,0.02545,0.00513,-0.06077,-0.00449,0.00038,-0.00558,-0.00729,,,0.12648,-0.03193,0.03673,0.00469,-0.03538,-0.01374,,,,104.16749,29.48731,77.61568,104.16749,29.48731,,,,0.03641,-0.02022,-0.01089,-0.02633,-0.02764,0.0095,-0.03977,0.04406,0.01872,-0.00037,-0.00304,-0.0072,0.02021,-0.01209,0.01201,0.01087,0.0446,0.02927
="2026/04/02 16:26:00.320",-0.00179,-0.04516,0.02682,0.09804,0.07097,-0.01267,0,13.4525,0,0.04903,-0.03076,-0.00083,-0.01284,-0.04479,0.01486,0.02233,0.00108,-0.01097,,,-0.0153,0.04123,0.03336,0.01313,0.01999,0.01272,,,,104.22308,29.56984,77.12737,104.22308,29.56984,,,,0.00239,0.00047,-0.02597,0.01922,-0.00094,0.00297,-0.02984,0.0226,0.01521,0.01026,0.00607,0.00964,-0.01488,0.01579,0.02029,-0.07506,0.06985,0.05789
="2026/04/02 16:26:00.340",0.01129,0.02324,0.00112,0.09628,0.03821,0.02408,0,13.39577,0,0.00941,-0.02062,0.04521,-0.00504,-0.00913,0.02514,-0.00873,-0.02333,0.0136,,,-0.00114,-0.03748,-0.00664,0.01164,0.01583,-0.02014,,,,104.35402,29.4711,77.19923,104.35402,29.4711,,,,0.00592,0.02255,0.01477,-0.02252,-0.00756,0.01293,0.02372,0.02143,0.0326,-0.00191,-0.00321,-0.02964,0.00861,-0.0304,0.02325,-0.03888,0.00308,-0.00602
="2026/04/02 16:26:00.360",-0.01228,-0.02685,-0.00587,0.00007,0.00673,0.02362,0,13.3924,0,0.01407,0.00788,0.0228,-0.04171,-0.00515,-0.02129,-0.01571,0.00169,-0.00294,,,0.03326,-0.02219,-0.0053,0.00613,0.01411,-0.00589,,,,104.57663,29.4625,77.93934,104.57663,29.4625,,,,0.00033,-0.02183,0.03026,0.005,0.03598,-0.00395,0.01749,-0.01241,0.02875,0.00592,-0.00161,0.01245,0.00544,-0.02151,-0.02322,-0.00566,-0.01278,-0.00634
="2026/04/02 16:26:00.380",0.01454,0.0083,0.00187,-0.03414,0.0098,-0.03734,0,13.09285,0,-0.00687,0.02899,-0.02759,-0.04742,-0.02602,0.00577,0.02525,0.05546,0.01971,,,-0.01995,-0.0095,0.01013,0.02165,-0.00251,0.02886,,,,104.64072,29.33944,78.35895,104.64072,29.33944,,,,-0.03147,-0.00813,0.01739,0.00695,0.02848,-0.01971,-0.00797,0.00693,-0.0252,-0.00859,0.01364,-0.01778,0.01734,-0.01132,-0.01715,-0.02219,-0.05069,0.02344
="2026/04/02 16:26:00.400",0.00374,0.00287,-0.0183,-0.01035,0.01286,-0.04024,0,12.59846,0,-0.00172,-0.00086,-0.03689,0.0436,0.06469,0.0081,0.05478,0.02888,-0.01529,,,0.01681,0.04153,0.02324,0.01692,0.02227,-0.01155,,,,104.58048,29.00395,77.81186,104.58048,29.00395,,,,0.01882,-0.03895,-0.00954,0.01271,0.01004,-0.03207,0.02079,-0.00468,0.02391,-0.00715,-0.00629,0.00246,-0.00542,0.01821,-0.02669,-0.12275,-0.14499,-0.05433
="2026/04/02 16:26:00.420",0.00055,-0.01445,-0.01531,0.02741,-0.03754,-0.04638,0,12.95494,0,-0.04785,0.01932,-0.12573,-0.01534,0.07112,0.00311,0.03074,-0.01844,-0.00545,,,0.00279,-0.00564,-0.0279,0.01796,-0.00927,-0.0142,,,,104.59608,29.17607,77.47824,104.59608,29.17607,,,,0.02052,-0.01667,-0.00826,-0.00266,0.01076,0.00022,-0.00076,0.02953,0.03494,0.00277,0.00928,0.00679,0.00613,0.03306,0.03162,0.00324,-0.06189,-0.03758
