time,v00018.AccX,v00018.AccY,v00018.AccZ,v00033.AccX,v00033.AccY,v00033.AccZ,s00018-1.chdata,s00018-2.chdata,s00018-3.chdata,v00029.AccX,v00029.AccY,v00029.AccZ,v00023.AccX,v00023.AccY,v00023.AccZ,v00035.AccX,v00035.AccY,v00035.AccZ,s0005-2.chdata,s0005-3.chdata,v00028.AccX,v00028.AccY,v00028.AccZ,v00015.AccX,v00015.AccY,v00015.AccZ,s0013-1.chdata,s0013-2.chdata,s0013-3.chdata,s00017-2.chdata,s00017-3.chdata,s0017-1.chdata,s0017-2.chdata,s0017-3.chdata,s0011-1.chdata,s0011-2.chdata,s0011-3.chdata,v00036.AccX,v00036.AccY,v00036.AccZ,v00025.AccX,v00025.AccY,v00025.AccZ,v00024.AccX,v00024.AccY,v00024.AccZ,v00014.AccX,v00014.AccY,v00014.AccZ,v00026.AccX,v00026.AccY,v00026.AccZ,v00034.AccX,v00034.AccY,v00034.AccZ
="2026/04/02 16:24:07.360",0.01247,0.03151,0.02528,-0.07164,-0.02383,0.04077,0,13.15952,0,-0.01938,0.01584,0.02313,0.00588,0.0023,-0.02416,-0.03515,-0.00569,0.00491,,,-0.00444,-0.04737,-0.07888,0.01632,-0.01238,0.01955,,,,,,,,,,,,-0.00526,-0.11149,0.22544,0.02897,-0.04543,0.08391,,,,,,,,,,,,
="2026/04/02 16:24:07.380",0.02544,0.01338,0.04225,0.01057,0.01006,0.01602,0,13.28039,0,-0.01608,0.00544,0.01209,-0.0226,-0.02007,-0.0604,0.03384,0.014,-0.04997,,,-0.00204,0.02659,0.08198,-0.00525,-0.01095,0.07572,,,,,,,,,,,,0.04424,0.08018,-0.13836,0.01157,-0.08281,-0.00054,,,,,,,,,,,,
="2026/04/02 16:24:07.400",-0.01559,0.2145,0.09047,0.02863,0.03797,-0.03283,0,12.93427,0,-0.0157,0.01064,-0.02766,0.0111,-0.00571,0.0287,-0.03178,0.05289,-0.01956,,,-0.01447,0.02965,-0.0355,0.00398,-0.01316,0.00753,,,,,,,,,,,,0.07119,0.08402,0.01985,0.05794,-0.0607,0.05147,,,,,,,,,,,,
="2026/04/02 16:24:07.420",-0.00605,0.02144,-0.08964,-0.02532,-0.01954,0.02072,0,12.8862,0,0.00421,0.0132,0.00809,0.00667,-0.0059,0.01009,-0.0429,-0.01826,0.04827,,,0.01989,0.02546,-0.03215,0.00116,0.02494,0.06045,,,,,,,,,,,,0.0353,-0.07751,-0.16953,-0.0482,-0.0279,-0.02474,,,,,,,,,,,,
="2026/04/02 16:24:07.440",0.01208,-0.07715,0.08048,-0.01829,-0.00817,0.03734,0,13.43393,0,0.0052,-0.00853,0.01018,-0.04273,0.0328,-0.02751,0.09546,-0.05514,0.031,,,-0.00848,-0.03093,0.05452,-0.00006,0.02702,0.00685,,,,,,,,,,,,-0.04418,0.09716,-0.13789,-0.06306,0.10297,-0.03614,,,,,,,,,,,,
="2026/04/02 16:24:07.460",-0.12915,-0.05955,-0.0592,-0.00616,-0.00621,0.01088,0,12.98319,0,0.00235,-0.01009,-0.00444,0.03964,0.07818,0.0056,0.02189,0.01355,-0.08726,,,-0.00317,-0.02367,0.0651,-0.011,-0.01081,0.03947,,,,,,,,,,,,-0.12356,0.05619,-0.26123,-0.00491,0.02946,-0.13552,,,,,,,,,,,,
="2026/04/02 16:24:07.480",-0.02684,0.02032,-0.13528,0.03098,0.00969,0.01733,0,12.8014,0,0.0053,-0.00783,0.00099,0.0417,-0.03571,0.11477,-0.04013,0.01101,0.07016,,,-0.04119,-0.03557,-0.03232,-0.00833,-0.00108,0.02255,,,,,,,,,,,,-0.02576,0.04951,-0.12266,-0.06013,0.08874,0.01792,,,,,,,,,,,,
="2026/04/02 16:24:07.500",0.03389,0.01512,0.13328,-0.00414,0.00335,-0.01734,0,12.83143,0,0.0117,0.01899,0.03538,0.00043,0.01731,0.03846,-0.02344,-0.02791,0.02998,,,0.01669,0.02286,0.08237,0.0022,0.00748,0.01596,,,,,,,,,,,,-0.01871,-0.00253,-0.01999,-0.0103,0.02722,0.0405,,,,,,,,,,,,
="2026/04/02 16:24:07.520",0.0201,0.00049,0.06401,0.01008,-0.00739,-0.00354,0,12.9633,0,0.01364,-0.03104,0.02821,-0.01586,0.01652,-0.11623,-0.03378,-0.0041,-0.06259,,,0.00942,-0.01267,0.01936,-0.01012,-0.02548,0.01423,,,,,,,,,,,,0.06461,-0.05104,0.01414,-0.02172,0.03985,0.08871,,,,,,,,,,,,
="2026/04/02 16:24:07.540",-0.06153,0.01988,-0.08066,-0.00597,0.00965,-0.01504,0,12.75492,0,-0.0146,0.00478,-0.01554,-0.03518,0.0108,0.0005,0.07307,-0.05873,-0.00549,,,0.01036,-0.03331,0.00867,-0.00275,0.01992,0.02784,,,,,,,,,,,,0.06949,-0.18905,0.13969,0.01318,-0.07199,-0.00547,,,,,,,,,,,,
="2026/04/02 16:24:07.560",-0.0747,0.02831,-0.0918,0.01735,0.01078,0.03854,0,12.66381,0,-0.00851,-0.00296,0.00734,-0.01517,0.05078,0.07274,-0.01356,-0.03058,0.06853,,,-0.06674,0.02138,-0.08103,0.00164,-0.02195,-0.02658,,,,,,,,,,,,0.05813,-0.18251,0.14631,0.01185,-0.10565,0.0448,,,,,,,,,,,,
="2026/04/02 16:24:07.580",-0.03018,-0.0162,-0.11931,-0.01186,-0.00526,0.02293,0,13.06191,0,0.0129,-0.00692,0.04309,0.00983,0.03495,-0.02723,0.02141,-0.05122,-0.05049,,,-0.00895,-0.04481,-0.02607,-0.00875,0.02258,-0.00337,,,,,,,,,,,,-0.01829,-0.13612,-0.06122,0.04749,-0.14157,-0.00859,,,,,,,,,,,,
="2026/04/02 16:24:07.600",-0.01181,-0.04545,-0.02198,0.00422,0.00684,-0.04279,0,13.47913,0,0.0158,-0.0243,0.04667,-0.00334,0.01492,0.0093,0.02889,0.0235,-0.02838,,,-0.01298,0.04506,-0.03014,-0.01468,-0.01505,-0.02613,,,,,,,,,,,,0.0437,-0.10179,0.00166,0.12991,0.0127,-0.12868,,,,,,,,,,,,
="2026/04/02 16:24:07.620",0.02012,-0.00708,0.03155,0.02263,0.00383,-0.00983,0,12.58144,0,-0.00602,0.02178,0.05961,-0.00053,-0.07655,0.03708,-0.02853,0.03475,0.00028,,,0.03903,-0.02043,-0.04498,0.01234,0.01505,-0.00727,,,,,,,,,,,,0.09293,0.0376,0.01945,-0.0188,0.08783,-0.05337,,,,,,,,,,,,
="2026/04/02 16:24:07.640",-0.00725,-0.02675,-0.01545,-0.032,0.00025,-0.06114,0,11.57693,0,0.02292,0.0059,0.05827,-0.00459,-0.05226,0.00743,0.00535,0.01762,0.04928,,,0.06545,0.0341,0.11629,-0.00424,-0.00322,-0.02852,,,,,,,,,,,,-0.04577,0.16499,0.00856,-0.0565,0.10001,-0.04671,,,,,,,,,,,,
="2026/04/02 16:24:07.660",0.02002,0.00726,-0.00734,0.01154,0.00255,-0.06031,0,11.87646,0,-0.00388,0.02065,-0.00415,0.01031,0.00454,-0.07296,0.0435,-0.01817,-0.04311,,,-0.03516,0.03265,0.07383,0.00666,0.03603,-0.03914,,,,,,,,,,,,-0.06338,0.15025,0.04183,-0.07462,0.13733,0.05772,,,,,,,,,,,,
="2026/04/02 16:24:07.680",0.04059,0.02295,-0.03794,0.00366,0.00471,-0.00174,0,12.79327,0,0.02109,0.00066,-0.00382,0.01833,0.02841,0.02057,-0.01994,-0.00007,-0.02765,,,-0.02462,-0.08408,0.04646,0.01188,0.0231,-0.01669,,,,,,,,,,,,-0.03273,0.05222,-0.14205,-0.06023,0.03721,-0.03588,,,,,,,,,,,,
="2026/04/02 16:24:07.700",-0.09234,-0.02467,-0.07062,0.00225,-0.00655,-0.06675,0,13.31477,0,0.00868,0.0131,-0.04555,-0.00138,-0.02035,0.03811,0.02011,-0.01672,0.02776,,,-0.01533,0.07403,0.00143,-0.00432,-0.00786,-0.01352,,,,,,,,,,,,-0.00207,-0.10696,-0.04471,-0.03982,-0.01309,-0.00146,,,,,,,,,,,,
="2026/04/02 16:24:07.720",-0.01301,0.00331,-0.02194,0.01583,-0.01983,0.04181,0,13.3622,0,-0.01178,-0.00196,-0.05161,0.01878,0.09498,-0.02852,0.02524,0.00254,-0.02523,,,-0.09824,-0.05784,0.05469,0.01657,0.0011,-0.00493,,,,,,,,,,,,-0.03598,-0.06395,0.12607,-0.04369,-0.02351,0.04304,,,,,,,,,,,,
="2026/04/02 16:24:07.740",-0.0278,-0.00166,-0.04434,0.03147,0.03319,0.01753,0,13.04755,0,-0.00209,-0.00649,0.00928,-0.00861,-0.00394,-0.00975,-0.01355,0.01688,-0.02861,,,0.02146,0.11377,-0.09149,0.00729,-0.01055,-0.00427,,,,,,,,,,,,-0.02615,-0.11255,0.15042,0.09142,-0.01938,-0.09547,,,,,,,,,,,,
="2026/04/02 16:24:07.760",0.01067,0.05565,0.12468,-0.04105,-0.01591,-0.01985,0,12.5732,0,-0.01122,0.02013,-0.00746,-0.01981,-0.03993,0.0562,0.0335,-0.03151,0.03405,,,-0.01018,-0.00864,-0.19098,-0.01311,0.01392,0.00106,,,,,,,,,,,,0.07138,-0.03466,0.11476,0.04365,-0.04613,-0.03441,,,,,,,,,,,,
="2026/04/02 16:24:07.780",-0.02521,-0.04195,-0.03425,0.029,0.0191,-0.00825,0,12.37784,0,-0.00909,-0.00353,-0.0307,-0.01282,-0.0114,-0.00824,0.02244,-0.00504,-0.03591,,,0.07862,-0.04037,-0.10758,-0.00353,0.00939,0.04272,,,,,,,,,,,,-0.06795,-0.11226,-0.01934,0.01394,-0.04333,-0.02267,,,,,,,,,,,,
="2026/04/02 16:24:07.800",-0.01348,0.0485,0.01269,-0.03832,-0.01421,-0.00863,0,12.29729,0,0.01899,0.00583,-0.00249,-0.01099,-0.03958,-0.09465,-0.00171,-0.02592,-0.03037,,,0.09586,0.09253,0.05348,0.01833,-0.02476,0.05695,,,,,,,,,,,,-0.03695,-0.0112,-0.12706,-0.07083,0.03628,0.04136,,,,,,,,,,,,
="2026/04/02 16:24:07.820",-0.04082,0.00999,0.08389,0.00324,0.00716,-0.00102,0,12.61617,0,0.00211,-0.01362,-0.01838,0.0509,-0.01914,0.00126,0.03538,-0.02955,0.05209,,,0.07578,0.03631,0.0971,0.00076,-0.0179,-0.00211,,,,,,,,,,,,0.05893,0.0365,0.01651,-0.10425,0.00184,0.08932,,,,,,,,,,,,
="2026/04/02 16:24:07.840",-0.03342,0.01493,-0.00748,-0.05428,-0.04,-0.01481,0,13.40488,0,0.01432,-0.02474,-0.00234,-0.00115,-0.04045,-0.01514,0.03483,-0.01501,0.05739,,,0.03737,-0.02773,0.13643,0.00387,0.01995,0.04043,,,,,,,,,,,,-0.03258,0.02176,0.15231,-0.00254,0.00925,0.04333,,,,,,,,,,,,
="2026/04/02 16:24:07.860",0.01946,-0.01615,-0.05071,-0.00231,-0.00878,0.04192,0,13.13432,0,-0.01204,0.00423,0.01433,-0.01947,0.04955,-0.05985,0.05794,-0.01744,0.09453,,,-0.03494,-0.02936,0.0863,0.00504,0.00421,-0.07394,,,,,,,,,,,,-0.06136,0.03088,0.1621,0.04656,-0.01996,-0.02737,,,,,,,,,,,,
="2026/04/02 16:24:07.880",0.03494,0.02333,0.05749,0.00566,-0.01579,0.00866,0,12.98839,0,0.00809,0.0242,-0.00711,-0.03851,0.06287,-0.02758,-0.0149,-0.02137,0.07247,,,-0.10664,-0.13262,0.09726,-0.00738,0.04385,-0.03432,,,,,,,,,,,,-0.00294,0.01012,-0.00467,0.01309,-0.06358,0.03804,,,,,,,,,,,,
="2026/04/02 16:24:07.900",-0.02604,0.04937,0.03998,-0.0268,-0.00442,0.01727,0,13.15186,0,-0.01625,-0.01959,-0.04216,0.03422,-0.02385,0.03761,0.00578,-0.05969,-0.12558,,,-0.12172,-0.02965,0.01475,-0.00809,0.0108,-0.07521,,,,,,,,,,,,-0.01961,-0.06814,-0.04909,-0.06843,-0.06355,0.08525,,,,,,,,,,,,
="2026/04/02 16:24:07.920",0.00019,-0.01832,-0.00455,-0.02408,-0.0033,0.03585,0,13.38163,0,0.0247,-0.01508,0.00889,0.12865,0.01168,0.01728,0.02623,-0.0319,-0.14041,,,0.07052,-0.03889,-0.01302,-0.01886,0.03713,-0.06532,,,,,,,,,,,,0.07753,-0.07484,0.12209,0.07079,-0.0079,0.1056,,,,,,,,,,,,
="2026/04/02 16:24:07.940",-0.00706,-0.02036,-0.05436,0.03633,0.00114,-0.02101,0,12.74923,0,0.00079,-0.01617,-0.02405,0.08768,0.01898,-0.01507,0.05196,0.0054,0.18175,,,0.06075,0.01318,-0.02576,0.01526,-0.00287,0.00567,,,,,,,,,,,,-0.00406,-0.04173,0.13364,0.00785,0.05865,-0.01109,,,,,,,,,,,,
="2026/04/02 16:24:07.960",-0.03676,-0.00188,-0.00267,-0.00368,-0.0052,0.01967,0,12.34532,0,-0.02508,0.01946,-0.00221,-0.01459,0.044,-0.02807,0.04696,-0.01492,0.19435,,,0.14548,0.10863,0.10546,0.00739,-0.04769,-0.02395,,,,,,,,,,,,-0.00233,-0.10583,-0.05106,-0.10737,0.04081,0.14976,,,,,,,,,,,,
="2026/04/02 16:24:07.980",0.02864,-0.00267,0.06172,-0.0194,-0.03116,0.03522,0,12.6283,0,-0.00681,0.01487,-0.0119,0.0003,-0.02178,0.05265,0.05563,-0.01289,0.33259,,,0.01802,0.12133,-0.04804,-0.00078,0.04377,0.00076,,,,,,,,,,,,0.06212,-0.07292,-0.0968,0.04582,0.09116,-0.1539,,,,,,,,,,,,
="2026/04/02 16:24:08.000",0.031,0.04385,-0.01519,0.04019,0.03006,-0.01406,0,13.29176,0,-0.00217,0.00177,0.0252,-0.08705,0.02434,0.00481,-0.06246,-0.12971,0.00986,32.84808 | 32.98202 | 33.67556 | 33.50087 | 32.26392 | 31.7497 | 31.86797 | 31.48692 | 31.83364 | 31.78719 | 30.16683 | 27.83786 | 26.14878 | 25.39681 | 24.79149 | 24.33318 | 24.91716 | 26.30016 | 28.03066 | 29.14502 | 28.61701 | 26.7266 | 25.45788 | 25.77188 | 27.01587 | 27.87222 | 27.70337 | 27.23204 | 27.96011 | 29.25173 | 29.88349 | 29.4893 | 28.71625 | 28.9629 | 29.15 | 29.00562 | 28.60613 | 28.04157 | 27.89849 | 28.18923 | 28.55107 | 28.18819 | 27.12381 | 27.13492 | 27.83148 | 28.60107 | 28.64177 | 28.18041 | 28.69274 | 29.80002,178.32104 | 178.87265 | 178.92677 | 178.51871 | 178.87334 | 178.95296 | 178.78091 | 178.96848 | 178.65121 | 179.42091 | 180.81189 | 181.00003 | 180.84222 | 181.84367 | 181.95853 | 181.47197 | 180.81734 | 180.05693 | 179.72751 | 180.03462 | 181.06638 | 181.69963 | 181.68407 | 181.34816 | 180.49496 | 180.10092 | 180.80037 | 181.47603 | 181.51096 | 181.59433 | 181.10359 | 180.51776 | 180.46146 | 180.06667 | 180.15059 | 181.01358 | 180.97214 | 180.67664 | 180.95934 | 181.50003 | 181.20883 | 180.8934 | 180.85223 | 180.55692 | 180.44795 | 180.65935 | 180.4274 | 180.0733 | 179.79668 | 179.6451,-0.02764,0.02132,-0.1383,0.00917,-0.0136,0.04495,,,,144.34377,32.03325,76.12212,144.34377,32.03325,160.69583 | 159.30115 | 158.75618 | 159.79755 | 161.52162 | 161.32698 | 158.77051 | 156.02026 | 154.84743 | 154.3037 | 154.74571 | 155.57033 | 157.32224 | 160.34737 | 162.09946 | 161.17699 | 158.51385 | 156.34671 | 155.61469 | 156.24892 | 157.37431 | 158.85826 | 159.47279 | 159.33691 | 159.10367 | 159.29219 | 159.77745 | 160.65738 | 160.53607 | 159.04326 | 157.62601 | 158.10345 | 159.47121 | 159.94957 | 159.36926 | 158.45482 | 158.05862 | 157.59856 | 157.48888 | 158.68285 | 160.12013 | 160.37059 | 159.603 | 158.942 | 159.20488 | 160.47478 | 161.34995 | 161.42865 | 160.9025 | 160.10022,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,86.60361 | 87.33405 | 88.17053 | 87.51072 | 85.86034 | 85.45369 | 85.82766 | 83.80976 | 81.00178 | 80.18802 | 80.98581 | 81.63599 | 82.3848 | 83.91039 | 84.93484 | 85.08507 | 84.65758 | 84.6575 | 84.53893 | 83.38148 | 82.45438 | 82.40116 | 83.65623 | 85.2933 | 86.04703 | 86.60954 | 86.4217 | 85.53416 | 85.0527 | 85.29697 | 85.83944 | 85.76334 | 85.02433 | 83.68614 | 83.18112 | 84.20798 | 85.23824 | 85.46992 | 85.34071 | 84.87918 | 84.926 | 85.56436 | 86.17766 | 86.16178 | 86.06693 | 86.10646 | 85.77357 | 86.19799 | 86.58688 | 86.81974,-0.07848,-0.02228,-0.13188,0.06404,-0.01015,-0.01946,,,,,,,,,,,,
="2026/04/02 16:24:08.020",-0.00536,0.0026,-0.00648,-0.01139,0.00846,0.01625,0,12.96066,0,-0.02467,0.01007,0.00572,-0.0977,-0.0258,0.03309,0.0936,-0.11254,-0.09972,,,-0.07723,0.00205,0.02401,0.01914,-0.05008,0.03768,,,,143.01985,31.65904,76.50842,143.01985,31.65904,,,,0.09634,-0.04943,-0.03054,-0.01768,-0.01979,-0.02482,,,,,,,,,,,,
="2026/04/02 16:24:08.040",0.02243,-0.01594,-0.00267,0.01144,0.00527,0.00351,0,12.82165,0,-0.01802,-0.00717,-0.00154,-0.14841,0.02116,0.00905,-0.03545,0.27357,-0.06951,,,-0.00182,-0.01961,0.04688,-0.01157,0.0035,0.03176,,,,141.31345,31.69381,77.04187,141.31345,31.69381,,,,-0.0334,-0.07785,-0.03111,0.00799,0.04594,0.02162,,,,-0.02045,-0.022,0.0482,-0.00785,0.00916,0.11063,0.09655,-0.02084,-0.32068
="2026/04/02 16:24:08.060",0.01679,0.02893,-0.01305,0.00135,0.00327,0.00356,0,13.26749,0,0.00278,0.01791,0.03054,-0.10576,0.00453,0.02064,-0.12992,0.10109,-0.35011,,,-0.01654,-0.08192,0.08046,0.01331,0.04416,-0.02185,,,,138.73973,31.45562,77.35823,138.73973,31.45562,,,,0.04741,0.06846,0.04146,-0.0466,-0.02519,-0.03576,,,,0.00302,-0.00368,0.00266,-0.00555,0.02673,-0.12113,0.02268,0.03952,0.04313
="2026/04/02 16:24:08.080",0.00995,0.03218,0.0367,0.01388,0.04174,-0.01994,0,13.39311,0,-0.01112,0.01553,-0.00234,-0.00173,0.02493,-0.0067,0.00088,-0.0276,-0.35647,,,-0.07199,-0.01383,0.00186,0.00612,-0.0182,-0.04438,,,,134.89081,30.79884,77.55832,134.89081,30.79884,,,,-0.11102,-0.13138,-0.05191,0.00875,0.05435,0.08139,,,,-0.01782,-0.01853,0.01256,0.02089,0.02061,0.00451,0.04264,0.01495,0.11423
="2026/04/02 16:24:08.100",-0.0059,-0.00653,0.00788,-0.02628,-0.01685,0.02091,0,13.00433,0,-0.01563,0.01314,-0.03753,0.03863,-0.00908,0.02307,-0.06094,0.06679,-0.37864,,,-0.06473,0.02741,-0.13763,-0.00926,0.03342,0.0521,,,,132.31726,30.64459,78.13393,132.31726,30.64459,,,,-0.04471,-0.0481,-0.16756,-0.03718,0.04286,-0.01849,,,,-0.01149,0.00351,0.00082,0.09271,-0.03464,-0.01783,-0.08476,-0.0346,0.44803
="2026/04/02 16:24:08.120",-0.00904,0.00814,0.05066,0.00777,0.00736,-0.00192,0,12.71809,0,-0.03007,0.01441,-0.07864,0.12083,-0.01098,-0.02954,0.02051,0.0632,0.01698,,,0.06289,0.0444,0.05063,-0.02406,0.01516,-0.01467,,,,133.13275,31.09526,77.90765,133.13275,31.09526,,,,0.02592,-0.03314,0.02693,0.06063,-0.00259,-0.09237,,,,0.00206,-0.00049,-0.00479,0.0402,-0.00789,0.09954,-0.2067,-0.06497,0.53102
="2026/04/02 16:24:08.140",0.04608,0.02347,0.02172,-0.00529,0.00642,0.02196,0,12.85789,0,-0.00858,0.006,-0.02519,0.12663,0.04153,-0.07878,-0.04796,0.03296,0.15569,,,0.05555,0.06871,0.10957,0.00018,0.02428,-0.10298,,,,134.63287,31.18177,76.81324,134.63287,31.18177,,,,0.10783,-0.01732,0.13475,0.00652,-0.05961,0.03012,,,,-0.0078,0.01015,-0.02458,-0.01503,-0.02186,0.01166,-0.20808,0.07803,-0.08771
="2026/04/02 16:24:08.160",0.02794,0.00051,-0.06848,-0.00388,-0.01156,0.02828,0,13.0879,0,-0.01636,-0.00059,-0.00484,-0.03176,0.01315,-0.01817,0.00834,-0.03989,0.41307,,,0.0084,-0.0003,0.02069,0.01169,-0.02049,0.00467,,,,134.84981,31.03546,76.98554,134.84981,31.03546,,,,-0.02205,-0.07496,0.12224,0.0298,0.03914,-0.00817,,,,0.00031,-0.00543,-0.00271,-0.06588,-0.03926,-0.07274,-0.11964,0.01125,-0.07927
="2026/04/02 16:24:08.180",-0.00399,0.03689,-0.09051,0.02615,-0.01769,-0.01676,0,13.48255,0,-0.00663,-0.00388,-0.02713,-0.08828,-0.03081,0.04632,-0.02919,-0.19171,0.3917,,,-0.01537,0.05097,-0.00164,0.03658,-0.0672,-0.01099,,,,134.54961,31.14812,77.13899,134.54961,31.14812,,,,-0.11215,-0.06756,-0.01496,0.02887,0.02091,0.00697,,,,-0.00721,-0.00349,0.02578,-0.13581,-0.04896,0.10149,-0.02844,-0.03808,0.05699
="2026/04/02 16:24:08.200",0.05026,-0.03626,0.0617,0.02952,0.00609,0.00138,0,13.11469,0,-0.01737,0.00387,-0.03605,-0.13239,0.03412,0.0345,-0.00056,-0.19554,0.04102,,,0.03367,0.00389,-0.01082,-0.01536,-0.03473,0.0736,,,,135.03175,31.23224,76.47992,135.03175,31.23224,,,,-0.08227,-0.05381,0.02304,-0.03382,0.02931,0.00378,,,,0.0091,0.00924,-0.00268,-0.03485,-0.02373,-0.1248,0.09749,0.05986,-0.11169
="2026/04/02 16:24:08.220",0.01652,0.00026,0.19083,0.00614,-0.00805,0.02132,0,12.53945,0,-0.01538,-0.01499,0.00659,-0.06718,-0.02986,0.00144,0.01287,-0.12763,-0.15566,,,0.04782,-0.20838,-0.06172,0.0045,-0.04715,0.01349,,,,135.07254,31.11582,76.20345,135.07254,31.11582,,,,-0.01009,0.00084,0.03366,-0.04485,0.09464,0.01898,,,,-0.01634,0.00354,-0.00694,0.10193,0.12845,-0.04406,0.10488,0.03564,-0.03024
="2026/04/02 16:24:08.240",-0.05637,-0.03002,0.10554,0.01223,0.01136,-0.05082,0,12.77723,0,-0.012,0.02601,0.05515,0.02106,-0.04126,0.0284,0.12689,-0.07975,-0.04739,,,0.02755,-0.00999,-0.07928,0.02214,-0.02368,0.05921,,,,133.26111,31.32528,76.7384,133.26111,31.32528,,,,0.03595,0.02532,0.15038,-0.06265,0.04747,0.02391,,,,0.0121,0.01034,-0.00281,0.06049,-0.00085,-0.07364,0.02932,0.05492,-0.17801
="2026/04/02 16:24:08.260",0.01437,-0.08715,-0.06608,0.00625,-0.00437,0.03768,0,12.8101,0,-0.02801,-0.00817,-0.03679,0.02661,-0.03077,0.04308,-0.02513,0.07087,-0.15208,,,0.00742,-0.02271,-0.01857,0.01576,-0.02977,0.11906,,,,130.72289,31.90941,76.91411,130.72289,31.90941,,,,-0.03746,-0.05315,0.1708,-0.04244,0.09001,0.00159,,,,-0.03525,-0.00456,-0.02272,0.05615,0.01884,-0.06882,0.03436,0.1244,-0.34616
="2026/04/02 16:24:08.280",0.02564,0.01073,-0.06242,0.02317,-0.00602,-0.04397,0,12.7638,0,0.00463,0.02054,0.05191,0.00344,0.02619,-0.02235,-0.01876,0.05473,-0.08761,,,0.06897,0.0187,0.05332,0.02749,-0.00991,0.01654,,,,128.91846,31.90359,76.58103,128.91846,31.90359,,,,0.03209,-0.00067,-0.11823,-0.02154,-0.01719,-0.04386,,,,-0.01505,0.00441,-0.02395,0.10365,0.03545,-0.02554,-0.06966,0.01264,-0.0448
="2026/04/02 16:24:08.300",-0.05018,-0.09309,-0.0322,-0.02168,0.01472,-0.0476,0,13.15549,0,0.01813,-0.00346,0.08869,0.02786,0.05506,-0.07364,-0.07907,0.06795,-0.13716,,,-0.0041,0.0652,-0.11148,0.01784,0.02749,0.01873,,,,128.20255,31.51682,76.47285,128.20255,31.51682,,,,0.03265,0.00521,-0.05169,-0.04831,-0.13048,-0.09197,,,,0.03155,0.00135,-0.00928,0.04565,0.05662,0.09868,-0.11377,0.03871,0.25496
="2026/04/02 16:24:08.320",0.05191,0.09397,-0.25019,0.01028,-0.04436,-0.03579,0,13.34755,0,-0.03987,0.03234,-0.17915,0.02854,0.04803,0.01215,-0.12627,0.00873,-0.25918,,,0.07529,-0.09847,-0.05127,-0.01672,0.04875,0.0298,,,,127.85027,31.65608,76.4138,127.85027,31.65608,,,,-0.01529,0.01697,0.04772,0.01561,-0.00701,-0.00813,,,,0.00569,0.01997,-0.00913,0.01227,-0.02428,0.10489,-0.14963,-0.13073,0.32166
="2026/04/02 16:24:08.340",0.0153,0.03402,-0.25278,-0.0183,-0.0128,0.01165,0,12.79875,0,-0.02228,0.01268,-0.0883,-0.05539,-0.15669,0.01036,-0.00634,-0.06852,0.04005,,,0.10313,-0.02564,-0.02919,0.01766,0.04556,-0.0458,,,,127.02296,32.30597,76.00488,127.02296,32.30597,,,,0.06112,0.00912,0.09993,-0.00093,0.07542,0.04652,,,,0.00983,-0.00253,-0.00027,-0.09524,-0.04948,0.01503,-0.16742,-0.09013,0.12717
="2026/04/02 16:24:07.040",,,,0.0184,0.04629,0.08977,0,13.22463,0,-0.03822,0.01942,-0.04845,-0.00885,-0.13453,0.11848,,,,,,0.06611,-0.03617,0.16498,-0.03283,-0.02153,-0.01832,,,,,,,,,,,,-0.02231,0.00329,-0.00876,0.01399,-0.01462,-0.04649,,,,,,,,,,,,
="2026/04/02 16:24:07.060",,,,-0.01108,-0.02821,0.03992,0,13.14557,0,0.03138,0.01039,0.11579,0.0019,0.02075,-0.03278,,,,,,0.08777,-0.0208,0.09834,0.00539,-0.03601,-0.06239,,,,,,,,,,,,-0.03524,0.01402,0.00693,-0.01465,0.00678,-0.03406,,,,,,,,,,,,
="2026/04/02 16:24:07.080",,,,0.02127,0.01279,0.01042,0,13.19341,0,0.0525,-0.02601,0.13413,-0.01501,0.12224,-0.014,,,,,,0.00544,-0.01393,0.01932,0.03442,0.02387,-0.06934,,,,,,,,,,,,0.01421,0.0486,0.03307,-0.00054,-0.019,-0.04468,,,,,,,,,,,,
="2026/04/02 16:24:07.100",,,,-0.03869,-0.05001,0.00017,0,13.47661,0,0.02837,-0.01387,0.06137,0.09334,0.0275,-0.06622,,,,,,0.0368,0.05509,-0.01395,0.02513,-0.0313,-0.04754,,,,,,,,,,,,-0.01346,-0.01547,0.04317,-0.02107,-0.02719,0.02919,,,,,,,,,,,,
="2026/04/02 16:24:07.120",,,,-0.06502,-0.03117,0.07825,0,13.45952,0,-0.04045,0.02232,-0.08929,0.02368,0.0248,-0.00634,,,,,,-0.00643,0.00268,-0.12804,0.01659,0.0046,-0.01471,,,,,,,,,,,,-0.04144,-0.00048,-0.00137,-0.00029,-0.00706,-0.02787,,,,,,,,,,,,
