code,type,time,value1,value2,value3
s0017-1,sgd,1775476770.66,225.4063,,
s0017-1,sgd,1775476770.68,225.58568,,
s0017-1,sgd,1775476770.7,226.00552,,
s0017-1,sgd,1775476770.72,225.50169,,
s0017-1,sgd,1775476770.74,225.52191,,
s0017-1,sgd,1775476770.76,225.74651,,
s0017-1,sgd,1775476770.78,225.5616,,
s0017-1,sgd,1775476770.8,225.21748,,
s0017-1,sgd,1775476770.82,224.7702,,
s0017-1,sgd,1775476770.84,225.39922,,
s0017-1,sgd,1775476770.86,226.21544,,
s0017-1,sgd,1775476770.88,225.60942,,
s0017-1,sgd,1775476770.9,225.3705,,
s0017-1,sgd,1775476770.92,225.61795,,
s0017-1,sgd,1775476770.94,225.78337,,
s0017-1,sgd,1775476770.96,225.65514,,
s0017-1,sgd,1775476770.98,225.42154,,
s0017-2,sgd,1775476770,133.91768,,
s0017-2,sgd,1775476770.02,133.8703,,
s0017-2,sgd,1775476770.04,133.80225,,
s0017-2,sgd,1775476770.06,133.83896,,
s0017-2,sgd,1775476770.08,133.94386,,
s0017-2,sgd,1775476770.1,134.06927,,
s0017-2,sgd,1775476770.12,134.06107,,
s0017-2,sgd,1775476770.14,133.83842,,
s0017-2,sgd,1775476770.16,133.70012,,
s0017-2,sgd,1775476770.18,133.68169,,
s0017-2,sgd,1775476770.2,133.83871,,
s0017-2,sgd,1775476770.22,134.00891,,
s0017-2,sgd,1775476770.24,134.08286,,
s0017-2,sgd,1775476770.26,134.01636,,
s0017-2,sgd,1775476770.28,134.04684,,
s0017-2,sgd,1775476770.3,133.90323,,
s0017-2,sgd,1775476770.32,133.81308,,
s0017-2,sgd,1775476770.34,133.93614,,
s0017-2,sgd,1775476770.36,133.92433,,
s0017-2,sgd,1775476770.38,133.84911,,
s0017-2,sgd,1775476770.4,133.81374,,
s0017-2,sgd,1775476770.42,133.84946,,
s0017-2,sgd,1775476770.44,133.88667,,
s0017-2,sgd,1775476770.46,133.89902,,
s0017-2,sgd,1775476770.48,133.95535,,
s0017-2,sgd,1775476770.5,134.02829,,
s0017-2,sgd,1775476770.52,134.01254,,
s0017-2,sgd,1775476770.54,133.80898,,
s0017-2,sgd,1775476770.56,133.70094,,
s0017-2,sgd,1775476770.58,133.82475,,
s0017-2,sgd,1775476770.6,133.91811,,
s0017-2,sgd,1775476770.62,133.89168,,
s0017-2,sgd,1775476770.64,133.88016,,
s0017-2,sgd,1775476770.66,133.91162,,
s0017-2,sgd,1775476770.68,133.94353,,
s0017-2,sgd,1775476770.7,133.8625,,
s0017-2,sgd,1775476770.72,133.82533,,
s0017-2,sgd,1775476770.74,133.92532,,
s0017-2,sgd,1775476770.76,134.10616,,
s0017-2,sgd,1775476770.78,134.16592,,
s0017-2,sgd,1775476770.8,134.05536,,
s0017-2,sgd,1775476770.82,133.95171,,
