model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,-0.8383140593656665,4.558672537915533,0.5494604328145393,11,-0.493085260463376,-1.356992987866164
s1_l2,1,2,38.0,68.0,2.436788222887523,-30.57591414565792,0.7229805460185902,11,2.140049585286743,-23.452693070306296
s1_l3,1,3,38.0,98.0,2.9579669985629997,-41.46426038155385,0.638645204937148,11,2.213262793425894,-31.909972877684268
s1_l4,1,4,38.0,128.0,0.9423935900949112,-10.93603695478026,0.29172247978825383,11,1.7003279801227844,-26.72883241000008
s1_l5,1,5,38.0,158.0,1.0684940221245882,-12.940130260894614,0.8490380946611832,11,1.0282747282598024,-7.909271667253762
s2_l1,2,1,68.0,38.0,-0.5201348634523616,5.193887578223799,0.37855882367539573,11,-0.2473740297173741,3.380501153600683
s2_l2,2,2,68.0,68.0,2.3289100873133712,-28.821943640565493,0.7450010728217946,11,1.605510981703958,-19.575216344301197
s2_l3,2,3,68.0,98.0,1.8008874474684373,-21.81674777541756,0.4415481651032884,11,2.3796029860185737,-28.892513567140938
s2_l4,2,4,68.0,128.0,1.4890792413146416,-16.190288272552582,0.5411638123097418,11,1.9922867600415035,-24.571390514918505
s2_l5,2,5,68.0,158.0,1.364112613902771,-14.63547915859164,0.8758103471361646,11,0.7087983370572495,-6.61184718763397
s3_l1,3,1,98.0,38.0,-0.2218333140747461,1.5672654876808585,0.47285618950950536,11,-0.12808319473926355,-1.2665175235753097
s3_l2,3,2,98.0,68.0,1.867432060732888,-27.018227857531308,0.5508489356789736,11,1.4161397335246475,-25.08225243693896
s3_l3,3,3,98.0,98.0,2.822350847102775,-41.2399986182737,0.6186125952730293,11,3.197467838816152,-35.259567075240426
s3_l4,3,4,98.0,128.0,2.193990741546574,-26.38788749907174,0.8164429484555261,11,2.112517001695265,-31.798461438479762
s3_l5,3,5,98.0,158.0,1.192435770798358,-15.026849156387057,0.8468612410180072,11,1.2646713416019715,-14.698935526656925
