code,type,time,value1,value2,value3
s0017-1,sgd,1775479432.66,227.91368,,
s0017-1,sgd,1775479432.68,226.94693,,
s0017-1,sgd,1775479432.7,227.30023,,
s0017-1,sgd,1775479432.72,228.0027,,
s0017-1,sgd,1775479432.74,228.06998,,
s0017-1,sgd,1775479432.76,227.89601,,
s0017-1,sgd,1775479432.78,228.08328,,
s0017-1,sgd,1775479432.8,230.40793,,
s0017-1,sgd,1775479432.82,234.18733,,
s0017-1,sgd,1775479432.84,237.51436,,
s0017-1,sgd,1775479432.86,238.10663,,
s0017-1,sgd,1775479432.88,234.64075,,
s0017-1,sgd,1775479432.9,233.66902,,
s0017-1,sgd,1775479432.92,234.70372,,
s0017-1,sgd,1775479432.94,233.90619,,
s0017-1,sgd,1775479432.96,233.69388,,
s0017-1,sgd,1775479432.98,232.91646,,
s0017-2,sgd,1775479432,130.59647,,
s0017-2,sgd,1775479432.02,130.78891,,
s0017-2,sgd,1775479432.04,130.90633,,
s0017-2,sgd,1775479432.06,130.82753,,
s0017-2,sgd,1775479432.08,130.72723,,
s0017-2,sgd,1775479432.1,130.57181,,
s0017-2,sgd,1775479432.12,130.49771,,
s0017-2,sgd,1775479432.14,130.49318,,
s0017-2,sgd,1775479432.16,130.59834,,
s0017-2,sgd,1775479432.18,130.73109,,
s0017-2,sgd,1775479432.2,130.70271,,
s0017-2,sgd,1775479432.22,130.63135,,
s0017-2,sgd,1775479432.24,130.48682,,
s0017-2,sgd,1775479432.26,130.57187,,
s0017-2,sgd,1775479432.28,130.71077,,
s0017-2,sgd,1775479432.3,130.86151,,
s0017-2,sgd,1775479432.32,130.75713,,
s0017-2,sgd,1775479432.34,130.69774,,
s0017-2,sgd,1775479432.36,130.71774,,
s0017-2,sgd,1775479432.38,130.72452,,
s0017-2,sgd,1775479432.4,130.81992,,
s0017-2,sgd,1775479432.42,130.68413,,
s0017-2,sgd,1775479432.44,130.57803,,
s0017-2,sgd,1775479432.46,130.67676,,
s0017-2,sgd,1775479432.48,130.81401,,
s0017-2,sgd,1775479432.5,130.81491,,
s0017-2,sgd,1775479432.52,130.5038,,
s0017-2,sgd,1775479432.54,130.508,,
s0017-2,sgd,1775479432.56,130.87259,,
s0017-2,sgd,1775479432.58,131.00427,,
s0017-2,sgd,1775479432.6,130.79906,,
s0017-2,sgd,1775479432.62,130.57155,,
s0017-2,sgd,1775479432.64,130.51672,,
s0017-2,sgd,1775479432.66,130.74048,,
s0017-2,sgd,1775479432.68,130.91844,,
s0017-2,sgd,1775479432.7,130.81523,,
s0017-2,sgd,1775479432.72,130.6201,,
s0017-2,sgd,1775479432.74,130.5787,,
s0017-2,sgd,1775479432.76,130.59392,,
s0017-2,sgd,1775479432.78,130.62915,,
s0017-2,sgd,1775479432.8,131.01321,,
s0017-2,sgd,1775479432.82,130.82254,,
s0017-2,sgd,1775479432.84,129.21748,,
s0017-2,sgd,1775479432.86,126.78328,,
s0017-2,sgd,1775479432.88,125.44939,,
s0017-2,sgd,1775479432.9,126.39321,,
s0017-2,sgd,1775479432.92,127.64686,,
s0017-2,sgd,1775479432.94,128.60881,,
s0017-2,sgd,1775479432.96,130.02283,,
s0017-2,sgd,1775479432.98,131.26338,,
s0017-3,sgd,1775479432,260.8143,,
s0017-3,sgd,1775479432.02,259.63379,,
s0017-3,sgd,1775479432.04,253.308,,
s0017-3,sgd,1775479432.06,247.37212,,
s0017-3,sgd,1775479432.08,243.29915,,
