position_cm,slope_disp_vs_mass,intercept_disp_vs_mass_original,r2,n,intercept_disp_vs_mass_forced,vertical_shift
38.0,-0.38430586050120485,-0.7571872062946237,0.9961421985442243,11,0.0,0.7571872062946237
45.5,-0.36852019765151955,-0.7735890139717939,0.9979678889171142,11,0.0,0.7735890139717939
53.0,-0.43185793429707486,-0.3753348782674121,0.9981724304466861,11,0.0,0.3753348782674121
60.5,-0.4160768981127834,0.3771248588969268,0.9984733014488864,11,0.0,-0.3771248588969268
68.0,-0.44444490417712834,-0.2358785051058038,0.9968822206371268,11,0.0,0.2358785051058038
75.5,-0.3740379910597796,-0.6012461907251392,0.9954452386068039,11,0.0,0.6012461907251392
83.0,-0.3528935312959657,-1.0964898644137018,0.9965469033663602,11,0.0,1.0964898644137018
90.5,-0.33612511537148204,-0.2561342004857045,0.9960233317714643,11,0.0,0.2561342004857045
98.0,-0.3292831718492339,-0.2350291614099154,0.9982631502163356,11,0.0,0.2350291614099154
105.5,-0.26380727393410386,0.017177748075568423,0.9964371669547618,11,0.0,-0.017177748075568423
113.0,-0.22333016345601325,-0.8563954299604385,0.9968243932057089,11,0.0,0.8563954299604385
