model,sensor_code,load_code,sensor_cm,load_cm,k_disp_vs_mass,c_disp_vs_mass,r2,n,k_surface_pred,c_surface_pred
s1_l1,1,1,38.0,38.0,0.1571790870700979,-0.5853555844863825,0.12009590919483837,11,0.016032268581153808,0.579317968725741
s1_l2,1,2,38.0,68.0,-0.256040184084085,3.7703106453894724,0.17865836604445462,11,-0.14101643235156291,3.361114735036688
s1_l3,1,3,38.0,98.0,-0.447653744324041,6.10347132633958,0.7999873554362148,11,-0.3302046963423083,4.504759059128395
s1_l4,1,4,38.0,128.0,-0.17148364942600877,2.225147677101795,0.34151279142126856,11,-0.2720032229421976,4.010250941000869
s1_l5,1,5,38.0,158.0,-0.28387298214580714,2.8194647009754705,0.7313756610256295,11,-0.2753520459949321,1.8775903806541052
s2_l1,2,1,68.0,38.0,0.014788434473885479,-0.5549865666485664,0.00304552907569855,11,-0.016490090502994936,-1.1062988047116393
s2_l2,2,2,68.0,68.0,-0.5011606685311301,5.1773088604794975,0.6045129903139903,11,-0.21328133660588233,1.815403983248073
s2_l3,2,3,68.0,98.0,0.04350215080519099,-0.2725693528287492,0.014560823223563113,11,-0.19543920116648855,3.098954328988553
s2_l4,2,4,68.0,128.0,-0.1399802338577569,1.234032751613293,0.17025677281231733,11,-0.23347446416156115,2.7443522325097938
s2_l5,2,5,68.0,158.0,-0.20521192174500189,1.7202173803486407,0.2966039373525833,11,-0.12862568334479785,0.7515976938118065
s3_l1,3,1,98.0,38.0,0.2292946356486061,-1.3775290174207528,0.5379796471620402,11,0.18450402981537917,0.3181540055430734
s3_l2,3,2,98.0,68.0,-0.20297996688006,4.585432179462026,0.27927098929916594,11,-0.08315922719096086,3.3797628151515546
s3_l3,3,3,98.0,98.0,-0.2850103239412488,5.500003312469249,0.2771110954656314,11,-0.43043771800820496,4.803219182540801
s3_l4,3,4,98.0,128.0,-0.26529234464762397,4.341875361637808,0.5292776482247976,11,-0.2377047461967008,4.588523107710813
s3_l5,3,5,98.0,158.0,-0.16713600255004127,2.7755540738814393,0.2590038362100152,11,-0.12458700819610052,2.7356745906615956
