frame_id,dx_pixels,dy_pixels,time,sensor_dist_01.dist,sensor_s00017-2.chdata,sensor_s00017-3.chdata,sensor_s00018-1.chdata,sensor_s00018-2.chdata,sensor_s00018-3.chdata,sensor_s0011-1.chdata,sensor_s0011-2.chdata,sensor_s0011-3.chdata,sensor_s0017-1.chdata,sensor_s0017-2.chdata,sensor_s0017-3.chdata,sensor_v00013.AccX,sensor_v00013.AccY,sensor_v00013.AccZ,sensor_v00023.AccX,sensor_v00023.AccY,sensor_v00023.AccZ,sensor_v00024.AccX,sensor_v00024.AccY,sensor_v00024.AccZ,sensor_v00028.AccX,sensor_v00028.AccY,sensor_v00028.AccZ,sensor_v00029.AccX,sensor_v00029.AccY,sensor_v00029.AccZ,sensor_v00033.AccX,sensor_v00033.AccY,sensor_v00033.AccZ
1,0.0,0.0,0.03333333333333333,187.531,130.86719,255.41659666666666,0.0,0.0,0.0,79.40939666666667,0.0,199.48542,228.86661,130.86719,255.41659666666666,0.00383,-0.00020333333333333328,0.0017633333333333355,-0.004369999999999999,-0.002796666666666668,0.0027166666666666667,-0.27580666666666664,-0.04396666666666668,0.9892333333333333,-0.0013566666666666662,0.0016633333333333335,-0.00033666666666666567,0.2998966666666667,0.1046733333333334,-3.077993333333333,-0.0014466666666666664,0.0025233333333333323,0.012246666666666668
2,-0.12310445860578056,1.344287149738534,0.06666666666666667,187.531,130.79409666666666,246.01446333333334,0.0,0.0,0.0,79.42883233333333,0.0,199.62724,227.19011333333333,130.79409666666666,246.01446333333334,-0.0018366666666666666,0.003763333333333333,0.00017333333333333263,-0.0010466666666666667,0.0007333333333333334,-0.0038533333333333336,-0.21068,-0.26442666666666664,0.6001833333333333,0.0017933333333333332,0.00068,0.00262,-0.5866333333333333,-0.15900666666666669,0.0026233333333333386,0.0061066666666666665,0.009413333333333333,-0.03590333333333333
3,-0.12310445860578056,1.344287149738534,0.1,187.531,130.57181,249.89046,0.0,0.0,0.0,79.448269,0.0,199.769061,228.46765,130.57181,249.89046,-0.01494,-0.0023200000000000004,0.012539999999999999,0.00713,0.00577,-0.00349,-0.03348999999999999,-0.47837,-2.0366999999999997,0.00229,-0.01009,-0.007230000000000001,0.09586000000000006,0.9065699999999999,1.1541000000000001,0.0009000000000000015,0.00271,-0.032
4,0.0053642684612214,3.009390266578748,0.13333333333333333,187.56066666666666,130.49469,256.3517606666667,0.0,0.0,0.0,79.46770566666666,0.0,199.910881,227.78463333333335,130.49469,256.3517606666667,0.0009866666666666695,0.0058566666666666645,-0.006890000000000003,0.0021366666666666635,-0.0038633333333333328,0.010816666666666665,-0.010845333333333262,0.6478520000000001,1.5159786666666666,0.005176666666666666,-0.0005666666666666663,0.0018166666666666674,0.36723800000000006,-0.40055933333333277,-1.0699379999999985,0.005963333333333338,0.0007733333333333273,0.012553000000000005
5,0.0053642684612214,3.009390266578748,0.16666666666666666,187.641,130.64258866666668,252.62978333333334,0.0,0.0,0.0,79.48714133333334,0.0,200.052701,228.22328366666667,130.64258866666668,252.62978333333334,-0.002250000000000001,0.00010000000000000417,-0.011980000000000008,-0.00040666666666666846,-0.004680000000000008,0.013733333333333328,0.0666323333333333,-0.08318699999999965,0.7313700000000001,0.0012499999999999987,-0.004420000000000002,0.0015933333333333338,0.07105833333333317,-0.09450100000000056,-0.8180709999999993,-0.007063333333333334,0.002700000000000008,-0.002567000000000024
6,0.13564832869633392,4.713705016107838,0.2,187.541,130.70271,250.400527,0.0,0.0,0.0,79.506578,0.0,200.194521,227.901527,130.70271,250.400527,0.00838,-0.00894,-0.00266,0.00431,0.01258,-0.021649,0.223169,-0.836567,0.382483,-0.00134,0.005479999999999999,0.00237,-0.37341199999999997,0.16171599999999997,0.502132,-0.0004899999999999991,-0.01525,-0.0031800000000000023
7,0.13564832869633392,4.713705016107838,0.23333333333333334,187.548,130.53499833333333,251.004921,0.0,0.0,0.0,79.526014,0.0,200.336341,228.00684033333334,130.53499833333333,251.004921,0.0036233333333333326,-0.0071333333333333335,-0.005390000000000001,0.0011866666666666727,0.002166666666666668,-0.01136333333333333,0.06263199999999988,-0.680581333333333,2.0645233333333333,-0.0037100000000000054,-0.00010666666666666707,-0.002710000000000005,-0.1569496666666665,-0.020052333333332784,-0.059255666666667706,0.005019999999999993,0.012909999999999996,0.005056000000000022
8,0.3362218814595508,5.742770256165272,0.26666666666666666,187.49900066666666,130.61816866666666,256.021895,0.0,0.0,0.0,79.54545033333333,0.0,200.478162,228.81085733333333,130.61816866666666,256.021895,0.003310000000000004,-0.0009366666666666671,0.010190000000000012,-0.0025933333333333364,-0.00916,-0.014560333333333383,-0.13797900000000007,-0.6421133333333343,-0.4447133333333335,0.005249999999999984,0.002983333333333312,0.0486993333333332,0.148672,0.6848943333333334,-0.7712603333333335,-0.008856666666666662,-0.011549999999999998,-0.01309666666666668
9,0.3362218814595508,5.742770256165272,0.3,187.519,130.861508,252.399976,0.0,0.0,0.0,79.564887,0.0,200.619982,228.639256,130.861508,252.399976,-0.00139,0.01075,0.022840000000000003,0.0038700000000000006,-0.00366,0.02436,0.300115,-0.7160299999999999,-0.574097,-0.00648,0.00991,-0.06662700000000002,0.251869,-0.7386240000000001,0.39172799999999997,0.0014700000000000008,0.016120000000000002,0.01922
10,0.5010207384993919,6.784444676336534,0.3333333333333333,187.57533266666667,130.71753766666666,250.68883833333334,0.0,0.0,0.0,79.584323,0.0,200.761802,227.60220966666668,130.71753766666666,250.68883833333334,-0.0011566666666666487,0.0011603333333332997,0.0039700000000000065,-0.0005799999999999959,-0.00028333333333331514,0.01888999999999998,0.29440166666666606,0.511955666666668,0.7345183333333323,-0.00042333333333334933,-0.006149999999999961,0.03464966666666665,0.10333100000000117,-0.23757433333333178,-0.576346000000001,0.004806666666666695,-0.008756666666666637,-0.004573333333333355
