frame_id,time,dy_pixels,dist_raw_shifted,dist_aligned,diff_dy_minus_dist_aligned
1,0.02,0.0,187.451,9.12453071895311,-9.12453071895311
2,0.04,-0.006608749735050878,187.451,9.12453071895311,-9.131139468688161
3,0.06,-0.006608749735050878,187.451,9.12453071895311,-9.131139468688161
4,0.08,1.6514951376399267,187.451,9.12453071895311,-7.473035581313184
5,0.1,1.6514951376399267,187.451,9.12453071895311,-7.473035581313184
6,0.12,3.3533615025717154,187.451,9.12453071895311,-5.771169216381395
7,0.14,3.3533615025717154,187.451,9.12453071895311,-5.771169216381395
8,0.16,4.384210173265728,187.451,9.12453071895311,-4.740320545687382
9,0.18,4.384210173265728,187.451,9.12453071895311,-4.740320545687382
10,0.2,5.417677119628365,187.451,9.12453071895311,-3.706853599324745
11,0.22,5.417677119628365,187.451,9.12453071895311,-3.706853599324745
12,0.24,6.5949429641582356,187.451,9.12453071895311,-2.529587754794875
13,0.26,6.5949429641582356,187.451,9.12453071895311,-2.529587754794875
14,0.28,7.248222227108272,187.451,9.12453071895311,-1.8763084918448385
15,0.3,7.248222227108272,187.451,9.12453071895311,-1.8763084918448385
16,0.32,7.0851055698611844,187.451,9.12453071895311,-2.039425149091926
17,0.34,7.0851055698611844,187.451,9.12453071895311,-2.039425149091926
18,0.36,7.034558167049681,187.451,9.12453071895311,-2.089972551903429
19,0.38,7.034558167049681,187.451,9.12453071895311,-2.089972551903429
20,0.4,7.207080613031621,187.451,9.12453071895311,-1.917450105921489
21,0.42,7.207080613031621,187.451,9.12453071895311,-1.917450105921489
22,0.44,7.1546583325497295,187.451,9.12453071895311,-1.969872386403381
23,0.46,7.1546583325497295,187.451,9.12453071895311,-1.969872386403381
24,0.48,6.850576384457327,187.451,9.12453071895311,-2.2739543344957838
25,0.5,6.850576384457327,187.451,9.12453071895311,-2.2739543344957838
26,0.52,7.241168549327426,187.451,9.12453071895311,-1.8833621696256841
27,0.54,7.241168549327426,187.451,9.12453071895311,-1.8833621696256841
28,0.56,7.402635746902888,187.451,9.12453071895311,-1.7218949720502223
29,0.58,7.402635746902888,187.451,9.12453071895311,-1.7218949720502223
30,0.6,7.43100263096369,187.451,9.12453071895311,-1.6935280879894208
31,0.62,7.43100263096369,187.451,9.12453071895311,-1.6935280879894208
32,0.64,7.510639799278692,187.451,9.12453071895311,-1.613890919674418
33,0.66,7.510639799278692,187.451,9.12453071895311,-1.613890919674418
34,0.68,7.503781448116911,187.451,9.12453071895311,-1.6207492708361997
35,0.7,7.503781448116911,187.451,9.12453071895311,-1.6207492708361997
36,0.72,7.46967995508146,187.451,9.12453071895311,-1.65485076387165
37,0.74,7.46967995508146,187.451,9.12453071895311,-1.65485076387165
38,0.76,7.48300595774424,187.451,9.12453071895311,-1.6415247612088706
39,0.78,7.48300595774424,187.451,9.12453071895311,-1.6415247612088706
40,0.8,7.521221900555361,187.451,9.12453071895311,-1.6033088183977497
41,0.82,7.521221900555361,187.451,9.12453071895311,-1.6033088183977497
42,0.84,7.5443974913692955,187.451,9.12453071895311,-1.580133227583815
43,0.86,7.5443974913692955,187.451,9.12453071895311,-1.580133227583815
44,0.88,7.521912378016054,187.451,9.12453071895311,-1.602618340937056
45,0.9,7.521912378016054,187.451,9.12453071895311,-1.602618340937056
46,0.92,7.5149387948417825,187.451,9.12453071895311,-1.609591924111328
47,0.94,7.5149387948417825,187.451,9.12453071895311,-1.609591924111328
48,0.96,7.537384623460184,187.451,9.12453071895311,-1.5871460954929262
49,0.98,7.537384623460184,187.45,9.12815512907116,-1.5907705056109762
50,1.0,7.549008581024282,187.447,9.139028359425083,-1.5900197784008014
51,1.02,7.549008581024282,187.446,9.142652769543133,-1.5936441885188515
52,1.04,7.566106337434803,187.45,9.12815512907116,-1.5620487916363572
53,1.06,7.566106337434803,187.451,9.12453071895311,-1.5584243815183072
54,1.08,7.570672834699735,187.451,9.12453071895311,-1.5538578842533752
55,1.1,7.570672834699735,187.448,9.135403949307147,-1.5647311146074117
56,1.12,7.588938653771834,187.447,9.139028359425083,-1.5500897056532494
57,1.14,7.588938653771834,187.448,9.135403949307147,-1.546465295535313
58,1.16,7.607884626635723,187.446,9.142652769543133,-1.53476814290741
59,1.18,7.607884626635723,187.447,9.139028359425083,-1.53114373278936
60,1.2,7.618067135416823,187.444,9.149901589779233,-1.5318344543624107
61,1.22,7.618067135416823,187.448,9.135403949307147,-1.5173368138903243
62,1.24,7.644862155388523,187.449,9.131779539189097,-1.4869173838005736
63,1.26,7.644862155388523,187.45,9.12815512907116,-1.4832929736826372
64,1.28,7.663156710147064,187.448,9.135403949307147,-1.4722472391600832
65,1.3,7.663156710147064,187.451,9.12453071895311,-1.4613740088060467
66,1.32,7.658606175236173,187.452,9.12090630883506,-1.4623001335988874
67,1.34,7.658606175236173,187.452,9.12090630883506,-1.4623001335988874
68,1.36,7.660443517854674,187.454,9.11365748859896,-1.4532139707442866
69,1.38,7.660443517854674,187.45,9.12815512907116,-1.4677116112164867
70,1.4,7.655316989369112,187.455,9.11003307848091,-1.4547160891117983
71,1.42,7.655316989369112,187.455,9.11003307848091,-1.4547160891117983
72,1.44,7.6494146556572105,187.452,9.12090630883506,-1.47149165317785
73,1.46,7.6494146556572105,187.452,9.12090630883506,-1.47149165317785
74,1.48,7.63964424436665,187.456,9.106408668362974,-1.4667644239963238
75,1.5,7.63964424436665,187.45599984999998,9.10640921202446,-1.4667649676578094
76,1.52,7.629236780507654,187.45299964999998,9.117283167260553,-1.4880463867528988
77,1.54,7.629236780507654,187.44599979999998,9.142653494425304,-1.5134167139176498
78,1.56,7.6391856989512235,187.44200005000002,9.157150228794649,-1.5179645298434252
79,1.58,7.6391856989512235,187.44300005000002,9.153525818676712,-1.5143401197254889
80,1.6,7.64074375973189,187.44400009999998,9.149901227338319,-1.5091574676064283
81,1.62,7.64074375973189,187.44600015,9.142652225881648,-1.5019084661497573
82,1.64,7.624927392698282,187.44899985,9.131780082850582,-1.5068526901523
83,1.66,7.624927392698282,187.44599995,9.142652950763704,-1.5177255580654219
84,1.68,7.62309437293959,187.4450002,9.146276454779127,-1.5231820818395363
85,1.7,7.62309437293959,187.44899990000002,9.131779901630011,-1.508685528690421
86,1.72,7.638728035885492,187.4469999,9.139028721866111,-1.5003006859806192
87,1.74,7.638728035885492,187.4450002,9.146276454779127,-1.5075484188936343
88,1.76,7.614099666584593,187.4490001,9.131779176748068,-1.5176795101634752
89,1.78,7.614099666584593,187.45099994999998,9.124530900173568,-1.5104312335889745
90,1.8,7.6202235511308345,187.45000005,9.12815494785059,-1.507931396719755
91,1.82,7.6202235511308345,187.45100005,9.12453053773254,-1.504306986601705
92,1.84,7.619902923689779,187.452,9.12090630883506,-1.5010033851452818
93,1.86,7.619902923689779,187.45199979999998,9.120907033717117,-1.5010041100273384
94,1.88,7.61533981933394,187.448,9.135403949307147,-1.520064129973207
95,1.9,7.61533981933394,187.44800005000002,9.135403768086576,-1.520063948752636
96,1.92,7.616981281538642,187.44899995,9.131779720409554,-1.514798438870912
97,1.94,7.616981281538642,187.44800000485,9.135403931728774,-1.5184226501901321
98,1.96,7.612887904433137,187.44809700484998,9.135052363947352,-1.5221644595142152
99,1.98,7.612887904433137,187.44819400485,9.134700796165816,-1.5218128917326794
