frame_id,dx_pixels,dy_pixels,time
1,0.0,0.0,0.02
2,-1.7696173437792595,0.3544096082176793,0.04
3,-1.7696173437792595,0.3544096082176793,0.06
4,-1.6442608973816277,2.021326876190983,0.08
5,-1.6442608973816277,2.021326876190983,0.1
6,-1.5173148807662074,3.731845642041492,0.12
7,-1.5173148807662074,3.731845642041492,0.14
8,-1.3231141725001407,4.754568385341543,0.16
9,-1.3231141725001407,4.754568385341543,0.18
10,-1.1620080784845186,5.746200357613418,0.2
11,-1.1620080784845186,5.746200357613418,0.22
12,-0.9492490622483274,6.9348322762531325,0.24
13,-0.9492490622483274,6.9348322762531325,0.26
14,-0.9536128045111809,7.608576247598137,0.28
15,-0.9536128045111809,7.608576247598137,0.3
16,-0.9084723356954783,7.441500096368941,0.32
17,-0.9084723356954783,7.441500096368941,0.34
18,-0.9373539760730409,7.392065843523312,0.36
19,-0.9373539760730409,7.392065843523312,0.38
20,-0.9392766131535382,7.565459941206257,0.4
21,-0.9392766131535382,7.565459941206257,0.42
22,-0.9112066787821504,7.511928105988602,0.44
23,-0.9112066787821504,7.511928105988602,0.46
24,-0.9581253385771333,7.203792225679706,0.48
25,-0.9581253385771333,7.203792225679706,0.5
26,-0.9317553257403688,7.6022691818666885,0.52
27,-0.9317553257403688,7.6022691818666885,0.54
28,-0.8866586437850401,7.764708382537833,0.56
29,-0.8866586437850401,7.764708382537833,0.58
30,-0.8749241591058308,7.793409062965338,0.6
31,-0.8749241591058308,7.793409062965338,0.62
32,-0.8779220779219941,7.870129304112709,0.64
33,-0.8779220779219941,7.870129304112709,0.66
34,-0.8830539811282279,7.863173229459278,0.68
35,-0.8830539811282279,7.863173229459278,0.7
36,-0.8782612807300438,7.827556421990153,0.72
37,-0.8782612807300438,7.827556421990153,0.74
38,-0.888221759987232,7.842696470479609,0.76
39,-0.888221759987232,7.842696470479609,0.78
40,-0.8408907397709982,7.8822685079382495,0.8
41,-0.8408907397709982,7.8822685079382495,0.82
42,-0.8392983621961321,7.906127449613166,0.84
43,-0.8392983621961321,7.906127449613166,0.86
44,-0.8663919906450701,7.883072340401895,0.88
45,-0.8663919906450701,7.883072340401895,0.9
46,-0.8749977605623371,7.876505011869824,0.92
47,-0.8749977605623371,7.876505011869824,0.94
48,-0.8919113874957247,7.898759288946337,0.96
49,-0.8919113874957247,7.898759288946337,0.98
50,-0.8877056437806914,7.91384693562253,1.0
51,-0.8877056437806914,7.91384693562253,1.02
52,-0.8917619855869816,7.932089794126,1.04
53,-0.8917619855869816,7.932089794126,1.06
54,-0.8855352448492795,7.936501421542289,1.08
55,-0.8855352448492795,7.936501421542289,1.1
56,-0.8806896922560554,7.955643345485555,1.12
57,-0.8806896922560554,7.955643345485555,1.14
58,-0.8830679054350412,7.97522519668189,1.16
59,-0.8830679054350412,7.97522519668189,1.18
60,-0.883490307034208,7.984986607275118,1.2
61,-0.883490307034208,7.984986607275118,1.22
62,-0.8914451692648981,8.011436457662569,1.24
63,-0.8914451692648981,8.011436457662569,1.26
64,-0.894313366910751,8.029759546114349,1.28
65,-0.894313366910751,8.029759546114349,1.3
66,-0.8929702561276827,8.02492620647962,1.32
67,-0.8929702561276827,8.02492620647962,1.34
68,-0.8903687751314919,8.026832699273314,1.36
69,-0.8903687751314919,8.026832699273314,1.38
70,-0.8944107545280531,8.021744881298503,1.4
71,-0.8944107545280531,8.021744881298503,1.42
72,-0.893787611029552,8.016989673542923,1.44
73,-0.893787611029552,8.016989673542923,1.46
74,-0.8931876787586361,8.005509663391479,1.48
75,-0.8931876787586361,8.005509663391479,1.5
76,-0.8829950539358151,7.995331113700843,1.52
77,-0.8829950539358151,7.995331113700843,1.54
78,-0.8890607223743245,8.005613062481927,1.56
79,-0.8890607223743245,8.005613062481927,1.58
80,-0.8955395764281775,8.008313872686529,1.6
81,-0.8955395764281775,8.008313872686529,1.62
82,-0.8920825452430563,7.992548299012867,1.64
83,-0.8920825452430563,7.992548299012867,1.66
84,-0.8832849997897938,7.990828046406477,1.68
85,-0.8832849997897938,7.990828046406477,1.7
86,-0.8876293155118447,8.006506968251415,1.72
87,-0.8876293155118447,8.006506968251415,1.74
88,-0.8882475140103452,7.982310097330696,1.76
