time,label
19.581713,10
26.755793999999998,11
31.871738,12
37.046485000000004,13
42.868075000000005,14
48.101625999999996,15
53.570392999999996,16
59.391982999999996,17
65.15476999999998,18
71.917223,19
77.915226,110
127.78097,20
138.13046400000002,21
143.893251,22
151.008528,23
158.065001,24
162.82812099999998,25
167.650044,26
172.94239899999997,27
178.117146,28
182.703854,29
189.995543,210
233.510461,30
242.448661,31
247.329388,32
253.26858599999997,33
260.148648,34
265.02937499999996,35
270.02771,36
275.49647699999997,37
280.730028,38
285.845971,39
291.079522,310
9.232219,ref1
95.85042899999999,ref2
96.791292,ref3
