time,label
22.288563000000003,10
29.174459999999996,11
32.79861699999999,12
38.506662999999996,13
42.312028,14
46.661015946999996,15
51.10060699999999,16
54.634159999999994,17
59.16435599999999,18
64.963006,19
71.395884,110
103.379065,20
111.895833,21
117.694484,22
122.85890699999999,23
128.566953,24
132.372318,25
137.17432499999998,26
141.160897,27
144.150827,28
148.86223,29
153.48302999999999,210
196.701096,30
202.49974699999999,31
207.754774,32
211.74134600000002,33
217.17758099999998,34
222.52321199999997,35
227.053407,36
231.67420699999997,37
236.02319500000002,38
239.37553999999997,39
244.44935899999996,310
292.016414,40
297.905668,41
304.157338,42
313.03652099999994,43
322.006309,44
327.80495899999994,45
333.33179799999994,46
337.31837,47
341.93917000000005,48
347.466009,49
351.09016499999996,410
395.21427100000005,50
404.99949399999997,51
410.88874799999996,52
416.50619099999994,53
420.673971,54
425.657186,55
430.82160899999997,56
435.07999299999994,57
439.247773,58
443.32494899999995,59
449.939035,510
14.043606999999998,ref1
87.07036099999999,ref2
189.905803,ref3
279.694281,ref4
388.14716599999997,ref5
