time,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:06:15.360",-0.0097,-0.00361,0.01946,0.00954,0.01244,0.01355,19.38955,-0.06888,0.00978,0.04156,-0.01957,0.00418,0.01122,860.92603,0.02166,0.01651,-0.04555,0.0466,-0.01986,0.01629
="2026/04/02 17:06:15.380",-0.01819,0.0302,-0.08444,-0.00174,0.00404,0.01564,20.00616,0.00791,-0.01578,0.01678,-0.00535,0.02181,0.00657,861.0827,0.00161,0.00275,-0.02312,-0.00836,0.01599,-0.02711
="2026/04/02 17:06:15.400",-0.02439,0.00572,-0.03243,-0.00578,0.00452,-0.00851,19.88766,0.0067,-0.04561,-0.05877,-0.02964,0.00316,0.03278,860.37677,0.00861,-0.01033,0.01276,-0.03972,-0.01798,-0.02501
="2026/04/02 17:06:15.420",-0.00143,0.03821,-0.01914,0.01264,-0.00252,-0.02172,19.36592,0.00043,-0.00576,-0.06926,0.02081,-0.00446,-0.01518,859.53601,0.01491,-0.0048,-0.03657,0.08472,0.00344,0.00288
="2026/04/02 17:06:15.440",-0.02973,0.00843,0.00423,0.02404,0.01659,0.00897,19.37632,0.00852,0.00492,-0.02663,0.00383,-0.00312,-0.00344,859.74091,-0.03313,0.00653,0.02583,0.00168,0.00717,-0.01219
="2026/04/02 17:06:15.460",0.04443,0.01606,-0.05568,-0.0078,-0.01597,-0.02839,19.7584,-0.04345,0.0109,0.04575,0.0187,0.00667,0.01875,860.37549,-0.02615,-0.00575,-0.0065,0.10041,0.01116,0.00626
="2026/04/02 17:06:15.480",0.01952,-0.01653,-0.0897,0.02661,0.02615,0.01999,19.96815,-0.04209,0.01495,0.03097,-0.03243,0.00568,0.01736,860.48926,0.01442,-0.01239,0.0093,-0.01061,-0.0177,0.02973
="2026/04/02 17:06:15.500",-0.01329,0.00517,-0.00638,-0.00467,-0.02267,-0.01385,19.69493,-0.00846,0.00758,0.02027,-0.01856,0.00594,0.00748,860.3808,-0.00614,0.00148,0.00271,0.03423,0.00765,0.02389
="2026/04/02 17:06:15.520",-0.0415,-0.00795,0.00794,0.00786,-0.01475,-0.01918,19.5113,-0.0408,0.00768,0.02378,-0.05812,-0.00239,-0.01835,860.07086,-0.01715,0.01036,0.01365,-0.02768,-0.00841,-0.02276
="2026/04/02 17:06:15.540",-0.02692,0.00205,-0.03004,0.00377,-0.00632,-0.00899,19.87218,-0.01729,-0.00752,0.0221,0.01124,0.00685,-0.01648,860.18646,0.00267,0.01934,-0.00631,0.05423,-0.00951,0.02423
="2026/04/02 17:06:15.560",-0.02811,-0.01039,0.01607,0.00664,0.00141,-0.00658,19.95723,-0.02047,0.00896,0.02052,-0.01896,-0.00534,-0.03208,860.02136,-0.00019,-0.02732,0.01617,-0.03887,0.00093,-0.0312
="2026/04/02 17:06:15.580",-0.02145,-0.01343,-0.04532,-0.01106,-0.01288,-0.03489,19.76346,-0.03328,-0.00725,-0.02126,0.03208,-0.01107,-0.02736,860.04712,-0.01311,-0.00714,-0.01189,-0.00093,-0.02484,0.03382
="2026/04/02 17:06:15.600",-0.01141,-0.00567,0.03276,0.01519,-0.00451,-0.00502,19.77699,0.0489,0.00243,0.02108,0.00502,0.01709,0.03957,859.73535,0.01046,-0.00547,0.03458,0.03605,0.00321,0.03447
="2026/04/02 17:06:15.620",-0.04818,-0.00914,0.00184,-0.01168,0.00322,0.03671,20.11854,-0.04817,-0.01063,-0.02903,-0.02274,0.00702,0.01921,859.88593,-0.00304,0.0067,-0.01682,0.0212,-0.02679,-0.03599
="2026/04/02 17:06:15.640",0.01157,-0.0078,-0.08997,0.0105,-0.01754,-0.02348,20.62963,-0.02709,0.00746,0.02961,-0.02664,0.01013,-0.00531,860.46924,0.02078,-0.00031,-0.02455,-0.04038,0.00168,-0.01003
="2026/04/02 17:06:15.660",0.07448,0.00767,0.00858,-0.02299,-0.01011,-0.02345,20.15881,0.03397,0.00087,0.09913,0.01475,0.00362,-0.00752,860.50916,-0.03636,-0.0019,-0.01624,0.03132,0.00239,0.03628
="2026/04/02 17:06:15.680",-0.02438,0.01641,0.0051,-0.0096,-0.00122,-0.0281,19.43909,0.03044,-0.00606,0.0036,-0.00903,0.00095,-0.03335,860.35425,0.03268,0.02396,0.00573,0.01377,0.01393,0.01565
="2026/04/02 17:06:15.700",0.08721,-0.01202,-0.05166,-0.01856,0.02295,0.04725,19.4852,0.02793,-0.02202,-0.06393,-0.03423,0.00376,0.02054,860.14026,-0.01442,-0.01575,0.02592,-0.00319,0.01327,0.00659
="2026/04/02 17:06:15.720",0.09172,-0.00732,-0.03969,-0.04132,-0.00862,0.02124,19.54573,-0.02225,0.01176,-0.01114,0.01202,0.0149,0.00261,860.45563,-0.01814,0.00502,-0.03789,-0.00731,-0.0166,-0.0343
="2026/04/02 17:06:15.740",0.00887,0.01798,0.00607,-0.00714,0.00413,0.01348,19.49334,0.02701,0.00039,0.0501,0.00296,0.01697,0.01948,860.84955,0.03668,-0.00592,-0.02596,-0.04772,-0.00782,-0.00986
="2026/04/02 17:06:15.760",0.02174,-0.00801,-0.01634,-0.00332,-0.00808,-0.00352,19.42587,-0.03564,-0.01388,-0.04669,-0.00648,0.00554,-0.01361,860.86005,-0.0199,-0.01394,0.02857,-0.0298,0.00716,0.00838
="2026/04/02 17:06:15.780",-0.01476,0.0001,-0.02472,-0.03295,-0.01997,-0.03542,19.86619,0.01219,0.00804,-0.01356,0.03318,0.00985,-0.01355,860.69843,0.00797,0.00183,-0.01015,0.04219,0.0185,-0.00363
="2026/04/02 17:06:15.800",-0.06387,0.00806,-0.00285,0.00653,-0.01743,-0.04782,20.45586,0.01174,-0.00982,-0.05706,0.01105,0.00208,0.01295,860.80066,-0.01135,0.00737,-0.01441,0.00383,-0.00711,-0.01803
="2026/04/02 17:06:15.820",-0.01599,0.00137,-0.00152,-0.00165,-0.01227,0.00195,20.12065,0.02479,-0.02961,-0.06767,0.00899,-0.00729,-0.03899,861.04553,-0.00115,0.01582,0.00841,-0.06238,-0.00591,0.00287
="2026/04/02 17:06:15.840",-0.0462,-0.00112,-0.02026,-0.01768,-0.03173,-0.05203,19.09021,0.01033,0.00647,0.00628,0.01902,-0.00712,0.01209,861.23627,-0.02803,0.00694,-0.00755,0.01015,-0.00956,-0.02831
="2026/04/02 17:06:15.860",0.0145,0.01326,-0.016,0.00514,0.00607,0.02627,19.02991,0.02151,-0.00779,0.0122,-0.0098,-0.01371,-0.01075,861.05811,-0.01125,-0.00013,-0.01716,0.03791,0.0014,0.0032
="2026/04/02 17:06:15.880",0.01967,0.01652,-0.00461,0.01033,-0.01606,-0.01813,19.71986,-0.02742,-0.01326,0.02091,-0.02016,-0.00588,0.01131,860.88507,0.00126,-0.00483,-0.02228,0.00535,0.01555,0.00082
="2026/04/02 17:06:15.900",0.0211,-0.01387,-0.01426,-0.03518,-0.00343,-0.0006,20.18006,-0.07551,0.00559,0.02904,-0.04605,0.00607,0.03067,860.73059,0.00405,-0.00064,0.00858,0.01317,-0.00223,-0.00563
="2026/04/02 17:06:15.920",-0.02504,0.00697,-0.00837,-0.00261,-0.00297,0.01717,19.78841,0.03403,0.01921,0.02025,-0.0125,0.00819,-0.01334,860.60596,-0.02177,0.01062,-0.01938,0.00011,0.00855,-0.00172
="2026/04/02 17:06:15.940",0.03147,-0.01362,0.0056,0.01549,0.00706,0.02627,19.73793,0.01895,0.01003,0.0139,0.01262,-0.01333,-0.00641,860.50171,-0.00494,-0.00093,-0.02035,0.01296,-0.00387,-0.03082
="2026/04/02 17:06:15.960",-0.02517,0.00442,0.00138,0.00934,0.01373,-0.00027,20.13401,0.04531,0.00321,0.03413,-0.01344,0.00737,-0.03006,860.46289,-0.00815,0.00029,0.0121,0.03085,0.00814,0.02007
="2026/04/02 17:06:15.980",0.02665,0.00507,0.00734,0.00603,-0.0036,-0.02036,19.99085,0.01415,0.00341,-0.02956,0.01567,0.00549,0.0009,860.38361,-0.0014,-0.00952,0.02472,-0.02505,0.01242,0.03183
="2026/04/02 17:06:16.000",0.04323,0.01338,0.02627,-0.01797,-0.02413,-0.01753,19.89475,0.03557,-0.00606,-0.00279,0.00569,-0.0008,-0.00519,860.55536,-0.01363,-0.00698,-0.00552,0.00584,0.00053,-0.00799
="2026/04/02 17:06:16.020",-0.0252,0.01369,0.01648,0.01802,0.00923,-0.00063,19.79809,-0.02773,-0.02346,-0.01198,0.00653,0.01384,0.00584,860.81201,-0.00189,0.0068,-0.01054,0.00628,-0.01127,-0.02016
="2026/04/02 17:06:16.040",-0.00975,0.01198,0.01613,-0.02908,-0.01123,-0.01889,19.7729,-0.00565,0.00941,0.00765,0.0195,-0.00897,0.01324,860.677,-0.01211,0.00921,-0.02692,0.00992,-0.00012,0.0064
="2026/04/02 17:06:16.060",0.01897,-0.00966,0.0152,-0.0122,-0.00946,0.0163,19.85553,-0.03208,-0.01543,-0.00011,0.05272,-0.00757,0.03297,860.79004,0.01429,-0.00572,0.00315,-0.00491,-0.00349,-0.00895
="2026/04/02 17:06:16.080",0.00157,0.00208,0.03773,0.01555,-0.00251,-0.02807,19.84663,-0.03206,0.00716,-0.02663,0.00522,-0.0182,-0.00824,860.92383,0.01188,0.00015,0.00826,-0.01545,0.00446,0.00547
="2026/04/02 17:06:16.100",-0.01393,-0.01326,-0.02293,-0.01116,-0.00767,-0.00867,20.12289,0.00203,0.00632,-0.00584,0.01097,0.01437,0.02094,860.9516,0.00862,-0.00328,0.00273,-0.00792,0.00131,0.00625
="2026/04/02 17:06:16.120",-0.01215,-0.02157,-0.02395,0.04013,-0.00364,-0.01451,20.02472,0.04342,-0.00165,0.03716,-0.0231,0.01433,0.01449,860.60199,-0.0061,-0.00214,-0.0212,0.02018,-0.01039,-0.00013
="2026/04/02 17:06:16.140",-0.01098,-0.03548,-0.00824,-0.02176,-0.01306,-0.00478,19.91381,0.00057,0.0035,0.0061,-0.0038,0.00151,-0.01384,860.0423,0.01161,0.0086,-0.00226,0.01257,0.00723,0.01098
="2026/04/02 17:06:16.160",0.01269,0.00492,0.02507,0.01587,-0.01308,-0.00859,19.77148,0.01261,-0.00128,-0.0077,-0.03038,0.01538,-0.00164,860.005,-0.01542,-0.0006,-0.00347,0.00852,0.00147,0.00957
="2026/04/02 17:06:16.180",-0.03928,-0.01321,0.06127,-0.02074,-0.00337,-0.0043,19.98343,-0.02728,-0.001,0.03184,-0.02035,0.00628,-0.03069,860.57483,0.01127,-0.00188,-0.00273,0.01455,-0.00613,-0.04444
="2026/04/02 17:06:16.200",-0.05752,-0.00836,-0.01748,0.00294,0.00776,0.01073,19.83399,0.02962,0.01222,0.01915,-0.00127,-0.01446,-0.00796,860.78229,-0.00853,-0.01261,0.02318,0.00847,0.00359,-0.0078
="2026/04/02 17:06:16.220",0.02189,0.0236,-0.01185,0.02569,0.0134,0.01638,19.30063,0.03404,0.02006,-0.01187,0.03256,-0.01081,-0.04286,860.43225,-0.0251,0.00957,0.0099,-0.0158,0.00459,0.02162
="2026/04/02 17:06:16.240",-0.0064,0.00424,-0.05689,0.01059,-0.00903,-0.02241,19.40127,-0.03573,0.01124,0.00484,0.01536,0.00748,0.0265,859.86151,-0.00593,0.00397,0.02227,-0.01781,0.00049,0.00601
="2026/04/02 17:06:16.260",0.04875,-0.0107,-0.00224,0.00759,0.01894,0.04563,19.78033,0.01515,-0.00773,0.00452,-0.03274,0.00389,0.01356,859.52319,0.00961,0.02029,-0.0054,0.01719,-0.00439,-0.00609
="2026/04/02 17:06:16.280",0.01454,-0.01291,-0.024,0.01264,0.01038,0.00377,19.63301,-0.00089,-0.01824,-0.04003,-0.03958,-0.01925,-0.00838,859.80701,-0.00114,0.01649,0.0105,-0.02464,-0.00658,-0.00042
="2026/04/02 17:06:16.300",-0.02299,-0.00119,0.01047,0.00182,0.02167,-0.00129,19.27104,-0.00819,0.01298,0.01657,-0.01615,-0.00925,-0.00628,860.31482,-0.00677,0.00362,-0.02534,0.04661,0.00711,0.02157
="2026/04/02 17:06:16.320",0.00188,-0.00867,0.02969,-0.00347,0.01452,0.03094,19.11374,0.01897,-0.01011,-0.03651,-0.05235,0.00568,0.0132,860.42145,-0.00795,-0.00247,-0.0051,-0.01057,-0.00525,-0.02704
="2026/04/02 17:06:16.340",0.02278,-0.00113,0.01507,0.00651,-0.00099,-0.05312,19.07893,0.022,-0.01676,-0.05694,-0.00279,-0.00997,-0.03818,860.28827,-0.02691,0.01252,-0.00006,-0.01061,0.01903,0.0004
="2026/04/02 17:06:15.040",,,,0.00903,0.00289,0.01101,19.54859,,,,0.02497,-0.01344,-0.04988,860.32056,0.00182,-0.00745,-0.01964,,,
="2026/04/02 17:06:15.060",,,,0.02325,0.01402,0.0096,19.34583,,,,-0.01449,0.01054,0.01352,860.66144,-0.03835,0.00404,-0.00414,,,
="2026/04/02 17:06:15.080",,,,-0.02873,-0.02444,-0.01662,19.35146,,,,0.04493,0.00065,-0.05366,860.39893,-0.0029,-0.00061,0.00477,,,
="2026/04/02 17:06:15.100",,,,0.01279,0.01078,-0.00435,19.47421,,,,-0.01118,-0.00001,0.00375,859.93878,0.01875,-0.00482,-0.01792,,,
="2026/04/02 17:06:15.120",,,,0.01901,0.01577,0.0183,19.27052,,,,-0.02892,-0.00448,0.04147,860.69312,0.01632,0.00668,-0.00847,,,
="2026/04/02 17:06:15.140",,,,-0.01255,0.00804,0.02279,18.62324,,,,-0.00071,0.01104,-0.03101,861.14966,0.00744,-0.01376,0.03532,,,
="2026/04/02 17:06:15.160",,,,-0.02255,-0.00629,-0.00699,18.4275,,,,0.03431,0.00811,-0.00247,860.77386,0.01183,-0.00327,-0.02119,,,
="2026/04/02 17:06:15.180",,,,-0.02373,0.00914,0.01081,19.32727,,,,0.0045,-0.00247,0.04189,860.66687,0.0067,0.00013,-0.00618,,,
="2026/04/02 17:06:15.200",,,,0.01982,0.02496,0.02192,19.45547,,,,0.02005,0.00518,-0.04895,860.95953,-0.00682,-0.02463,0.02691,,,
="2026/04/02 17:06:15.220",,,,-0.0251,-0.01253,-0.02199,19.21268,,,,0.03959,0.01877,0.03775,860.12646,0.01901,-0.01968,-0.00909,,,
="2026/04/02 17:06:15.240",,,,-0.00036,-0.0029,-0.0024,19.73013,,,,-0.0286,-0.00008,-0.00597,859.74445,-0.01525,0.00003,-0.00572,,,
="2026/04/02 17:06:15.260",,,,-0.01313,-0.00364,-0.02005,19.89111,,,,-0.03171,-0.01362,0.00842,860.04211,-0.02485,0.00094,0.03136,,,
="2026/04/02 17:06:15.280",,,,-0.03804,-0.01117,0.00251,19.86795,,,,0.01017,-0.00664,0.02354,860.23682,-0.0057,0.00945,0.02736,,,
="2026/04/02 17:06:15.300",,,,-0.01935,0.00853,0.00128,19.21201,,,,-0.01635,-0.00538,-0.02594,860.18671,0.00927,0.01027,-0.00441,,,
="2026/04/02 17:06:15.320",,,,0.00561,0.00369,-0.00459,18.48093,,,,-0.02445,0.01183,0.0768,860.23792,-0.01015,0.0001,-0.0089,,,
="2026/04/02 17:06:15.340",,,,-0.0309,0.00989,0.02927,18.6939,,,,0.00877,-0.0077,0.06426,860.47736,-0.0091,0.01646,-0.00084,,,
="2026/04/02 17:06:15.000",,,,,,,19.43583,,,,,,,860.22595,,,,,,
="2026/04/02 17:06:15.020",,,,,,,20.41978,,,,,,,860.255,,,,,,
="2026/04/02 17:06:16.360",-0.01141,-0.00146,-0.0166,0.02986,0.01351,-0.0002,19.05806,0.04425,0.00603,-0.02722,-0.01106,-0.00062,-0.01096,860.24249,0.009,-0.01348,0.03362,-0.04654,0.00648,-0.02043
="2026/04/02 17:06:16.380",0.04648,0.00662,0.03654,-0.04311,-0.02902,-0.04975,19.31373,0.00811,0.01234,0.05426,-0.01061,-0.00194,-0.00361,860.24402,0.00416,0.00309,0.00037,-0.01312,0.00876,0.00541
="2026/04/02 17:06:16.400",0.00723,0.01628,-0.00073,-0.00612,0.00196,0.01838,19.66907,0.01021,0.01204,0.02186,-0.00981,-0.00655,0.01969,860.15619,-0.00562,0.00088,0.00944,0.00668,-0.00093,0.01415
="2026/04/02 17:06:16.420",-0.05714,0.00543,-0.01891,-0.02887,-0.00097,0.0168,20.21559,-0.02408,0.00454,0.02881,0.01057,0.00829,0.003,860.29694,0.00462,0.00944,-0.00018,-0.02267,0.00356,-0.00825
="2026/04/02 17:06:16.440",0.00244,-0.00947,-0.06282,-0.02362,-0.01101,0.00688,20.34794,-0.02634,-0.0027,-0.03143,-0.00898,-0.02174,-0.03341,860.3822,0.01908,0.00356,-0.01543,-0.003,0.01107,0.01591
="2026/04/02 17:06:16.460",-0.01346,0.00629,0.01283,0.01248,-0.00588,-0.0142,19.91805,-0.02674,0.02663,-0.01341,-0.01537,0.00362,-0.00725,860.53436,-0.00237,0.00368,-0.02115,0.0109,-0.00008,0.01327
="2026/04/02 17:06:16.480",-0.02148,-0.00372,-0.00447,-0.0002,0.00115,0.01845,19.63112,0.02374,0.00656,0.03313,-0.0053,0.00299,0.03144,860.64343,0.00231,0.00402,-0.0096,-0.01763,-0.00077,-0.00383
="2026/04/02 17:06:16.500",-0.02697,-0.0019,-0.00739,0.00528,0.01333,0.03275,19.63675,-0.00821,0.00574,0.00171,0.00293,0.00413,-0.01005,860.39087,-0.01473,0.00002,0.009,0.00555,0.02346,0.03045
="2026/04/02 17:06:16.520",-0.02896,-0.02483,-0.00479,-0.01225,0.0031,0.01575,19.3266,-0.01837,-0.01185,-0.01632,0.00739,0.00974,0.02928,860.21204,0.009,-0.01595,0.01553,0.00731,0.00337,-0.00924
="2026/04/02 17:06:16.540",0.01771,-0.00241,0.01967,-0.00513,-0.00895,-0.00358,19.48996,0.01482,-0.006,-0.03146,0.00111,0.00452,0.01886,860.35059,-0.00012,-0.01094,0.00723,-0.02263,0.00367,-0.00722
="2026/04/02 17:06:16.560",-0.02279,-0.03411,0.0154,-0.00185,-0.00381,-0.00237,20.09271,-0.00016,0.02286,0.03556,0.02399,-0.00705,-0.00271,860.33563,-0.00481,-0.00695,-0.00051,-0.00306,-0.00591,-0.01424
="2026/04/02 17:06:16.580",0.01082,0.01736,0.01783,-0.02856,0.00843,0.02042,19.85697,0.02644,-0.00038,-0.02092,0.01049,0.00274,0.01738,860.79449,-0.00209,0.00647,0.0129,-0.00567,-0.00072,0.02004
="2026/04/02 17:06:16.600",0.02326,0.01553,-0.00251,0.01304,0.0075,0.00426,19.53888,0.00891,0.00833,0.00439,-0.01086,0.01635,0.00781,861.18512,0.00646,0.00675,0.00181,0.01365,0.00497,-0.01157
="2026/04/02 17:06:16.620",0.02135,0.00158,-0.04813,0.00874,-0.00943,-0.02116,20.16265,0.0132,0.0069,-0.00244,-0.00399,0.00391,0.01656,860.88434,0.02451,-0.01332,-0.00973,-0.03157,0.00579,-0.03577
="2026/04/02 17:06:16.640",0.02767,0.0369,0.01251,-0.01178,-0.02114,-0.00894,20.84657,-0.00984,0.0004,0.01473,0.0006,-0.0052,-0.04195,860.44678,-0.02397,-0.00404,0.01351,0.02952,0.01272,0.04371
="2026/04/02 17:06:16.660",0.00085,0.00608,-0.00111,0.00509,-0.0062,0.00597,20.10353,-0.01995,0.01474,0.01957,-0.026,-0.01635,-0.0091,860.11084,0.01261,-0.00753,-0.0154,-0.0411,0.01642,-0.00059
="2026/04/02 17:06:16.680",-0.03051,-0.00008,-0.03779,0.01502,0.0023,-0.00635,19.68337,-0.03259,-0.00042,0.01122,0.00629,0.01765,-0.01325,860.23077,-0.01586,-0.01191,0.00047,-0.01153,-0.02445,-0.02721
="2026/04/02 17:06:16.700",0.02724,0.01707,0.03563,-0.03059,-0.01272,-0.00093,20.25184,-0.02378,-0.01317,-0.01519,0.00712,0.00242,0.0211,860.76294,-0.01278,-0.00044,-0.00166,0.03278,0.00817,0.00845
="2026/04/02 17:06:16.720",-0.02703,0.01387,0.00204,-0.0042,0.00482,0.00962,20.14548,-0.02889,0.00632,0.03823,0.01132,-0.01791,0.00315,860.99213,0.01367,0.00118,-0.0084,-0.05682,-0.01299,-0.00289
="2026/04/02 17:06:16.740",-0.00723,-0.01608,-0.04442,0.02093,0.01063,0.0127,19.48061,0.00427,0.01681,0.00448,0.00514,0.0019,-0.03735,860.60034,-0.00247,-0.00188,-0.01297,0.06555,0.01788,0.05315
="2026/04/02 17:06:16.760",-0.00602,0.00013,-0.00553,-0.01017,-0.00259,0.01557,19.24489,-0.01431,0.00236,-0.04784,-0.00588,-0.00705,-0.00853,859.94873,-0.02656,-0.00312,0.01664,-0.09409,-0.02437,-0.04506
="2026/04/02 17:06:16.780",-0.05324,-0.00972,-0.00286,0.00412,0.00834,0.00502,20.04276,0.02066,-0.00327,-0.00271,0.01489,-0.01106,-0.02756,860.03815,0.00862,-0.00937,0.04068,-0.10999,-0.01703,-0.0425
="2026/04/02 17:06:16.800",-0.00942,-0.00069,0.00724,0.00669,0.00713,0.00324,20.59155,0.02269,0.0016,0.00855,0.01416,-0.00716,-0.02367,860.42053,-0.01611,0.0032,0.00298,0.08327,0.03834,0.01422
="2026/04/02 17:06:16.820",-0.01268,0.00353,0.00606,0.00289,-0.00461,-0.01427,20.02497,-0.0434,0.00526,0.04184,-0.00283,0.00011,0.01559,860.36481,0.00563,-0.02345,0.01236,-0.01567,-0.00851,-0.02196
="2026/04/02 17:06:16.840",0.0299,-0.0122,-0.03292,0.01914,0.00539,-0.01129,19.97881,-0.0128,-0.00645,0.00498,0.02035,-0.00046,-0.03536,860.47192,0.00929,0.01155,-0.0069,-0.00769,0.00247,0.00265
="2026/04/02 17:06:16.860",0.01138,0.02542,0.01489,0.0086,0.01559,0.02607,20.16579,0.00002,0.00472,-0.00442,0.02093,0.01137,0.01822,860.72485,-0.02315,0.0013,-0.02943,-0.0093,0.00637,-0.01665
="2026/04/02 17:06:16.880",0.01648,0.00061,0.00468,-0.00677,0.00576,0.03358,19.94232,0.01379,0.0013,0.01787,0.00082,0.00035,0.03688,860.07678,0.00796,0.00975,0.01971,0.0108,-0.00531,0.0199
="2026/04/02 17:06:16.900",0.00248,-0.00637,0.02343,-0.00406,-0.00166,0.01132,20.15001,0.00365,-0.0066,-0.0018,-0.01582,0.00057,0.01706,859.77612,-0.01539,0.0044,-0.00685,0.035,-0.00183,0.00093
="2026/04/02 17:06:16.920",-0.01168,-0.00255,-0.02409,-0.00825,0.00846,-0.00124,19.94109,-0.0153,0.00093,0.01003,-0.00006,-0.0025,-0.00847,860.99976,0.00396,0.00142,-0.02027,0.01446,-0.01266,0.03622
="2026/04/02 17:06:16.940",-0.00253,0.00259,-0.01903,0.00652,0.00867,0.00244,19.61306,0.00742,0.00132,0.01914,0.00052,0.0008,0.00912,861.38263,0.00004,-0.00372,0.01534,-0.00036,-0.00626,-0.01867
="2026/04/02 17:06:16.960",0.00706,-0.00323,0.00239,-0.01012,0.0146,0.01592,20.13369,-0.00053,-0.01481,-0.02839,-0.00987,-0.00062,-0.01831,860.27997,-0.01056,0.00372,-0.03136,0.00496,0.01277,-0.02946
="2026/04/02 17:06:16.980",0.00458,-0.00219,0.00219,0.0079,0.0059,0.00032,20.65138,0.00237,-0.00144,0.00421,0.00486,-0.00496,-0.00089,860.05872,0.01691,-0.00974,-0.02797,-0.02727,0.00717,-0.00443
="2026/04/02 17:06:17.000",0.00717,-0.00859,-0.06448,0.01248,0.00549,0.01581,19.8178,0.00374,-0.00516,0.02072,-0.00325,-0.00393,-0.0031,860.43292,-0.02986,0.00365,0.03358,-0.0489,-0.01409,0.01648
="2026/04/02 17:06:17.020",0.00062,0.00413,-0.0215,0.02443,-0.01118,-0.00806,18.88867,-0.01731,0.00981,0.01105,-0.02501,0.00545,0.02879,860.03589,0.01239,-0.02237,0.02833,0.02902,0.00078,0.00128
="2026/04/02 17:06:17.040",0.04611,-0.00951,-0.01425,-0.00219,-0.02231,-0.03156,18.95697,-0.01953,0.00757,-0.03777,-0.01514,-0.00509,-0.02304,860.10638,-0.0206,-0.00208,-0.00054,-0.04183,0.02101,-0.01922
="2026/04/02 17:06:17.060",0.00475,0.00351,0.01073,-0.01071,-0.01091,-0.01658,19.56161,0.01574,-0.01521,-0.03117,-0.00227,-0.00666,-0.0108,860.56384,0.00492,-0.01102,-0.00261,0.03225,-0.00448,0.03167
="2026/04/02 17:06:17.080",-0.0063,0.00286,-0.00864,-0.00529,0.00336,-0.00163,19.36914,0.01094,0.00386,0.00761,-0.00063,0.003,0.02421,860.84247,0.04074,0.00365,-0.01624,-0.03572,-0.00811,0.00135
="2026/04/02 17:06:17.100",0.02959,-0.00731,-0.00809,0.00669,-0.00338,-0.00196,19.07094,0.01754,0.00278,-0.01346,-0.00747,-0.01039,-0.05101,860.85638,-0.00302,-0.01625,-0.00276,0.04929,-0.01219,0.00408
="2026/04/02 17:06:17.120",0.00792,0.00437,-0.00229,0.02115,0.0059,-0.02157,19.66978,0.01669,-0.00056,0.02667,-0.00861,-0.00856,0.04904,860.33392,-0.00202,0.00949,-0.04172,0.00476,-0.00998,-0.02645
="2026/04/02 17:06:17.140",0.01743,-0.00219,-0.01012,0.00836,-0.00078,-0.00832,19.9571,0.03422,-0.00548,0.02896,0.00349,0.00258,0.02285,860.3396,0.00594,-0.00361,0.01294,0.00789,-0.01481,-0.019
="2026/04/02 17:06:17.160",-0.01124,-0.01741,-0.00266,0.01551,-0.00502,-0.01104,19.53252,0.00278,-0.00353,0.01046,0.0388,0.0005,-0.02708,860.53064,-0.0003,-0.00752,0.01538,-0.04486,-0.00223,0.00747
="2026/04/02 17:06:17.180",-0.00254,-0.00548,-0.04563,-0.03061,-0.00241,0.00368,19.26887,-0.02405,0.00398,0.0024,-0.01019,-0.01239,0.02241,860.63342,0.00138,0.0016,-0.0184,-0.00998,0.00677,-0.01046
="2026/04/02 17:06:17.200",0.04518,-0.00318,-0.00698,-0.0059,-0.00087,0.0274,19.40699,0.00008,0.00646,-0.01443,-0.01294,0.01327,0.02757,860.7796,0.03129,0.00181,-0.0059,0.03343,0.01066,0.02718
="2026/04/02 17:06:17.220",0.01931,-0.0057,-0.01297,0.00359,0.00516,-0.00235,20.11204,-0.01493,0.0005,0.0084,-0.01538,-0.0008,-0.02957,860.43524,0.00623,0.01048,-0.01936,-0.02258,0.0034,0.02372
="2026/04/02 17:06:17.240",-0.02625,0.00932,0.00235,0.01502,0.00111,0.00267,20.0936,0.0011,-0.00836,-0.02441,0.01463,0.01091,0.03096,860.2345,0.00529,0.00695,0.05307,0.02492,-0.00144,-0.00034
="2026/04/02 17:06:17.260",0.03821,0.00769,0.01354,0.01584,-0.00265,-0.01902,19.91421,0.01389,0.00614,-0.02495,-0.00266,0.00765,-0.00707,860.36194,-0.00724,0.00488,-0.00871,-0.00832,-0.00838,-0.04667
="2026/04/02 17:06:17.280",-0.00668,-0.0186,-0.00455,0.01625,-0.00698,-0.01356,19.65629,-0.00019,-0.01488,-0.03412,-0.03123,-0.00758,0.01372,860.7179,-0.00222,-0.01138,-0.00482,0.01305,0.00565,-0.00525
="2026/04/02 17:06:17.300",-0.02769,-0.01057,0.03074,-0.01561,-0.00681,-0.01783,19.71646,0.01789,0.00852,-0.03133,0.00537,0.00178,0.03694,860.8855,-0.00893,0.00245,-0.00095,-0.03324,0.00224,-0.00202
