time,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ
="2026/04/02 17:08:07.640",-0.07305,-0.12652,1.01593,-0.15382,0.01623,0.05575,21.1555,-0.62253,-0.04458,0.05851,-0.31225,-0.01091,0.02201,863.58844,0.44695,-0.00994,-0.60021,0.11983,-0.30178,-0.64573
="2026/04/02 17:08:07.660",1.45673,-0.49801,0.99898,-0.28679,0.00486,-0.01979,20.81293,-0.50318,-0.1019,1.17064,-0.49124,0.12505,-0.46378,863.41168,0.01997,-0.07196,-0.75283,0.20597,-0.35157,-0.7167
="2026/04/02 17:08:07.680",-0.75435,-0.26341,0.32822,-0.40986,0.01779,0.04817,22.41324,-0.39998,-0.00985,0.47387,-1.12603,-0.18335,0.54008,864.83685,0.26606,0.03139,0.57615,-0.02956,-0.1748,-0.87529
="2026/04/02 17:08:07.700",1.46923,-0.72747,1.92467,-0.4512,0.09037,0.05875,21.39311,-0.39842,-0.0769,-0.12879,-0.23231,0.06121,-0.31095,865.60382,0.30278,0.04894,-1.21564,0.34276,-0.53449,-0.58677
="2026/04/02 17:08:07.720",0.33781,-0.39218,0.65963,-0.49339,0.05365,0.03402,21.56045,-0.12115,0.25386,1.45558,-1.00001,0.03103,0.05935,865.36823,-0.08231,0.01432,0.17885,0.09544,-0.16635,-0.90951
="2026/04/02 17:08:07.740",0.19086,-0.61288,0.93194,-0.61591,0.06349,0.10565,22.35727,0.04748,-0.14905,-0.48007,-0.73131,-0.13514,0.22598,866.66815,0.53411,-0.14852,-0.34865,0.1358,-0.20745,-0.42205
="2026/04/02 17:08:07.760",2.04059,-0.53038,1.46861,-0.54831,0.08712,0.0629,21.21589,-0.20644,0.02333,0.92932,-0.41226,0.16682,-0.32758,866.14728,0.27553,-0.07903,-1.01031,0.40283,-0.21155,-0.54599
="2026/04/02 17:08:07.780",-0.76654,0.56858,-0.99034,-0.46656,0.07422,0.04673,22.48427,0.19382,0.06453,0.2099,-0.89437,-0.10759,0.48599,866.48474,-0.18356,0.06613,0.89585,-0.02493,0.04645,-0.89349
="2026/04/02 17:08:07.800",1.60259,-0.55903,1.53621,-0.83559,0.03816,0.05808,21.94595,-0.1341,-0.16831,-0.31677,-0.11104,0.00714,-0.15917,866.84528,0.63004,0.09761,-1.23928,0.32663,-0.45271,-0.24434
="2026/04/02 17:08:07.820",0.86689,0.10578,0.07197,-0.59394,0.05727,0.05828,21.72837,0.12722,0.15459,0.93475,-0.47442,0.05793,-0.11009,864.36389,-0.29087,0.02701,0.29702,0.18457,0.11022,-0.5041
