time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:58:38.600",-0.14214,0.03007,0.12996,-0.09098,0.01553,0.03463,0.08378,0.05822,-0.29135,22.17251,874.48657,-0.10643,0.05202,-0.08562,0.0302,-0.04876,-0.00228,0.11933,0.0003,-0.01489
="2026/04/02 15:58:38.620",-0.173,0.11452,-0.11812,-0.0965,0.04931,0.0575,-0.02924,0.099,-0.22277,18.06116,873.46246,-0.32264,-0.00229,0.05307,-0.01521,-0.08047,-0.0961,0.05195,-0.02699,0.01894
="2026/04/02 15:58:38.640",-0.06867,0.02289,-0.12134,-0.19703,-0.00769,0.01496,0.1702,0.11328,0.21564,15.03918,871.25482,-0.13492,0.0329,0.05284,-0.04051,-0.02489,-0.07175,0.06635,-0.01676,0.0006
="2026/04/02 15:58:38.660",-0.0396,0.16785,-0.04751,-0.20333,-0.08468,0.12621,-0.26831,0.00834,0.24281,12.40428,867.64667,-0.38564,-0.00065,0.08899,0.06484,0.07027,0.01368,0.10156,0.00968,-0.01295
="2026/04/02 15:58:38.680",0.03439,0.19667,-0.1368,-0.18153,0.07297,-0.05458,-0.25891,-0.21322,0.24337,11.28903,862.93274,-0.18722,-0.00397,0.04089,0.05001,0.04028,-0.18115,0.20635,-0.02418,0.04265
="2026/04/02 15:58:38.700",0.09531,0.05475,-0.31839,-0.13152,-0.06317,-0.04109,-0.29766,0.08222,0.30158,12.76085,858.85693,-0.18302,0.07088,-0.1481,0.17745,0.00203,0.00008,0.18591,0.02566,-0.03897
="2026/04/02 15:58:38.720",0.04332,-0.1763,-0.36672,-0.06263,0.02174,0.08504,-0.50532,-0.01375,-0.07012,15.74126,857.19971,-0.27093,0.00424,0.12255,0.08854,0.07212,-0.08267,-0.0841,-0.05591,-0.04151
="2026/04/02 15:58:38.740",0.13354,-0.22458,-0.18679,-0.07738,-0.01961,-0.09298,-0.09949,0.08312,0.11015,18.62145,856.7348,-0.24476,0.01189,-0.00068,0.03207,0.11379,-0.10473,0.10344,0.03635,0.02864
="2026/04/02 15:58:38.760",0.11585,-0.02767,-0.23184,0.02726,-0.03806,0.02151,-0.21902,-0.07908,0.03157,21.58105,857.39044,-0.27987,0.01148,-0.07731,0.14424,0.05698,0.07018,0.19801,0.00617,-0.01465
="2026/04/02 15:58:38.780",0.10031,-0.03225,0.00724,0.06435,0.11625,-0.03885,-0.09699,-0.06376,-0.29785,25.17522,859.41339,-0.31341,0.00179,0.06683,-0.08957,-0.13357,-0.08193,0.03274,-0.00496,-0.01202
