time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:34:42.220",-0.93229,-0.28504,0.36719,-0.02924,0.97997,0.24632,-0.5562,-0.05722,-0.09857,-0.78064,-0.22839,1.07006,-1.83856,0.29366,-0.00869,13.78626,-0.30525,-0.03227,1.70963,856.77527
="2026/04/02 16:34:42.240",-1.23406,-0.02111,1.56745,1.24945,0.74014,1.28417,0.01653,-0.07044,-0.0814,-1.11203,-0.04562,1.27539,-2.25827,0.13248,0.43728,14.01728,-0.39702,0.01876,1.36303,860.50146
="2026/04/02 16:34:42.260",-0.93187,-0.27822,0.80147,-0.56971,1.13547,-0.27073,-1.0439,-0.1567,-0.09543,-1.40797,0.09634,1.94525,-1.57169,0.26551,-0.28485,15.8569,-0.61816,0.0249,0.9928,864.71033
="2026/04/02 16:34:42.280",-0.32155,-0.27256,-0.01072,0.39592,0.87579,0.97743,-0.52412,-0.00864,-0.008,-1.23204,-0.17014,0.42617,-2.35559,0.20311,0.15625,17.06361,-0.572,-0.62064,1.60952,869.50653
="2026/04/02 16:34:42.300",-0.75931,-0.23513,1.5901,0.31236,0.8761,0.4908,-0.20044,-0.04945,0.02007,-1.26667,-0.08891,1.32335,-1.44483,0.0184,0.10714,18.11753,-0.63248,0.17847,0.77708,872.24469
="2026/04/02 16:34:42.320",0.09046,-0.00311,-0.43806,-0.91255,0.55872,-0.51666,-0.3647,-0.04755,-0.01716,-0.96687,-0.031,1.15177,-0.1074,0.17174,-0.27009,20.58738,-0.74428,0.01964,0.49891,875.56799
="2026/04/02 16:34:42.340",-0.10952,0.15529,0.49319,0.92793,0.14602,1.63494,-0.20033,-0.02517,0.05896,-0.75805,-0.1988,-0.29523,-0.65194,-0.00168,0.2812,20.88126,-0.38664,-0.15522,0.25763,877.39325
="2026/04/02 16:34:42.360",0.20963,0.19728,-0.02631,-0.73784,0.30774,0.37141,-0.02857,0.07258,0.04798,-0.55006,0.11401,0.298,0.8459,0.06262,-0.13996,21.90781,-0.77969,0.0841,-0.89955,877.22839
="2026/04/02 16:34:42.380",0.78628,0.06864,-1.06564,-1.19913,0.34605,-0.40843,0.51356,0.07617,0.0244,-0.102,-0.09147,-0.854,0.82496,-0.00577,-0.09365,23.63621,-0.23073,-0.4784,-0.60889,876.63904
="2026/04/02 16:34:42.400",0.40073,0.1402,0.08448,0.1902,-0.39859,1.66519,0.22978,0.11106,0.03463,-0.01659,0.09119,-1.13152,1.02773,-0.00592,0.70758,24.56945,-0.1968,-0.08864,-1.58473,873.77606
