time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:33:13.040",-0.5045,0.03314,0.53029,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.060",0.57028,-0.05172,-0.64227,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.080",-0.31348,-0.01054,0.00462,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.100",0.06044,-0.06238,0.86545,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.120",0.39543,-0.15752,-0.10198,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.140",-0.75889,-0.16325,1.1164,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.160",0.15633,-0.15043,0.88569,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.180",-0.79723,-0.21101,0.58906,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.200",-1.05826,-0.11625,1.47649,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.220",-0.5376,-0.05243,0.41707,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.240",-0.74017,-0.29291,0.4237,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.260",-0.74994,-0.33489,1.31176,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.280",-0.16483,0.00153,-0.731,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.300",-0.26822,0.16185,0.44522,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.320",0.5323,-0.09851,-0.11519,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.340",0.58408,-0.13063,-1.22501,,,,,,,,,,,,,,,,,
="2026/04/02 16:33:13.360",0.67751,-0.0718,-0.06413,,,,,,,,,,,,,,0.35505,-0.17791,-2.95959,
="2026/04/02 16:33:13.380",1.29452,-0.00782,-1.19982,,,,,,,,,,,,,,0.72776,-0.55735,-3.05602,
="2026/04/02 16:33:13.400",0.53943,0.02682,-0.57835,,,,,,,,,,,,,,0.85874,-0.43646,-3.33154,
="2026/04/02 16:33:13.420",0.88483,0.12944,-0.23805,,,,,,,,,,,,,,0.90804,-0.28087,-3.43379,
="2026/04/02 16:33:13.440",0.84807,0.19552,-1.13965,,,,,,,,,,,,,,0.79919,-0.4183,-1.63022,
="2026/04/02 16:33:13.460",0.09543,0.03744,0.34217,,,,,,,,,,,,,,0.55219,-0.29187,-1.89539,
="2026/04/02 16:33:13.480",-0.04714,0.22641,0.00819,,,,,,,,,,,,,,-0.16484,-0.2705,-1.33143,
="2026/04/02 16:33:13.500",-0.13525,0.08461,-0.6512,,,,,,,,,,,,,,-0.27459,-0.73581,-0.48574,
="2026/04/02 16:33:13.520",-0.94562,0.18008,1.0472,,,,,,,,,,,,,,-0.94695,-0.16121,-0.14729,
="2026/04/02 16:33:13.540",-0.17385,0.06582,-0.23608,,,,,,,,,,,,,,-1.01682,-0.4058,1.01966,
="2026/04/02 16:33:13.560",-0.91827,0.15115,0.40034,,,,,,,,,,,,,,-0.99136,-0.2854,1.42552,
="2026/04/02 16:33:13.580",-0.79825,0.12634,0.60912,,,,,,,,,,,,,,-0.95716,0.39591,1.40508,
="2026/04/02 16:33:13.600",-0.19185,0.08372,-0.39929,,,,,,,,,,,,,,-0.5426,0.36023,2.11727,
="2026/04/02 16:33:13.620",-0.68936,0.07124,0.86656,,,,,,,,,,,,,,-0.25409,0.89533,1.84212,
="2026/04/02 16:33:13.640",0.19543,-0.07306,0.04233,,,,,,,,,,,,,,0.11527,1.01951,1.95097,
="2026/04/02 16:33:13.660",0.0643,-0.36322,0.22721,,,,,,,,,,,,,,0.55784,1.03008,1.75629,
="2026/04/02 16:33:13.680",-0.34613,-0.30795,1.00266,,,,,,,,,,,,,,0.64472,0.80234,0.22824,
="2026/04/02 16:33:13.700",0.8455,-0.26358,-0.2838,,,,,,,,,,,,,,1.09254,0.39646,1.23904,
="2026/04/02 16:33:13.720",0.00447,-0.46054,0.59846,,,,,,,,,,,,,,1.25027,0.49518,1.20051,
="2026/04/02 16:33:13.740",0.26712,-0.19877,0.59446,,,,,,,,,,,,,,0.83648,0.74644,0.52014,
="2026/04/02 16:33:13.760",0.79259,-0.14411,-0.75676,,,,,,,,,,,,,,0.53231,-0.17143,1.04829,
="2026/04/02 16:33:13.780",-0.66852,-0.15954,0.59404,,,,,,,,,,,,,,0.37905,0.15644,0.61953,
="2026/04/02 16:33:13.800",0.50196,-0.25608,-0.4696,,,,,,,,,,,,,,-0.22713,-0.18327,0.37013,
="2026/04/02 16:33:13.820",-0.19669,-0.21732,-0.53916,,,,,,,,,,,,,,-0.41486,-0.67821,0.012,
="2026/04/02 16:33:13.840",-0.26199,-0.07887,0.18932,,,,,,,,,,,,,,-0.87999,-0.50167,-0.85069,
="2026/04/02 16:33:13.860",0.57411,0.06081,-1.34771,,,,,,,,,,,,,,-0.65833,-0.89747,-1.04582,
="2026/04/02 16:33:13.880",-0.35909,0.20919,-0.40359,,,,,,,,,,,,,,-0.75969,-0.74589,-2.18045,
="2026/04/02 16:33:13.900",0.4417,0.43408,-0.47602,,,,,,,,,,,,,,-0.73248,-0.92453,-2.64315,
="2026/04/02 16:33:13.920",0.78315,0.1643,-1.63026,,,,,,,,,,,,,,-0.18277,-1.10215,-2.55634,
="2026/04/02 16:33:13.940",-0.22257,0.13877,0.20581,,,,,,,,,,,,,,-0.15209,-0.60381,-2.935,
="2026/04/02 16:33:13.960",0.93696,0.22793,-0.68366,,,,,,,,,,,,,,0.1957,-0.47565,-2.64583,
="2026/04/02 16:33:13.980",0.31284,0.42915,-0.51933,,,,,,,,,,,,,,0.45742,-0.57544,-1.79958,
="2026/04/02 16:33:14.000",0.12515,0.37476,0.46445,,,,,,,,,,,,,0,0.58836,0.0983,-1.28823,793.33667
="2026/04/02 16:33:14.020",0.64068,0.17694,-0.77219,,,,,,,,,,,,,17.5245,0.58487,-0.1361,-0.13196,791.03632
="2026/04/02 16:33:14.360",0.02949,0.21135,0.28014,-0.00474,-0.48461,-0.25364,0.87187,-0.01675,-0.08183,1.84084,0.10941,-2.0261,0.09383,-0.0101,-0.12388,67.1793,0.18943,-1.06829,-2.41258,842.05176
="2026/04/02 16:33:14.380",0.03365,0.06894,-0.67503,-1.49699,-0.41545,-2.20919,0.91557,-0.08031,-0.12023,2.17655,0.09735,-1.31253,0.43301,0.10154,-0.74835,75.89849,-0.29086,-1.30204,-1.98702,862.96326
="2026/04/02 16:33:14.400",0.19432,0.25241,-0.9566,-0.51175,-0.76763,-1.51374,1.45729,-0.1413,-0.23322,1.49398,0.00778,-1.58976,-0.78091,0.02527,-0.08668,74.04015,-0.21038,-1.72215,-1.10229,884.59625
="2026/04/02 16:33:14.420",-1.02681,0.43666,0.62232,0.02332,-0.50303,-2.26954,0.64207,-0.03445,-0.1547,1.18454,-0.10385,-1.0659,-0.99154,0.00384,-0.0657,63.28198,-0.88038,-0.82767,-1.48941,900.52539
="2026/04/02 16:33:14.440",0.02258,0.45311,-1.22403,-1.32385,-0.48926,-2.3149,0.52948,0.01055,-0.07084,0.47473,0.19268,-0.43457,-0.99805,0.20557,-0.37148,46.5459,-0.68866,-0.90573,-0.93753,910.44232
="2026/04/02 16:33:14.460",-0.86388,0.59206,0.15072,-0.09269,-0.66246,-1.63064,0.4717,-0.02119,-0.03187,0.11361,-0.15538,-1.00384,-2.04834,-0.0994,0.16823,24.31608,-0.80775,-0.68885,-0.46016,911.10541
="2026/04/02 16:33:14.480",-0.54193,0.25821,0.47875,-0.27688,-0.32819,-0.55168,0.12862,0.00567,-0.03424,-0.37251,0.02308,0.54737,-1.43813,0.01322,-0.18515,2.28493,-0.69638,0.15295,-0.57508,901.41846
="2026/04/02 16:33:14.500",-0.00518,0.20685,-0.77193,-1.01662,-0.6095,-0.84966,0.13259,-0.02899,-0.10067,-0.84703,0.02403,0.21724,-1.79711,0.05754,-0.03794,0,-0.26836,0.14068,0.10466,885.10956
="2026/04/02 16:33:14.520",-0.59732,0.19945,1.06249,0.50746,-0.90211,2.19731,-0.17797,0.00517,0.04909,-1.20733,-0.15561,0.59143,-2.17632,-0.13582,0.63888,0,-0.01352,0.83854,0.29793,862.37146
="2026/04/02 16:33:14.540",0.21792,0.00232,-0.13918,-1.52564,-0.42632,0.48114,-0.55524,-0.01407,-0.01703,-1.36572,0.01772,1.54216,-0.89188,0.05659,-0.25146,0,0.29798,0.9227,0.43597,839.13385
="2026/04/02 16:33:14.560",-0.25438,-0.11884,0.5001,-0.40253,-0.59498,2.27194,-0.63933,0.04985,0.00798,-1.23412,-0.21309,0.60534,-1.58368,-0.10529,0.3474,0,0.64427,0.90517,0.77467,819.90216
="2026/04/02 16:33:14.580",-0.10171,-0.13301,1.25394,0.10446,-0.34664,2.1352,-0.87478,0.05913,0.14863,-1.21265,0.08714,1.57591,-1.22087,-0.20884,0.41312,0,0.49465,1.37079,1.05959,806.74536
="2026/04/02 16:33:14.600",0.18651,-0.34695,-0.10117,-0.8497,0.49661,0.28291,-1.0475,0.08482,0.06562,-0.85499,0.0752,1.24659,-0.46548,-0.02076,-0.12317,3.1131,0.66953,0.84857,1.73842,803.41162
="2026/04/02 16:33:14.620",-0.44479,-0.10876,1.30917,1.10514,0.57625,1.14601,-0.94762,0.07886,0.09477,-0.76054,-0.25243,0.89767,-0.55711,-0.07844,0.44753,21.57182,0.44384,0.9713,2.44179,809.40704
="2026/04/02 16:33:14.640",-0.52592,-0.34883,1.2013,0.31031,1.24064,-1.06662,-1.45456,0.05607,0.13293,-0.42716,0.21196,1.2444,0.52883,0.13455,-0.18919,39.47521,0.05733,1.46337,1.91495,825.11005
="2026/04/02 16:33:14.660",0.25175,-0.36034,-0.25218,0.96562,1.48511,-1.31491,-0.91728,0.12789,0.25248,-0.14825,0.02176,0.71159,0.68339,0.19476,-0.19345,53.31784,0.03428,0.18284,2.79851,849.04718
="2026/04/02 16:33:14.680",-1.03798,-0.38851,1.34021,2.1463,1.61198,-1.07926,-0.7752,0.14847,0.19728,0.09554,-0.3813,0.64024,1.03463,-0.06447,0.19841,59.84755,-0.49615,0.26269,2.10364,874.51385
="2026/04/02 16:33:14.700",-0.03953,-0.40263,-0.25107,1.52813,1.07543,-2.07265,-0.90898,0.04053,0.13171,0.10483,0.21433,1.23487,2.12767,0.21373,-0.46209,60.53236,-0.64356,0.0369,2.0445,898.93542
="2026/04/02 16:33:14.720",-0.04354,-0.22742,-0.03382,1.77325,0.45814,-1.01612,-0.19608,0.09715,0.14841,0.20929,-0.15944,-0.22786,1.40055,0.07571,0.33561,52.0688,-0.46106,-0.20033,1.4093,917.04285
="2026/04/02 16:33:14.740",-0.39849,-0.01306,0.6064,1.99291,0.82885,-0.62145,0.03161,-0.02335,0.1533,-0.33146,-0.03669,0.87318,2.08096,0.28531,-0.18811,38.15656,-0.74645,-0.04447,0.8229,926.57849
="2026/04/02 16:33:14.760",0.61862,-0.12211,-0.96161,0.45102,0.87212,-1.64142,-0.03365,-0.04763,-0.09489,0.14929,0.04147,-0.03309,2.09834,0.29626,-0.51132,22.78924,-0.42857,-0.75521,-0.14525,927.4068
="2026/04/02 16:33:14.780",-0.04197,-0.07589,-0.03714,1.81182,-0.13642,1.68483,0.36731,-0.00409,-0.11035,-0.02261,-0.16082,-0.8179,1.36121,-0.04668,-0.09819,6.44469,-0.07049,-0.63809,-1.48235,916.89874
="2026/04/02 16:33:14.800",0.6931,0.0654,-0.5301,-0.03124,0.22434,0.50273,0.71359,-0.01102,-0.09365,0.11028,0.15686,-0.29096,1.68539,0.07322,-0.28668,0,-0.00026,-0.6101,-2.51265,898.0235
="2026/04/02 16:33:14.820",0.66382,0.17737,-1.50511,-0.82079,-0.2465,1.4016,0.79959,-0.03422,-0.1512,0.75717,-0.11505,-1.91565,1.02597,-0.01046,-0.1462,0,0.3005,-1.12911,-3.59812,874.24475
="2026/04/02 16:33:14.840",0.6758,0.42295,0.0021,-0.36229,-0.94391,2.77144,1.03328,-0.04376,-0.0979,0.62335,0.06756,-1.59712,0.47157,-0.17961,0.13636,0,0.53484,-0.75398,-3.85253,849.97693
="2026/04/02 16:33:14.860",1.10221,0.0644,-1.60944,-2.2923,-0.83218,0.90892,0.92897,-0.08522,-0.16769,1.32699,0.3846,-1.89251,0.31354,0.06264,-0.43441,0,0.60331,-0.8616,-4.38257,828.28113
="2026/04/02 16:33:14.880",0.84523,0.35234,-0.75306,-1.67681,-1.22355,2.17176,1.80805,-0.02624,-0.11268,1.43624,-0.06746,-2.44284,-0.98287,-0.10517,0.16919,4.65914,0.94079,-1.10518,-3.29567,812.45288
="2026/04/02 16:33:14.900",0.11984,0.44277,0.21551,-1.7798,-1.03695,1.00264,0.89792,-0.13037,-0.12312,1.3071,0.11484,-1.33773,-0.78699,-0.09181,-0.16527,20.58303,0.42386,-0.11904,-3.11652,806.30402
="2026/04/02 16:33:14.920",0.58217,0.53787,-1.06245,-2.81886,-1.43809,0.35263,0.65811,-0.14742,-0.1922,1.59796,0.30058,-1.695,-1.40963,-0.01297,-0.49008,36.63084,0.61115,-0.53384,-1.48866,811.23309
="2026/04/02 16:33:14.940",-0.35744,0.42988,0.64483,-1.46914,-1.57151,0.84904,0.88336,0.06667,-0.02344,0.95059,-0.06808,-1.73128,-2.40017,-0.2519,0.37633,48.65565,0.39641,-0.05949,-0.71226,824.14056
="2026/04/02 16:33:14.960",-0.19165,0.21082,0.18895,-2.04924,-0.91544,-1.9938,0.41937,-0.01193,-0.02652,0.64102,0.31257,0.08483,-1.71399,-0.03329,-0.42037,56.78263,-0.17714,0.26781,0.49828,842.40472
="2026/04/02 16:33:14.980",-0.73156,0.01477,-0.23033,-1.47985,-0.71962,-1.57707,-0.22341,0.00382,0.00772,0.35097,-0.30024,-0.36034,-2.20527,-0.114,-0.08255,57.81808,-0.18993,-0.14052,1.83877,862.58148
="2026/04/02 16:33:15.000",-1.2154,-0.08748,1.4113,0.70948,-0.85572,-1.13783,-0.02811,0.00043,0.03048,-0.48709,0.1556,0.80771,-2.22287,-0.14045,-0.14645,51.44395,-0.79722,0.60979,2.02572,881.48303
="2026/04/02 16:33:15.020",-0.46189,-0.11926,-0.14442,-0.81606,0.13907,-2.75475,-0.46944,0.02347,-0.02365,-0.64372,0.00703,1.55578,-1.39088,0.03921,-0.19546,39.11137,-0.75963,0.50309,3.05417,897.12177
="2026/04/02 16:33:15.040",-1.11911,-0.18735,0.87891,1.22653,-0.10987,-0.37122,-0.7486,0.08137,0.08805,-1.39205,-0.23748,1.47395,-1.71149,-0.1043,0.49498,21.90522,-0.54703,0.55927,3.53572,905.29907
="2026/04/02 16:33:15.060",-0.38834,-0.20689,0.73923,1.57775,0.3763,-1.01699,-0.77378,0.05693,0.06733,-1.90842,-0.04847,2.78457,-0.47551,0.15301,0.02413,4.5631,-0.51767,0.92839,2.66672,903.20654
="2026/04/02 16:33:15.080",-0.34665,-0.21591,-0.20146,0.58531,0.92873,-0.44388,-0.97443,-0.03495,0.05184,-1.88125,-0.23226,2.08209,-0.4485,0.1411,0.13905,0,-0.1299,0.42895,2.89947,893.2193
="2026/04/02 16:33:15.100",-0.55125,-0.1115,1.3087,2.38501,0.96106,1.4841,-0.47133,0.11019,0.12095,-2.39418,-0.29594,2.11684,-0.27309,-0.02103,0.54901,0,0.19768,0.89683,2.622,878.48462
="2026/04/02 16:33:15.120",-0.00097,-0.29068,0.17902,0.70613,1.40155,0.27432,-1.33678,-0.02256,0.12238,-2.10847,0.15292,2.62392,0.67194,0.15604,0.04102,0,0.23034,1.14917,1.33208,861.61725
="2026/04/02 16:33:15.140",0.66894,-0.3124,-0.56506,0.89708,1.5133,1.90241,-0.75339,0.12306,0.1335,-1.66924,-0.28954,0.51048,-0.05775,0.09255,0.4059,0,0.71617,-0.02212,1.20373,845.32593
="2026/04/02 16:33:15.160",0.04603,-0.35528,1.16377,1.54534,1.36029,1.68665,-0.5561,0.07859,0.12391,-1.18158,0.27292,1.0466,0.80243,-0.0037,0.22878,0,0.45748,0.64673,0.10457,830.96326
="2026/04/02 16:33:15.180",0.98977,-0.32666,-0.92256,-0.45472,1.66828,-0.07943,-0.34673,0.00601,0.01506,-0.31516,-0.06961,0.79079,1.7318,0.16193,-0.29222,4.53708,0.53052,0.4108,-0.32712,824.27557
="2026/04/02 16:33:15.200",0.24702,-0.07566,0.13677,1.48367,0.91629,2.0603,-0.39923,-0.02729,0.04825,0.31285,-0.09047,-1.02685,0.85946,-0.06909,0.42036,22.64084,0.62425,-0.01488,-0.44598,827.02679
="2026/04/02 16:33:15.220",0.4168,0.03926,-0.11725,0.12944,0.76627,0.3611,-0.0754,-0.02292,-0.01018,0.90475,0.24914,-0.38617,1.79754,-0.05939,-0.36329,39.64975,0.16587,-0.00706,-1.21909,836.52551
="2026/04/02 16:33:15.240",0.61989,-0.12193,-1.02542,-1.00656,0.74554,-1.01631,0.37591,-0.00202,0.02958,1.41027,-0.0908,-1.44355,1.64283,-0.05655,-0.50499,53.58787,0.21888,-0.5392,-0.73981,851.96844
="2026/04/02 16:33:15.260",-0.19962,0.00122,0.3583,1.10044,-0.04947,0.45669,0.81308,0.00133,-0.00141,1.47414,0.079,-1.66173,1.23165,-0.06285,0.34607,60.985,-0.10878,-0.4246,-1.16775,869.47729
="2026/04/02 16:33:15.280",0.57732,0.00704,-0.789,-0.92385,0.13861,-2.41697,0.63144,-0.10841,-0.08141,1.76419,0.19475,-1.17365,1.74672,0.13606,-0.65832,63.75933,-0.49589,-0.75336,-1.15981,887.7019
="2026/04/02 16:33:15.300",-0.09264,0.06901,-0.67303,0.01614,-0.55969,-1.06655,0.78329,-0.03904,-0.10508,1.7612,0.01349,-2.2169,0.80569,-0.03452,-0.14771,59.2705,-0.39308,-1.08841,-1.12867,903.34302
="2026/04/02 16:33:15.320",0.03287,0.21333,0.10289,0.26016,-0.88512,-1.12269,0.92547,-0.07017,-0.092,1.49566,0.13031,-1.18062,0.92488,-0.092,-0.22991,47.15443,-0.60902,-0.70074,-1.46944,911.48602
="2026/04/02 16:33:15.340",0.52256,0.1571,-1.12631,-1.4894,-0.83268,-1.53567,-0.03202,-0.0114,-0.0643,1.25548,0.18746,-1.03422,0.54631,-0.10737,-0.43295,31.62633,-0.35631,-0.67254,-1.33332,912.22174
="2026/04/02 16:33:14.040",-0.5001,0.17789,0.68633,,,,-0.06846,0.03259,-0.03157,,,,-1.36926,-0.1688,0.38299,36.6062,0.51563,0.26119,0.81316,798.86804
="2026/04/02 16:33:14.060",-0.05946,0.09177,0.56534,,,,-0.25877,0.02862,0.07938,,,,-0.98772,0.02558,0.12191,53.61227,0.12602,0.67208,2.01882,817.01941
="2026/04/02 16:33:14.080",-0.58265,-0.09967,-0.1385,,,,-0.58869,-0.01313,-0.00089,,,,-1.34779,-0.00248,0.26787,62.8189,0.16458,0.48461,3.11384,842.70538
="2026/04/02 16:33:14.100",-1.0449,-0.09341,1.4681,,,,-0.88726,0.09906,0.06757,,,,-1.19506,0.07622,0.27844,63.41564,-0.44736,0.99758,3.52417,870.42981
="2026/04/02 16:33:14.120",-0.49744,-0.1931,0.20871,,,,-1.14209,0.04271,0.0014,,,,-0.31402,0.18984,-0.05589,56.8285,-0.57801,0.96287,3.88954,895.83978
="2026/04/02 16:33:14.140",-0.86921,-0.23653,0.5732,,,,-0.96097,0.01772,0.07812,,,,-0.56881,-0.02667,0.4899,41.16171,-0.5689,0.89435,3.83795,913.76721
="2026/04/02 16:33:14.160",-1.02838,-0.24076,1.49467,,,,-1.32617,0.17686,0.22824,,,,0.53005,0.07791,0.10941,21.9284,-0.89035,1.14711,2.95916,922.44366
="2026/04/02 16:33:14.180",0.20173,-0.2361,-0.75135,,,,-0.82464,0.05146,0.10964,,,,1.41494,-0.02375,-0.19132,2.29578,-0.38386,0.50714,2.55142,921.86041
="2026/04/02 16:33:14.200",-0.4444,-0.19394,0.8377,,,,-0.76881,0.05344,0.0423,,,,0.86539,-0.21714,0.64273,0,-0.29477,0.61861,1.5166,910.20056
="2026/04/02 16:33:14.220",0.35261,-0.40485,0.14388,,,,-0.67885,-0.00854,-0.02793,,,,1.73115,0.08386,0.21981,0,0.09867,0.52512,0.71109,890.18683
="2026/04/02 16:33:14.240",0.82397,-0.45393,-0.7421,,,,-0.59855,0.05347,0.05799,,,,1.45586,-0.08356,0.13925,0,0.63346,-0.03401,-0.23774,866.9668
="2026/04/02 16:33:14.260",0.29925,-0.2223,0.68579,,,,-0.3213,0.00291,0.13683,,,,1.42399,-0.10288,0.58679,0,0.58903,0.1715,-1.79323,844.57391
="2026/04/02 16:33:14.280",1.25964,-0.17884,-1.17871,,,,0.11394,0.00036,-0.00866,,,,1.80539,0.11947,-0.13187,0,0.90386,-0.32306,-2.31135,827.18573
="2026/04/02 16:33:14.300",0.5096,-0.01455,-0.32683,,,,0.65958,0.08088,0.0906,,,,0.88829,0.02439,0.35282,9.21741,0.94579,-0.643,-2.50958,816.82477
="2026/04/02 16:33:14.320",0.52241,0.14033,-0.02992,,,,0.65657,-0.00455,-0.01797,,,,1.46387,0.00271,-0.48969,31.13448,0.56641,-0.47816,-2.93947,816.10596
="2026/04/02 16:33:14.340",0.51383,0.07323,-1.16859,,,,0.76687,-0.06714,-0.1375,,,,0.89467,0.09312,-0.50948,52.01512,0.61776,-1.0083,-2.44842,825.74316
="2026/04/02 16:33:15.360",0.05545,0.30255,-0.28931,-0.04718,-1.3451,1.15464,1.27891,0.07415,-0.04497,0.92673,-0.3775,-1.83959,-0.46467,-0.26964,0.33796,14.16785,-0.19513,-0.53451,-1.40815,903.01617
="2026/04/02 16:33:15.380",0.06357,0.40051,-0.00771,-1.56597,-1.71146,0.32806,0.69288,-0.10248,-0.10049,0.52203,0.21446,0.02942,0.39374,-0.20437,-0.25084,0.29226,-0.06889,0.19047,-1.96351,885.69574
="2026/04/02 16:33:15.400",0.63038,0.40185,-1.30636,-1.65022,-1.85493,1.64851,0.61641,-0.06527,-0.16281,0.36374,-0.25358,-0.84243,-0.43173,-0.03163,-0.15265,0,0.31059,-0.29479,-1.28032,865.84564
="2026/04/02 16:33:15.420",-0.23726,0.15857,0.55818,-0.0462,-2.38087,3.15894,0.41608,0.0323,-0.03308,-0.01315,0.09982,-0.21367,-1.52046,-0.49088,1.18799,0,0.59206,0.21669,-1.39768,843.28302
="2026/04/02 16:33:15.440",0.49691,-0.13704,-0.55682,-2.20094,-1.14043,0.76191,0.19699,-0.02933,0.00403,-0.1377,-0.0433,0.52678,-0.89226,0.0318,-0.3898,0,0.45042,0.10723,-1.48418,823.92328
="2026/04/02 16:33:15.460",0.00561,-0.05417,-0.26723,-0.71177,-1.15483,2.28612,-0.10085,0.02117,0.00668,-0.1981,-0.13579,-0.35871,-1.9787,-0.17963,0.38476,0,0.81976,-0.00669,-0.82005,810.83038
="2026/04/02 16:33:15.480",-0.16046,-0.06449,0.70451,-0.176,-0.87598,1.39491,-0.30233,0.0067,0.07214,-0.42542,0.25706,0.93687,-1.87295,-0.10849,0.56554,5.85139,0.4857,0.56872,-0.14175,805.50262
="2026/04/02 16:33:15.500",0.09446,-0.10628,-0.40773,-1.25637,0.20329,-0.99175,-0.54103,-0.02445,0.02468,-0.27828,-0.18667,0.59809,-1.54059,0.14326,-0.06079,20.4108,0.52668,0.1816,1.28698,810.64886
="2026/04/02 16:33:15.520",-0.95464,-0.11802,0.94322,1.2858,0.25865,0.08079,-0.39027,0.01244,0.03489,-0.49118,-0.07949,0.55122,-1.82485,-0.06409,0.41896,31.95498,0.13503,0.68386,1.58928,822.22131
="2026/04/02 16:33:15.540",-0.22469,-0.12376,0.60006,0.1838,1.21646,-2.44214,-0.77122,0.03046,0.06891,-0.47964,0.19905,1.46146,-1.00915,0.11117,0.10439,41.17617,-0.06652,0.73183,2.49744,840.19
="2026/04/02 16:33:15.560",-0.81024,-0.23952,0.312,1.03443,1.35999,-1.89919,-0.99843,-0.02414,0.0527,-0.60765,-0.22735,0.77054,-1.08283,0.04982,0.16962,45.32716,-0.21758,0.50425,3.6018,863.1911
="2026/04/02 16:33:15.580",-1.28674,-0.23359,1.29856,2.28983,1.32018,-1.99428,0.0316,0.01443,0.04318,-0.9008,-0.0007,1.28132,-0.31523,-0.00026,0.40402,43.00816,-0.56828,0.64637,2.67305,884.47345
="2026/04/02 16:33:15.600",-0.60324,-0.16504,0.36534,0.91782,1.82847,-3.09887,-1.26267,-0.03023,0.01867,-1.23201,0.17214,2.15708,0.29809,0.13443,-0.17198,37.58649,-0.70171,0.29817,2.90967,902.13141
="2026/04/02 16:33:15.620",-0.6275,-0.3273,0.38666,2.16194,1.32114,-0.65468,-0.67531,0.05384,0.11105,-1.32931,-0.29695,0.62188,-0.58775,0.1856,0.68867,26.73509,-0.3692,-0.05353,3.08913,912.24451
="2026/04/02 16:33:15.640",-0.59209,-0.37494,1.26635,1.54939,1.24451,-1.495,-0.69269,0.10393,0.09756,-1.69107,0.12632,1.99166,0.39086,0.14904,-0.00698,15.09951,-0.37001,0.63314,2.00816,913.48309
="2026/04/02 16:33:15.660",0.26377,-0.17594,-0.59154,0.03547,1.99431,-1.22391,-0.74598,0.02287,-0.00504,-1.34288,-0.25839,1.17352,1.4714,0.28983,-0.55588,4.83025,-0.27158,0.04022,1.67158,907.80048
="2026/04/02 16:33:15.680",-0.18932,0.0307,0.39318,1.95956,0.34239,2.22581,-0.16054,0.00445,0.19251,-1.00448,-0.06714,0.1721,0.89608,-0.00407,0.18469,0,0.10208,0.02673,0.19744,894.01776
="2026/04/02 16:33:15.700",0.82329,-0.12913,-0.09165,-0.18707,0.23941,0.87929,0.00332,0.00245,0.02704,-0.68536,0.14287,0.79851,1.85224,0.01012,-0.31419,0,0.24515,0.13787,-1.20058,876.3255
="2026/04/02 16:33:15.720",0.88272,-0.12571,-1.1707,-0.29528,0.13278,1.7664,0.24206,-0.01184,-0.086,0.1818,-0.22223,-1.04858,1.66721,0.00017,0.24559,0,0.69777,-0.35146,-2.03943,857.71393
="2026/04/02 16:33:15.740",0.63193,0.06473,0.04472,0.24901,-0.21758,2.89952,0.58974,0.06359,-0.05735,0.4205,0.10915,-0.88065,1.4971,-0.06536,0.15379,0.36218,0.5413,-0.14101,-3.19014,840.67377
="2026/04/02 16:33:15.760",1.48,0.02313,-1.35922,-1.75639,-0.19654,0.92958,0.53312,-0.0382,-0.08265,1.27407,0.0775,-1.39759,1.74821,0.06587,-0.27862,13.08604,0.57311,-0.61365,-3.29859,830.40625
="2026/04/02 16:33:15.780",0.34265,0.09715,-0.62001,-0.57577,-0.96641,2.27736,1.07753,-0.04091,-0.09882,1.76071,0.06514,-2.50244,0.6991,-0.19333,0.06343,25.26468,0.52172,-0.60836,-3.04817,826.60016
="2026/04/02 16:33:15.800",0.83639,0.17536,-0.34492,-0.94722,-0.90839,0.24239,0.99688,-0.09011,-0.11646,1.98877,0.35947,-1.73459,1.10698,0.0193,-0.41864,38.27623,0.18884,-0.22188,-3.26289,829.26709
="2026/04/02 16:33:15.820",0.70881,0.25061,-1.30147,-1.88785,-0.97295,-0.42521,0.352,0.03858,0.03446,2.20795,0.0187,-1.79927,0.48057,0.00522,-0.22225,49.32061,0.01971,-0.27525,-1.39064,838.78479
