time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:31:38.940",-0.26261,0.00199,0.13883,-0.62893,-0.01264,-0.00688,-1.22148,0.04812,1.44607,-0.05329,0.37503,0.47529,0.61679,0.88857,-0.66974,19.03259,870.70618,-0.68554,0.09822,-0.01679
="2026/04/02 16:31:38.960",-0.62839,-0.02917,0.47651,-0.70603,-0.04559,0.0551,-1.11901,-0.04351,1.01678,-0.09269,0.36305,1.19269,0.42997,1.11965,-0.15773,18.18232,873.84229,-0.75234,0.0498,-0.21303
="2026/04/02 16:31:38.980",-0.50829,-0.12971,0.68203,-1.12088,0.10667,0.15478,-1.3884,-0.12651,0.96951,-0.13959,0.75031,1.46909,0.37891,1.1725,0.2117,17.07117,875.65448,-0.39041,0.07076,-0.14255
="2026/04/02 16:31:39.000",-0.16023,-0.23074,0.2227,-0.37519,0.09772,0.08911,-0.9102,-0.16684,0.67215,-0.09036,0.42787,1.73468,0.08607,0.83314,-0.17192,17.06953,876.20721,0.12448,0.04465,-0.13295
="2026/04/02 16:31:39.020",-0.82664,-0.227,0.63527,-0.40604,-0.03464,-0.01174,-0.95909,0.04353,1.02637,-0.08765,0.35282,1.90314,0.48473,0.07633,0.70379,17.11194,874.90778,0.28273,-0.04257,-0.00421
="2026/04/02 16:31:39.040",-0.26437,-0.13807,0.68544,-0.57523,-0.06552,-0.03167,-0.55256,0.00992,0.243,-0.11711,0.70096,2.20764,0.34526,0.40396,-0.35251,17.28295,872.95667,0.179,0.01766,0.29312
="2026/04/02 16:31:39.060",-0.84723,-0.14974,0.83688,-0.40202,0.00454,-0.03753,-0.43733,-0.02949,0.26051,-0.15573,1.07745,1.22236,0.10536,0.7733,1.11329,18.43472,869.755,0.08874,-0.00741,-0.05174
="2026/04/02 16:31:39.080",0.27048,-0.25519,0.09737,-0.22414,0.04401,0.05018,-0.17928,-0.01787,-0.05279,-0.08835,0.21075,1.27661,-0.42941,0.70871,-0.24079,20.85916,866.86505,0.86996,0.07971,-0.0987
="2026/04/02 16:31:39.100",-0.16,-0.4677,0.55576,0.05431,0.10856,0.0559,0.30703,-0.14321,-0.5981,-0.05173,-0.06456,0.88625,-0.40925,0.01997,0.68804,24.01368,865.09351,0.6332,0.04234,-0.13209
="2026/04/02 16:31:39.120",-0.15521,-0.35865,0.21768,0.47011,-0.01996,0.01031,0.27508,-0.00358,-0.50567,-0.02353,0.05777,0.79119,-0.36927,-0.02113,1.08784,26.69442,863.39886,1.11579,0.05924,-0.16978
="2026/04/02 16:31:39.140",0.48682,-0.15864,-0.07509,0.2503,0.01272,0.05484,0.87452,0.04457,-1.19375,0.0508,-0.05174,0.46785,-0.62655,-0.19123,-0.04556,28.57644,863.04816,1.14031,0.12474,-0.25491
="2026/04/02 16:31:39.160",-0.03387,0.21633,0.23019,0.60469,0.05495,0.03298,1.00508,0.05207,-1.34588,-0.10425,0.10973,0.2574,-0.55917,-0.75395,0.7606,28.49868,862.14075,1.2178,-0.01268,-0.38701
="2026/04/02 16:31:39.180",0.72146,0.16055,-0.51018,0.78736,-0.00512,-0.02281,1.0577,0.19074,-1.13092,0.09198,-0.08392,0.1407,-0.53447,-0.59681,-0.29791,28.08943,862.1308,1.62244,0.02412,-0.11939
="2026/04/02 16:31:39.200",0.38568,-0.0669,-0.55104,0.56247,0.0245,0.00102,1.39125,0.00997,-1.46433,0.01131,-0.2783,-0.3576,-0.56855,-0.98785,0.20821,27.88852,862.72858,0.97187,0.07189,0.1821
="2026/04/02 16:31:39.220",0.38183,-0.05648,-0.51661,0.61949,0.04211,0.00061,0.80202,0.0335,-0.72661,0.06383,-0.32312,-0.74646,-0.18065,-1.11519,0.28284,26.12379,862.92645,0.94185,0.02342,0.46609
="2026/04/02 16:31:39.240",0.72687,-0.0519,-0.88482,0.59592,0.02851,-0.06435,1.19464,-0.01083,-1.09152,0.00462,-0.6091,-1.5189,-0.47458,-1.0232,-0.70395,22.73881,863.70294,0.67772,0.00231,0.19689
="2026/04/02 16:31:39.260",0.08522,0.16257,-0.40514,0.80086,-0.0694,-0.01012,0.53729,0.23285,-0.63522,0.07562,-0.60617,-1.6798,-0.3803,-0.93517,0.23938,19.25332,862.43658,0.14469,-0.0695,0.08199
="2026/04/02 16:31:39.280",0.78942,0.2281,-0.49647,0.67228,0.02679,0.00814,0.5997,0.04201,-0.95246,0.10849,-0.62828,-1.91535,-0.51931,0.0343,-1.83515,16.04032,860.75714,0.267,-0.06509,-0.02265
="2026/04/02 16:31:39.300",0.05604,0.20614,-0.44659,0.45332,0.06015,0.0032,0.44394,-0.06406,-0.43189,0.16979,-0.75087,-1.83032,-0.17443,0.05766,0.11966,12.94718,858.36041,0.23007,-0.197,-0.2872
="2026/04/02 16:31:39.320",0.72244,0.34274,-0.60172,0.40972,-0.09901,-0.07763,0.06529,0.19976,-0.13628,0.24307,-0.92975,-1.58321,-0.0717,-0.39888,-1.00492,10.9138,856.08832,0.20515,-0.1255,-0.01285
="2026/04/02 16:31:39.340",-0.01938,0.31581,-0.30048,0.04657,-0.04535,-0.12849,0.06615,-0.01335,0.06057,0.18519,-0.57821,-1.54378,0.23302,-0.54528,0.16128,10.43175,854.00635,-0.6919,-0.17422,0.35361
="2026/04/02 16:31:39.360",0.08675,0.34455,-0.25638,0.09294,0.01438,-0.03238,-0.45932,0.01199,0.75502,0.36683,-0.22156,-1.39652,0.07342,-0.10999,-0.16343,10.77893,852.36932,-0.692,-0.03685,0.19056
="2026/04/02 16:31:39.380",0.35545,0.34827,-0.31729,-0.0192,0.02372,-0.02321,-0.36781,-0.11617,0.66003,0.19868,-0.32296,-1.14449,0.20893,0.04047,-0.383,11.659,852.53815,-1.16909,-0.04153,0.10988
="2026/04/02 16:31:39.400",-0.57731,0.17446,0.15568,-0.4608,-0.02743,-0.00025,-0.60786,-0.10702,1.03303,0.17202,-0.00974,-0.90898,0.45398,0.04855,0.76553,13.03979,853.08374,-1.37216,-0.0267,0.03283
="2026/04/02 16:31:39.420",0.08505,0.02475,-0.06213,-0.42431,-0.11759,-0.05083,-0.87223,-0.03411,1.4915,0.0953,-0.01912,-0.53945,0.49108,0.55056,-0.40132,15.26405,855.57312,-1.02311,0.05914,-0.31439
="2026/04/02 16:31:39.440",-0.41749,0.02155,0.51138,-0.94541,-0.00987,0.00257,-0.81272,-0.12734,1.09988,-0.01337,0.22948,0.26332,0.55931,0.61514,0.35111,18.11205,858.88623,-1.20533,0.10502,-0.35836
="2026/04/02 16:31:39.460",-0.36102,0.05448,0.38644,-0.57171,-0.04562,0.03854,-1.18809,-0.09185,1.30481,0.07858,0.58127,1.07216,0.51763,0.99624,0.14785,20.06859,862.43945,-0.82026,0.06142,-0.14684
="2026/04/02 16:31:39.480",-0.02702,-0.04392,0.12699,-0.61017,-0.01603,0.03031,-0.50826,0.18613,0.66044,-0.03862,0.48843,1.66623,0.43923,0.9061,-0.3896,21.59993,867.42096,-0.86403,0.06606,-0.0168
="2026/04/02 16:31:39.500",-0.82081,-0.10797,0.47629,-0.51079,-0.02551,-0.00589,-1.02669,-0.07557,1.32728,-0.15066,0.63626,1.90121,0.57304,0.87976,-0.01673,21.8625,871.63312,-0.74434,0.06777,0.19396
="2026/04/02 16:31:39.520",-0.3014,-0.26352,0.44441,-0.8686,0.00617,-0.00567,-0.76587,-0.29643,0.79755,-0.31194,0.77115,2.01755,0.63431,1.38484,-0.54645,21.71291,875.46869,-0.22296,0.08329,0.35648
="2026/04/02 16:31:39.540",-0.63951,-0.28219,0.33874,-0.57724,-0.13196,-0.05229,-0.91521,-0.16987,0.9684,-0.27756,0.80861,1.86593,0.63086,0.65789,1.79377,21.71944,877.97656,-0.30777,0.07008,0.12064
="2026/04/02 16:31:39.560",-0.27839,-0.32232,0.48631,-0.35425,0.00088,-0.09298,-0.80491,0.03728,0.44137,-0.34409,0.64265,1.83886,-0.63282,-0.06488,-0.0957,21.16275,878.5686,-0.30485,0.11615,0.01268
="2026/04/02 16:31:39.580",-0.60506,-0.40406,0.82054,-0.28476,-0.03969,0.07322,-0.42906,-0.00193,0.15027,-0.29792,0.29678,1.56153,0.06618,-0.33795,0.64164,20.28107,877.74438,0.00534,0.00156,-0.10485
="2026/04/02 16:31:39.600",-0.20799,-0.22771,0.26809,-0.21272,0.07127,0.06327,-0.34815,-0.08141,0.26536,-0.20102,0.39071,1.826,-0.29596,0.56013,-0.02348,19.77045,875.16656,1.01031,0.1469,-0.34852
="2026/04/02 16:31:39.620",-0.01193,-0.1763,-0.01507,0.22563,0.04251,0.04891,0.162,-0.00982,-0.67631,-0.13932,0.28673,1.31829,-0.00823,0.42533,-0.01492,20.57005,872.13293,0.79404,0.07722,0.04206
="2026/04/02 16:31:39.640",-0.43727,-0.02531,0.40988,0.32766,0.05213,0.09143,0.22186,0.057,-0.77903,-0.14116,0.32762,0.90793,-0.12543,-0.04075,0.86719,21.25385,867.62323,0.86154,0.03502,0.21567
="2026/04/02 16:31:39.660",0.60043,-0.10595,-0.19954,0.43585,0.02975,0.043,0.47945,0.04286,-0.94161,0.01398,-0.01658,0.59992,-0.77501,0.18238,-0.59476,21.8555,863.81024,1.29012,-0.02601,-0.10761
="2026/04/02 16:31:39.680",-0.18383,-0.26676,0.14414,0.41699,-0.00669,-0.01789,0.81318,0.05829,-1.39046,0.07288,-0.08135,-0.08867,-0.64516,-0.35314,0.52711,22.62364,860.74805,0.86846,0.03125,-0.2385
