time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 17:04:08.440",-0.04918,-0.01123,0.1614,-0.19518,-0.01275,0.11863,-0.04822,0.05067,-0.31207,-0.03237,-0.01094,-0.01669,17.01797,-0.03565,0.04744,-0.06382,868.17908,0.04225,-0.03429,0.02403
="2026/04/02 17:04:08.460",-0.01789,-0.00214,-0.2262,-0.07157,-0.06946,0.13884,0.14226,0.0124,-0.16603,0.04652,-0.01854,-0.0112,14.24236,-0.03473,-0.00608,-0.024,867.48676,0.16247,-0.01039,0.02886
="2026/04/02 17:04:08.480",-0.0815,-0.03502,0.11487,-0.04202,0.01462,0.10624,-0.09151,0.05914,-0.25871,-0.01344,-0.00305,0.02,12.8778,-0.15042,0.01204,0.11934,865.3609,0.0965,-0.04404,-0.09128
="2026/04/02 17:04:08.500",0.06058,-0.03462,0.06245,0.04152,-0.02861,0.05636,-0.11825,0.04255,-0.06564,0.01137,0.01223,-0.02098,12.67651,-0.12458,-0.04901,-0.04713,862.41144,0.1732,0.03522,0.15668
="2026/04/02 17:04:08.520",-0.01333,0.00618,-0.08541,0.17972,0.0168,-0.05411,-0.06567,-0.00387,0.17001,-0.06978,0.00347,0.03164,13.42722,-0.08292,0.01289,0.07574,858.76874,0.25796,0.0152,-0.11061
="2026/04/02 17:04:08.540",0.08131,0.02627,0.24205,0.05217,0.04295,-0.10038,-0.26982,0.0656,-0.01773,-0.02347,0.00694,-0.01015,15.15839,-0.10322,-0.00981,0.09761,855.14807,0.02923,0.01812,0.03093
="2026/04/02 17:04:08.560",0.10897,-0.01297,-0.10437,0.16983,-0.01112,-0.08813,-0.1059,0.00328,0.23461,0.13183,-0.00355,-0.01742,17.12968,-0.00041,-0.02048,-0.01111,852.57336,0.1658,-0.00629,0.08195
="2026/04/02 17:04:08.580",0.03295,0.00186,-0.00908,0.14117,0.05074,-0.18246,-0.12469,-0.01461,0.41031,-0.00175,-0.03466,-0.03393,19.55478,-0.00127,-0.01072,0.15116,851.79901,0.0998,-0.00526,-0.07876
="2026/04/02 17:04:08.600",0.14125,-0.00907,0.01811,0.09787,0.02487,-0.1188,-0.18227,0.05366,0.07368,0.01122,-0.02724,0.00559,22.72754,0.09845,-0.01577,0.02586,852.77863,-0.03917,-0.01557,0.07623
="2026/04/02 17:04:08.620",-0.02361,0.00562,-0.1598,0.07731,0.00573,-0.13338,0.09877,-0.05159,0.47081,0.00411,-0.01527,0.00734,24.80857,0.12371,-0.00432,0.03864,854.52985,0.1827,0.0266,-0.02105
="2026/04/02 17:04:08.640",0.06531,0.02753,0.09803,-0.09578,0.0144,-0.10551,-0.07892,0.04732,0.00169,-0.01225,-0.0067,-0.05279,25.69197,0.07954,0.01858,0.09942,857.49951,-0.00204,-0.03506,-0.05897
="2026/04/02 17:04:08.660",-0.00094,0.01305,-0.22242,-0.05762,-0.03192,-0.02711,0.1218,-0.01799,0.03629,0.01096,-0.00318,0.00458,25.287,0.17206,-0.0195,-0.16365,860.93823,0.15237,-0.00587,0.03808
="2026/04/02 17:04:08.680",-0.02913,0.01145,0.0428,-0.19992,0.01745,-0.06007,0.17623,-0.0366,0.08319,-0.03978,0.00895,-0.03276,24.14477,0.08708,0.04196,0.03294,864.21075,0.01011,0.00626,-0.11454
="2026/04/02 17:04:08.700",-0.02563,-0.02776,0.02762,-0.19038,-0.00047,0.03219,0.04565,0.0406,-0.36737,-0.03017,-0.00598,-0.03517,22.45619,0.08019,-0.01098,-0.09477,867.17737,0.00213,0.01412,0.14667
="2026/04/02 17:04:08.720",-0.07002,-0.03057,-0.08853,-0.1529,-0.02742,0.13083,0.2388,-0.05087,0.02285,-0.01506,-0.02604,0.00972,18.97218,0.01189,0.01969,-0.14528,868.42145,0.16271,0.01812,-0.11361
="2026/04/02 17:04:08.740",0.02857,-0.00968,0.10898,-0.17556,-0.00031,0.09845,-0.01987,0.07804,-0.40107,0.001,-0.00436,0.03402,16.07235,-0.09072,0.03641,-0.02269,869.03418,-0.09278,0.01128,0.02962
="2026/04/02 17:04:08.760",-0.0686,0.01398,-0.12973,-0.03241,0.00051,0.08161,-0.00792,0.04342,-0.26185,0.03799,-0.00738,0.0086,13.92794,-0.01914,0.0104,-0.15676,867.5899,0.18704,-0.0122,0.03352
="2026/04/02 17:04:08.780",0.02393,-0.02262,0.09685,-0.02858,-0.00186,0.12759,0.02933,-0.01155,0.01669,0.03434,-0.01163,0.01083,12.51643,-0.14666,0.01802,0.05834,864.7254,0.13914,0.04464,-0.01873
="2026/04/02 17:04:08.800",0.02037,-0.00204,0.08375,0.04271,0.01384,0.03475,-0.24364,0.07095,-0.245,-0.04801,0.01978,0.01316,12.6745,-0.12155,0.00263,0.11252,861.50494,0.06377,-0.01049,0.11574
