time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 15:35:08.300",2.49837,-0.07431,0.26304,-3.68495,-0.3338,9.06565,0.00313,-0.00028,-0.03284,5.40756,0.36295,-4.05502,-0.22525,-0.14988,1.34819,0,573.06427,0.2675,0.02771,-0.05728
="2026/04/02 15:35:08.320",2.31305,-0.01898,0.04589,-2.11817,-0.38963,7.76491,0.003,-0.00838,-0.00827,5.46304,0.45958,-4.72685,1.65118,-0.08328,0.58197,32.08255,565.80817,-0.02642,0.07896,-0.19192
="2026/04/02 15:35:08.340",1.70798,0.01651,-0.12724,-0.03852,-0.30805,5.00924,-0.01309,-0.0001,-0.00605,4.52526,0.41951,-4.48901,3.24766,0.00843,-0.28625,128.67413,611.01379,-0.34801,0.14697,-0.38137
="2026/04/02 15:35:08.360",0.64675,0.06576,-0.30869,1.86489,-0.1675,1.52403,0.01036,0.01037,0.01612,2.80445,0.33845,-3.45378,4.32192,0.10867,-1.11175,206.38104,700.81097,-0.54673,0.17914,-0.42288
="2026/04/02 15:35:08.380",-0.27472,0.10365,-0.38094,3.60297,0.05148,-2.40694,0.0073,0.01549,0.01648,0.61802,0.21698,-1.82719,4.53458,0.19485,-1.68567,251.34254,819.77551,-0.72545,0.1854,-0.42011
="2026/04/02 15:35:08.400",-1.38102,0.15645,-0.4311,4.65395,0.28719,-5.7516,0.01171,0.01381,0.01959,-1.73088,0.06335,0.16938,4.04978,0.23823,-2.00271,255.33559,946.81573,-0.76296,0.17442,-0.37489
="2026/04/02 15:35:08.420",-2.10922,0.17982,-0.40084,4.88129,0.49066,-8.0863,-0.00419,0.00238,0.01489,-3.71788,-0.03897,2.07266,2.77484,0.24606,-1.91634,216.85054,1059.33081,-0.62188,0.0906,-0.1879
="2026/04/02 15:35:08.440",-2.4362,0.13688,-0.29188,4.2978,0.63027,-9.0523,0.00742,0.01064,0.01981,-5.08714,-0.15579,3.63756,1.00934,0.2249,-1.48592,143.98611,1137.65393,-0.41836,0.02579,-0.05072
="2026/04/02 15:35:08.460",-2.48257,0.04267,-0.16703,2.89138,0.60453,-8.22523,0.00434,-0.00235,0.01358,-5.55555,-0.21113,4.5449,-0.86744,0.17391,-0.83476,50.48048,1167.74329,-0.05964,-0.05688,0.1548
="2026/04/02 15:35:08.480",-1.89005,0.0376,0.03401,1.05213,0.51283,-6.1027,0.01434,0.01073,0.0068,-4.9797,-0.23161,4.64896,-2.71956,0.11788,-0.00547,0,1143.38452,0.15144,-0.12028,0.30408
="2026/04/02 15:35:08.500",-1.15744,0.01445,0.21504,-1.05873,0.3434,-2.79377,-0.00065,0.00615,0.00409,-3.60177,-0.23437,3.90306,-3.97682,0.0546,0.80421,0,1069.38037,0.47069,-0.16948,0.39172
="2026/04/02 15:35:08.520",-0.04803,-0.05894,0.33306,-2.95464,0.1561,1.00916,0.022,0.00618,-0.00269,-1.50746,-0.1382,2.42198,-4.61595,-0.06711,1.47281,0,958.80615,0.70329,-0.18972,0.49553
="2026/04/02 15:35:08.540",0.99013,-0.09392,0.41315,-4.25408,-0.00451,4.51875,0.01321,-0.01277,-0.01555,0.80655,-0.01689,0.58708,-4.39981,-0.08517,1.88008,0,831.18915,0.71786,-0.16068,0.40977
="2026/04/02 15:35:08.560",1.78699,-0.09733,0.43022,-4.9853,-0.16188,7.36308,-0.02001,-0.00382,-0.02888,2.96792,0.14845,-1.37603,-3.3312,-0.17534,1.90921,0,709.34003,0.68768,-0.12298,0.30904
="2026/04/02 15:35:08.580",2.4392,-0.08271,0.32061,-4.6904,-0.25477,8.69234,0.00149,-0.0176,-0.01422,4.62714,0.30118,-3.10586,-1.78563,-0.12858,1.66106,0,615.48828,0.45747,-0.05159,0.11862
="2026/04/02 15:35:08.600",2.43195,-0.06286,0.24351,-3.61887,-0.3249,8.62574,0.01174,-0.0078,-0.01974,5.44456,0.38255,-4.21784,0.17926,-0.11655,1.07259,0,566.09991,0.1725,0.02716,-0.07056
="2026/04/02 15:35:08.620",2.17806,-0.03021,0.07817,-1.96416,-0.34883,6.94795,-0.0015,-0.00696,-0.00684,5.32213,0.44384,-4.61943,2.0168,-0.0411,0.30475,49.67839,568.49518,-0.10874,0.1015,-0.21162
="2026/04/02 15:35:08.640",1.47226,0.01158,-0.10663,0.17558,-0.24602,4.02051,0.00218,-0.00097,-0.00543,4.23071,0.38293,-4.15689,3.5358,0.02941,-0.47313,145.66949,623.33881,-0.42252,0.16355,-0.40109
="2026/04/02 15:35:08.660",0.39299,0.06273,-0.2545,2.10713,-0.08598,0.5041,0.02881,-0.00025,-0.01003,2.41532,0.30057,-2.92534,4.46996,0.11929,-1.18084,220.12715,721.0517,-0.56655,0.18958,-0.41295
