time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:17:51.120",0.10093,-0.04149,0.6109,-0.04503,0.30984,-0.57162,-0.75977,0.08965,-0.51671,-0.28396,-0.03564,-0.04559,19.45242,864.05188,0.1468,0.06221,-0.09474,-0.38244,-0.01907,0.49275
="2026/04/02 16:17:51.140",0.92184,-0.02923,-1.23831,-0.03476,0.13187,-0.48684,1.39459,-0.23837,1.03724,-0.29528,0.00887,0.02785,19.9669,863.59229,-0.03264,-0.08971,-0.45024,-0.19529,0.02582,0.14327
="2026/04/02 16:17:51.160",-0.35762,-0.02325,0.36743,0.14812,-0.06872,-0.29645,-0.55306,0.32063,-0.65765,-0.41033,-0.03772,-0.01678,18.84618,860.97266,0.02375,0.13933,0.60729,-0.56457,0.09897,-0.03749
="2026/04/02 16:17:51.180",0.70612,-0.05962,-0.13368,-0.16564,0.37546,-0.69061,-0.11598,0.21823,-0.00746,-0.21354,0.04105,0.03586,19.11288,861.41254,-0.06393,-0.05363,-0.76808,-0.97175,-0.10352,0.51672
="2026/04/02 16:17:51.200",0.3249,0.00839,-0.95805,0.16175,-0.19375,-0.23941,0.37859,0.13153,0.36309,-0.06193,0.01391,-0.05115,18.86629,861.28345,-0.30169,-0.10705,0.05331,-0.59417,0.0498,-0.13614
="2026/04/02 16:17:51.220",-0.16027,-0.00513,0.93827,0.06774,0.21069,-0.70854,-1.38178,0.02126,-1.15796,-0.27644,-0.01196,0.06305,19.58844,860.38141,-0.00935,0.13294,-0.14346,-1.17189,-0.01642,0.23159
="2026/04/02 16:17:51.240",0.71505,0.03051,-0.80273,-0.03841,0.01969,-0.38022,0.56667,-0.07778,0.48106,-0.11196,0.05612,0.07867,20.68354,860.40833,-0.29507,-0.13367,-0.67285,-1.03056,0.00843,0.22157
="2026/04/02 16:17:51.260",-0.21282,-0.01729,0.02714,0.22773,0.04713,0.03315,-0.54288,0.38331,-1.0859,0.04964,-0.09499,-0.0869,19.52003,859.104,-0.12543,0.08732,0.24393,-0.95832,0.11799,-0.17325
="2026/04/02 16:17:51.280",0.44425,-0.01331,0.22156,-0.05255,0.45305,-0.44054,-0.65258,0.17343,-0.57489,0.07232,-0.06322,0.01312,19.87754,861.01569,-0.12213,-0.07048,-0.65229,-1.43262,-0.1301,0.43896
="2026/04/02 16:17:51.300",-0.0567,-0.11867,-0.72978,0.11284,-0.25169,0.2916,0.64535,0.01005,-0.35982,-0.00455,0.00191,-0.01248,19.06817,862.63379,-0.2631,0.07072,-0.17058,-0.54851,0.07402,-0.16762
="2026/04/02 16:17:51.320",-0.29052,-0.10083,1.00237,0.13965,0.17923,-0.119,-1.30223,0.56894,-1.51868,0.00255,-0.03084,-0.00114,18.39827,862.67682,-0.15282,0.06237,0.14968,-0.99905,-0.00371,0.08048
="2026/04/02 16:17:51.340",0.35878,-0.00929,-0.50974,-0.16585,0.17848,0.21165,0.09784,0.31414,-0.24054,0.33765,0.00109,-0.04566,18.78975,862.66461,-0.19714,-0.15467,-1.11489,-1.1954,-0.10809,0.3698
="2026/04/02 16:17:51.360",-0.36567,0.02085,0.0523,0.15885,-0.24632,0.08957,-0.54507,0.4894,-1.16358,0.04804,-0.03173,-0.05247,16.93162,862.12195,-0.34022,0.13664,0.43922,-0.4519,0.08747,-0.40004
="2026/04/02 16:17:51.380",-0.03579,-0.01989,0.73429,-0.16495,-0.11635,-0.01327,-1.20516,0.55746,-1.0728,0.39384,0.00353,0.04303,17.08466,863.14862,-0.13893,-0.12934,-0.5416,-1.33352,-0.12169,0.30092
="2026/04/02 16:17:51.400",-0.23005,-0.0281,-0.64463,0.09315,-0.40005,0.37116,0.80635,-0.2292,0.53838,0.21322,0.02524,0.01282,17.3912,862.94403,-0.24166,-0.02444,-0.35313,-0.39451,0.0795,-0.23035
="2026/04/02 16:17:51.420",-0.39725,0.13385,0.83816,0.17005,-0.25602,0.19067,-1.29959,0.30724,-1.83565,0.34669,-0.03039,-0.00565,17.28658,862.2041,0.02186,0.15653,0.3229,-0.6791,0.04477,-0.24924
="2026/04/02 16:17:51.440",-0.00307,0.10992,-0.02332,-0.16093,-0.31637,0.19927,-0.01022,0.196,0.14318,0.43192,0.04947,0.0192,18.46876,863.13647,-0.04536,-0.15705,-0.7195,-0.76081,-0.11765,0.36402
="2026/04/02 16:17:51.460",-0.55633,0.11855,0.02312,0.23959,-0.49095,0.30227,-0.01094,0.323,-0.29619,-0.00711,0.00401,0.03448,17.37194,862.91772,-0.21812,0.05685,0.41223,0.08645,0.10908,-0.36342
="2026/04/02 16:17:51.480",-0.12867,0.11209,0.97315,-0.06605,-0.11183,0.16049,-1.44571,0.22264,-0.83114,0.63178,0.05183,0.02334,18.17834,863.3999,0.10155,0.00239,-0.2969,-0.51177,-0.07155,0.14929
="2026/04/02 16:17:51.500",-0.15138,0.07457,-0.72771,0.01822,-0.29102,0.49318,0.60624,-0.42961,0.80578,0.44351,0.01131,0.0063,19.25172,864.43866,-0.24451,-0.11591,-0.19111,0.32267,-0.06135,-0.18013
="2026/04/02 16:17:51.520",-0.63605,0.11992,0.89667,0.23997,-0.42323,0.36873,-0.98906,0.17986,-1.08528,0.32016,0.00481,-0.06723,19.45709,864.67432,0.03392,0.17516,0.56772,0.38579,0.03889,-0.30388
="2026/04/02 16:17:51.540",-0.13228,0.0622,0.18919,-0.19483,0.07731,0.41584,-0.07673,0.10497,0.62095,0.20916,-0.00022,-0.01444,21.08456,866.11865,-0.02557,-0.19308,-0.50047,0.24053,-0.10346,0.13642
="2026/04/02 16:17:51.560",-0.19774,0.0046,-0.48818,0.24823,-0.21152,0.82678,0.56969,-0.36214,0.07244,0.20287,0.00762,0.00503,20.25158,866.49634,-0.00466,0.13998,0.38921,1.15454,0.10687,-0.53358
="2026/04/02 16:17:51.580",-0.58037,0.05252,1.33994,-0.0794,0.18757,0.02169,-0.77401,-0.08722,-0.26671,0.15942,0.03716,0.01265,20.20746,867.56519,0.24094,-0.03223,0.27406,0.79738,-0.04762,-0.15438
="2026/04/02 16:17:51.600",0.21048,-0.07066,-0.74492,-0.159,-0.2461,0.40211,1.13782,-0.15639,0.71671,0.16503,0.05459,0.08407,20.8383,869.03955,-0.12164,-0.01325,-0.10898,1.1958,-0.06319,-0.03831
="2026/04/02 16:17:51.620",-0.44657,0.00115,0.48516,0.1558,-0.24389,0.12297,-0.17027,0.28532,-0.28012,0.16369,-0.05108,0.00426,19.73279,868.55402,0.1809,0.02504,0.76819,1.3305,0.09749,-0.45211
="2026/04/02 16:17:51.640",-0.02336,0.0466,0.38383,-0.313,0.21653,-0.05747,0.0149,-0.23706,0.47163,0.19437,0.02767,0.0565,20.97788,868.85638,0.13305,-0.0214,-0.10646,0.81754,-0.06042,0.26093
="2026/04/02 16:17:51.660",-0.00672,0.01248,-0.70475,0.09349,-0.20074,0.42231,1.10872,-0.29694,0.95412,0.15618,-0.08275,0.03905,21.24512,869.07562,0.06679,0.0366,0.32441,1.58581,0.10975,-0.25002
="2026/04/02 16:17:51.680",-0.37855,-0.0111,0.89444,-0.09213,0.30495,-0.10544,-0.60156,0.01368,0.14343,-0.26205,0.01903,-0.04988,20.873,869.27332,0.23432,-0.01211,0.47629,0.84954,0.02147,-0.19972
="2026/04/02 16:17:51.700",0.20136,-0.02458,-0.77807,-0.20269,0.13148,0.6745,0.91692,-0.42877,1.32328,-0.14376,-0.02272,-0.00285,21.00868,869.3244,0.07672,-0.09043,-0.1967,1.05323,-0.06585,0.10313
="2026/04/02 16:17:51.720",-0.20247,-0.07956,-0.05169,0.12786,0.22969,0.12446,0.31611,-0.33593,0.69899,-0.37404,-0.04384,-0.05349,19.7342,867.22784,0.06994,0.13333,1.04043,1.432,0.1425,-0.54126
="2026/04/02 16:17:51.740",0.2865,-0.00195,0.48973,-0.31796,0.27298,-0.43348,-0.10142,-0.29899,0.62681,-0.36866,0.03265,-0.00266,20.7137,866.37097,0.17481,-0.0595,-0.09476,0.74556,-0.1722,0.36375
="2026/04/02 16:17:51.760",0.29456,-0.10348,-1.00461,-0.10496,-0.20209,-0.54192,1.27123,-0.37688,1.41529,-0.22149,0.04116,0.01252,21.11035,865.99799,0.00884,-0.00966,-0.02301,1.4739,-0.03084,-0.01891
="2026/04/02 16:17:51.780",0.05386,0.02146,0.39863,-0.0655,0.22041,-0.20008,-0.83031,0.3147,-0.59708,-0.37587,-0.02315,-0.0625,21.08969,865.42932,0.16954,0.10017,0.68912,0.97726,0.05853,-0.03491
="2026/04/02 16:17:51.800",0.5644,0.06405,-0.50923,-0.17411,0.17049,-0.56475,0.80161,-0.33089,1.27067,-0.19198,-0.01881,-0.00288,22.48379,865.72528,0.22656,-0.16902,-0.63811,0.71222,-0.0603,0.39767
="2026/04/02 16:17:51.820",0.11153,0.07529,-0.39155,0.02811,-0.12047,-0.41369,0.74938,-0.27095,0.64076,-0.43572,-0.05932,-0.02237,21.61962,864.69507,0.09801,0.17348,0.61505,0.86935,0.19275,-0.29205
="2026/04/02 16:17:51.840",0.38631,0.02665,0.31196,-0.15222,0.33725,-0.50703,-0.55086,0.09649,-0.19829,-0.30595,-0.01704,-0.02185,22.3523,864.80975,0.33912,-0.08341,-0.19152,0.1322,-0.09003,0.3747
