time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:41:24.720",0.00003,0.05116,0.09438,-0.13394,-0.00979,-0.15513,19.06968,0.01728,-0.00648,0.00124,865.79858,0.03276,0.01851,0.02571,0.01556,-0.03249,-0.00745,-0.06322,-0.01566,0.06985
="2026/04/02 15:41:24.740",0.07072,0.00741,0.01928,0.21104,-0.00543,0.24195,19.79691,0.04814,0.03927,-0.01229,865.06451,0.05471,-0.00278,-0.03004,-0.03952,-0.01428,-0.16247,0.00505,0.01538,-0.12123
="2026/04/02 15:41:24.760",0.08056,-0.05276,-0.06166,-0.27384,0.13175,-0.24811,20.15957,-0.0287,0.00223,-0.01812,864.19781,0.10911,0.04723,-0.09629,-0.00628,0.01505,0.11064,-0.10445,0.02539,0.24794
="2026/04/02 15:41:24.780",0.08327,0.02657,-0.08754,0.03276,-0.02138,0.15081,20.10981,0.10962,-0.01395,0.02666,863.47101,0.08968,0.02547,0.03076,0.0551,-0.00977,-0.17541,0.04632,0.00335,-0.03909
="2026/04/02 15:41:24.800",0.09077,-0.04651,-0.06689,0.06438,0.02816,0.01215,20.42184,0.07589,0.00035,-0.00407,862.74438,0.20614,-0.00805,-0.12993,0.01375,0.03328,0.0737,-0.02131,-0.03038,0.06487
="2026/04/02 15:41:24.820",0.0524,0.0553,-0.01746,-0.17137,0.08128,-0.0159,21.39896,-0.10666,-0.01126,0.02632,862.22668,0.12559,-0.04517,-0.08151,0.12563,0.00086,0.00699,-0.00963,0.00129,0.0791
="2026/04/02 15:41:24.840",0.04889,0.0485,-0.0923,0.31965,-0.12012,0.37248,22.59479,-0.04441,-0.01323,-0.00711,862.23151,0.08333,-0.04717,-0.01785,0.05421,-0.00854,-0.09907,0.0912,0.0181,-0.17057
="2026/04/02 15:41:24.860",-0.00089,-0.03866,0.03319,-0.16169,0.03548,-0.15186,23.12171,0.01088,0.03335,-0.04356,862.70349,0.0691,0.00802,-0.02032,0.11994,0.03172,0.05582,-0.13301,0.03578,0.11328
="2026/04/02 15:41:24.880",-0.04598,0.1066,0.00484,0.05788,-0.1016,0.18228,23.08403,-0.0233,0.00068,-0.01515,864.00201,0.09179,-0.03314,0.05633,0.11189,-0.01295,-0.12402,0.07951,0.02443,-0.07895
="2026/04/02 15:41:24.900",-0.0253,0.00743,0.07635,0.18112,-0.09622,0.07188,23.21923,0.10084,-0.01153,-0.03082,865.64221,0.07231,-0.0084,-0.04011,0.05662,-0.00258,-0.05457,-0.08665,0.02692,-0.00553
="2026/04/02 15:41:24.920",-0.08149,0.01163,-0.06634,-0.08022,-0.054,-0.10298,23.35646,-0.08027,-0.0284,0.02475,866.68823,0.15572,0.00188,0.06755,0.04626,-0.00106,0.09298,-0.04523,0.04929,0.05439
="2026/04/02 15:41:24.940",-0.11921,-0.06408,-0.04153,0.34176,-0.05132,-0.00435,22.88589,-0.02995,0.00768,0.01591,867.8656,0.13808,-0.03081,0.06499,-0.03894,-0.04392,-0.11605,0.02916,0.07766,-0.11844
="2026/04/02 15:41:24.960",-0.03932,-0.20766,-0.07125,0.10913,0.11481,-0.31432,21.16998,0.02517,-0.00638,0.00524,867.86029,0.20199,0.00215,-0.06334,-0.01469,-0.01253,0.12975,-0.12672,0.00634,0.14476
="2026/04/02 15:41:24.980",-0.07834,-0.21521,-0.06495,0.12051,0.2462,-0.33958,19.76359,0.02708,0.0469,0.0232,867.32385,0.05822,-0.04771,0.02931,0.03236,0.08961,0.02385,0.00142,-0.0649,0.09006
="2026/04/02 15:41:25.000",0.02901,-0.08546,0.08298,0.3062,0.26964,0.02656,19.36095,0.14182,0.03828,0.05353,866.52533,0.19303,-0.03382,0.00038,-0.00668,-0.00241,-0.02012,0.06459,-0.13037,-0.04127
="2026/04/02 15:41:25.020",0.05105,0.08893,0.08345,-0.32678,0.1545,-0.07954,18.86181,-0.02972,0.01235,-0.02585,865.6134,0.14534,-0.02033,-0.00603,-0.04776,0.01246,0.18199,-0.07844,-0.1767,0.09796
="2026/04/02 15:41:25.040",0.03216,0.15576,0.12212,-0.04827,-0.15695,0.28443,19.71379,-0.00817,-0.0072,0.01939,864.5708,0.16229,-0.01632,0.00953,-0.10019,-0.04769,-0.15352,0.05127,-0.07143,-0.14536
="2026/04/02 15:41:25.060",0.04064,0.1249,0.06957,-0.11875,-0.11011,0.17287,20.78256,0.0315,-0.02607,-0.00054,862.97302,0.17018,0.02457,-0.04161,-0.11981,0.0147,0.15976,0.09073,0.08443,-0.03537
="2026/04/02 15:41:25.080",0.05534,0.09383,-0.01408,-0.27688,-0.0068,0.01251,20.74825,-0.04386,0.0118,-0.02852,862.23657,-0.04771,-0.02606,0.15495,-0.01846,-0.02643,-0.0259,-0.01201,0.11863,0.01807
="2026/04/02 15:41:25.100",0.04741,0.05432,-0.11549,0.18418,-0.0436,0.32683,20.94962,0.07782,-0.00063,0.02596,862.0744,0.0674,-0.02404,-0.01098,0.00849,0.02988,-0.00481,0.11754,0.11052,-0.14225
="2026/04/02 15:41:25.120",0.05242,-0.12302,-0.07863,-0.34169,0.04199,-0.03943,21.49662,0.10277,0.0191,0.02059,862.08386,0.17144,-0.02196,-0.07542,0.05868,0.02579,0.18467,-0.03183,0.04091,0.07817
="2026/04/02 15:41:25.140",0.01389,-0.08644,-0.22957,-0.04599,-0.11309,0.52157,22.2126,0.02635,0.00858,-0.00672,862.92084,0.0389,-0.02298,0.11736,0.00773,-0.03499,-0.04552,0.01163,-0.03227,-0.10381
="2026/04/02 15:41:25.160",0.01022,-0.10688,-0.02287,-0.17923,-0.16856,0.25405,23.45143,-0.03118,0.01351,0.01464,863.86981,0.19942,0.03275,-0.04743,0.03563,-0.01652,0.02913,0.08863,-0.08574,0.00351
="2026/04/02 15:41:25.180",-0.03954,0.05074,-0.1155,-0.21816,-0.17163,0.12617,24.07854,0.07094,0.01786,0.01251,864.44067,0.02016,-0.0293,0.03675,0.05523,0.02197,-0.02208,-0.02566,-0.07773,0.01203
="2026/04/02 15:41:25.200",-0.04455,0.05707,-0.04003,0.14088,-0.12197,0.15025,24.21066,0.06387,-0.00515,-0.00049,866.10516,0.13328,-0.01283,0.06593,0.00877,-0.04568,-0.05613,0.03751,-0.00386,-0.12467
="2026/04/02 15:41:25.220",-0.10196,0.07342,0.05657,-0.0374,-0.01802,-0.04046,23.30285,0.02306,-0.01168,-0.01905,867.05396,0.1963,-0.01452,0.00957,0.07364,-0.00111,0.12714,-0.01762,0.08238,0.03653
="2026/04/02 15:41:25.240",-0.09441,0.08434,-0.09092,0.2709,-0.08943,0.12141,21.98421,0.01228,-0.00813,-0.01107,866.81677,0.02525,0.02144,0.12124,-0.03983,-0.03647,0.03384,0.03227,0.07091,-0.09363
="2026/04/02 15:41:25.260",-0.08213,-0.01457,0.04528,0.28916,0.02937,-0.01034,21.09457,-0.03434,-0.01105,0.00678,866.31665,0.18783,0.05957,-0.06636,-0.0402,0.03936,0.14534,0.03267,0.02863,0.00015
="2026/04/02 15:41:25.280",-0.07421,0.00813,0.03186,-0.00355,0.11017,-0.00695,19.88321,0.13001,-0.01849,0.01784,866.13,0.18496,0.01984,0.13896,-0.0556,0.01658,0.08149,-0.02038,-0.00078,0.0649
="2026/04/02 15:41:25.300",-0.04663,-0.03113,-0.01481,0.13667,0.07159,0.15643,19.55257,0.05926,-0.00405,0.02107,866.33209,0.09141,-0.00748,0.00305,-0.18705,0.01707,-0.03271,0.07609,-0.03014,-0.13537
="2026/04/02 15:41:25.320",0.00172,-0.09841,0.05404,-0.2966,0.07796,0.00488,19.68451,-0.04202,-0.01215,0.00667,865.54132,0.18038,0.02426,-0.00495,-0.09216,0.02679,0.0858,0.00561,-0.0336,0.0553
="2026/04/02 15:41:25.340",0.00009,0.05803,-0.06458,-0.12077,-0.06728,0.16654,19.81087,0.01619,0.00412,0.04298,863.96442,-0.00999,-0.01109,0.12277,-0.16388,-0.03793,-0.01326,0.02927,-0.02921,-0.06376
="2026/04/02 15:41:25.360",0.02169,0.00701,-0.04272,-0.03585,-0.04538,0.09845,19.8104,0.05258,0.03195,0.01176,862.84894,0.0933,0.027,-0.00445,-0.11553,0.02548,0.16169,0.11246,-0.0323,-0.15827
="2026/04/02 15:41:25.380",0.01418,-0.01618,-0.05242,-0.21028,-0.03866,0.33122,19.90757,-0.05208,-0.03863,-0.00012,862.21307,-0.1455,0.02013,0.04257,-0.06367,-0.02051,0.08955,-0.02139,0.0145,0.09629
="2026/04/02 15:41:25.400",0.01997,0.05637,-0.10816,0.14925,-0.17188,0.27316,21.00905,-0.03008,-0.00779,-0.00676,862.3869,-0.18764,0.0347,0.03608,-0.0942,-0.00361,0.05281,0.2016,0.02982,-0.22293
="2026/04/02 15:41:25.420",0.03461,-0.03228,-0.03825,-0.22914,-0.05897,0.19229,21.57661,0.15264,-0.00918,-0.0044,862.76123,-0.06152,0.02561,-0.04984,-0.00764,0.01687,0.14609,-0.05351,-0.01443,0.00268
="2026/04/02 15:41:25.440",0.01172,0.04832,-0.09209,-0.03517,-0.09118,0.27956,22.53246,-0.06583,0.00739,0.00262,862.8172,-0.20114,-0.01987,0.07899,-0.05408,-0.03378,-0.01233,0.01187,-0.01756,-0.09574
="2026/04/02 15:41:25.460",-0.02824,-0.00571,-0.04395,0.02923,-0.08836,0.15824,23.72443,0.04401,-0.01803,-0.00508,862.94946,-0.06732,0.00617,-0.00412,-0.03429,0.00214,0.0613,0.15202,-0.03196,-0.131
="2026/04/02 15:41:25.480",0.02146,-0.0277,-0.01098,-0.20617,-0.02352,0.05816,23.37728,0.0085,0.00688,-0.0018,863.7099,0.04215,-0.08893,-0.06304,-0.02036,-0.00736,0.0905,-0.09478,0.01253,0.00634
="2026/04/02 15:41:25.500",-0.09635,0.05304,-0.06942,0.16076,-0.03955,0.15004,22.83787,0.0357,0.0157,-0.00604,865.05713,-0.12037,-0.08598,0.06552,-0.07172,-0.01381,-0.02535,0.11971,0.01206,-0.14107
="2026/04/02 15:41:25.520",-0.08727,-0.02729,-0.04226,-0.08979,-0.00702,-0.06945,22.51778,0.09649,0.00352,-0.00643,865.92676,0.06686,-0.01983,0.05345,-0.06055,0.02467,0.14794,-0.08475,0.02053,0.01843
="2026/04/02 15:41:25.540",-0.05425,0.02805,-0.06321,0.03754,-0.01838,0.05801,22.06062,0.0274,-0.01808,-0.01815,866.7085,-0.00241,-0.02936,0.03026,-0.11986,0.01228,-0.00051,-0.02399,-0.00003,0.07513
="2026/04/02 15:41:25.560",-0.04701,-0.03304,0.04098,0.09892,0.0132,-0.00056,21.47023,0.0175,0.00526,-0.00161,866.40613,0.10972,0.03896,-0.1178,-0.08888,-0.02161,-0.00978,0.19029,-0.02342,-0.17254
="2026/04/02 15:41:25.580",-0.02219,-0.04661,0.0907,-0.27366,0.10404,-0.30556,20.55154,0.09503,-0.03294,-0.02396,865.30328,0.12631,0.04201,0.00255,-0.13504,0.02196,0.22857,-0.1178,-0.01146,0.15345
="2026/04/02 15:41:25.600",-0.01772,0.0629,0.02211,0.15163,0.0272,0.21664,20.14254,-0.13186,-0.02227,-0.01677,864.68378,-0.02762,0.01843,0.09525,-0.12367,-0.04436,-0.04033,0.11888,-0.00984,-0.11485
="2026/04/02 15:41:25.620",0.01357,-0.03013,-0.00086,-0.09918,-0.07048,0.09525,18.99919,0.05066,-0.02553,-0.00637,863.81451,-0.01745,0.01093,0.02091,-0.109,-0.00357,0.17743,0.0315,-0.02769,-0.07313
="2026/04/02 15:41:25.640",0.04283,0.03768,-0.05896,-0.21422,-0.00645,-0.04227,18.66813,0.07138,0.00256,0.02791,862.80835,-0.06886,-0.01104,0.02901,-0.12494,0.02509,0.07796,0.02531,-0.00514,0.11198
="2026/04/02 15:41:25.660",0.03094,0.02692,-0.10326,0.1094,-0.1353,0.46908,19.67915,0.06102,0.02604,0.00637,862.36572,0.02893,-0.00638,0.01984,-0.10428,-0.0473,0.02296,0.1431,0.01006,-0.2165
="2026/04/02 15:41:25.680",0.04013,-0.02619,-0.05276,-0.36475,-0.01067,-0.07183,20.69402,0.01223,0.04778,0.04714,861.42194,0.00658,0.04765,-0.06982,-0.10234,0.02421,0.12591,-0.01864,0.00767,0.09422
="2026/04/02 15:41:25.700",0.02396,0.06112,-0.09785,-0.02989,-0.11257,0.34148,21.65059,-0.04647,0.02463,0.00038,861.44196,-0.03807,-0.01016,0.06384,-0.07212,-0.05928,-0.06605,0.13433,-0.01742,0.04227
="2026/04/02 15:41:25.720",0.02535,-0.00428,-0.02859,-0.15404,-0.05456,0.02534,22.07167,-0.03978,0.01917,-0.02305,862.12109,-0.13234,-0.00248,-0.0343,-0.01874,0.009,0.09008,0.05283,0.00588,-0.20283
="2026/04/02 15:41:25.740",0.00095,-0.04699,-0.07006,-0.10199,-0.00977,-0.07508,22.25089,-0.07911,-0.01369,-0.00323,863.04694,-0.06352,-0.00449,0.04541,0.01456,0.01017,0.05326,-0.07996,-0.00468,0.15536
="2026/04/02 15:41:25.760",-0.08054,0.01241,-0.09033,0.19351,-0.07844,0.2549,23.25096,-0.0149,-0.00836,-0.0494,864.07269,-0.12014,0.0464,0.12312,-0.02722,-0.01201,-0.00968,0.15314,-0.00134,-0.21315
="2026/04/02 15:41:25.780",-0.03282,-0.03367,0.02312,-0.10904,0.00349,-0.14772,23.69687,0.04138,-0.01753,-0.00721,864.88196,-0.16839,0.04911,-0.00275,-0.01017,0.00632,0.03957,-0.04846,-0.00645,0.04104
="2026/04/02 15:41:25.800",-0.02854,0.06699,-0.00954,0.09071,-0.05405,0.00855,23.07597,0.0827,-0.00754,-0.0446,865.9212,-0.16206,0.01071,-0.0201,-0.04862,-0.01284,-0.09981,-0.04791,-0.00565,0.11875
="2026/04/02 15:41:25.820",-0.09492,0.04043,0.11169,-0.0072,0.03721,-0.14035,22.05452,-0.06576,-0.02862,-0.00066,866.32715,-0.0538,-0.01621,-0.0663,-0.05255,0.00985,-0.02096,0.06921,-0.01021,-0.15764
="2026/04/02 15:41:25.840",-0.03001,-0.01147,0.13013,-0.01409,0.08473,-0.28421,20.81647,-0.06317,-0.01061,-0.01482,866.4104,-0.06526,-0.00392,0.00163,0.0058,0.04077,-0.06959,-0.13515,0.03008,0.16323
="2026/04/02 15:41:25.860",-0.05518,0.05883,0.05558,0.24792,0.05553,-0.00889,20.09894,-0.05539,0.01006,-0.01657,866.16235,-0.08706,-0.04826,-0.00104,-0.03743,-0.03929,-0.0756,0.03717,-0.00344,-0.03467
="2026/04/02 15:41:25.880",0.00217,-0.02425,0.04614,-0.03913,0.0945,-0.50475,19.37425,0.01589,0.01084,-0.01317,865.21619,0.03995,-0.03016,-0.04913,-0.01917,-0.0094,0.18057,-0.04201,-0.00147,-0.05353
="2026/04/02 15:41:25.900",-0.01666,0.08463,0.08156,0.26446,0.03327,0.02378,18.89351,0.09965,0.01667,-0.01262,864.53418,-0.08867,-0.01264,0.06499,-0.05419,-0.04524,0.0748,0.01397,0.00814,0.07951
="2026/04/02 15:41:25.920",-0.01153,0.11352,0.10766,0.24421,0.06715,-0.12388,18.72887,-0.05258,-0.02142,0.03046,863.10791,0.01313,0.0178,0.02215,-0.07481,0.04187,0.17889,0.05821,-0.00831,-0.1706
="2026/04/02 15:41:25.940",0.03579,0.08075,0.06375,-0.05258,0.17225,-0.2312,18.9793,0.07775,-0.0392,-0.00072,862.38171,0.07509,0.03264,0.02412,0.04403,0.0301,-0.00634,0.00788,0.01139,0.05747
="2026/04/02 15:41:25.960",-0.00512,0.15127,-0.02075,0.11529,0.159,0.27807,19.8099,-0.00786,0.03558,0.00746,861.85034,-0.11047,-0.01339,0.01484,0.04404,0.04198,-0.08999,0.04642,0.05946,-0.03389
="2026/04/02 15:41:25.980",0.00194,0.03556,-0.1151,-0.39484,0.10988,0.06379,20.51502,-0.0986,-0.02107,0.01083,861.3266,0.13354,-0.0161,0.02122,0.05291,0.02009,-0.00055,0.03263,0.08241,-0.11409
="2026/04/02 15:41:26.000",-0.00564,-0.10168,-0.12537,-0.28949,-0.22164,0.33023,21.86171,-0.10367,0.00726,-0.00252,861.13501,-0.03054,-0.00322,0.0499,0.0277,-0.04144,-0.01462,-0.10308,0.13285,0.2161
="2026/04/02 15:41:26.020",-0.00355,-0.11775,-0.0825,-0.07985,-0.38226,0.32433,22.65786,0.03103,0.01349,0.01776,861.52979,0.00108,0.00902,0.00729,-0.0302,-0.0507,-0.01521,0.09673,0.00283,-0.15435
="2026/04/02 15:41:26.040",-0.02095,-0.08968,0.00672,-0.13144,-0.22407,0.0169,22.48827,-0.02798,0.01227,0.00651,862.48224,0.01346,0.03256,-0.03217,-0.02296,-0.00338,0.01864,0.00609,-0.09369,0.05823
="2026/04/02 15:41:26.060",-0.04983,0.04565,-0.05461,0.11088,-0.09741,0.03017,22.78994,0.02598,-0.0011,0.00096,863.70123,-0.04888,-0.01455,0.07169,-0.02234,-0.03197,-0.14094,0.01373,-0.13033,0.06021
="2026/04/02 15:41:26.080",-0.0482,0.03075,0.01012,0.00603,0.13587,-0.21353,22.52628,-0.02671,-0.00025,0.00867,865.16211,0.16631,0.01733,-0.06011,0.02468,0.03286,-0.04049,0.04105,-0.03703,-0.13825
="2026/04/02 15:41:26.100",-0.06424,-0.02341,0.07855,-0.08253,0.28996,-0.50367,21.57926,-0.06499,-0.01591,0.01916,865.89062,-0.08268,0.02487,-0.0288,0.05897,0.0391,-0.02804,-0.10414,0.05299,0.17968
="2026/04/02 15:41:26.120",-0.03585,-0.0649,0.01864,0.19876,0.22651,-0.11715,21.53171,-0.011,0.02504,0.02223,866.06549,-0.05639,-0.01618,0.02619,0.06417,0.00669,-0.05604,-0.02555,0.05389,-0.11621
="2026/04/02 15:41:26.140",0.00249,-0.10969,0.1165,-0.04006,0.09829,-0.26589,20.74212,0.00298,-0.01684,0.00232,866.3783,0.084,0.00489,-0.08643,-0.00562,0.00078,0.00869,-0.12511,-0.05537,0.14896
="2026/04/02 15:41:26.160",-0.03517,0.09807,0.02875,0.09443,-0.07688,-0.01976,20.10758,-0.059,-0.02641,-0.02378,866.32184,-0.0955,-0.00669,0.03228,-0.02999,-0.02413,-0.14366,0.02634,-0.07729,0.02001
="2026/04/02 15:41:26.180",0.04516,0.0509,0.08586,0.05053,-0.09106,-0.04645,19.66874,-0.00162,-0.03055,-0.01291,865.50385,-0.00518,-0.0064,-0.01753,-0.03398,-0.00973,0.03196,-0.04625,-0.08904,-0.03877
="2026/04/02 15:41:26.200",0.01578,0.09087,0.10548,-0.0652,-0.00812,-0.222,19.07163,-0.1332,-0.02221,-0.03053,864.19202,-0.02929,-0.01168,-0.00621,-0.05917,-0.00373,-0.00546,-0.12179,0.03296,0.2359
="2026/04/02 15:41:26.220",0.03093,0.15038,0.05145,0.14917,-0.03507,-0.00328,19.26412,-0.04384,-0.02263,0.00588,863.18347,-0.14954,-0.0454,0.06122,0.05269,-0.00687,-0.13669,-0.00062,0.10725,-0.03078
="2026/04/02 15:41:26.240",0.07911,0.05906,0.02871,-0.01429,0.09612,-0.16711,19.35631,-0.0525,-0.00712,-0.00764,862.56848,0.0467,-0.00342,-0.09117,0.0513,0.05324,0.07933,-0.10943,0.10866,0.10273
="2026/04/02 15:41:26.260",0.03613,0.04281,0.00508,0.08861,0.1301,-0.09499,20.05763,-0.03561,-0.00505,0.00031,861.98547,-0.08311,-0.03084,-0.04728,0.09711,-0.02651,-0.04175,0.02685,0.08991,0.14242
="2026/04/02 15:41:26.280",0.05752,-0.04489,-0.07293,0.13576,0.03624,0.0597,21.5156,-0.11424,0.021,0.0152,861.09705,-0.03875,0.00633,-0.02241,0.14155,0.00503,-0.06045,0.01891,0.03111,-0.06731
="2026/04/02 15:41:26.300",0.06004,-0.09263,-0.01528,0.02162,0.07456,-0.0387,22.26903,-0.24753,-0.03589,0.00074,861.06934,-0.05892,0.03399,0.02384,0.07007,0.03739,0.05189,-0.01114,-0.01547,0.125
="2026/04/02 15:41:26.320",-0.00135,-0.02575,-0.00976,0.07355,-0.029,0.13746,22.90521,-0.04898,-0.02209,-0.00785,862.24213,-0.11947,0.00741,0.09543,0.10737,-0.03918,-0.17654,-0.00894,-0.03397,-0.03947
="2026/04/02 15:41:26.340",0.04342,-0.02997,-0.01362,-0.03192,-0.06976,-0.1258,23.5514,-0.07071,-0.02828,-0.0197,863.6734,-0.02235,-0.02296,-0.15305,0.0606,0.0197,0.00153,-0.13078,-0.02076,0.03845
="2026/04/02 15:41:26.360",0.00938,-0.01863,-0.03519,-0.02638,0.01645,-0.16474,23.47155,-0.0623,0.00269,-0.00743,864.81989,0.00443,-0.00719,-0.04047,0.06687,0.01606,-0.10181,-0.07758,0.00414,0.09348
="2026/04/02 15:41:26.380",-0.01138,-0.03364,0.03612,0.08408,-0.01301,0.00103,23.18998,0.00338,-0.01443,0.01974,865.25336,-0.06292,-0.04114,-0.01313,0.07622,-0.01986,-0.14135,-0.08453,0.00836,-0.08879
="2026/04/02 15:41:26.400",0.01969,-0.04408,0.08142,-0.14537,0.05061,-0.3421,22.77312,-0.0397,-0.02278,-0.01255,865.6651,0.06143,0.00011,-0.11705,0.03095,0.04696,-0.01044,-0.14503,-0.00765,0.1745
="2026/04/02 15:41:26.420",-0.01813,-0.00025,0.0463,0.08457,-0.04262,0.03974,22.04911,-0.04488,-0.00903,-0.00626,866.18939,-0.16918,-0.04603,0.00791,0.05543,-0.01545,-0.19834,-0.03069,-0.01616,-0.0535
="2026/04/02 15:41:26.440",0.00686,-0.03006,0.16561,-0.02933,0.01768,-0.20231,20.5359,-0.12751,-0.00991,-0.00099,866.50641,0.023,0.0228,-0.09079,-0.04536,0.00975,-0.00351,-0.08273,-0.01994,0.06209
="2026/04/02 15:41:26.460",0.03388,0.02646,0.06965,-0.10033,0.01863,-0.29948,19.44894,-0.04908,0.00013,-0.01851,866.11121,-0.08076,0.04544,-0.0681,0.00494,0.00066,-0.0312,-0.09627,0.0227,0.06691
="2026/04/02 15:41:26.480",0.06312,-0.00619,0.14023,0.04354,-0.02304,0.10925,19.37684,-0.03218,0.02515,-0.0029,864.78485,-0.16384,0.02256,0.08947,-0.0159,-0.00798,-0.10202,-0.06406,0.0181,-0.06816
="2026/04/02 15:41:26.500",0.08326,-0.02318,0.04877,-0.16369,0.04203,-0.35635,18.93952,-0.01191,-0.04498,0.015,864.11218,-0.02776,0.04283,-0.06238,-0.03993,0.00931,0.10421,-0.06003,0.0068,0.18233
="2026/04/02 15:41:26.520",0.0496,-0.01072,-0.01738,0.02738,-0.01995,0.07201,19.41711,-0.09118,0.02258,-0.02603,863.62793,-0.1887,-0.04269,0.05546,0.05703,-0.01914,-0.1299,0.03843,0.01207,-0.02631
="2026/04/02 15:41:26.540",0.12557,-0.06632,-0.00224,-0.00551,0.01521,0.00054,20.90054,-0.04517,-0.03619,-0.02126,862.64062,-0.06051,-0.04588,-0.05844,-0.05621,-0.00157,0.0285,-0.04687,0.02235,-0.01686
="2026/04/02 15:41:26.560",0.08832,0.00966,-0.07732,-0.14597,0.01502,-0.07757,21.85992,-0.05382,0.00173,-0.02097,862.22681,-0.06228,-0.01621,-0.0499,0.02975,0.01486,0.00384,-0.0969,0.00475,0.25458
="2026/04/02 15:41:26.580",0.07864,0.00537,-0.14013,0.13205,-0.05871,0.35154,21.86103,-0.02123,0.00021,-0.01371,861.75946,-0.15841,-0.04035,0.10029,0.05578,-0.00733,-0.18399,-0.00291,0.002,-0.15005
="2026/04/02 15:41:26.600",0.09303,-0.12956,0.02958,-0.12585,0.10842,-0.24971,22.02093,-0.05754,0.03389,-0.03893,862.14166,-0.00438,0.02829,-0.00383,0.01656,0.01871,0.06273,-0.0361,0.00887,0.11082
="2026/04/02 15:41:26.620",-0.00002,-0.01211,-0.10502,-0.02016,-0.02968,0.03192,22.83964,-0.09495,-0.02074,0.02261,862.94611,-0.07485,0.00321,0.06568,0.09628,-0.01452,-0.14526,-0.10992,0.01475,0.09524
="2026/04/02 15:41:26.640",0.04095,-0.04694,-0.02071,0.16834,0.00125,-0.02355,23.24071,-0.03511,-0.0037,-0.00698,863.76825,0.00338,-0.01193,-0.02058,0.0339,0.02087,-0.08076,0.04527,-0.02884,-0.09047
="2026/04/02 15:41:26.660",0.03327,-0.06872,0.05185,-0.11023,0.11199,-0.32154,23.2984,0.01162,-0.03141,-0.0071,865.37872,0.12759,-0.00833,-0.11895,0.10106,0.04041,-0.0377,-0.16445,-0.026,0.24807
="2026/04/02 15:41:26.680",-0.05085,0.01917,0.05413,0.15576,-0.02426,0.03724,23.31989,0.08028,0.00149,0.03183,866.8916,-0.04323,-0.03151,0.05999,0.05288,-0.01601,-0.18367,0.02744,0.00023,-0.14756
="2026/04/02 15:41:26.700",0.02872,-0.0917,0.15669,0.03095,0.07108,-0.30271,22.69042,-0.00415,0.02521,0.04011,867.09595,0.03818,0.02235,-0.06948,0.01551,0.03796,0.09881,-0.01822,0.00319,0.02221
="2026/04/02 15:41:26.720",-0.0441,0.01599,0.06111,-0.04299,0.03263,-0.1564,21.54222,-0.0193,0.00194,0.0245,866.94165,-0.01071,0.00645,0.03347,0.03943,-0.01103,0.00294,-0.08882,-0.007,0.09497
="2026/04/02 15:41:26.740",0.00336,0.00588,0.09118,0.24429,-0.01075,0.04656,20.57506,0.06584,0.04079,-0.01689,867.46698,0.05671,-0.02074,-0.10568,-0.01641,-0.02314,-0.17953,-0.00291,-0.00087,-0.16504
="2026/04/02 15:41:26.760",0.04132,-0.04846,0.06042,-0.22735,0.08978,-0.28136,19.75093,0.04228,-0.01188,0.02498,866.90234,0.15217,0.02382,-0.09285,0.01999,0.03562,0.04925,-0.1486,-0.011,0.26797
="2026/04/02 15:41:26.780",0.04822,0.0499,-0.04173,0.0009,-0.04617,0.06684,19.05601,0.09222,-0.02671,0.01417,865.56152,0.09182,-0.01446,0.0025,0.02746,-0.00081,-0.14114,0.01628,0.0215,-0.0596
="2026/04/02 15:41:26.800",0.07098,-0.06152,-0.00487,0.00232,-0.00852,0.01738,18.49495,0.06146,0.01774,-0.04135,864.64075,0.27232,-0.01808,-0.1339,-0.00341,0.0099,0.08748,-0.04006,0.01708,0.06177
="2026/04/02 15:41:26.820",0.07233,0.0065,-0.0237,-0.17496,0.01339,0.04494,18.72492,-0.01141,0.00674,0.01066,863.92572,0.13633,0.00577,-0.05081,0.07819,-0.00208,0.03081,-0.02909,0.02497,0.13456
="2026/04/02 15:41:26.840",0.07543,0.04897,-0.07397,0.28273,-0.12832,0.42378,19.9022,-0.03821,0.00785,-0.02309,863.09991,0.16371,0.00082,-0.00258,0.04627,0.01594,-0.08228,0.09144,-0.01029,-0.09418
="2026/04/02 15:41:26.860",0.09767,-0.0215,-0.02458,-0.16309,0.02247,-0.04149,21.05369,0.01583,0.02232,-0.03638,862.10333,0.1384,0.00289,-0.02789,0.09497,0.01683,0.05433,-0.04949,-0.0255,0.15234
="2026/04/02 15:41:26.880",-0.0087,0.09851,0.00346,-0.00154,-0.08754,0.2287,21.80841,0.03693,-0.00462,0.00024,862.08472,0.15225,-0.03972,0.10032,0.09707,-0.01328,-0.06973,0.12132,0.00464,-0.07944
="2026/04/02 15:41:26.900",0.02856,0.03055,0.0213,0.12831,-0.07616,0.10895,22.78882,0.06296,-0.02911,0.00478,862.75659,0.15819,-0.00586,-0.01596,0.0877,0.00325,-0.06507,-0.07914,0.04365,-0.06377
