time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:40:47.300",0.0068,0.02644,-0.42275,,,,21.63116,0.30585,0.03767,-0.00201,863.75366,0.00953,0.0106,-0.00245,,,,0.61207,-0.00358,-0.26419
="2026/04/02 15:40:47.320",-0.23266,-0.13136,-0.06726,,,,20.96811,-0.03124,-0.03523,-0.04328,863.672,-0.19385,0.04344,-0.21307,,,,-0.22675,-0.03779,0.09709
="2026/04/02 15:40:47.340",-0.09047,0.13887,-0.12789,,,,20.93919,0.07511,0.02652,-0.02025,864.5907,-0.04286,-0.1016,0.38279,,,,0.05214,-0.03336,-0.26538
="2026/04/02 15:40:47.360",-0.14563,-0.04323,0.17032,-0.02987,0.30565,-1.5854,21.29398,-0.00354,-0.02123,-0.00815,865.65533,-0.04032,0.13279,-0.41167,-0.24199,0.1566,0.43086,0.21805,-0.02907,0.10142
="2026/04/02 15:40:47.380",-0.16535,0.04039,0.25044,-1.184,0.06958,-0.19275,21.8719,0.06319,0.01256,-0.02872,865.63324,0.17766,-0.09933,0.20663,0.45699,-0.06926,-0.28415,-0.44315,-0.01886,-0.06099
="2026/04/02 15:40:47.400",-0.0262,0.0584,0.32336,0.97246,-0.0856,-0.10312,21.55999,0.04217,0.00679,0.03726,866.49176,0.08755,-0.04784,-0.14948,-0.528,-0.02975,-0.21494,0.35433,-0.01906,-0.10617
="2026/04/02 15:40:47.420",-0.09828,-0.07975,0.49848,-1.22558,0.28748,-1.39331,21.09542,-0.07553,-0.04241,-0.02873,867.2475,0.06014,0.0524,-0.20323,0.24651,0.10339,0.52017,-0.3611,-0.0352,0.19363
="2026/04/02 15:40:47.440",0.05398,0.13311,0.28552,0.07,-0.26547,0.96032,21.27989,-0.01235,0.03026,0.04322,866.18756,0.02169,-0.11423,0.39381,-0.1695,-0.15289,-0.35571,0.11963,-0.05093,-0.07825
="2026/04/02 15:40:47.460",0.0392,-0.07239,0.39801,0.34353,0.12324,-0.83964,21.45384,-0.04745,0.02011,-0.02867,865.28143,-0.00377,0.12094,-0.25737,-0.36792,0.06423,0.66263,0.24772,-0.01766,0.00674
="2026/04/02 15:40:47.480",0.0646,0.02714,0.22159,-1.18821,-0.05832,0.51631,21.71142,0.06429,0.00122,-0.01777,863.26855,0.1432,-0.04655,0.15101,0.27701,-0.03982,0.23944,-0.36517,-0.00665,-0.03952
="2026/04/02 15:40:47.500",0.11027,0.08274,0.03521,1.27112,-0.2216,0.68732,22.37022,0.10911,0.03487,0.03882,862.98315,-0.14166,0.01604,0.01146,-0.6273,-0.09631,0.02924,0.51453,0.00592,-0.12496
="2026/04/02 15:40:47.520",0.01906,-0.04481,-0.08822,-0.7767,0.14642,-0.24883,22.3768,-0.04262,-0.05433,-0.05588,861.46283,0.10442,0.05897,-0.13134,0.19134,0.09336,0.71752,-0.24623,0.03177,0.0435
="2026/04/02 15:40:47.540",0.09948,0.12612,-0.4151,0.25947,-0.25279,1.45592,22.41028,-0.04105,0.04307,0.02672,859.71228,0.06686,-0.12336,0.22772,-0.16146,-0.08834,-0.23983,0.24357,0.03902,-0.17795
="2026/04/02 15:40:47.560",-0.02978,-0.05132,-0.27418,0.93578,0.05548,-0.15633,22.80875,0.05192,0.02607,0.05894,860.52203,-0.0579,0.06273,-0.33752,-0.21566,0.00262,0.20719,0.36732,0.01738,-0.13732
="2026/04/02 15:40:47.580",-0.03696,0.01672,-0.4469,-1.03323,0.04881,0.31632,21.27005,-0.11113,0.03994,0.01712,860.51141,0.13305,-0.07306,0.13247,0.40203,0.06016,0.22113,-0.3365,0.02031,-0.02108
="2026/04/02 15:40:47.600",-0.06186,0.10432,-0.37623,1.32587,-0.06136,0.4297,20.80958,0.13174,0.04317,0.00899,862.06836,-0.00057,-0.01086,0.02105,-0.35554,-0.05095,-0.47774,0.49988,0.00228,-0.1816
